target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,-0.23419706286424846,0.06682104998961357,-0.30101811285386204,1.999999999999998,-5.551115123125783e-17,2.498001805406602e-16,2.220446049250313e-16,0.05,0.34999999999999987,False,1.0,103,102,205,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.2375303961975818,,-0.23419706286424846,-0.011136640158463607,0.0022936537359135355,0.0009683333333333329,1.9999999999999987,-0.23745904993349531,
2021-02-28,-0.011315293473355394,0.041001346526644465,-0.05231663999999988,1.9999999999999982,0.0,-6.661338147750939e-16,-4.996003610813204e-16,0.05,0.34999999999999987,False,1.0,102,101,203,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.014648626806688728,,-0.24286234784069705,0.0,0.0027318100977117322,0.001056874999999999,2.3924527230849377,-0.015103978571067125,
2021-03-31,-0.010548463207684827,0.012699195264721158,-0.023247658472405983,1.9999999999999982,-2.7755575615628914e-17,3.3306690738754696e-16,-1.1102230246251565e-16,0.05,0.3499999999999998,False,1.0,102,101,203,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,-0.013881796541018161,,-0.2508489865076524,0.0,0.002568426373362385,0.0010670621013716766,2.2450730160644774,-0.014183951682418889,
2021-04-30,0.07200495168756557,0.060245316687565525,0.011759635000000058,1.9999999999999982,-2.7755575615628914e-17,1.1102230246251565e-15,-6.938893903907228e-16,0.05,0.3499999999999998,False,1.0,102,101,203,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.06867161835423224,,-0.19690640397444514,0.0,0.0021649646194297524,0.001074791666666666,1.8493296537371249,0.06876519540146915,
2021-05-31,0.02218531153075906,0.017400534809613552,0.004784776721145506,1.9999999999999982,-2.7755575615628914e-17,1.6653345369377348e-16,8.881784197001252e-16,0.05,0.3499999999999998,False,1.0,102,101,203,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.018851978197425727,,-0.1790895223582606,0.0,0.0023017559693174943,0.0010231249999999997,2.0193492975924787,0.018860430561441568,
2021-06-30,-0.025803217238203623,0.02481890776179636,-0.050622125,1.9999999999999982,-2.7755575615628914e-17,-1.2212453270876722e-15,3.3306690738754696e-16,0.05,0.3499999999999998,False,1.0,102,101,203,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.029136550571536957,,-0.2002716537459679,0.0,0.002649420439285945,0.001152291666666666,2.26913767768315,-0.029604929344156233,
2021-07-31,0.11567755955523634,-0.007275700677314838,0.12295326023255117,1.9999999999999982,-2.7755575615628914e-17,-3.3306690738754696e-16,-2.220446049250313e-16,0.05,0.34999999999999976,False,1.0,103,102,205,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.11234422622190302,,-0.1077610303441564,0.0,0.002214972448845346,0.0011653704746950164,1.854627223864996,0.11229721663169598,
2021-08-31,-0.008698106355402755,0.015302810697859836,-0.024000917053262585,1.9999999999999982,1.3877787807814457e-17,-3.608224830031759e-16,6.106226635438361e-16,0.05,0.34999999999999976,False,1.0,102,101,203,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,-0.012031439688736089,,-0.11552181979665799,0.0,0.0023394792089220066,0.0011135949479851369,2.0179982800852,-0.012151180512309899,
2021-09-30,-0.02217500241708445,-0.038043484922882724,0.015868482505798268,1.9999999999999982,0.0,-7.216449660063518e-16,3.608224830031759e-16,0.05,0.3499999999999998,False,1.0,102,101,203,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.025508335750417784,,-0.13513512558052554,-0.047569140421166445,0.0027621452169878298,0.00106983694154889,2.3744088155502103,-0.02600698457562117,
2021-10-31,0.02456641744158985,0.05368526237850542,-0.029118844936915557,1.9999999999999982,2.7755575615628914e-17,-5.551115123125783e-16,1.1102230246251565e-16,0.05,0.3499999999999998,False,1.0,102,101,203,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.021233084108256518,,-0.11388849404496859,0.0,0.00232439357329871,0.0011029874552171083,1.9497073491857124,0.021139036413074033,
2021-11-30,0.056076444291884096,-0.040691330708115855,0.09676777499999997,1.9999999999999982,0.0,-7.216449660063518e-16,-2.220446049250313e-16,0.05,0.34999999999999987,False,1.0,103,101,204,2021-11-30,0.05,4.1666666666666665e-05,2021-11-30,-0.00833373141847149,0.0033750000000000004,0.05274311095855076,,-0.06419851154488365,-0.00833373141847149,0.002322537563786744,0.000997291666666666,2.0973941758246406,0.05275661506143069,
2021-12-31,0.04673395073927241,0.03740109573927248,0.009332854999999921,1.9999999999999982,2.7755575615628914e-17,-4.996003610813204e-16,-3.885780586188048e-16,0.049999999999999996,0.34999999999999987,False,1.0,102,101,203,2021-12-31,0.06,4.9999999999999996e-05,2021-12-31,0.04361287497262989,0.0033833333333333337,0.043400617405939076,1.0170965741404316,-0.020464810881684503,0.0,0.002667183328339432,0.0010558333333333329,2.310475615292588,0.04301093407759964,1.0179437867609986
2022-01-31,0.009190990199806688,-0.09175681684476594,0.10094780704457265,1.9999999999999982,0.0,4.996003610813204e-16,4.440892098500626e-16,0.05,0.3499999999999998,False,1.0,101,101,202,2022-01-31,0.15,0.000125,2022-01-31,-0.05258508910699977,0.0034583333333333337,0.005857656866473354,0.27457878722135703,-0.011461912558132337,-0.05258508910699977,0.0021436476659353007,0.000973541666666666,1.933102076299554,0.006073800867204722,0.2738565436708789
2022-02-28,-0.013151411730888818,0.018032463269111124,-0.031183874999999948,1.9999999999999982,0.0,-3.0531133177191805e-16,8.326672684688674e-16,0.05,0.3499999999999998,False,1.0,102,101,203,2022-02-28,0.33,0.000275,2022-02-28,-0.03136052086678265,0.0036083333333333336,-0.01648474506422215,0.3589619056343176,-0.0244625839577457,-0.08229651418956074,0.0019274192114126028,0.0010208333333333328,1.7452375610018893,-0.016099664275634754,0.3571519927590757
2022-03-31,-0.0507797006613446,-0.005543058267433781,-0.04523664239391082,1.9999999999999982,5.551115123125783e-17,-8.881784197001252e-16,-1.1102230246251565e-16,0.05,0.324703054989946,False,1.0,102,101,203,2022-03-31,0.44,0.00036666666666666667,2022-03-31,0.03577323877328009,0.0037,-0.054113033994677935,0.32423759938598123,-0.07400008192831298,-0.04946728826859237,0.0028529130661763477,0.000996666666666666,2.4222149139238986,-0.054629280394187615,0.3221717461744606
2022-04-30,0.06553147130437038,-0.09732073852291827,0.16285220982728865,1.9999999999999982,2.7755575615628914e-17,-5.551115123125783e-16,-2.7755575615628914e-16,0.05,0.3499999999999998,False,1.0,101,102,203,2022-04-30,0.76,0.0006333333333333333,2022-04-30,-0.08795671914903935,0.003966666666666667,0.06219813797103705,-0.05892917375486708,-0.013317944869348897,-0.13307302703632662,0.00254704409158576,0.001081228593874862,2.0759467675789662,0.061903198618909756,-0.060220278317945033
2022-05-31,0.04216357097836321,0.009990081378271303,0.0321734896000919,1.9999999999999982,0.0,-7.216449660063518e-16,-3.608224830031759e-16,0.05,0.34999999999999987,False,1.0,102,102,204,2022-05-31,0.98,0.0008166666666666666,2022-05-31,5.324388360872234e-05,0.00415,0.03883023764502987,-0.060137539176385556,0.0,-0.1330268684774809,0.002531021237223085,0.0010222442916827464,2.114630374421007,0.03861030544945738,-0.06147112690357182
2022-06-30,-0.049479609633524047,-0.09284315639876638,0.043363546765242324,1.999999999999998,0.0,4.163336342344337e-16,-1.0824674490095276e-15,0.05,0.34279379893729267,False,1.0,101,101,202,2022-06-30,1.49,0.0012416666666666667,2022-06-30,-0.08391999322386645,0.004575,-0.05281294296685738,0.17939062908200573,-0.049479609633524047,-0.20578324780012514,0.0029929742150108913,0.001100006007934818,2.4420834683920782,-0.05357258985646976,0.18015431469589788
2022-07-31,0.011227497148725112,0.11740676078422152,-0.10617926363549639,1.9999999999999982,-8.326672684688674e-17,-3.885780586188048e-16,-1.1102230246251565e-16,0.05,0.3499999999999998,False,1.0,102,102,204,2022-07-31,2.23,0.0018583333333333334,2022-07-31,0.09111634763220589,0.005191666666666667,0.007894163815391778,0.053760544148224745,-0.03880764466087927,-0.1334171181113598,0.0021033489359342985,0.001132249695810329,1.7364123434603045,0.007991898516980483,0.05497158347128741
2022-08-31,-0.09821776085789874,-0.033422139999999934,-0.0647956208578988,1.9999999999999982,4.163336342344337e-17,-3.885780586188048e-16,-2.7755575615628914e-17,0.05,0.335,False,1.0,100,102,202,2022-08-31,2.63,0.002191666666666667,2022-08-31,-0.04244011921681046,0.005525,-0.10155109419123207,0.16999186409043548,-0.13321380555601747,-0.17019499892996082,0.0024125703372147532,0.001110428552944836,2.1056044626320114,-0.10174075974805834,0.17114268239580954
2022-09-30,0.0077418030386978325,-0.10679317436075855,0.11453497739945637,1.9999999999999984,-2.7755575615628914e-17,7.494005416219807e-16,5.828670879282072e-16,0.05,0.3499999999999998,False,1.0,102,103,205,2022-09-30,3.13,0.0026083333333333336,2022-09-30,-0.09339570164348932,0.005941666666666667,0.004408469705364499,0.11802932633440719,-0.12650331756196975,-0.24769521923217352,0.0023913035726025574,0.001152715798630253,2.059992633816665,0.0041977836674650226,0.11883324486799682
2022-10-31,0.03189710498184338,0.09216433362176302,-0.060267228639919616,1.999999999999998,0.0,1.582067810090848e-15,-5.551115123125783e-17,0.05,0.34999999999999976,False,1.0,102,102,204,2022-10-31,3.72,0.0031000000000000003,2022-10-31,0.07986345457689326,0.006433333333333334,0.028563771648510046,0.13271968438504453,-0.09864130218095202,-0.18761356054534262,0.0022372783276547264,0.0011764754840843392,1.8551037882230081,0.028483351170104317,0.13353903586054924
2022-11-30,-0.022497349049944142,0.030801041998347236,-0.05329839104829137,1.9999999999999982,1.1102230246251565e-16,1.3600232051658168e-15,1.1102230246251565e-16,0.05,0.325,False,1.0,101,102,203,2022-11-30,4.15,0.0034583333333333337,2022-11-30,0.053752860293699856,0.006791666666666667,-0.025830682383277476,0.08896267973877167,-0.11891948342499026,-0.14394546576084022,0.0024650230447911493,0.00114537583828507,2.0056172314215663,-0.026107747933020363,0.08957879892084791
2022-12-31,-0.018611916491087507,-0.061903779999999915,0.04329186350891241,1.9999999999999982,0.0,-5.759281940243e-16,-5.828670879282072e-16,0.05,0.34999999999999987,False,1.0,101,103,204,2022-12-31,4.25,0.003541666666666667,2022-12-31,-0.058971449299161094,0.006875000000000001,-0.02194524982442084,0.04470005957794781,-0.13531808042140858,-0.19442824232404177,0.002558233868715852,0.0010507243234193526,2.1447780810713457,-0.022220874683222713,0.04566826204147356
2023-01-31,-0.014683913182551179,0.11043769025424312,-0.12512160343679427,1.9999999999999982,1.5612511283791264e-17,4.579669976578771e-16,6.938893903907228e-17,0.05,0.3050000000000001,False,1.0,102,101,203,2023-01-31,4.54,0.0037833333333333334,2023-01-31,0.06175283240005203,0.007116666666666667,-0.018017246515884513,0.04596715797180111,-0.14801499465902224,-0.144681904586063,0.0027034718266018398,0.0010310894227926583,2.357689225168863,-0.018418474431945674,0.04692135970200454
2023-02-28,0.035719107335598604,-0.007952021531900801,0.04367112886749941,1.9999999999999982,-6.938893903907228e-18,-1.096345236817342e-15,1.8908485888147197e-16,0.05,0.30500000000000005,False,1.0,102,101,203,2023-02-28,4.65,0.0038750000000000004,2023-02-28,-0.026112446646715304,0.007208333333333334,0.03238577400226527,0.025120618300150298,-0.11758285080492725,-0.16701635271852955,0.0023193681616629326,0.0009261048539356267,2.0216635714852105,0.03247363432000004,0.02622230257447545
2023-03-31,0.0030650660360738366,-0.008152805797758615,0.011217871833832464,1.9999999999999982,2.0816681711721685e-17,-3.3306690738754696e-16,-2.7755575615628914e-16,0.05,0.30500000000000005,False,1.0,101,101,202,2023-03-31,4.69,0.003908333333333334,2023-03-31,0.03505157235872702,0.007241666666666667,-0.00026826729725949695,0.07102721345395878,-0.11487818397128036,-0.1378189661322068,0.0025729210992741012,0.0010100193876881002,2.3484193300577907,-0.0005178744508883648,0.0723660611782852
2023-04-30,-0.01142174239194845,-0.015475278408862736,0.004053536016914289,1.999999999999998,2.7755575615628914e-17,-2.0122792321330962e-16,-6.106226635438361e-16,0.05,0.28500000000000003,False,1.0,101,102,203,2023-04-30,4.92,0.0041,2023-04-30,0.01464236088297044,0.0074333333333333335,-0.014755075725281784,0.21170470230295627,-0.12498781733945397,-0.1251946002878619,0.002510567415960195,0.0008972478759051299,2.187887036987818,-0.014829557683813775,0.21316252106940217
2023-05-31,-0.03240796566740914,-0.019964901991720033,-0.012443063675689103,1.999999999999998,3.469446951953614e-17,2.2898349882893854e-16,3.5214886562329184e-16,0.05,0.3499999999999998,False,1.0,102,102,204,2023-05-31,5.14,0.004283333333333333,2023-05-31,0.002482323934879238,0.007616666666666666,-0.03574129900074247,0.21300370129427262,-0.15334518211368164,-0.12302304990579493,0.002240651889015095,0.0010176996821962259,2.0370254677316653,-0.03566631723862046,0.21445187876292052
2023-06-30,0.04730298661737771,0.09528495,-0.04798196338262229,1.9999999999999996,9.020562075079397e-17,1.8388068845354155e-16,-1.0061396160665481e-16,0.05,0.32883358074423985,False,1.0,100,102,202,2023-06-30,5.16,0.0043,2023-06-30,0.0647275128414313,0.007633333333333334,0.043969653284044376,0.22687239517442603,-0.1132958805936668,-0.06625851310693298,0.002770859106022489,0.001042692584580052,2.4285308164522332,0.04348943492677517,0.22672442900364256
2023-07-31,-0.054761638179147976,0.03781340182085196,-0.09257503999999996,1.999999999999998,-1.3877787807814457e-17,8.604228440844963e-16,-7.077671781985373e-16,0.05,0.27629369988566066,False,1.0,102,100,202,2023-07-31,5.25,0.0043749999999999995,2023-07-31,0.031138913980379268,0.007708333333333333,-0.05809497151248131,0.19735656793154926,-0.1618532507525564,-0.0371828172666584,0.002422461787271642,0.0010487499999999998,2.104606490436117,-0.05823284996641962,0.19653432895772466
2023-08-31,0.04250436169150641,-0.038898573447150246,0.08140293513865665,1.9999999999999982,1.734723475976807e-18,-3.2959746043559335e-17,2.3245294578089215e-16,0.05,0.2817965784762747,False,1.0,101,101,202,2023-08-31,5.3,0.004416666666666667,2023-08-31,-0.01771643248143373,0.00775,0.03917102835817308,0.005933499889766002,-0.12622835817198275,-0.05424050287651794,0.002501028293389734,0.0009581226527090811,2.2169023768439113,0.0390452107454076,0.00499528912760727
2023-09-30,0.008687028181591765,-0.07781951894943581,0.0865065471310276,1.9999999999999982,0.0,-3.7470027081099033e-16,-2.220446049250313e-16,0.05,0.3394714159304126,False,1.0,101,102,203,2023-09-30,5.32,0.004433333333333333,2023-09-30,-0.04871929116215501,0.0077666666666666665,0.005353694848258431,0.017102545260660705,-0.11863787929514702,-0.10031723518625024,0.002842028810756879,0.0010753422750724856,2.5278607203832237,0.004769657095762401,0.016848659207566508
2023-10-31,-0.0035166178975203043,-0.085125732098543,0.08160911420102274,1.9999999999999982,9.020562075079397e-17,4.996003610813204e-16,1.942890293094024e-16,0.05,0.31500000000000006,False,1.0,101,102,203,2023-10-31,5.34,0.00445,2023-10-31,-0.021979687736850106,0.007783333333333333,-0.006849951230853638,-0.08505922191539884,-0.12173729310301418,-0.1200919814190824,0.0022899198685813866,0.001018107862293677,1.9427999881486855,-0.006824645628395369,-0.08618578361558217
2023-11-30,-0.046130815382465176,0.08052236858515643,-0.1266531839676216,1.9999999999999982,1.3877787807814457e-17,1.8596235662471372e-15,-1.249000902703301e-16,0.05,0.34500000000000003,False,1.0,101,102,203,2023-11-30,5.27,0.004391666666666666,2023-11-30,0.08917926462873771,0.007724999999999999,-0.04946414871579851,-0.17558202215656926,-0.16225226789218317,-0.04162243138110644,0.0026014593574865902,0.0009954350594354561,2.251423873700433,-0.049727709799387225,-0.17657205264704115
2023-12-31,-0.0472937662023573,0.11196537879764261,-0.1592591449999999,1.9999999999999984,0.0,-1.1102230246251565e-16,5.551115123125783e-16,0.05,0.34999999999999976,False,1.0,103,101,204,2023-12-31,5.24,0.004366666666666667,2023-12-31,0.04422916940321375,0.0077,-0.05062709953569063,-0.3282656608840616,-0.20187251327104538,0.0,0.0030033935374554578,0.0010212499999999987,2.520758285504291,-0.051318409739812755,-0.33039083955033804
2024-01-31,0.048282143124810425,-0.029366717785690936,0.07764886091050135,1.9999999999999982,0.0,-8.187894806610529e-16,3.3306690738754696e-16,0.05,0.3499999999999998,False,1.0,103,102,205,2024-01-31,5.22,0.00435,2024-01-31,0.015895744712075555,0.007683333333333334,0.04494880979147709,-0.3411684014676536,-0.16333720772495275,0.0,0.0028380874822309604,0.0009360324926869973,2.4898507978386046,0.04450802314989247,-0.34310400961083226
2024-02-29,-0.056828323703123795,0.04762855372211131,-0.1044568774252351,1.9999999999999982,1.3877787807814457e-17,-1.5265566588595902e-16,-4.996003610813204e-16,0.05,0.34999999999999976,False,1.0,101,102,203,2024-02-29,5.24,0.004366666666666667,2024-02-29,0.05172061539731532,0.0077,-0.06016165703645713,-0.35500062431092394,-0.2108833517147185,0.0,0.0020362673660168787,0.0009816666666666663,1.8133451657086932,-0.05984625773580734,-0.3551466574049755
2024-03-31,-0.005610950908892782,0.007383294091107278,-0.012994245000000062,1.9999999999999982,2.7755575615628914e-17,5.941427905220564e-16,8.326672684688674e-16,0.05,0.3499999999999998,False,1.0,103,101,204,2024-03-31,5.24,0.004366666666666667,2024-03-31,0.031018764704381807,0.0077,-0.008944284242226116,-0.36523931368886475,-0.21531104648963717,0.0,0.0028632536522910854,0.0010381249999999998,2.5677404912489425,-0.009512329561183867,-0.36555965139600644
2024-04-30,0.04710129430952749,-0.07615468569047244,0.12325597999999997,1.9999999999999982,0.0,-2.7755575615628914e-17,-2.7755575615628914e-16,0.05,0.34999999999999987,False,1.0,103,101,204,2024-04-30,5.24,0.004366666666666667,2024-04-30,-0.04161504277408257,0.0077,0.043767960976194155,-0.4603048787611682,-0.17835118114891035,-0.04161504277408257,0.0022358595605797404,0.0010108333333333328,1.9916667503968764,0.04385460141561441,-0.46149710446204617
2024-05-31,-0.008451852276634817,0.041968097820982514,-0.05041995009761732,1.9999999999999982,8.326672684688674e-17,7.216449660063518e-16,1.6653345369377348e-16,0.05,0.3499999999999998,False,1.0,102,101,203,2024-05-31,5.25,0.0043749999999999995,2024-05-31,0.04802122449952262,0.007708333333333333,-0.01178518560996815,-0.4760615334417336,-0.18529563558911133,0.0,0.0023298336429722587,0.0010158600526603955,2.08857569159251,-0.011797545972267471,-0.4766725055998
2024-06-30,0.0349824391830098,0.006111601264627114,0.02887083791838269,1.9999999999999982,0.0,-1.6653345369377348e-16,-5.967448757360216e-16,0.05,0.34999999999999987,False,1.0,101,101,202,2024-06-30,5.24,0.004366666666666667,2024-06-30,0.034669759034089864,0.0077,0.031649105849676465,-0.6095515012391354,-0.15679528970897483,0.0,0.0030030257082978547,0.001038253578860973,2.5374790620880923,0.03094115989585097,-0.6100424230236899
