target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,-0.03462742209053049,0.06639759508543877,-0.10102501717596926,1.9999999999999982,-5.551115123125783e-17,-5.273559366969494e-16,2.7755575615628914e-17,0.05,0.26500000000000007,False,1.0,101,101,202,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.037960755423863825,,-0.03462742209053049,-0.011136640158463607,0.002397848516680753,0.001004912487976267,1.9999999999999984,-0.03803018309518751,
2021-02-28,-0.005959834436863433,0.0797772432494434,-0.08573707768630683,1.9999999999999987,-1.942890293094024e-16,3.608224830031759e-16,1.3877787807814457e-16,0.05,0.261707848145954,False,1.0,105,105,210,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.009293167770196767,,-0.040380882824758935,0.0,0.0005945250581864733,0.0010222838967165497,0.3999999999999999,-0.007576643391766456,
2021-03-31,0.02087918843360456,0.03779044571368582,-0.01691125728008126,1.999999999999999,0.0,4.440892098500626e-16,-5.551115123125783e-16,0.049849460206800006,0.270089442970261,False,1.0,106,109,215,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.017545855100271224,,-0.020344814452767812,0.0,0.000489180147495911,0.0009853814839308186,0.39999999999999986,0.01940462680217783,
2021-04-30,0.05530491942965007,0.052898367411815424,0.002406552017834657,1.999999999999999,8.326672684688674e-17,-3.885780586188048e-16,-2.498001805406602e-16,0.05,0.26199752301216694,False,1.0,109,113,222,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.05197158609631674,,0.0,0.0,0.0005591592361700529,0.0009532463841716665,0.3999999999999999,0.05379251380930836,
2021-05-31,0.0259886537244874,0.01937548367433376,0.006613170050153642,1.9999999999999991,5.551115123125783e-17,-2.220446049250313e-16,2.7755575615628914e-16,0.049999999999999996,0.28548630266150643,False,1.0,110,111,221,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.022655320391154067,,0.0,0.0,0.0004991678613052388,0.0009144287798912641,0.3999999999999999,0.0245750570832909,
2021-06-30,0.01977067023684003,0.052072154821825894,-0.032301484584985864,1.9999999999999991,5.551115123125783e-17,-2.498001805406602e-16,5.551115123125783e-17,0.05,0.29136791772563253,False,1.0,111,112,223,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,0.016437336903506697,,0.0,0.0,0.0005442579203895386,0.0009444261885444637,0.4,0.01828198612790603,
2021-07-31,0.03688909779683544,-0.05059751794769782,0.08748661574453324,1.9999999999999991,-8.326672684688674e-17,4.163336342344337e-16,2.220446049250313e-16,0.049999999999999975,0.3081019314658939,False,1.0,110,110,220,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.03355576446350211,,0.0,0.0,0.0005198278162078991,0.0009337164138233865,0.39999999999999997,0.035435553566804154,
2021-08-31,-0.022187168835768083,0.016252497280620483,-0.038439666116388556,1.9999999999999996,0.0,-2.498001805406602e-16,2.7755575615628914e-17,0.05000000000000001,0.3179033551922311,False,1.0,115,115,230,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,-0.025520502169101417,,-0.022187168835768212,0.0,0.0005952401073981341,0.0009316921801253988,0.4,-0.023714101123291614,
2021-09-30,0.005486264651219841,-0.023638992722525353,0.029125257373745203,1.9999999999999996,-1.3877787807814457e-16,-8.326672684688674e-17,8.326672684688674e-17,0.05000000000000003,0.3107487815614164,False,1.0,115,113,228,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,0.0021529313178865078,,-0.016822628864642586,-0.047569140421166445,0.0006160034782038866,0.0009627589818581221,0.39999999999999997,0.003907502191157833,
2021-10-31,-0.017068634380023907,0.02003637948581883,-0.037105013865842744,1.9999999999999996,5.551115123125783e-17,3.3306690738754696e-16,0.0,0.050000000000000044,0.31314753098510895,False,1.0,116,116,232,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,-0.02040196771335724,,-0.03360412394326506,0.0,0.000649746736511162,0.0010106720346268543,0.3999999999999998,-0.018729053151161922,
2021-11-30,0.04852214124740871,-0.03255769323065244,0.08107983447806114,1.9999999999999996,-1.3877787807814457e-16,-2.7755575615628914e-16,5.551115123125783e-17,0.05000000000000001,0.2973493794598797,False,1.0,114,116,230,2021-11-30,0.05,4.1666666666666665e-05,2021-11-30,-0.00833373141847149,0.0033750000000000004,0.045188807914075375,,0.0,-0.00833373141847149,0.0005524103581162626,0.0009607754322169668,0.4,0.04700895545707548,
2021-12-31,0.0523944495976558,0.03030558272754903,0.02208886687010678,1.9532232672339864,5.551115123125783e-17,-3.3306690738754696e-16,1.3877787807814457e-16,0.05000000000000001,0.29934044967746326,False,1.0,117,123,240,2021-12-31,0.06,4.9999999999999996e-05,2021-12-31,0.04361287497262989,0.0033833333333333337,0.04906111626432247,0.12785623330746737,0.0,0.0,0.0006131188235319361,0.0009651099665426073,0.4,0.05081622080758126,0.13272134175884834
2022-01-31,0.042115771295423585,-0.07295592533691676,0.11507169663234033,1.9999999999999991,2.7755575615628914e-17,2.7755575615628914e-17,5.551115123125783e-17,0.05000000000000003,0.2854782608479636,False,1.0,119,127,246,2022-01-31,0.15,0.000125,2022-01-31,-0.05258508910699977,0.0034583333333333337,0.03878243796209025,-0.1193497330437655,0.0,-0.05258508910699977,0.0005770786538357689,0.0010116585085139177,0.3999999999999998,0.040527034133073896,-0.11939301229394061
2022-02-28,0.007803777296201336,0.02350705007975517,-0.015703272783553837,1.9999999999999993,5.551115123125783e-17,1.3877787807814457e-16,-4.163336342344337e-16,0.05,0.2766764663048844,False,1.0,127,132,259,2022-02-28,0.33,0.000275,2022-02-28,-0.03136052086678265,0.0036083333333333336,0.004470443962868002,-0.04815434662898125,0.0,-0.08229651418956074,0.0005379103575462602,0.0010403712822702215,0.39999999999999997,0.006225495656384854,-0.04801477049484165
2022-03-31,-0.014176808131721381,0.014495291344560613,-0.02867209947628199,1.9999999999999987,2.7755575615628914e-17,-1.1102230246251565e-16,-3.885780586188048e-16,0.05,0.27168432051133073,False,1.0,129,125,254,2022-03-31,0.44,0.00036666666666666667,2022-03-31,0.03577323877328009,0.0037,-0.017510141465054713,-0.0972775508616218,-0.014176808131721286,-0.04946728826859237,0.0005369814654415187,0.001027600031870135,0.4,-0.015741389629033035,-0.09728354871099512
2022-04-30,0.08775919858180947,-0.09005095866216771,0.17781015724397714,1.9999999999999991,-1.1102230246251565e-16,3.3306690738754696e-16,-5.551115123125783e-17,0.05,0.26428818743811583,False,1.0,132,122,254,2022-04-30,0.76,0.0006333333333333333,2022-04-30,-0.08795671914903935,0.003966666666666667,0.08442586524847615,-0.3996135547006692,0.0,-0.13307302703632662,0.0005591823392698695,0.001009046773056364,0.4,0.08619096946948324,-0.3995625855931297
2022-05-31,0.033300812769329696,0.0008053100803899409,0.03249550268893976,1.9454648535156256,1.6653345369377348e-16,-3.885780586188048e-16,5.551115123125783e-17,0.050000000000000044,0.22660069559471996,False,1.0,138,126,264,2022-05-31,0.98,0.0008166666666666666,2022-05-31,5.324388360872234e-05,0.00415,0.029967479435996362,-0.4010688443745576,0.0,-0.1330268684774809,0.0005634148917176803,0.0010044440969289524,0.3999999999999999,0.03173295378068307,-0.40105097576287696
2022-06-30,-0.011884087052112694,-0.10279565979246313,0.09091157274035043,1.9999999999999993,1.1102230246251565e-16,0.0,3.885780586188048e-16,0.05,0.23547277477500358,False,1.0,138,127,265,2022-06-30,1.49,0.0012416666666666667,2022-06-30,-0.08391999322386645,0.004575,-0.015217420385446028,-0.22923623826898376,-0.011884087052112746,-0.20578324780012514,0.0004993515955603164,0.0010416065176844338,0.3999999999999999,-0.013425045165357445,-0.22933186694716712
2022-07-31,-0.02120946602042112,0.10855085864244983,-0.12976032466287096,2.000000000000001,0.0,0.0,-1.1102230246251565e-16,0.05000000000000002,0.29111703387083215,False,1.0,148,131,279,2022-07-31,2.23,0.0018583333333333334,2022-07-31,0.09111634763220589,0.005191666666666667,-0.024542799353754453,-0.2936129298103925,-0.032841497932018404,-0.1334171181113598,0.0005595653014321923,0.0010782329062741416,0.3999999999999999,-0.022847264228127454,-0.2939551482950166
2022-08-31,-0.06112551570117504,-0.056829033945173205,-0.004296481756001829,1.9999999999999991,0.0,5.551115123125783e-17,1.1102230246251565e-16,0.05000000000000002,0.275030827420843,False,1.0,136,123,259,2022-08-31,2.63,0.002191666666666667,2022-08-31,-0.04244011921681046,0.005525,-0.06445884903450837,-0.18331180509564082,-0.09195956013569984,-0.17019499892996082,0.0005368608763643219,0.0009949262580620768,0.39999999999999997,-0.06265730283560143,-0.18374270095420905
2022-09-30,0.03493963415689518,-0.08686311404687018,0.12180274820376538,2.0,1.1102230246251565e-16,0.0,5.551115123125783e-17,0.05000000000000001,0.2697015723582216,False,1.0,139,124,263,2022-09-30,3.13,0.0026083333333333336,2022-09-30,-0.09339570164348932,0.005941666666666667,0.03160630082356185,-0.20632598986404482,-0.06023295936717499,-0.24769521923217352,0.0005608459577638888,0.0009832437573299678,0.3999999999999998,0.03339554444180133,-0.20676154037589295
