target_month,permno,ticker,company_name,sector,weight,ret_exc_lead1m,pred,raw_me,raw_beta_60m,raw_betabab_1260d
2021-01-31,10397,WERN,WERNER ENTERPRISES INC,20,-0.01,0.00046400000000000006,-0.0016070209617056914,2664.29304,0.7128258276167048,0.5188936101917758
2021-01-31,10516,ADM,ARCHER DANIELS MIDLAND CO,30,-0.01,-0.007980999999999999,-0.0015098752087334916,28047.569489999998,0.8030839518074745,0.7205563783363119
2021-01-31,12060,GE,GENERAL ELECTRIC CO,20,-0.01,-0.011156999999999999,-0.0018195556403693613,94606.6284,1.070598031014061,1.0022922001789938
2021-01-31,12373,HHC,HOWARD HUGHES CORP,60,-0.01,0.091681,-0.0023198104268635816,4335.07239,1.5155344419759238,1.23877374676364
2021-01-31,12374,IPHI,INPHI CORP,45,0.01,0.05068,0.0039056037360681367,8612.90631,1.0406785166107444,0.7692851349391691
2021-01-31,12591,APO,APOLLO GLOBAL MANAGEMENT INC,40,0.01,-0.062112,0.0021149192050678653,11207.40768,1.5128226992657994,1.2964158066167397
2021-01-31,12639,CSOD,CORNERSTONE ONDEMAND INC,45,0.01,-0.071345,0.004231408160366246,2859.3410400000002,1.2901046658581021,1.0117863603099149
2021-01-31,13046,UI,UBIQUITI INC,45,-0.009999999999999974,0.105803,-0.0005569237538215252,17487.08588,1.4041781886050269,0.6701796588411056
2021-01-31,13169,ZNGA,ZYNGA INC,50,0.01,0.004007,0.0028052694133503405,10675.391999999998,0.2382275711985728,0.4875533455299876
2021-01-31,13201,REGI,RENEWABLE ENERGY GROUP INC,10,-0.01,0.265133,-0.002676962455788583,2785.7047,1.1975609373411216,0.9349475811429431
2021-01-31,13326,MTSI,MACOM TECHNOLOGY SOLS HLDS INC,45,0.01,0.033021,0.003128125772275507,3761.6537599999997,2.216339123309515,0.9907505850551114
2021-01-31,13447,NOW,SERVICENOW INC,45,0.01,-0.013253999999999998,0.003259967808467536,107388.89299999998,1.0981779849383966,0.7665271882379673
2021-01-31,13511,PANW,PALO ALTO NETWORKS INC,45,0.01,-0.013101999999999999,0.004037179531241737,34837.10475,1.4455245872851226,0.6390585377895878
2021-01-31,13600,QLYS,QUALYS INC,45,-0.01,0.136165,-0.0006089408926425021,4783.76311,0.7641704192101966,0.6391386177466166
2021-01-31,13628,WDAY,WORKDAY INC,45,0.01,-0.050461,0.0031801151217921643,43129.8,1.4062712489570242,0.8344528934744994
2021-01-31,13641,FANG,DIAMONDBACK ENERGY INC,10,-0.01,0.171235,-0.0036023220708706967,7651.459199999999,2.478484558638127,1.5309768424567702
2021-01-31,13688,PCG,P G & E CORP,55,-0.01,-0.082711,-0.0014724553550085695,24727.69236,1.2635775104268134,0.48721329015771164
2021-01-31,13936,PVH,P V H CORP,25,0.01,-0.091962,0.0007798957785641659,6675.579,2.217741543799219,1.6542285989691752
2021-01-31,13947,BLUE,BLUEBIRD BIO INC,35,-0.01,0.029536,-0.0031042527776278753,2874.5126400000004,1.8283633207178933,0.7865551399245306
2021-01-31,13983,COTY,COTY INC,30,-0.01,-0.092639,-0.0035567200332194755,5376.6390599999995,2.204559040210624,1.3285571276227874
2021-01-31,14044,AGIO,AGIOS PHARMACEUTICALS INC,35,-0.01,0.083961,-0.0027176093123434477,3002.50902,1.7693863182657281,0.7070999765233422
2021-01-31,14076,MUSA,MURPHY USA INC,25,-0.01,-0.048185,-0.001759909782560717,3738.6941600000005,0.914488282295764,0.474439002722676
2021-01-31,14097,FOXF,FOX FACTORY HOLDING CORP,25,0.01,0.13173,0.001672887443671981,4418.8894199999995,1.7390404185740984,1.1077402444133984
2021-01-31,14102,SFM,SPROUTS FARMERS MARKET INC,30,-0.01,0.12682000000000002,-0.0021278611950007924,2370.8553,0.27225829219618597,0.31801048107542795
2021-01-31,14136,RNG,RINGCENTRAL INC,45,0.01,-0.01601,0.003490625118368754,30062.932160000004,0.7079236658507883,0.7747581520220707
2021-01-31,14159,FEYE,FIREEYE INC,45,-0.01,-0.089378,-0.0009340990934794283,5435.011399999999,1.2308787925067757,0.9905661120637461
2021-01-31,14182,BURL,BURLINGTON STORES INC,25,0.01,-0.048412,0.0021609554224905,17325.072,0.7413815106200924,0.8771272257010783
2021-01-31,14231,VEEV,VEEVA SYSTEMS INC,35,0.01,0.015344,0.0031107417553695527,37127.277,0.817982546324916,0.6585415741251102
2021-01-31,14245,FATE,FATE THERAPEUTICS INC,35,0.01,-0.003345,0.0017871290748948014,7976.56146,1.8743570000425298,0.8538756718972064
2021-01-31,14273,CHGG,CHEGG INC,25,0.01,0.054532000000000004,0.0033254555293354936,11635.49763,1.0083530124956446,0.7385517356561901
2021-01-31,14295,TWTR,TWITTER INC,50,0.01,-0.066897,0.0021668863186261583,43068.2025,0.8596834450570252,0.7552443077847978
2021-01-31,14325,TNDM,TANDEM DIABETES CARE INC,35,0.01,-0.031714,0.003478082663978222,5964.2128,0.31200963753477,0.46170019699268094
2021-01-31,14432,ITCI,INTRA CELLULAR THERAPIES INC,35,-0.01,0.010960000000000001,-0.0014564435718961567,2558.7234,1.4376033889258455,0.6259678979471113
2021-01-31,14472,VRNS,VARONIS SYSTEMS INC,45,0.01,0.080389,0.003758329828995169,5205.9065900000005,1.1572374047167338,0.8136401890380032
2021-01-31,14516,QTWO,Q 2 HOLDINGS INC,45,0.01,0.011493000000000001,0.0032717955697342317,6817.81599,1.6240808899192105,0.9015389257900563
2021-01-31,14596,FIVN,FIVE 9 INC,45,0.01,-0.046778,0.0041649847264619,11594.112000000001,0.5435795227964453,0.5206934846742635
2021-01-31,14608,SABR,SABRE CORP,45,-0.01,-0.10320700000000001,-0.002561326805177801,3813.90994,2.084864317147646,2.1322325231105066
