target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,-0.007541887954357547,0.021228034421796965,-0.028769922376154507,1.9999999999999982,2.7755575615628914e-17,0.0,-3.191891195797325e-16,0.05,0.18500000000000003,False,1.0,101,102,203,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.01087522128769088,,-0.007541887954357507,-0.011136640158463607,0.0015299999999999992,0.0004899999999999994,1.9999999999999984,-0.009561887954357544,
2021-02-28,-0.03774350584257352,0.060264163670610243,-0.09800766951318376,1.9999999999999987,-2.7755575615628914e-17,-2.706168622523819e-16,-5.551115123125783e-17,0.05,0.1865790519057021,False,1.0,104,108,212,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.041076839175906855,,-0.045000736504861694,0.0,0.00034032207411497045,0.00048757538295903945,0.40000000000000013,-0.038571403299647526,
2021-03-31,0.030120692151760574,0.0656811251715669,-0.03556043301980633,1.9999999999999987,-4.85722573273506e-17,8.326672684688674e-17,1.1102230246251565e-16,0.05,0.1814066552549234,False,1.0,107,109,216,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.02678735881842724,,-0.016235497683966593,0.0,0.000323836404630977,0.0004840386162792622,0.3999999999999999,0.029312817130850335,
2021-04-30,0.04572310354513298,0.04715107454773945,-0.0014279710026064783,1.9999999999999987,2.7755575615628914e-17,-2.0816681711721685e-16,-1.3877787807814457e-16,0.05000000000000001,0.177149433775721,False,1.0,107,111,218,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.04238977021179965,,0.0,0.0,0.00031643110196371763,0.0004883381197348279,0.3999999999999999,0.044918334323434436,
2021-05-31,-0.006745022328661542,0.018612750562265017,-0.025357772890926555,1.999999999999999,5.551115123125783e-17,3.608224830031759e-16,-1.3877787807814457e-16,0.050000000000000024,0.17861932518437068,False,1.0,106,113,219,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,-0.010078355661994876,,-0.006745022328661698,0.0,0.0003304306087644628,0.0004912637050429586,0.4,-0.007566716642468964,
2021-06-30,-0.009377205124084957,0.009832562715840347,-0.019209767839925295,1.999999999999999,1.3877787807814457e-17,-3.122502256758253e-16,-2.7755575615628914e-16,0.05000000000000002,0.1826122910685723,False,1.0,107,113,220,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.012710538457418291,,-0.01605897799480427,0.0,0.0003426238479452684,0.0004846161698165581,0.4,-0.010204445141846784,
2021-07-31,0.05754026625492095,-0.0021587714126626418,0.059699037667583596,1.9999999999999991,-2.7755575615628914e-17,-4.0939474033052647e-16,-3.3306690738754696e-16,0.05000000000000001,0.18465983500491356,False,1.0,109,114,223,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.05420693292158762,,0.0,0.0,0.00033338301062273287,0.0005019915334065885,0.3999999999999999,0.05670489171089163,
2021-08-31,0.007438051976428873,0.02859961040860369,-0.021161558432174824,1.999999999999999,-1.457167719820518e-16,1.97758476261356e-16,4.510281037539698e-16,0.05,0.18505663240831552,False,1.0,110,115,225,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.004104718643095539,,0.0,0.0,0.0003419206726368936,0.0004973694049379984,0.3999999999999998,0.006598761898853981,
2021-09-30,-0.043509161574573824,-0.04512063635844576,0.0016114747838719354,1.9999999999999991,0.0,-6.938893903907228e-17,2.0816681711721685e-16,0.05,0.19094857606415555,False,1.0,109,113,222,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.04684249490790716,,-0.04350916157457374,-0.047569140421166445,0.0003230717915032243,0.0005183279788776993,0.40000000000000013,-0.04435056134495475,
2021-10-31,0.00585035133408464,0.049094848068007936,-0.043244496733923304,1.9999999999999987,6.938893903907228e-17,5.551115123125783e-17,-2.0816681711721685e-16,0.05,0.2057494409704527,False,1.0,110,114,224,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.0025170180007513068,,-0.03791335412195185,0.0,0.0003211884305529117,0.0005067254565740738,0.3999999999999999,0.005022437446957654,
2021-11-30,0.01621803989514971,-0.02467614667126503,0.04089418656641474,1.9999999999999991,1.1102230246251565e-16,1.1102230246251565e-16,-1.1102230246251565e-16,0.05,0.22908014968431858,False,1.0,109,113,222,2021-11-30,0.05,4.1666666666666665e-05,2021-11-30,-0.00833373141847149,0.0033750000000000004,0.012884706561816377,,-0.02231019451651095,-0.00833373141847149,0.0003357276863940108,0.0005096433624382952,0.4,0.015372668846317404,
2021-12-31,0.013260127371160958,0.0566754278969041,-0.04341530052574314,1.9999999999999991,-1.1102230246251565e-16,-4.163336342344337e-17,-3.0531133177191805e-16,0.05,0.22475034123884277,False,1.0,112,115,227,2021-12-31,0.06,4.9999999999999996e-05,2021-12-31,0.04361287497262989,0.0033833333333333337,0.009926794037827624,0.4917967751155144,-0.009345903166314118,0.0,0.00035299824455128757,0.0005106964504270886,0.39999999999999997,0.012396432676182581,0.49530671933709125
2022-01-31,-0.013768547557002991,-0.0802784701718752,0.06650992261487222,1.9999999999999987,5.551115123125783e-17,0.0,4.440892098500626e-16,0.05000000000000002,0.23064997539455456,False,1.0,111,111,222,2022-01-31,0.15,0.000125,2022-01-31,-0.05258508910699977,0.0034583333333333337,-0.017101880890336325,0.42197138428110265,-0.022985771211108674,-0.05258508910699977,0.0003140141448353222,0.0005260595525836036,0.39999999999999997,-0.014608621254421916,0.4221202288924019
2022-02-28,-0.0454595564032755,-0.014243453598386224,-0.031216102804889283,1.9999999999999993,4.163336342344337e-17,-3.469446951953614e-16,-1.8041124150158794e-16,0.05000000000000001,0.21217239946382507,False,1.0,119,112,231,2022-02-28,0.33,0.000275,2022-02-28,-0.03136052086678265,0.0036083333333333336,-0.048792889736608835,0.5356963801940667,-0.06740040465153985,-0.08229651418956074,0.0003474093337403646,0.0005248443118743085,0.3999999999999999,-0.04633181004889017,0.5359264975886425
2022-03-31,-0.02876986797432263,0.003316643217769521,-0.03208651119209215,1.9999999999999998,5.551115123125783e-17,0.0,-2.220446049250313e-16,0.05000000000000001,0.20334577887230348,False,1.0,123,112,235,2022-03-31,0.44,0.00036666666666666667,2022-03-31,0.03577323877328009,0.0037,-0.03210320130765596,0.4549817841902346,-0.09423117188262187,-0.04946728826859237,0.00036317532944777416,0.0005282549590022276,0.3999999999999999,-0.029661298262772633,0.45508901322124723
