Date,PERMNO,TICKER,COMPANY NAME,WEIGHT
2021-01-01,10107,MSFT,MICROSOFT CORP,1.0
2021-01-01,10397,WERN,WERNER ENTERPRISES INC,1.0
2021-01-01,10874,BC,BRUNSWICK CORP,1.0
2021-01-01,11786,SIVB,S V B FINANCIAL GROUP,1.0
2021-01-01,11809,CLH,CLEAN HARBORS INC,1.0
2021-01-01,12062,LH,LABORATORY CORP AMERICA HLDGS,1.0
2021-01-01,12476,TRGP,TARGA RESOURCES CORP,1.0
2021-01-01,12981,FBHS,FORTUNE BRANDS HOME & SECUR INC,1.0
2021-01-01,13046,UI,UBIQUITI INC,1.0
2021-01-01,13407,FB,FACEBOOK INC,1.0
2021-01-01,13721,ABBV,ABBVIE INC,1.0
2021-01-01,13788,ZTS,ZOETIS INC,1.0
2021-01-01,13802,APAM,ARTISAN PARTNERS ASSET MGMT INC,1.0
2021-01-01,13837,EVTC,EVERTEC INC,1.0
2021-01-01,13901,MO,ALTRIA GROUP INC,1.0
2021-01-01,14008,AMGN,AMGEN INC,1.0
2021-01-01,14406,ESI,ELEMENT SOLUTIONS INC,1.0
2021-01-01,14702,AMAT,APPLIED MATERIALS INC,1.0
2021-01-01,14795,TKR,TIMKEN CO,1.0
2021-01-01,14926,CDK,C D K GLOBAL INC,1.0
2021-01-01,16736,VST,VISTRA CORP,1.0
2021-01-01,17929,UGI,U G I CORP NEW,1.0
2021-01-01,18163,PG,PROCTER & GAMBLE CO,1.0
2021-01-01,20482,ABT,ABBOTT LABORATORIES,1.0
2021-01-01,20512,CACI,CACI INTERNATIONAL INC,1.0
2021-01-01,22111,JNJ,JOHNSON & JOHNSON,1.0
2021-01-01,25953,DOV,DOVER CORP,1.0
2021-01-01,27430,CTB,COOPER TIRE & RUBBER CO,1.0
2021-01-01,29209,ARW,ARROW ELECTRONICS INC,1.0
2021-01-01,34032,MAS,MASCO CORP,1.0
2021-01-01,35124,CLGX,CORELOGIC INC,1.0
2021-01-01,38295,SPB,SPECTRUM BRANDS HOLDINGS INC NEW,1.0
2021-01-01,48653,HUM,HUMANA INC,1.0
2021-01-01,48725,UNP,UNION PACIFIC CORP,1.0
2021-01-01,49154,TGT,TARGET CORP,1.0
2021-01-01,49680,DHR,DANAHER CORP,1.0
2021-01-01,50948,SMTC,SEMTECH CORP,1.0
2021-01-01,55976,WMT,WALMART INC,1.0
2021-01-01,56223,LPX,LOUISIANA PACIFIC CORP,1.0
2021-01-01,57904,AFL,AFLAC INC,1.0
2021-01-01,58771,RBC,REGAL BELOIT CORP,1.0
2021-01-01,61241,AMD,ADVANCED MICRO DEVICES INC,1.0
2021-01-01,61313,DCI,DONALDSON INC,1.0
2021-01-01,62092,TMO,THERMO FISHER SCIENTIFIC INC,1.0
2021-01-01,62148,CSX,C S X CORP,1.0
2021-01-01,62498,WST,WEST PHARMACEUTICAL SERVICES INC,1.0
2021-01-01,64194,CHE,CHEMED CORP NEW,1.0
2021-01-01,65307,RPM,R P M INTERNATIONAL INC,1.0
2021-01-01,65402,AOS,SMITH A O CORP,1.0
