,value,profitability,investment_issuance_accruals,quality,surprise,volatility_beta,liquidity,dtc
2015,-0.004,0.0349,-0.0583,0.0168,0.0894,0.0974,0.0785,0.0
2016,0.1399,-0.0045,0.0821,-0.0641,-0.0183,-0.0476,0.0583,0.0
2017,-0.0389,0.0765,-0.0234,0.0241,0.0526,0.0063,0.0041,0.0
2018,-0.1463,0.0268,0.0356,0.0245,0.0205,0.1293,0.0017,-0.008
2019,-0.0172,0.0703,-0.0394,-0.0765,-0.0298,-0.0554,0.0032,0.0273
2020,-0.3582,0.0514,-0.1504,0.0202,-0.0192,-0.2079,-0.1502,-0.0709
2021,0.1797,0.1279,0.1592,-0.0395,0.0392,-0.0648,0.0028,0.0769
2022,0.1815,-0.0169,0.1368,-0.0531,0.0861,0.1251,0.0933,0.0882
2023,-0.028,0.0687,0.0582,0.0437,-0.0091,-0.1902,-0.0002,0.0427
2024,0.0117,0.0383,-0.0862,0.0159,0.0402,0.0203,-0.0053,0.0439
2025,-0.0228,-0.112,-0.0669,0.0198,-0.0458,-0.1254,-0.0225,0.0978
2026,0.1106,-0.0055,0.0574,-0.0048,0.0348,-0.182,0.0862,-0.0057
