m,value,profitability,investment_issuance_accruals,quality,surprise,volatility_beta,liquidity,dtc,composite_B1
2015,0.0054,0.0329,-0.0432,0.0405,0.0739,0.071,0.0582,,0.0777
2016,0.0727,-0.0193,0.0195,-0.0273,-0.0251,-0.0288,0.0251,,0.0037
2017,-0.0007,0.0615,-0.014,0.0492,0.0346,0.0385,0.0019,,0.0555
2018,-0.0592,0.0266,0.0187,0.0257,0.0131,0.0669,0.0154,-0.0028,0.0332
2019,0.001,0.0148,-0.0074,-0.0207,-0.0226,-0.0295,-0.0055,0.0218,-0.0065
2020,-0.1109,0.0054,-0.0505,-0.0226,0.0038,-0.0574,-0.036,-0.0308,-0.0799
2021,0.0943,0.0558,0.0663,0.0429,0.018,0.0271,0.0169,0.0498,0.0855
2022,0.0739,-0.0094,0.0533,0.0053,0.0188,0.0972,0.0348,0.0352,0.0831
2023,0.0205,0.0414,0.0118,0.0245,-0.0181,-0.0495,-0.0116,0.02,0.01
2024,0.0251,0.0428,-0.0157,0.0405,0.022,0.0696,0.0003,0.0436,0.0694
2025,0.0168,-0.0152,-0.0096,-0.0067,-0.0112,-0.0293,-0.0247,0.0622,-0.0007
2026,0.0569,-0.0025,0.0281,-0.0022,-0.0005,-0.0229,0.0375,-0.0177,0.0147
