utc,experiment,family,variant,hypothesis,params,discovery_window,selection_window,eval_window,test_touched,n_variants_in_family,ic,ic_t,ir_net,ir_gross,max_dd_net,paired_net_t_vs_base,decision,reason
2026-09-24T08:30:08+00:00,desk_13_baseline_freeze,baseline,B0_default,freeze the committed default system,"{""system"": {""factors"": ""composite+dtc"", ""lp"": ""lc_t10"", ""si_cap"": true, ""text_mode"": ""advisory"", ""text_params"": {}}}",n/a,n/a,dev,False,1,0.0111,0.7155,-0.7574,-0.6422,-0.2999,,baseline,descriptive
2026-09-24T08:30:11+00:00,desk_13_baseline_freeze,baseline,B0_default,freeze the committed default system,"{""system"": {""factors"": ""composite+dtc"", ""lp"": ""lc_t10"", ""si_cap"": true, ""text_mode"": ""advisory"", ""text_params"": {}}}",n/a,n/a,test,True,1,0.0455,2.3871,0.6366,0.7209,-0.0979,,baseline,descriptive baseline freeze; test already seen in desk_09/10
2026-09-24T08:32:43+00:00,desk_14_si_history_extension,si_extension,B0_frozen,dtc/SI cap on unseen 2018-2020 months,"{""cap"": true, ""extended"": false}",none (fixed),none,dev,False,5,0.0111,0.7155,-0.7574,-0.6422,-0.2999,,,
2026-09-24T08:32:49+00:00,desk_14_si_history_extension,si_extension,B0x_extended,dtc/SI cap on unseen 2018-2020 months,"{""cap"": true, ""extended"": true}",none (fixed),none,dev,False,5,0.0128,0.8500,-0.7112,-0.5804,-0.2513,,,
2026-09-24T08:32:51+00:00,desk_14_si_history_extension,si_extension,B0x_nocap,dtc/SI cap on unseen 2018-2020 months,"{""cap"": false, ""extended"": true}",none (fixed),none,dev,False,5,0.0128,0.8500,-1.0025,-0.8887,-0.3917,,,
2026-09-24T08:32:53+00:00,desk_14_si_history_extension,si_extension,comp_only_nocap,dtc/SI cap on unseen 2018-2020 months,"{""cap"": false, ""extended"": true}",none (fixed),none,dev,False,5,0.0106,0.6790,-0.8722,-0.7665,-0.3688,,,
2026-09-24T08:32:58+00:00,desk_14_si_history_extension,si_extension,comp_only_cap_ext,dtc/SI cap on unseen 2018-2020 months,"{""cap"": true, ""extended"": true}",none (fixed),none,dev,False,5,0.0106,0.6790,-0.6484,-0.5247,-0.2629,,,
2026-09-24T08:34:35+00:00,desk_15_data_audit,audit_delist,baseline_with_delist_rows,target availability must not define the universe,"{""fill"": 0.0}",n/a,n/a,dev,False,1,0.0113,0.7333,-0.8551,-0.7422,-0.3389,,correction,"audit correction of the baseline, no selection"
2026-09-24T08:34:41+00:00,desk_15_data_audit,audit_delist,baseline_with_delist_rows,target availability must not define the universe,"{""fill"": 0.0}",n/a,n/a,test,True,1,0.0454,2.3942,0.6598,0.7431,-0.0960,,correction,"audit correction of the baseline, no selection"
2026-09-24T08:35:56+00:00,desk_17_regime_attribution,attribution,B1_dev,descriptive attribution,{},n/a,n/a,dev,False,1,,,,,,,descriptive,"descriptive, no selection"
2026-09-24T08:35:59+00:00,desk_17_regime_attribution,attribution,B1_test,descriptive attribution,{},n/a,n/a,test,True,1,,,,,,,descriptive,"descriptive, no selection"
2026-09-24T08:42:52+00:00,desk_19_signal_construction,signal_construction,V0_B1,JKP literature-signed themes vs frozen composite,"{""variant"": ""V0_B1""}",dev,dev,dev,False,5,0.0131,0.8707,-0.6680,-0.5386,-0.2443,nan,reference,
2026-09-24T08:42:52+00:00,desk_19_signal_construction,signal_construction,V1_frozen7,JKP literature-signed themes vs frozen composite,"{""variant"": ""V1_frozen7""}",dev,dev,dev,False,5,0.0108,0.6968,-0.5992,-0.4767,-0.2436,0.3957,no evidence,
2026-09-24T08:42:52+00:00,desk_19_signal_construction,signal_construction,V2_jkp13_rank,JKP literature-signed themes vs frozen composite,"{""variant"": ""V2_jkp13_rank""}",dev,dev,dev,False,5,0.0066,0.4823,-0.5016,-0.3656,-0.1756,0.6382,no evidence,
2026-09-24T08:42:53+00:00,desk_19_signal_construction,signal_construction,V3_jkp13_z,JKP literature-signed themes vs frozen composite,"{""variant"": ""V3_jkp13_z""}",dev,dev,dev,False,5,0.0062,0.4326,-0.3856,-0.2409,-0.1388,0.8516,no evidence,
2026-09-24T08:42:53+00:00,desk_19_signal_construction,signal_construction,V4_jkp13_dtc,JKP literature-signed themes vs frozen composite,"{""variant"": ""V4_jkp13_dtc""}",dev,dev,dev,False,5,0.0070,0.5253,-0.6925,-0.5451,-0.2254,0.2520,no evidence,
2026-09-24T08:42:53+00:00,desk_19_signal_construction,signal_construction,V5_zoo146,JKP literature-signed themes vs frozen composite,"{""variant"": ""V5_zoo146""}",dev,dev,dev,False,5,0.0036,0.2484,-0.5790,-0.4576,-0.2648,0.1863,rejected,
2026-09-24T08:44:17+00:00,desk_18_noise_floor,noise_floor,jitter+mix,construction noise floor,"{""n_runs"": 90}",n/a,n/a,dev,False,1,,,,,,,diagnostic,
2026-09-24T08:48:41+00:00,desk_20_portfolio_construction,construction,V0_C0,construction with fixed signal,"{""arm"": ""C0"", ""signal"": ""V0""}",dev,dev,dev,False,6,,,-0.6680,-0.5386,-0.2443,nan,reference,
2026-09-24T08:48:41+00:00,desk_20_portfolio_construction,construction,V0_C1,construction with fixed signal,"{""arm"": ""C1"", ""signal"": ""V0""}",dev,dev,dev,False,6,,,-0.8475,-0.7004,-0.2209,-0.3830,no evidence,
2026-09-24T08:48:41+00:00,desk_20_portfolio_construction,construction,V0_C2,construction with fixed signal,"{""arm"": ""C2"", ""signal"": ""V0""}",dev,dev,dev,False,6,,,-0.9685,-0.7849,-0.1954,-0.0645,no evidence,
2026-09-24T08:48:41+00:00,desk_20_portfolio_construction,construction,V0_C3,construction with fixed signal,"{""arm"": ""C3"", ""signal"": ""V0""}",dev,dev,dev,False,6,,,-1.2503,-1.0682,-0.2660,-1.1145,no evidence,
2026-09-24T08:48:41+00:00,desk_20_portfolio_construction,construction,V0_C4,construction with fixed signal,"{""arm"": ""C4"", ""signal"": ""V0""}",dev,dev,dev,False,6,,,-0.8375,-0.6583,-0.1962,0.2245,no evidence,
2026-09-24T08:48:41+00:00,desk_20_portfolio_construction,construction,V0_C5,construction with fixed signal,"{""arm"": ""C5"", ""signal"": ""V0""}",dev,dev,dev,False,6,,,-0.1317,0.0142,-0.0812,3.1897,no evidence,
2026-09-24T08:48:41+00:00,desk_20_portfolio_construction,construction,V0_C6,construction with fixed signal,"{""arm"": ""C6"", ""signal"": ""V0""}",dev,dev,dev,False,6,,,-0.9839,-0.8627,-0.3584,-3.1197,rejected,
2026-09-24T08:48:41+00:00,desk_20_portfolio_construction,construction,V3_C0,construction with fixed signal,"{""arm"": ""C0"", ""signal"": ""V3""}",dev,dev,dev,False,6,,,-0.3856,-0.2409,-0.1388,nan,reference,
2026-09-24T08:48:41+00:00,desk_20_portfolio_construction,construction,V3_C1,construction with fixed signal,"{""arm"": ""C1"", ""signal"": ""V3""}",dev,dev,dev,False,6,,,-0.4555,-0.2951,-0.1244,-0.0573,no evidence,
