target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,-0.056050427026769364,0.005008372559769649,-0.061058799586539016,1.999999999999998,6.938893903907228e-18,2.5673907444456745e-16,-6.869504964868156e-16,0.05,0.20500000000000002,False,1.0,101,101,202,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.0593837603601027,,-0.05605042702676932,-0.011136640158463607,0.0016499999999999991,0.0005012499999999997,1.9999999999999987,-0.058201677026769365,
2021-02-28,0.0008047419582564125,0.07188997656112056,-0.07108523460286414,1.9999999999999987,2.0816681711721685e-17,-7.077671781985373e-16,1.491862189340054e-16,0.05000000000000001,0.2075726384665666,False,1.0,105,103,208,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.002528591375076921,,-0.05529079119891955,0.0,0.00036605787423328335,0.0005001284951550478,0.4000000000000001,-6.144441113191867e-05,
2021-03-31,-0.06640307407759122,-0.015145150325305792,-0.051257923752285425,1.9999999999999987,-2.2551405187698492e-17,-1.457167719820518e-16,-2.6020852139652106e-16,0.05,0.2027993663178308,False,1.0,107,106,213,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,-0.06973640741092454,,-0.11802238677272026,0.0,0.0003548415865999833,0.0005013077592994176,0.4,-0.06725922342349062,
2021-04-30,0.0723123374810028,0.06665401367486985,0.005658323806132947,1.9999999999999984,0.0,5.724587470723463e-16,4.128641872824801e-16,0.05,0.17705837810400266,False,1.0,111,106,217,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.06897900414766947,,-0.05424452395433976,0.0,0.0003501016721803687,0.000499447898791627,0.3999999999999999,0.0714627879100308,
2021-05-31,-0.04868047402357366,-0.011020538426183701,-0.037659935597389935,1.9999999999999984,3.469446951953614e-17,9.020562075079397e-17,5.551115123125783e-17,0.05000000000000001,0.17737974996949013,False,1.0,110,108,218,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,-0.05201380735690699,,-0.10028434883863313,0.0,0.00033037733546428143,0.0005075058885617757,0.4,-0.04951835724759972,
2021-06-30,-0.01376402773181008,0.0352552391777891,-0.04901926690959917,1.999999999999999,9.71445146547012e-17,-2.7755575615628914e-17,8.326672684688674e-17,0.05,0.18115580786019148,False,1.0,111,109,220,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.017097361065143413,,-0.11266806001196172,0.0,0.00035297932162277226,0.0005060046289049675,0.40000000000000013,-0.014623011682337818,
2021-07-31,0.04860670913018708,-0.022156377480151913,0.07076308661033898,1.999999999999999,6.245004513516506e-17,1.249000902703301e-16,1.3877787807814457e-17,0.05000000000000002,0.1903747229875672,False,1.0,110,108,218,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.04527337579685375,,-0.06953777450303844,0.0,0.0003573090548363655,0.0004992672932514168,0.40000000000000013,0.0477501327820993,
2021-08-31,0.01688073035380311,0.031097517319247387,-0.014216786965444284,1.9999999999999993,-7.28583859910259e-17,-2.42861286636753e-16,-6.245004513516506e-17,0.05000000000000001,0.19711317774031642,False,1.0,112,109,221,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.013547397020469774,,-0.0538308925700246,0.0,0.000366910379748702,0.0004999621733138805,0.40000000000000013,0.016013857800740525,
2021-09-30,-0.036501414914297876,-0.03653831446593642,3.689955163854856e-05,1.9999999999999987,-4.163336342344337e-17,-3.2612801348363973e-16,4.163336342344337e-17,0.05,0.22399881618906767,False,1.0,112,109,221,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.03983474824763121,,-0.0883674037394171,-0.047569140421166445,0.00034275605938498065,0.0005132934273111032,0.40000000000000013,-0.03735746440099396,
2021-10-31,0.03078569980562435,0.07139927665020326,-0.040613576844578905,1.999999999999999,1.43982048506075e-16,3.5041414214731503e-16,-3.191891195797325e-16,0.05000000000000001,0.22196922927587415,False,1.0,112,109,221,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.027452366472291018,,-0.0603021562979168,0.0,0.00035524153853427925,0.0005215965200986208,0.3999999999999999,0.029908861746991453,
2021-11-30,0.0134359526774311,-0.0527589805883664,0.06619493326579752,1.999999999999999,1.9081958235744878e-17,-5.551115123125783e-17,4.822531263215524e-16,0.05000000000000002,0.2427811960745164,False,1.0,111,108,219,2021-11-30,0.05,4.1666666666666665e-05,2021-11-30,-0.00833373141847149,0.0033750000000000004,0.010102619344097766,,-0.04767642053885168,-0.00833373141847149,0.00035294449040172444,0.0005051295930107785,0.4000000000000001,0.012577878594018595,
2021-12-31,-0.008309708675482672,0.016350238696186365,-0.02465994737166903,1.9999999999999991,1.5265566588595902e-16,-1.0408340855860843e-16,-7.28583859910259e-17,0.05000000000000001,0.22243658646123773,False,1.0,114,111,225,2021-12-31,0.06,4.9999999999999996e-05,2021-12-31,0.04361287497262989,0.0033833333333333337,-0.011643042008816006,0.6241163133020264,-0.05558995204896666,0.0,0.00035407808674061027,0.000502947754360876,0.3999999999999998,-0.009166734516584158,0.6276709086983984
2022-01-31,-0.023519732714249238,-0.10519331556272364,0.08167358284847438,1.9999999999999991,2.3592239273284576e-16,-2.7755575615628914e-17,-6.938893903907228e-17,0.05000000000000001,0.21305363402204788,False,1.0,114,109,223,2022-01-31,0.15,0.000125,2022-01-31,-0.05258508910699977,0.0034583333333333337,-0.02685306604758257,0.4469639174939497,-0.07780222394942626,-0.05258508910699977,0.0003420298903068008,0.0005049478493203985,0.3999999999999998,-0.024366710453876436,0.4468399333011665
2022-02-28,-0.03296514254444733,-0.002549962759780959,-0.03041517978466637,1.9999999999999991,1.3877787807814457e-16,-2.2898349882893854e-16,-2.3592239273284576e-16,0.05000000000000001,0.21020645467519855,False,1.0,122,113,235,2022-02-28,0.33,0.000275,2022-02-28,-0.03136052086678265,0.0036083333333333336,-0.036298475877780664,0.47381477291788626,-0.1082026050911058,-0.08229651418956074,0.0003456362059444354,0.0005081655072517669,0.3999999999999999,-0.033818944257643535,0.4737034579463761
2022-03-31,-0.02579484549318504,0.015086566082439396,-0.040881411575624436,1.999999999999999,9.8879238130678e-17,-1.3877787807814457e-16,1.8041124150158794e-16,0.05,0.22034256077728318,False,1.0,123,110,233,2022-03-31,0.44,0.00036666666666666667,2022-03-31,0.03577323877328009,0.0037,-0.029128178826518376,0.5666559284216308,-0.13120638110400562,-0.04946728826859237,0.00034288294406769536,0.0005109259300931675,0.3999999999999999,-0.026648654367345904,0.5665453748003163
2022-04-30,0.002894937205682579,-0.10552756672303724,0.10842250392871984,1.9999999999999987,2.5500435096859064e-16,2.706168622523819e-16,-2.7755575615628914e-17,0.05000000000000002,0.20443244201143695,False,1.0,120,110,230,2022-04-30,0.76,0.0006333333333333333,2022-04-30,-0.08795671914903935,0.003966666666666667,-0.00043839612765075473,0.2320259179220982,-0.12869127813260406,-0.13307302703632662,0.00033440849553298743,0.0005105166438963112,0.3999999999999998,0.00205001206625328,0.23189093294793098
