rule,avg_n_features,min_n_features,max_n_features,test_ic_investable,test_ic_investable_t,test_ic_all_stocks,oos_r2_pct,pm_free_ir_gross,pm_free_ir_net,pm_free_beta,pm_free_beta_t,pm_free_short_leg_cagr_pct,pm_free_long_leg_cagr_pct,pm_t10_ir_gross,pm_t10_ir_net,pm_t10_beta,pm_t10_beta_t,pm_t10_short_leg_cagr_pct,pm_t10_long_leg_cagr_pct
all139,139.0,139,139,0.023322310982827388,1.5254191607289136,0.12216415298472469,-0.02107722435753523,-0.7778918213438685,-0.9715680196550943,-0.16333202978915679,-1.1018883169461644,-18.685984014214597,5.070896773405575,-0.6254363117147956,-0.7233283403875628,-0.19530150974999935,-1.3834550134764336,-17.89312604041122,7.986971388181963
decorr,104.83333333333333,103,106,0.021900730077762394,1.4664026015804685,0.12007695910849032,-0.020986725694704944,-0.5481510328141009,-0.7301146341636275,-0.13202171587202904,-0.8445946989019693,-17.42971113103978,7.087691899346571,-0.6803591148965217,-0.7788673928112453,-0.13445239918290514,-0.9479025961763093,-18.50302847366413,7.5175194335527
ic_top30,30.0,30,30,0.033904608114617395,2.276515553584314,0.1337915433783938,0.007924805756653885,-0.16428710912198755,-0.4034260547612855,0.026279858251936315,0.203204955695156,-10.746406119162199,8.61063671606952,-0.2614123270994592,-0.3814843679930848,0.01395124280602195,0.11264355432121619,-11.573886799709143,8.419125046401877
decorr_ic_top30,30.0,30,30,0.031852066566777235,2.0123521978887666,0.1303394279073516,-0.013474248344591544,-0.5082121561191268,-0.7217780693827675,0.0038889208395026936,0.029607703076184606,-15.031796458882019,7.916814930801586,-0.46844053540984243,-0.5840868081332364,-0.05558065936607124,-0.43234516517846977,-14.234301429227457,7.908993197089953
sign_stable,13.166666666666666,10,18,0.03010687204804215,2.2367898242695285,0.10560806071476297,-0.03841947105449606,-0.3136834125111223,-0.5523769561388099,0.0025298732709091824,0.021729682357469488,-12.854803298107809,9.204392836103793,-0.5685713466994897,-0.6915330553340919,-0.1275038631231764,-1.1236125164319268,-13.91611610086384,6.795035309758424
curated12,12.0,12,12,0.03659348000120886,2.2436719210513107,0.12653498835062593,-0.014330310496402099,-0.10877649638711855,-0.30513376250341206,-0.09382728112102662,-0.5808760804592605,-10.453663239076183,7.959403660835895,-0.20879572139743843,-0.29453137038379634,-0.03747063957107691,-0.23990336071120827,-11.87437969341979,7.956258883444667
random30_s0,30.0,30,30,0.02425976500154065,1.4950436232776734,0.11535126105879358,-0.03623775348859937,-0.4604180611978686,-0.6406963134425419,-0.07644106188083744,-0.48629720949946537,-17.168854239563892,8.873077495133908,-0.5115863728913663,-0.6045129585593594,-0.04143979726159541,-0.28378650569442776,-16.15483672024578,7.888316293733633
random30_s1,30.0,30,30,0.025853275303590276,1.6672517610472901,0.12386922057248462,-0.012088481507488424,-0.5198749490020128,-0.7022667174724073,-0.01748964350524974,-0.10803067726315044,-15.125208639964638,4.843929277652159,-0.36076381304913047,-0.4598319010150472,-0.002305816878049701,-0.016365740529492512,-15.093742944504063,9.604655324412036
random30_s2,30.0,30,30,0.02533064098010753,1.658256873243394,0.11735302126025338,-0.01912584274177398,-0.49768245523951066,-0.7422377669423925,-0.0752837143111442,-0.6101816920437347,-14.586514044920818,8.051800148831202,-0.5389834919035343,-0.648790077187505,-0.15016574161389196,-1.2264985012079006,-13.860757922044298,6.751740578014331
random30_s3,30.0,30,30,0.02803752128275227,1.8679057842304336,0.11029581754962979,-0.019826857555438337,-0.380057620862256,-0.5832357195806179,-0.19933427503010037,-1.4877585345242546,-11.513688118554333,5.01768739920152,-0.5402386045117094,-0.6513189804335469,-0.22269763601401243,-1.8004381812407582,-14.209032175454428,6.25708120464461
random30_s4,30.0,30,30,0.024443646517125762,1.5957638949120694,0.10983027130643416,-0.04061520563620746,-0.5576261842829968,-0.7569409849080726,-0.02020683501324235,-0.136156837080217,-15.818149245963763,5.806259777356182,-0.6817420758763424,-0.7827402830216191,-0.11591351200191405,-0.8500602207906506,-19.193722877374086,9.022271351801404
