target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,0.0038260422181349337,0.03006135000000001,-0.026235307781865072,1.999999999999999,7.771561172376096e-16,9.43689570931383e-16,3.608224830031759e-16,0.05,0.20500000000000002,False,1.0,100,102,202,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,0.0004927088848016002,,0.0,-0.011136640158463607,0.0016399999999999995,0.00045999999999999947,1.9999999999999993,0.0017260422181349347,
2021-02-28,-0.017659138680941686,0.05392096430326653,-0.07158010298420822,1.9999999999999987,0.0,-2.7755575615628914e-16,2.7755575615628914e-17,0.05000000000000001,0.21906626181634084,False,1.0,104,104,208,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.02099247201427502,,-0.01765913868094171,0.0,0.0003337317676179232,0.0004541630480365572,0.4,-0.01844703349659617,
2021-03-31,0.09199797869809873,0.07458929967023134,0.017408679027867375,1.9999999999999987,0.0,0.0,1.942890293094024e-16,0.05000000000000001,0.22404413676004503,False,1.0,106,107,213,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.0886646453647654,,0.0,0.0,0.00032945060848129856,0.0004448001303557858,0.39999999999999997,0.09122372795926163,
2021-04-30,0.040679515412935324,0.04814383211233559,-0.007464316699400262,1.9999999999999984,-5.551115123125783e-17,-4.996003610813204e-16,0.0,0.05,0.2369621545862876,False,1.0,105,110,215,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.03734618207960199,,0.0,0.0,0.0003474099165493509,0.0004589849451288827,0.4000000000000001,0.039873120551257094,
2021-05-31,0.04073871032584536,0.01636051480264147,0.02437819552320391,1.999999999999999,-1.1102230246251565e-16,-1.6653345369377348e-16,-3.885780586188048e-16,0.05000000000000002,0.23526042153063753,False,1.0,106,110,216,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.03740537699251203,,0.0,0.0,0.00034762584608490624,0.00046587907593241833,0.39999999999999986,0.03992520540382804,
2021-06-30,-0.0702657463157624,-0.007663593989239588,-0.06260215232652282,1.9999999999999991,0.0,-6.938893903907228e-16,-3.3306690738754696e-16,0.05000000000000001,0.21116012813472246,False,1.0,106,112,218,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.07359907964909573,,-0.07026574631576243,0.0,0.0003427265800911466,0.00046166820060729405,0.4000000000000002,-0.07107014109646084,
2021-07-31,0.06617799010092514,0.007533670714233826,0.0586443193866913,1.9999999999999993,0.0,-1.6653345369377348e-16,-3.3306690738754696e-16,0.05000000000000001,0.2046237055557188,False,1.0,107,108,215,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.06284465676759181,,-0.008737802078955914,0.0,0.0003392991657240101,0.000466042906175413,0.40000000000000024,0.06537264802902572,
2021-08-31,0.01417082442427321,0.024300168667323558,-0.010129344243050342,1.9999999999999991,1.6653345369377348e-16,5.551115123125783e-17,-1.1102230246251565e-16,0.05,0.20253967282915694,False,1.0,108,112,220,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.010837491090939877,,0.0,0.0,0.00032424895105339225,0.00046139087595208165,0.4,0.013385184597267737,
2021-09-30,-0.01690826866188307,-0.0458510194870694,0.02894275082518633,1.999999999999999,1.1102230246251565e-16,-4.440892098500626e-16,2.220446049250313e-16,0.05,0.20477457165727614,False,1.0,108,113,221,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.020241601995216404,,-0.016908268661882997,-0.047569140421166445,0.0003141919721180366,0.00047050869266042914,0.4000000000000001,-0.017692969326661537,
2021-10-31,0.028895564159081753,0.05927637050704448,-0.030380806347962717,1.9999999999999987,-1.1102230246251565e-16,0.0,-5.551115123125783e-17,0.05000000000000001,0.22536933227153108,False,1.0,108,112,220,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.02556223082574842,,0.0,0.0,0.0003305343613979808,0.0004702133427987138,0.40000000000000013,0.02809481645488506,
2021-11-30,0.05494848858251659,-0.008622161029425498,0.06357064961194209,1.9999999999999987,1.1102230246251565e-16,-3.3306690738754696e-16,2.220446049250313e-16,0.05000000000000002,0.22992822387243292,False,1.0,108,111,219,2021-11-30,0.05,4.1666666666666665e-05,2021-11-30,-0.00833373141847149,0.0033750000000000004,0.05161515524918325,,0.0,-0.00833373141847149,0.0003427692548390658,0.00045666235103224894,0.40000000000000013,0.05414905697664527,
2021-12-31,0.07534054327446849,0.06322876156540079,0.012111781709067685,1.9999999999999987,-1.1102230246251565e-16,-1.6653345369377348e-16,-3.3306690738754696e-16,0.05000000000000003,0.21518961614161558,False,1.0,110,114,224,2021-12-31,0.06,4.9999999999999996e-05,2021-12-31,0.04361287497262989,0.0033833333333333337,0.07200720994113516,0.4770404231888092,0.0,0.0,0.0003520245409140645,0.00048178046345065227,0.39999999999999974,0.07450673827010376,0.4806135121456376
