target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,0.005376634306013481,0.03657737752966005,-0.031200743223646566,1.9999999999999982,5.551115123125783e-17,5.551115123125783e-17,-1.1102230246251565e-16,0.05,0.20500000000000002,False,1.0,102,101,203,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,0.0020433009726801474,,0.0,-0.011136640158463607,0.0016340216587977785,0.00046150812204916696,1.9999999999999987,0.0032811045251665352,
2021-02-28,-0.014572167083579172,0.060359551439084495,-0.07493171852266366,1.9999999999999987,1.1102230246251565e-16,-2.7755575615628914e-16,-5.551115123125783e-17,0.05000000000000001,0.21225090989078166,False,1.0,105,105,210,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.017905500416912506,,-0.014572167083579224,0.0,0.00032830245092369936,0.0004499032815947723,0.4,-0.015350372816097644,
2021-03-31,0.09571613003339319,0.07040167899392422,0.025314451039468968,1.9999999999999984,0.0,0.0,3.3306690738754696e-16,0.05,0.22331349551404844,False,1.0,106,105,211,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.09238279670005986,,0.0,0.0,0.0003220280857715194,0.00044779675360596667,0.4,0.0949463051940157,
2021-04-30,0.03731893946959251,0.04392415463238285,-0.006605215162790335,1.9999999999999984,1.6653345369377348e-16,-1.1102230246251565e-16,-1.6653345369377348e-16,0.05,0.23063052124162484,False,1.0,106,108,214,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.03398560613625918,,0.0,0.0,0.0003410418781409363,0.0004617494648852251,0.3999999999999999,0.03651614812656635,
2021-05-31,0.04509833314530169,0.020130781775778678,0.024967551369523007,1.9999999999999991,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-16,0.05,0.23617672609489804,False,1.0,106,109,215,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.04176499981196836,,0.0,0.0,0.00034549901821599217,0.00046846226101791816,0.3999999999999998,0.04428437186606778,
2021-06-30,-0.0752684759449487,-0.007259799969310916,-0.06800867597563778,1.999999999999999,0.0,-6.661338147750939e-16,-4.996003610813204e-16,0.05000000000000001,0.2265461004981713,False,1.0,107,111,218,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.07860180927828203,,-0.07526847594494879,0.0,0.00034288990044352294,0.00046755149886241993,0.40000000000000036,-0.07607891734425465,
2021-07-31,0.07887100395778349,0.016965191745114263,0.06190581221266923,1.9999999999999993,-5.551115123125783e-17,-1.6653345369377348e-16,-3.3306690738754696e-16,0.05,0.21039585211794506,False,1.0,108,109,217,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.07553767062445016,,-0.002333972251315597,0.0,0.0003294604453409482,0.00047118875252513784,0.40000000000000024,0.0780703547599174,
2021-08-31,0.01261796455337124,0.021174900500911465,-0.008556935947540228,1.999999999999999,1.1102230246251565e-16,3.885780586188048e-16,-1.6653345369377348e-16,0.05,0.20892438002707897,False,1.0,112,111,223,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.009284631220037906,,0.0,0.0,0.0003336867921232876,0.0004626726301389151,0.4,0.011821605131109037,
2021-09-30,-0.010278485753580976,-0.04249597365332513,0.03221748789974415,1.999999999999999,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.05,0.20997884023714053,False,1.0,111,111,222,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.01361181908691431,,-0.010278485753580924,-0.047569140421166445,0.0003010151051897912,0.00047193512722289773,0.3999999999999999,-0.011051435985993664,
2021-10-31,0.027132556393677856,0.056943072261836335,-0.029810515868158482,1.9999999999999987,1.1102230246251565e-16,-5.551115123125783e-17,-1.1102230246251565e-16,0.05000000000000002,0.2322345691660179,False,1.0,111,111,222,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.023799223060344522,,0.0,0.0,0.0003532862172656331,0.0004783778847672112,0.4,0.026300892291645013,
