target_month,permno,ticker,company_name,sector,weight,ret_exc_lead1m,pred,raw_me,raw_beta_60m,raw_betabab_1260d
2021-01-31,10032,PLXS,PLEXUS CORP,45,0.01,-0.016540000000000003,0.26115736573657367,2249.7888599999997,1.1194628427421336,1.0054707050505676
2021-01-31,10107,MSFT,MICROSOFT CORP,45,0.01,0.042846,0.34604710471047107,1678381.3199999998,0.7514377161458664,0.9653069837721858
2021-01-31,10138,TROW,T ROWE PRICE GROUP INC,40,0.01,0.033576,0.30055505550555056,34511.621349999994,1.0879939131782328,1.0447748048344314
2021-01-31,10874,BC,BRUNSWICK CORP,25,0.01,0.134004,0.2687143714371437,5972.87032,1.8805612925918593,1.3258398749533549
2021-01-31,10909,CERN,CERNER CORP,35,0.01,0.020724,0.3806818181818182,24003.34344,0.701026959725241,0.5357755381179018
2021-01-31,11533,FICO,FAIR ISAAC CORP,45,0.01,-0.119273,0.24371812181218122,14870.24192,1.1141037057356862,1.1817300873528935
2021-01-31,11786,SIVB,S V B FINANCIAL GROUP,40,0.01,0.128748,0.1641164116411641,20123.723039999997,2.069724952533042,1.2371281473294609
2021-01-31,12062,LH,LABORATORY CORP AMERICA HLDGS,35,0.01,0.124543,0.3620799579957996,19825.770000000004,1.0293470305104602,0.9882130621894952
2021-01-31,12360,PACB,PACIFIC BIOSCIENCES CALIF INC,35,-0.01,0.247063,-0.3002175217521752,4988.106360000001,1.307651614501057,0.7438313715610123
2021-01-31,12981,FBHS,FORTUNE BRANDS HOME & SECUR INC,20,0.01,0.006137,0.21900315031503148,11908.99388,1.5569886933549437,1.2167626051063638
2021-01-31,13046,UI,UBIQUITI INC,45,0.01,0.105803,0.44771977197719776,17487.08588,1.4041781886050269,0.6701796588411056
2021-01-31,13168,TRIP,TRIPADVISOR INC,50,-0.01,0.07604899999999999,-0.3648364836483649,3509.17418,1.403201742892156,1.0926197559484307
2021-01-31,13169,ZNGA,ZYNGA INC,50,-0.01,0.004007,-0.22517251725172518,10675.391999999998,0.2382275711985728,0.4875533455299876
2021-01-31,13262,CCXI,CHEMOCENTRYX INC,35,-0.01,-0.07934200000000001,-0.25198769876987703,4300.46784,1.6713529898853432,0.30377347091897455
2021-01-31,13356,PSX,PHILLIPS 66,10,-0.01,-0.030644,-0.4170417041704171,30549.792,1.5890016332804087,1.290663387444473
