target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,0.0094809384153014,0.03699422801789502,-0.027513289602593624,1.9999999999999982,-2.7755575615628914e-17,4.163336342344337e-16,-6.38378239159465e-16,0.05,0.22385502667351947,False,1.0,101,101,202,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,0.0061476050819680664,,0.0,-0.011136640158463607,0.0015881350092040857,0.00047274252690820425,1.9999999999999984,0.0074200608791891096,
2021-02-28,-0.041069334407626105,0.04708382822750532,-0.08815316263513143,1.9999999999999987,-5.551115123125783e-17,-1.1102230246251565e-16,-2.7755575615628914e-17,0.05,0.22940439,False,1.0,105,105,210,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.04440266774095944,,-0.04106933440762606,0.0,0.0003378693864650844,0.0004741780826299813,0.40000000000000013,-0.04188138187672117,
2021-03-31,0.08758822579772288,0.058056220686070824,0.029532005111652056,1.9999999999999984,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,0.05,0.2192964266559782,False,1.0,108,107,215,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.08425489246438955,,0.0,0.0,0.00032350001485326185,0.0004568466757014034,0.4,0.08680787910716821,
2021-04-30,0.030815782981191135,0.04436870629810056,-0.013552923316909422,1.9999999999999987,-2.220446049250313e-16,-3.3306690738754696e-16,-1.1102230246251565e-16,0.05000000000000003,0.22821586412766803,False,1.0,108,111,219,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.0274824496478578,,0.0,0.0,0.00035068319488254523,0.0004692850598333028,0.3999999999999998,0.02999581472647529,
2021-05-31,0.05863383475503112,0.022338112463300974,0.036295722291730156,1.9999999999999993,2.220446049250313e-16,-2.7755575615628914e-16,2.220446049250313e-16,0.05000000000000002,0.2393986004402167,False,1.0,109,113,222,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.05530050142169778,,0.0,0.0,0.00031594848875835874,0.00046926709536237684,0.39999999999999986,0.05784861917091038,
2021-06-30,-0.06964144302683872,-0.006414098823794189,-0.06322734420304454,1.999999999999999,3.3306690738754696e-16,-3.885780586188048e-16,-1.6653345369377348e-16,0.05000000000000002,0.23716661903278374,False,1.0,110,114,224,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.07297477636017205,,-0.06964144302683883,0.0,0.00032791743667906004,0.00047251679943755725,0.4000000000000001,-0.07044187726295535,
2021-07-31,0.07947833069920407,0.022803365054343633,0.05667496564486042,1.9999999999999991,0.0,-2.220446049250313e-16,-3.3306690738754696e-16,0.05000000000000002,0.2391128000670326,False,1.0,112,111,223,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.07614499736587074,,0.0,0.0,0.00033914382263342674,0.0004698939074806297,0.4,0.07866929296909002,
2021-08-31,0.005140977985394787,0.02248292214197767,-0.01734194415658289,1.999999999999999,1.6653345369377348e-16,0.0,-5.551115123125783e-17,0.05000000000000002,0.24308246312920828,False,1.0,111,114,225,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.0018076446520614536,,0.0,0.0,0.0003334634635987295,0.0004637798437112933,0.3999999999999997,0.004343734678084764,
2021-09-30,-0.00585885847722502,-0.044620531055494184,0.03876167257826915,1.9999999999999991,0.0,-1.6653345369377348e-16,1.6653345369377348e-16,0.05000000000000001,0.2480346736559944,False,1.0,112,114,226,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.009192191810558354,,-0.005858858477225004,-0.047569140421166445,0.0003377235080362812,0.0004700777657179287,0.4000000000000001,-0.0066666597509792294,
2021-10-31,-0.0050135244846601715,0.046261633502029643,-0.05127515798668981,1.9999999999999996,5.551115123125783e-17,2.220446049250313e-16,5.551115123125783e-17,0.05,0.2464822740773927,False,1.0,116,116,232,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,-0.008346857817993505,,-0.010843009431457551,0.0,0.0003468983118756249,0.00047638156349169173,0.3999999999999998,-0.005836804360027488,
2021-11-30,0.05353782581387841,-0.008576741656130444,0.062114567470008854,1.9999999999999996,-2.7755575615628914e-16,-3.885780586188048e-16,2.7755575615628914e-16,0.05,0.24840059379049662,False,1.0,115,117,232,2021-11-30,0.05,4.1666666666666665e-05,2021-11-30,-0.00833373141847149,0.0033750000000000004,0.05020449248054508,,0.0,-0.00833373141847149,0.00034113052829569065,0.00046910390773601473,0.40000000000000013,0.0527275913778467,
2021-12-31,0.07018452687869461,0.05500638960322461,0.015178137275470014,1.9999999999999996,5.551115123125783e-17,-5.551115123125783e-17,-7.216449660063518e-16,0.05,0.2615570391248606,False,1.0,114,120,234,2021-12-31,0.06,4.9999999999999996e-05,2021-12-31,0.04361287497262989,0.0033833333333333337,0.06685119354536129,0.16330748915797785,0.0,0.0,0.00035625443838402696,0.00048662816021573355,0.3999999999999999,0.06934164428009486,0.16671219439163476
2022-01-31,0.034724642305185356,-0.08845151416218675,0.12317615646737211,1.999999999999999,2.7755575615628914e-16,1.1102230246251565e-16,6.661338147750939e-16,0.050000000000000044,0.2645307048764253,False,1.0,114,119,233,2022-01-31,0.15,0.000125,2022-01-31,-0.05258508910699977,0.0034583333333333337,0.03139130897185202,0.040321648445595173,0.0,-0.05258508910699977,0.00034124592021494483,0.0004842000467433345,0.3999999999999998,0.03389919633822708,0.04030082247363117
2022-02-28,-0.00869121767947842,-0.007637486550924422,-0.0010537311285539947,1.9999999999999991,5.551115123125783e-17,-1.1102230246251565e-16,-1.6653345369377348e-16,0.05000000000000003,0.23963613152055746,False,1.0,120,122,242,2022-02-28,0.33,0.000275,2022-02-28,-0.03136052086678265,0.0036083333333333336,-0.012024551012811755,0.17258523305053652,-0.008691217679478447,-0.08229651418956074,0.0003274363595165649,0.00048201310256596776,0.39999999999999974,-0.009500667141560953,0.17256872261261733
2022-03-31,-0.01105199169956322,0.007550431476215945,-0.018602423175779162,1.9999999999999996,8.326672684688674e-17,5.551115123125783e-17,0.0,0.05,0.24487807579493787,False,1.0,119,121,240,2022-03-31,0.44,0.00036666666666666667,2022-03-31,0.03577323877328009,0.0037,-0.014385325032896554,0.014084303924041263,-0.0196471541133888,-0.04946728826859237,0.00031873577699674456,0.00047138563831726574,0.3999999999999999,-0.01184211311487723,0.014041890915152963
2022-04-30,0.0757729491909726,-0.06391974155177639,0.13969269074274898,1.9999999999999996,-1.3877787807814457e-16,1.1102230246251565e-16,-1.6653345369377348e-16,0.05,0.2311632708376305,False,1.0,119,120,239,2022-04-30,0.76,0.0006333333333333333,2022-04-30,-0.08795671914903935,0.003966666666666667,0.07243961585763928,-0.2252416647666872,0.0,-0.13307302703632662,0.00033493750827254373,0.00046814058934584234,0.3999999999999998,0.07496987109335422,-0.2252763611010432
2022-05-31,0.09124133050120661,0.03741942958502183,0.053821900916184794,1.999999999999999,5.551115123125783e-17,1.1102230246251565e-16,-3.3306690738754696e-16,0.05,0.22900073013198094,False,1.0,124,126,250,2022-05-31,0.98,0.0008166666666666666,2022-05-31,5.324388360872234e-05,0.00415,0.08790799716787329,-0.23505835566679076,0.0,-0.1330268684774809,0.0003434849606080891,0.0004790360297968746,0.3999999999999999,0.09041880951080165,-0.235099084281753
2022-06-30,-0.03531426088671008,-0.10920566894289226,0.07389140805618216,1.9999999999999982,2.7755575615628914e-17,-5.551115123125783e-17,1.6653345369377348e-16,0.05000000000000002,0.2392699125474228,False,1.0,119,127,246,2022-06-30,1.49,0.0012416666666666667,2022-06-30,-0.08391999322386645,0.004575,-0.038647594220043414,0.07058410156885131,-0.03531426088671008,-0.20578324780012514,0.0003247698334191941,0.0004692517736825594,0.3999999999999999,-0.03610828249381184,0.07049324394699495
2022-07-31,0.020792136046480735,0.1109939119119006,-0.09020177586541989,1.9999999999999993,1.6653345369377348e-16,-1.1102230246251565e-16,0.0,0.05000000000000001,0.2510720846192176,False,1.0,125,130,255,2022-07-31,2.23,0.0018583333333333334,2022-07-31,0.09111634763220589,0.005191666666666667,0.0174588027131474,-0.0005377102571654516,-0.015256383756966807,-0.1334171181113598,0.0003302533422729737,0.0004932188609886768,0.4,0.019968663843219086,-0.0006402080841716846
