target_month,permno,ticker,company_name,sector,weight,ret_exc_lead1m,pred,raw_me,raw_beta_60m,raw_betabab_1260d
2021-01-31,10104,ORCL,ORACLE CORP,45,0.01,-0.062314999999999995,0.35579777014398684,190449.55946,0.7005355026044503,0.7311521256985656
2021-01-31,10138,TROW,T ROWE PRICE GROUP INC,40,0.01,0.033576,0.27601562908584437,34511.621349999994,1.0879939131782328,1.0447748048344314
2021-01-31,10606,WTS,WATTS WATER TECHNOLOGIES INC,20,0.01,-0.013439999999999999,0.272068858261973,3338.7178000000004,0.8246910681276095,0.9220595193694116
2021-01-31,10874,BC,BRUNSWICK CORP,25,0.01,0.134004,0.2325689449678913,5972.87032,1.8805612925918593,1.3258398749533549
2021-01-31,11786,SIVB,S V B FINANCIAL GROUP,40,0.01,0.128748,0.1950646440790868,20123.723039999997,2.069724952533042,1.2371281473294609
2021-01-31,11809,CLH,CLEAN HARBORS INC,20,0.01,0.017825,0.14864191694398798,4204.2206,1.619508683777794,1.4013313758663108
2021-01-31,12062,LH,LABORATORY CORP AMERICA HLDGS,35,0.01,0.124543,0.39514443416818745,19825.770000000004,1.0293470305104602,0.9882130621894952
2021-01-31,12490,IBM,INTERNATIONAL BUSINESS MACHS COR,45,0.01,-0.053827,0.26312903079298755,112166.25516,1.1771020493984439,0.8415867748794142
2021-01-31,12622,HCA,H C A HEALTHCARE INC,35,0.01,-0.012084999999999999,0.20511626850758471,55649.152500000004,1.4667846068932289,1.0894153746776258
2021-01-31,12981,FBHS,FORTUNE BRANDS HOME & SECUR INC,20,0.01,0.006137,0.20289628733515552,11908.99388,1.5569886933549437,1.2167626051063638
2021-01-31,13046,UI,UBIQUITI INC,45,0.01,0.105803,0.4600592628070147,17487.08588,1.4041781886050269,0.6701796588411056
2021-01-31,13168,TRIP,TRIPADVISOR INC,50,-0.01,0.07604899999999999,-0.34540548091506407,3509.17418,1.403201742892156,1.0926197559484307
2021-01-31,13169,ZNGA,ZYNGA INC,50,-0.01,0.004007,-0.1693673495789946,10675.391999999998,0.2382275711985728,0.4875533455299876
2021-01-31,13262,CCXI,CHEMOCENTRYX INC,35,-0.01,-0.07934200000000001,-0.42886240458908276,4300.46784,1.6713529898853432,0.30377347091897455
2021-01-31,13356,PSX,PHILLIPS 66,10,-0.01,-0.030644,-0.3923257692741751,30549.792,1.5890016332804087,1.290663387444473
2021-01-31,13379,SPLK,SPLUNK INC,45,-0.01,-0.028653,-0.5100100606390915,27474.78069,1.3762157236519486,1.0050083508663148
2021-01-31,13610,OLN,OLIN CORP,15,-0.01,-0.026512,-0.2790535016804433,3877.0907199999997,1.234074032335689,1.292253832403872
2021-01-31,13625,SSTK,SHUTTERSTOCK INC,25,0.01,-0.09363,0.309053955854301,2597.1891,1.017014227831915,0.5065651675575722
2021-01-31,13628,WDAY,WORKDAY INC,45,-0.01,-0.050461,-0.3187714872404671,43129.8,1.4062712489570242,0.8344528934744994
2021-01-31,13688,PCG,P G & E CORP,55,-0.01,-0.082711,-0.2686918003726978,24727.69236,1.2635775104268134,0.48721329015771164
2021-01-31,13721,ABBV,ABBVIE INC,35,0.01,-0.032492,0.3028248237667803,189170.5391,0.8181620710651855,0.5197186924503189
2021-01-31,13739,BFAM,BRIGHT HORIZONS FAM SOL INC NEW,25,-0.01,-0.12155600000000001,-0.4334635986534434,10476.96636,0.785558437256329,1.0731885852116172
2021-01-31,13788,ZTS,ZOETIS INC,35,0.01,-0.06658900000000001,0.2935966647123428,78656.85399999999,0.6336007964762271,0.753767711391835
