target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,0.023162006769279927,0.03970771085819347,-0.01654570408891355,1.9999999999999982,-5.551115123125783e-17,3.885780586188048e-16,-2.7755575615628914e-16,0.05,0.22500000000000003,False,1.0,101,101,202,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,0.019828673435946593,,0.0,-0.011136640158463607,0.001644999999999999,0.00046374999999999975,1.9999999999999987,0.02105325676927993,
2021-02-28,-0.02682306802398921,0.05557477406827562,-0.0823978420922648,1.9999999999999987,5.551115123125783e-17,-6.106226635438361e-16,5.551115123125783e-17,0.05000000000000001,0.22325320000000004,False,1.0,104,108,212,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.030156401357322542,,-0.02682306802398926,0.0,0.0003522240531709626,0.00046065145166275116,0.40000000000000013,-0.027635943528822923,
2021-03-31,0.11295878782210136,0.07011965510561814,0.042839132716483236,1.9999999999999987,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,0.05,0.2163385864634485,False,1.0,107,109,216,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.10962545448876804,,0.0,0.0,0.00033668846405308494,0.0004446428742255251,0.3999999999999999,0.11217745648382275,
2021-04-30,0.022952894301523283,0.04167822443194762,-0.01872533013042433,1.999999999999999,-5.551115123125783e-17,-3.3306690738754696e-16,2.220446049250313e-16,0.05000000000000002,0.21197034383997673,False,1.0,109,113,222,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.01961956096818995,,0.0,0.0,0.0003564581927433444,0.000452533909839896,0.3999999999999999,0.02214390219894004,
2021-05-31,0.0576015976671818,0.03080770294759209,0.0267938947195897,1.999999999999999,0.0,0.0,0.0,0.05000000000000001,0.2337608959588967,False,1.0,109,110,219,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.054268264333848466,,0.0,0.0,0.00033136263408148646,0.00046152479211326533,0.4,0.05680871024098705,
2021-06-30,-0.0779314963917468,-0.005940654014424448,-0.07199084237732234,1.9999999999999991,-5.551115123125783e-17,-4.996003610813204e-16,-2.220446049250313e-16,0.05000000000000001,0.25145655218611773,False,1.0,110,112,222,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.08126482972508013,,-0.07793149639174668,0.0,0.0003367483253190054,0.0004661623929321154,0.4000000000000001,-0.07873440710999792,
2021-07-31,0.06192937069563642,0.011957820572629988,0.049971550123006435,1.999999999999999,1.1102230246251565e-16,-1.6653345369377348e-16,-2.7755575615628914e-16,0.05000000000000001,0.24359890819312763,False,1.0,111,110,221,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.05859603736230309,,-0.020828374225020374,0.0,0.0003317517061221804,0.0004640956812111148,0.4000000000000002,0.06113352330830313,
2021-08-31,0.02317199215498919,0.024060620131791666,-0.0008886279768024765,1.9999999999999987,5.551115123125783e-17,2.7755575615628914e-16,0.0,0.05,0.23354522009249995,False,1.0,111,114,225,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.019838658821655857,,0.0,0.0,0.000337766051467639,0.00046321317365178156,0.39999999999999986,0.02237101292986977,
2021-09-30,-0.015877285849668805,-0.0468719172643402,0.030994631414671393,1.9999999999999996,-1.1102230246251565e-16,0.0,7.216449660063518e-16,0.05000000000000001,0.22128951856524334,False,1.0,112,111,223,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.01921061918300214,,-0.015877285849668743,-0.047569140421166445,0.00035332510606266986,0.0004790304887504643,0.3999999999999999,-0.01670964144448194,
2021-10-31,0.005559939801700397,0.050236884442783555,-0.044676944641083155,1.999999999999999,0.0,-1.1102230246251565e-16,-1.6653345369377348e-16,0.050000000000000024,0.2349017751830396,False,1.0,114,113,227,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.0022266064683670633,,-0.01040562280150703,0.0,0.0003382965368538049,0.00047388130712527324,0.3999999999999999,0.004747761957721319,
2021-11-30,0.07451064965422312,-0.0005284104233593098,0.07503906007758245,1.9999999999999991,0.0,-2.7755575615628914e-16,-1.1102230246251565e-16,0.05,0.23987115293252523,False,1.0,112,113,225,2021-11-30,0.05,4.1666666666666665e-05,2021-11-30,-0.00833373141847149,0.0033750000000000004,0.07117731632088979,,0.0,-0.00833373141847149,0.00035671748990035693,0.00046742267475395816,0.40000000000000013,0.0736865094895688,
2021-12-31,0.07744862840018286,0.05452504424866491,0.022923584151517958,2.0000000000000004,5.551115123125783e-17,1.1102230246251565e-16,-8.326672684688674e-16,0.05000000000000001,0.23267448202475477,False,1.0,116,119,235,2021-12-31,0.06,4.9999999999999996e-05,2021-12-31,0.04361287497262989,0.0033833333333333337,0.07411529506684954,0.2369896147080954,0.0,0.0,0.00036688726357686903,0.000491001144679139,0.39999999999999986,0.07659073999192686,0.2407705275157663
2022-01-31,0.049405165022886416,-0.08031986614881954,0.12972503117170595,1.9999999999999991,-5.551115123125783e-17,1.6653345369377348e-16,2.220446049250313e-16,0.05000000000000001,0.23864746694863181,False,1.0,113,115,228,2022-01-31,0.15,0.000125,2022-01-31,-0.05258508910699977,0.0034583333333333337,0.04607183168955308,0.06719619388482868,0.0,-0.05258508910699977,0.00032891949428785836,0.0004789759754738024,0.3999999999999999,0.04859726955312475,0.06726347907310735
2022-02-28,-0.008906470028045848,0.009179084838913335,-0.018085554866959175,1.9999999999999993,5.551115123125783e-17,1.1102230246251565e-16,-2.220446049250313e-16,0.05,0.2139245936705797,False,1.0,119,120,239,2022-02-28,0.33,0.000275,2022-02-28,-0.03136052086678265,0.0036083333333333336,-0.012239803361379182,0.20389754905538343,-0.008906470028045788,-0.08229651418956074,0.0003496945719898808,0.0004816025850379219,0.3999999999999997,-0.00973776718507365,0.20401012433100535
2022-03-31,-0.013028458492340182,0.0034249949683200693,-0.016453453460660253,1.9999999999999993,1.1102230246251565e-16,-3.3306690738754696e-16,0.0,0.05,0.2175481389610788,False,1.0,119,117,236,2022-03-31,0.44,0.00036666666666666667,2022-03-31,0.03577323877328009,0.0037,-0.016361791825673516,-0.0007244839459646431,-0.021818890945312308,-0.04946728826859237,0.00035392381793477993,0.00047599250779151295,0.39999999999999986,-0.013858374818066475,-0.0006899831009451847
2022-04-30,0.07861030029000406,-0.05900144716572653,0.13761174745573063,1.999999999999999,-2.498001805406602e-16,2.220446049250313e-16,-4.440892098500626e-16,0.049999999999999996,0.2133938478564314,False,1.0,118,113,231,2022-04-30,0.76,0.0006333333333333333,2022-04-30,-0.08795671914903935,0.003966666666666667,0.07527696695667073,-0.2168896161150743,0.0,-0.13307302703632662,0.0003483799388612884,0.00048701039919335856,0.3999999999999997,0.07777490995194941,-0.21681080331137195
2022-05-31,0.08052035880183242,0.03718363207266952,0.04333672672916291,1.999999999999999,2.7755575615628914e-16,-5.551115123125783e-17,-2.7755575615628914e-16,0.05000000000000001,0.20942953654237983,False,1.0,122,115,237,2022-05-31,0.98,0.0008166666666666666,2022-05-31,5.324388360872234e-05,0.00415,0.0771870254684991,-0.225603628934349,0.0,-0.1330268684774809,0.00035539976921275296,0.000497601153369631,0.3999999999999999,0.07966735787925003,-0.2255311732660893
2022-06-30,-0.03974097348871019,-0.11496940975165418,0.07522843626294401,1.9999999999999991,8.326672684688674e-17,1.6653345369377348e-16,1.1102230246251565e-16,0.05,0.22083858092384262,False,1.0,120,116,236,2022-06-30,1.49,0.0012416666666666667,2022-06-30,-0.08391999322386645,0.004575,-0.04307430682204352,0.10634825547334771,-0.039740973488710196,-0.20578324780012514,0.0003313459945266841,0.000488867334894258,0.39999999999999974,-0.04056118681813113,0.10637550043902776
2022-07-31,0.007214894669907348,0.1095894587104012,-0.10237456404049386,1.9999999999999991,-1.942890293094024e-16,1.6653345369377348e-16,-1.6653345369377348e-16,0.05000000000000002,0.2171032385962326,False,1.0,125,120,245,2022-07-31,2.23,0.0018583333333333334,2022-07-31,0.09111634763220589,0.005191666666666667,0.0038815613365740143,0.0018601311241366058,-0.0328128057566035,-0.1334171181113598,0.00033457596909833623,0.000511834406278471,0.40000000000000024,0.00636848429453054,0.0018079292060268078
2022-08-31,-0.057365791995523524,-0.04855305379304678,-0.00881273820247674,1.9999999999999987,-8.326672684688674e-17,3.885780586188048e-16,-2.7755575615628914e-16,0.05000000000000002,0.22375214110528896,False,1.0,118,116,234,2022-08-31,2.63,0.002191666666666667,2022-08-31,-0.04244011921681046,0.005525,-0.06069912532885686,0.08176023776997887,-0.08829626516230416,-0.17019499892996082,0.00036626032608682863,0.0005008760313685004,0.39999999999999997,-0.05823292835297886,0.0817133366833798
2022-09-30,0.00872578818113708,-0.09844678957437816,0.10717257775551525,1.9999999999999993,2.7755575615628914e-17,-5.551115123125783e-17,2.7755575615628914e-17,0.05000000000000001,0.21870306753005514,False,1.0,122,118,240,2022-09-30,3.13,0.0026083333333333336,2022-09-30,-0.09339570164348932,0.005941666666666667,0.005392454847803745,0.06447244306085886,-0.0803409314881588,-0.24769521923217352,0.00035510985730913573,0.0004952963910342091,0.39999999999999986,0.007875381932793734,0.06446285247855547
2022-10-31,0.07533046221045267,0.12501544625002706,-0.04968498403957436,1.9192255483863687,3.3306690738754696e-16,2.7755575615628914e-16,-5.551115123125783e-17,0.05000000000000003,0.19451338529300066,False,1.0,123,121,244,2022-10-31,3.72,0.0031000000000000003,2022-10-31,0.07986345457689326,0.006433333333333334,0.07199712887711934,0.1999676445729905,-0.011062588781127314,-0.18761356054534262,0.00037289733650357085,0.00047595486596253313,0.39999999999999997,0.07448161000798656,0.19988876254322216
2022-11-30,0.03224340520894088,0.07635003384127981,-0.044106628632338926,1.9999999999999996,1.1102230246251565e-16,1.942890293094024e-16,-5.551115123125783e-17,0.05,0.20418531909793888,False,1.0,120,119,239,2022-11-30,4.15,0.0034583333333333337,2022-11-30,0.053752860293699856,0.006791666666666667,0.028910071875607547,0.18968522385721223,0.0,-0.14394546576084022,0.000348771350971728,0.000493912111559442,0.3999999999999999,0.03140072174640971,0.18960834095867607
2022-12-31,0.006664832515014877,-0.06794260157590652,0.07460743409092138,1.9999999999999987,1.942890293094024e-16,-3.3306690738754696e-16,3.608224830031759e-16,0.05000000000000001,0.21486027470203006,False,1.0,113,118,231,2022-12-31,4.25,0.003541666666666667,2022-12-31,-0.058971449299161094,0.006875000000000001,0.0033314991816815434,0.14136160545517473,0.0,-0.19442824232404177,0.00033172973635183607,0.0004866317564945039,0.4000000000000001,0.005846471022168537,0.14128393051763058
2023-01-31,-0.010059606711446557,0.10181508295698871,-0.11187468966843528,1.9999999999999991,1.1102230246251565e-16,-2.220446049250313e-16,1.1102230246251565e-16,0.05000000000000002,0.20831339943981764,False,1.0,118,120,238,2023-01-31,4.54,0.0037833333333333334,2023-01-31,0.06175283240005203,0.007116666666666667,-0.01339294004477989,0.12219553605816409,-0.010059606711446456,-0.144681904586063,0.00034075865879666846,0.0004857584252258998,0.39999999999999986,-0.010886123795469124,0.12216308348760241
2023-02-28,0.021518215145463798,-0.011963141882761912,0.0334813570282257,1.999999999999999,8.326672684688674e-17,-1.1102230246251565e-16,1.942890293094024e-16,0.05000000000000001,0.2002532110067833,False,1.0,112,115,227,2023-02-28,4.65,0.0038750000000000004,2023-02-28,-0.026112446646715304,0.007208333333333334,0.018184881812130464,0.10871989701532866,0.0,-0.16701635271852955,0.00034813227142644254,0.0004708680379415919,0.40000000000000013,0.020699214836095763,0.10868242135852914
