target_month,permno,ticker,company_name,sector,weight,ret_exc_lead1m,pred,raw_me,raw_beta_60m,raw_betabab_1260d
2021-01-31,10026,JJSF,J & J SNACK FOODS CORP,30,-0.01,-0.017488,-0.1471272127212721,2945.19372,0.5432015330160845,0.7569793109940579
2021-01-31,10107,MSFT,MICROSOFT CORP,45,0.01,0.042846,0.34222172217221725,1678381.3199999998,0.7514377161458664,0.9653069837721858
2021-01-31,10397,WERN,WERNER ENTERPRISES INC,20,0.01,0.00046400000000000006,0.36371137113711366,2664.29304,0.7128258276167048,0.5188936101917758
2021-01-31,10874,BC,BRUNSWICK CORP,25,0.01,0.134004,0.26275127512751273,5972.87032,1.8805612925918593,1.3258398749533549
2021-01-31,11786,SIVB,S V B FINANCIAL GROUP,40,0.01,0.128748,0.18043054305430542,20123.723039999997,2.069724952533042,1.2371281473294609
2021-01-31,11809,CLH,CLEAN HARBORS INC,20,0.01,0.017825,0.25658190819081905,4204.2206,1.619508683777794,1.4013313758663108
2021-01-31,12062,LH,LABORATORY CORP AMERICA HLDGS,35,0.01,0.124543,0.34115286528652866,19825.770000000004,1.0293470305104602,0.9882130621894952
2021-01-31,12089,RP,REALPAGE INC,45,-0.01,-0.007726,-0.23833633363336335,8910.2574,1.1731092920295045,0.7598525918203841
2021-01-31,12476,TRGP,TARGA RESOURCES CORP,10,0.01,0.041273000000000004,0.038928892889288885,6041.36294,2.920360757999242,1.7679686843332878
2021-01-31,12639,CSOD,CORNERSTONE ONDEMAND INC,45,-0.01,-0.071345,-0.23777377737773775,2859.3410400000002,1.2901046658581021,1.0117863603099149
2021-01-31,12872,MPC,MARATHON PETROLEUM CORP,10,-0.01,0.043474000000000006,-0.4320807080708071,26910.925359999997,2.127262034536111,1.6226276458155102
2021-01-31,12981,FBHS,FORTUNE BRANDS HOME & SECUR INC,20,0.01,0.006137,0.32003825382538253,11908.99388,1.5569886933549437,1.2167626051063638
2021-01-31,13046,UI,UBIQUITI INC,45,0.01,0.105803,0.27400240024002404,17487.08588,1.4041781886050269,0.6701796588411056
2021-01-31,13262,CCXI,CHEMOCENTRYX INC,35,-0.01,-0.07934200000000001,-0.46148364836483646,4300.46784,1.6713529898853432,0.30377347091897455
2021-01-31,13323,ENPH,ENPHASE ENERGY INC,45,-0.010000000000000002,0.039163,-0.2637826282628263,22628.96214,1.5819578937095875,1.0404748342566696
2021-01-31,13356,PSX,PHILLIPS 66,10,-0.01,-0.030644,-0.3111686168616862,30549.792,1.5890016332804087,1.290663387444473
2021-01-31,13379,SPLK,SPLUNK INC,45,-0.01,-0.028653,-0.4090534053405341,27474.78069,1.3762157236519486,1.0050083508663148
2021-01-31,13407,FB,FACEBOOK INC,50,0.01,-0.054336999999999996,0.28335958595859584,657222.9600000001,1.0928055514495965,0.7698208597551152
2021-01-31,13511,PANW,PALO ALTO NETWORKS INC,45,-0.01,-0.013101999999999999,-0.28277827782778275,34837.10475,1.4455245872851226,0.6390585377895878
2021-01-31,13527,FIVE,FIVE BELOW INC,25,-0.01,0.00424,-0.23788628862886288,9776.482559999999,1.1457823076917684,1.0330988655242699
2021-01-31,13610,OLN,OLIN CORP,15,-0.01,-0.026512,-0.2541629162916291,3877.0907199999997,1.234074032335689,1.292253832403872
2021-01-31,13688,PCG,P G & E CORP,55,-0.01,-0.082711,-0.2987923792379238,24727.69236,1.2635775104268134,0.48721329015771164
2021-01-31,13704,NEO,NEOGENOMICS INC,35,-0.01,-0.015276,-0.3574482448244824,6034.118,0.7892339352927114,0.7708426083361324
2021-01-31,13721,ABBV,ABBVIE INC,35,0.01,-0.032492,0.26548904890489045,189170.5391,0.8181620710651855,0.5197186924503189
2021-01-31,13739,BFAM,BRIGHT HORIZONS FAM SOL INC NEW,25,-0.01,-0.12155600000000001,-0.2670642064206421,10476.96636,0.785558437256329,1.0731885852116172
2021-01-31,13788,ZTS,ZOETIS INC,35,0.01,-0.06658900000000001,0.27289603960396036,78656.85399999999,0.6336007964762271,0.753767711391835
2021-01-31,13802,APAM,ARTISAN PARTNERS ASSET MGMT INC,40,0.01,-0.038584,0.21669666966696666,3092.1848400000003,1.8262464109018182,1.1445580154093862
2021-01-31,13837,EVTC,EVERTEC INC,45,0.01,-0.11754300000000001,0.38195694569456945,2827.3832399999997,1.0794372136514747,0.7975360042026252
2021-01-31,13901,MO,ALTRIA GROUP INC,30,0.01,0.001905,0.3898702370237023,76195.179,0.4842372416213392,0.5035487669705467
2021-01-31,13962,NSTG,NANOSTRING TECHNOLOGIES INC,35,-0.01,0.047053000000000005,-0.49369936993699376,2972.2140799999997,1.7754903660984647,0.9591282338829676
2021-01-31,13967,PTCT,P T C THERAPEUTICS INC,35,-0.01,-0.052642999999999995,-0.2886663666366637,4254.88954,1.2474694502563581,0.39477193492405116
2021-01-31,14008,AMGN,AMGEN INC,35,0.01,0.050015000000000004,0.3473784878487849,132962.73599999998,0.696204529229762,0.60362006469616
2021-01-31,14044,AGIO,AGIOS PHARMACEUTICALS INC,35,-0.01,0.083961,-0.48481098109810983,3002.50902,1.7693863182657281,0.7070999765233422
2021-01-31,14054,MRTX,MIRATI THERAPEUTICS INC,35,-0.01,-0.065198,-0.4551080108010801,11078.42196,1.6330422940401863,0.4134858044082861
2021-01-31,14136,RNG,RINGCENTRAL INC,45,-0.01,-0.01601,-0.4572457245724572,30062.932160000004,0.7079236658507883,0.7747581520220707
2021-01-31,14176,XLRN,ACCELERON PHARMA INC,35,-0.01,-0.097045,-0.2809593459345935,7725.52896,0.6182252141640905,0.7352028078292407
2021-01-31,14182,BURL,BURLINGTON STORES INC,25,-0.01,-0.048412,-0.3577107710771077,17325.072,0.7413815106200924,0.8771272257010783
2021-01-31,14263,VCYT,VERACYTE INC,35,-0.01,0.15851600000000002,-0.4398064806480648,2848.3569399999997,0.7680461779538272,1.0309282544418075
2021-01-31,14295,TWTR,TWITTER INC,50,-0.01,-0.066897,-0.22115961596159617,43068.2025,0.8596834450570252,0.7552443077847978
2021-01-31,14325,TNDM,TANDEM DIABETES CARE INC,35,-0.01,-0.031714,-0.3249699969997,5964.2128,0.31200963753477,0.46170019699268094
2021-01-31,14329,ARMK,ARAMARK,25,-0.01,-0.108934,-0.5121137113711371,9771.14944,1.7431793927644843,1.3405206909942995
2021-01-31,14338,HLT,HILTON WORLDWIDE HOLDINGS INC,25,-0.01,-0.088757,-0.3170567056705671,30868.641960000004,1.2644486565959472,0.9860341620218894
2021-01-31,14359,XNCR,XENCOR INC,35,-0.01,0.048544000000000004,-0.30798079807980805,2524.99899,0.9361891335281135,0.7676117040508225
2021-01-31,14406,ESI,ELEMENT SOLUTIONS INC,15,0.01,-0.039527,0.21326507650765075,4383.08649,1.807282599421268,0.9830239138900946
2021-01-31,14432,ITCI,INTRA CELLULAR THERAPIES INC,35,-0.01,0.010960000000000001,-0.4716096609660966,2558.7234,1.4376033889258455,0.6259678979471113
2021-01-31,14436,RARE,ULTRAGENYX PHARMACEUTICALS INC,35,-0.01,0.0011099999999999999,-0.409053405340534,9249.75417,2.177356111982855,0.9130576007011579
2021-01-31,14472,VRNS,VARONIS SYSTEMS INC,45,-0.01,0.080389,-0.33794629462946296,5205.9065900000005,1.1572374047167338,0.8136401890380032
2021-01-31,14596,FIVN,FIVE 9 INC,45,-0.01,-0.046778,-0.27951545154515456,11594.112000000001,0.5435795227964453,0.5206934846742635
2021-01-31,14634,PE,PARSLEY ENERGY INC,10,-0.01,0.15435100000000002,-0.44625712571257126,5492.6168,2.152147461942106,1.2727524077879382
2021-01-31,14641,ZEN,ZENDESK INC,45,-0.01,0.00778,-0.2788966396639664,16698.812240000003,1.318486272369096,0.8495732906965444
2021-01-31,14702,AMAT,APPLIED MATERIALS INC,45,0.01,0.12023199999999999,0.25375037503750375,78939.5593,1.4248117263497069,1.1951525679584223
2021-01-31,14782,TRUP,TRUPANION INC,40,-0.01,-0.062781,-0.3533978397839784,4722.67921,1.9653225991143524,0.8850907781141591
2021-01-31,14795,TKR,TIMKEN CO,20,0.01,-0.022021000000000002,0.28272202220222026,5829.54016,1.703537306116197,1.3040821197637773
2021-01-31,14797,CDNA,CAREDX INC,35,-0.01,0.054888,-0.21958445844584457,3582.0004500000005,0.8721430419632636,0.6009600247934247
2021-01-31,14811,FWONK,LIBERTY MEDIA CORP 3RD NEW,50,-0.01,-0.05568,-0.26344509450945086,8670.7188,1.2331988702305523,0.9467043507272865
2021-01-31,14882,CZR,CAESARS ENTERTAINMENT INC DE,25,-0.01,-0.052287999999999994,-0.5835583558355835,15451.79923,3.0424346067170727,2.2568779443145357
2021-01-31,14926,CDK,C D K GLOBAL INC,45,0.01,-0.037283,0.3166066606660666,6312.893999999999,1.3118936925001585,0.815928225266571
