target_month,permno,ticker,company_name,sector,weight,ret_exc_lead1m,pred,raw_me,raw_beta_60m,raw_betabab_1260d
2021-01-31,10107,MSFT,MICROSOFT CORP,45,0.01,0.042846,0.6244637379146306,1678381.3199999998,0.7514377161458664,0.9653069837721858
2021-01-31,10138,TROW,T ROWE PRICE GROUP INC,40,0.01,0.033576,0.515417463518319,34511.621349999994,1.0879939131782328,1.0447748048344314
2021-01-31,10318,BCPC,BALCHEM CORP,15,0.01,-0.07112700000000001,0.5881234518330822,3730.0170599999997,0.5354193110095943,0.5958483572945513
2021-01-31,10516,ADM,ARCHER DANIELS MIDLAND CO,30,-0.01,-0.007980999999999999,-0.3611779323362383,28047.569489999998,0.8030839518074745,0.7205563783363119
2021-01-31,11369,UBSI,UNITED BANKSHARES INC,40,0.01,-0.022886,0.5590944890202548,4185.723599999999,1.306016014379081,1.08256320451195
2021-01-31,11403,CDNS,CADENCE DESIGN SYSTEMS INC,45,0.01,-0.044317999999999996,0.5422739275651665,38060.42282,0.9836449613284751,0.8692103701863912
2021-01-31,11691,MATX,MATSON INC,20,0.01,0.049629,0.48405550906017714,2454.21063,0.9445265153709382,0.8763342849425991
2021-01-31,11786,SIVB,S V B FINANCIAL GROUP,40,0.01,0.128748,0.2780793396123304,20123.723039999997,2.069724952533042,1.2371281473294609
2021-01-31,11809,CLH,CLEAN HARBORS INC,20,0.01,0.017825,0.34719713106834105,4204.2206,1.619508683777794,1.4013313758663108
2021-01-31,11850,XOM,EXXON MOBIL CORP,10,-0.01,0.08777499999999999,-0.4951474020576477,174287.80548,1.2943147338581358,1.0287427082222942
2021-01-31,11896,MXIM,MAXIM INTEGRATED PRODUCTS INC,45,0.01,-0.01065,0.6922475881781736,23761.83465,1.1934328825236864,0.8734768498346459
2021-01-31,12062,LH,LABORATORY CORP AMERICA HLDGS,35,0.01,0.124543,0.4396832224899117,19825.770000000004,1.0293470305104602,0.9882130621894952
2021-01-31,12360,PACB,PACIFIC BIOSCIENCES CALIF INC,35,-0.01,0.247063,-0.31766136981167425,4988.106360000001,1.307651614501057,0.7438313715610123
2021-01-31,13046,UI,UBIQUITI INC,45,0.01,0.105803,0.5970872100930005,17487.08588,1.4041781886050269,0.6701796588411056
2021-01-31,13168,TRIP,TRIPADVISOR INC,50,-0.01,0.07604899999999999,-0.49658965894714135,3509.17418,1.403201742892156,1.0926197559484307
2021-01-31,13169,ZNGA,ZYNGA INC,50,-0.01,0.004007,-0.32743508662727866,10675.391999999998,0.2382275711985728,0.4875533455299876
2021-01-31,13323,ENPH,ENPHASE ENERGY INC,45,0.01,0.039163,0.36164256546362905,22628.96214,1.5819578937095875,1.0404748342566696
2021-01-31,13356,PSX,PHILLIPS 66,10,-0.01,-0.030644,-0.723069822289996,30549.792,1.5890016332804087,1.290663387444473
2021-01-31,13377,PFPT,PROOFPOINT INC,45,-0.01,-0.053780999999999995,-0.25324853504855865,7799.650979999999,1.1886693476316912,0.6675704131381861
2021-01-31,13379,SPLK,SPLUNK INC,45,-0.01,-0.028653,-0.626261035607903,27474.78069,1.3762157236519486,1.0050083508663148
2021-01-31,13407,FB,FACEBOOK INC,50,0.01,-0.054336999999999996,0.6813811079562422,657222.9600000001,1.0928055514495965,0.7698208597551152
2021-01-31,13511,PANW,PALO ALTO NETWORKS INC,45,-0.01,-0.013101999999999999,-0.3094307482490809,34837.10475,1.4455245872851226,0.6390585377895878
2021-01-31,13610,OLN,OLIN CORP,15,-0.01,-0.026512,-0.3941579031246012,3877.0907199999997,1.234074032335689,1.292253832403872
2021-01-31,13721,ABBV,ABBVIE INC,35,0.006045656552584063,-0.032492,0.5413516316057501,189170.5391,0.8181620710651855,0.5197186924503189
2021-01-31,13739,BFAM,BRIGHT HORIZONS FAM SOL INC NEW,25,-0.01,-0.12155600000000001,-0.2948846873458024,10476.96636,0.785558437256329,1.0731885852116172
2021-01-31,13788,ZTS,ZOETIS INC,35,0.01,-0.06658900000000001,0.6100648944434529,78656.85399999999,0.6336007964762271,0.753767711391835
2021-01-31,13802,APAM,ARTISAN PARTNERS ASSET MGMT INC,40,0.00395434344741517,-0.038584,0.32302677155992726,3092.1848400000003,1.8262464109018182,1.1445580154093862
2021-01-31,14008,AMGN,AMGEN INC,35,0.01,0.050015000000000004,0.6142425347449958,132962.73599999998,0.696204529229762,0.60362006469616
2021-01-31,14054,MRTX,MIRATI THERAPEUTICS INC,35,-0.01,-0.065198,-0.29987191336434177,11078.42196,1.6330422940401863,0.4134858044082861
2021-01-31,14136,RNG,RINGCENTRAL INC,45,-0.01,-0.01601,-0.2686330482349612,30062.932160000004,0.7079236658507883,0.7747581520220707
2021-01-31,14159,FEYE,FIREEYE INC,45,-0.01,-0.089378,-0.6561174531266434,5435.011399999999,1.2308787925067757,0.9905661120637461
2021-01-31,14182,BURL,BURLINGTON STORES INC,25,-0.01,-0.048412,-0.3769606517939691,17325.072,0.7413815106200924,0.8771272257010783
2021-01-31,14245,FATE,FATE THERAPEUTICS INC,35,-0.01,-0.003345,-0.4171447830769948,7976.56146,1.8743570000425298,0.8538756718972064
2021-01-31,14273,CHGG,CHEGG INC,25,-0.01,0.054532000000000004,-0.32504410847630416,11635.49763,1.0083530124956446,0.7385517356561901
2021-01-31,14295,TWTR,TWITTER INC,50,-0.01,-0.066897,-0.36732942965104637,43068.2025,0.8596834450570252,0.7552443077847978
2021-01-31,14325,TNDM,TANDEM DIABETES CARE INC,35,-0.01,-0.031714,-0.2694687983153341,5964.2128,0.31200963753477,0.46170019699268094
2021-01-31,14329,ARMK,ARAMARK,25,-0.01,-0.108934,-0.4693491411340802,9771.14944,1.7431793927644843,1.3405206909942995
2021-01-31,14338,HLT,HILTON WORLDWIDE HOLDINGS INC,25,-0.01,-0.088757,-0.3188838369247905,30868.641960000004,1.2644486565959472,0.9860341620218894
2021-01-31,14541,CVX,CHEVRON CORP NEW,10,-0.01,0.008835,-0.5488023103506304,162570.6414,1.2607945162565688,1.181060320629583
2021-01-31,14596,FIVN,FIVE 9 INC,45,-0.01,-0.046778,-0.1769020344114167,11594.112000000001,0.5435795227964453,0.5206934846742635
2021-01-31,14702,AMAT,APPLIED MATERIALS INC,45,0.01,0.12023199999999999,0.7188867076816323,78939.5593,1.4248117263497069,1.1951525679584223
2021-01-31,14983,W,WAYFAIR INC,25,0.01,0.205924,0.15977066315407867,16441.67772,3.021047916487382,1.5780382714558951
2021-01-31,14988,LBRDK,LIBERTY BROADBAND CORP,50,-0.01,-0.077839,-0.384932736706727,26523.96597,0.9655915968440745,0.676076366267742
2021-01-31,15108,NEWR,NEW RELIC INC,45,-0.01,0.14949500000000002,-0.3896656446013755,4093.7784,1.0036281539178475,0.8738078643459253
2021-01-31,15167,SHAK,SHAKE SHACK INC,25,-0.01,0.33777,-0.5481669431489773,3249.6174,1.6721558883095007,1.136764518259553
2021-01-31,15198,NVTA,INVITAE CORP,35,-0.01,0.18436,-0.5839943424150565,7387.827,2.0290044614496923,1.393172892043155
2021-01-31,15222,IOVA,IOVANCE BIOTHERAPEUTICS INC,35,-0.01,-0.055217999999999996,-0.2871202813474376,6815.0,0.9303151944676363,0.800619147718011
2021-01-31,15291,ETSY,ETSY INC,25,0.01,0.119003,0.7540050904460359,22387.48276,1.6565086458747695,0.9290314279420616
2021-01-31,15534,NTRA,NATERA INC,35,-0.01,0.07149699999999999,-0.3536664303670664,8580.91296,1.5828644442963007,0.8445142565454904
2021-01-31,15541,RPD,RAPID7 INC,45,-0.01,-0.037091,-0.23786610360452157,4708.606,1.2578951234602909,0.7408642367587311
2021-01-31,15579,TXN,TEXAS INSTRUMENTS INC,45,0.01,0.015673,0.5614177596847326,150893.57202,0.9992228466842803,0.8934717930044238
2021-01-31,15585,TDOC,TELADOC HEALTH INC,35,-0.01,0.319368,-0.3387033114725821,28986.401560000002,0.3264846757846427,0.5087397621845046
2021-01-31,15627,PLNT,PLANET FITNESS INC,25,-0.01,-0.07257000000000001,-0.3944980955252831,6351.298449999999,1.2405321005448624,1.3483387400780948
2021-01-31,15643,RUN,SUNRUN INC,20,-0.01,-0.001631,-0.59454291359031,13973.548279999999,2.242780983053148,1.2762444409644227
2021-01-31,15694,PEN,PENUMBRA INC,35,-0.01,0.49189700000000003,-0.32265180701483653,6354.425,0.4138224638654095,0.6275138537117705
2021-01-31,15707,HPE,HEWLETT PACKARD ENTERPRISE CO,45,-0.01,0.041304,-0.31498669287086584,15327.975,1.3127802251289697,1.0453382324308924
2021-01-31,15720,EIX,EDISON INTERNATIONAL,55,-0.01,-0.074226,-0.19222329736312388,23778.249480000002,0.46874252043798176,0.6250076096054106
2021-01-31,15729,PSTG,PURE STORAGE INC,45,-0.01,0.022952999999999998,-0.4483548190113435,6168.25671,1.4194763253821319,0.9898930600636126
2021-01-31,15826,SQ,SQUARE INC,45,0.01,-0.007765,0.15627524310924562,83531.53783999999,2.61592165484719,1.2796539543367371
2021-01-31,15914,WKHS,WORKHORSE GROUP INC,25,-0.01,0.73504,-0.5319606819319093,2411.6369400000003,3.21090110719188,0.4063106627770236
2021-01-31,16044,NGVT,INGEVITY CORP,15,0.01,-0.132622,0.24414131355318103,3126.0586700000003,2.120631274873709,1.231905667197
2021-01-31,16051,ACIA,ACACIA COMMUNICATIONS INC,45,-0.01,0.567936,-0.010658068730270372,3074.8262399999994,0.7657648376222016,0.0636616377802517
2021-01-31,16287,EVBG,EVERBRIDGE INC,45,-0.01,-0.10831700000000001,-0.3443357825875534,5284.38243,0.7707780177256409,0.5758335284659949
