target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,-0.0018626234210026345,0.029069209681665004,-0.03093183310266764,1.999999999999998,5.551115123125783e-17,-3.3306690738754696e-16,-2.7755575615628914e-16,0.05,0.20500000000000002,False,1.0,101,101,202,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.0051959567543359685,,-0.0018626234210026293,-0.011136640158463607,0.001657686104955428,0.0004657645787165715,1.9999999999999987,-0.0039860741046746345,
2021-02-28,-0.015809215827755917,0.05210426306380982,-0.06791347889156574,1.9999999999999987,-5.551115123125783e-17,0.0,-2.220446049250313e-16,0.05000000000000001,0.21362260370297584,False,1.0,104,104,208,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.01914254916108925,,-0.017642392633090087,0.0,0.00034164019382255733,0.0004581840301386157,0.4,-0.016609040051717087,
2021-03-31,0.09846047658034246,0.06872843148264778,0.02973204509769467,1.9999999999999984,0.0,-3.885780586188048e-16,1.1102230246251565e-16,0.05,0.2061493161081485,False,1.0,107,107,214,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.09512714324700913,,0.0,0.0,0.00033498855146795944,0.00043886313524375495,0.39999999999999997,0.09768662489363074,
2021-04-30,0.0357640678052182,0.04313780011283001,-0.007373732307611816,1.9999999999999987,-1.1102230246251565e-16,1.1102230246251565e-16,3.3306690738754696e-16,0.05000000000000002,0.2146693550040951,False,1.0,104,111,215,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.03243073447188487,,0.0,0.0,0.000345607102493896,0.0004542070900827775,0.4,0.03496425361264153,
2021-05-31,0.04246585780339649,0.020983367534923775,0.021482490268472702,1.9999999999999991,-2.220446049250313e-16,3.885780586188048e-16,-5.551115123125783e-17,0.05000000000000002,0.21618851752835047,False,1.0,106,109,215,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.03913252447006316,,0.0,0.0,0.0003373062088130039,0.000459200603971723,0.39999999999999997,0.04166935099061177,
2021-06-30,-0.08987906045676498,-0.006458693430240829,-0.08342036702652415,1.9999999999999991,-5.551115123125783e-17,-2.7755575615628914e-16,-2.7755575615628914e-16,0.05000000000000001,0.2156680871538469,False,1.0,108,111,219,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.09321239379009831,,-0.08987906045676497,0.0,0.00035725939351900565,0.0004611526158895194,0.4,-0.09069747246617352,
2021-07-31,0.06885151853144719,0.0180194614041193,0.050832057127327884,1.9999999999999991,-5.551115123125783e-17,-4.163336342344337e-16,-2.7755575615628914e-16,0.05000000000000001,0.2244387729323594,False,1.0,110,107,217,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.06551818519811387,,-0.02721585172194574,0.0,0.0003326340839955148,0.00046193925454468803,0.4,0.06805694519290699,
2021-08-31,0.02183724068415311,0.025147036365927276,-0.00330979568177417,1.9999999999999987,1.6653345369377348e-16,1.6653345369377348e-16,-3.3306690738754696e-16,0.05,0.22652755342498868,False,1.0,112,107,219,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.018503907350819776,,-0.005972930142268962,0.0,0.00033506289760559923,0.00045101273404737576,0.4000000000000001,0.021051165052500136,
2021-09-30,0.003766581229226091,-0.0417699728368261,0.045536554066052184,1.999999999999999,0.0,-2.220446049250313e-16,0.0,0.05000000000000001,0.21973202836957104,False,1.0,112,108,220,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,0.00043324789589275743,,-0.002228846439600418,-0.047569140421166445,0.0003323773131312371,0.0004545371352385492,0.4,0.0029796667808563047,
2021-10-31,0.0011979046217052564,0.04229474647487248,-0.04109684185316724,1.9999999999999991,-1.6653345369377348e-16,-5.551115123125783e-17,-2.220446049250313e-16,0.05000000000000002,0.21545405848143906,False,1.0,117,109,226,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,-0.002135428711628077,,-0.001033611763346265,0.0,0.00033856131534920245,0.00045986016948714224,0.3999999999999998,0.0003994831368689116,
