target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,0.004641014267020623,0.037392614267020625,-0.032751600000000006,1.999999999999999,-7.771561172376096e-16,-1.1102230246251565e-15,-8.881784197001252e-16,0.05,0.21343901938597942,False,1.0,101,100,201,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,0.0013076809336872897,,0.0,-0.011136640158463607,0.0016215609806140199,0.00047124999999999993,1.9999999999999991,0.0025482032864066035,
2021-02-28,-0.019614526909344978,0.0460060973708651,-0.06562062428021008,1.9999999999999984,0.0,0.0,0.0,0.05,0.22397735034038205,False,1.0,105,104,209,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.022947860242678312,,-0.019614526909344954,0.0,0.00035568517356675505,0.0004683632274999996,0.40000000000000013,-0.020438575310411735,
2021-03-31,0.08571035569740026,0.06580118063618882,0.01990917506121143,1.9999999999999984,-1.6653345369377348e-16,-1.6653345369377348e-16,1.6653345369377348e-16,0.05000000000000003,0.22774977031514626,False,1.0,107,106,213,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.08237702236406694,,0.0,0.0,0.0003434805995396218,0.00046203654054984076,0.4,0.0849048385573108,
2021-04-30,0.03320414297108611,0.042079007065916434,-0.008874864094830324,1.9999999999999987,-5.551115123125783e-17,-5.551115123125783e-16,-2.7755575615628914e-16,0.05,0.23233911364105408,False,1.0,108,111,219,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.02987080963775278,,0.0,0.0,0.00034841264245060485,0.0004736600489451973,0.39999999999999997,0.03238207027969031,
2021-05-31,0.04482892026721873,0.014470736481777432,0.030358183785441292,1.9999999999999991,5.551115123125783e-17,1.6653345369377348e-16,1.6653345369377348e-16,0.05,0.2525553676026479,False,1.0,109,112,221,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.041495586933885394,,0.0,0.0,0.00032857561773422467,0.0004858138350010892,0.4,0.044014530814483414,
2021-06-30,-0.08428522398618071,-0.0008346380396274243,-0.0834505859465533,1.9999999999999996,5.551115123125783e-17,-7.216449660063518e-16,5.551115123125783e-17,0.05,0.2433033554834883,False,1.0,110,113,223,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.08761855731951404,,-0.08428522398618066,0.0,0.00033076152406647045,0.00048021408655661937,0.4,-0.0850961995968038,
2021-07-31,0.07838534053045845,0.0229197264551287,0.05546561407532975,1.9999999999999991,5.551115123125783e-17,-3.885780586188048e-16,-5.551115123125783e-16,0.05,0.24371074167845322,False,1.0,112,110,222,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.07505200719712513,,-0.012506609439565053,0.0,0.0003274417252502276,0.00047728081698171883,0.4000000000000001,0.0775806179882265,
2021-08-31,0.016328064256330578,0.026159821080041685,-0.009831756823711105,1.9999999999999987,1.1102230246251565e-16,1.1102230246251565e-16,-2.220446049250313e-16,0.05,0.23562838046793216,False,1.0,110,113,223,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.012994730922997244,,0.0,0.0,0.0003319214846252269,0.00046939634350365165,0.3999999999999999,0.015526746428201699,
2021-09-30,-0.006032043909834424,-0.040755643285670856,0.03472359937583641,1.999999999999999,-1.6653345369377348e-16,-3.885780586188048e-16,1.1102230246251565e-16,0.05,0.23187795700753155,False,1.0,111,113,224,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.009365377243167758,,-0.0060320439098345835,-0.047569140421166445,0.00031725390665852493,0.0004779348500190943,0.40000000000000013,-0.006827232666512043,
2021-10-31,0.00970547903616884,0.058810206828900265,-0.04910472779273144,1.9999999999999993,5.551115123125783e-17,-2.7755575615628914e-16,-1.6653345369377348e-16,0.05000000000000002,0.21935522596951162,False,1.0,115,115,230,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.006372145702835506,,0.0,0.0,0.0003177561630468617,0.00047208532982366265,0.4,0.008915637543298317,
