target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,net_port_excess_ret,trade_cost,borrow_cost,net_rolling_beta_12m
2021-01-31,0.01057511209376576,0.03671474096660114,-0.02613962887283539,2.0,-1.6653345369377348e-16,1.6653345369377348e-16,1.6653345369377348e-16,0.050000000000000024,0.22418973518554558,99,99,198,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,0.007241778760432426,,0.0,-0.011136640158463607,0.008141420253512006,0.001861651845889504,0.0005720399943642514,
2021-02-28,-0.032680527628412386,0.04862321613293112,-0.0813037437613435,1.9999999999999996,0.0,1.1102230246251565e-16,5.551115123125783e-17,0.05,0.23267036838934346,101,101,202,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.03601386096174572,,-0.03268052762841234,0.0,-0.033735634106986774,0.00045379617759055166,0.0006013103009838329,
2021-03-31,0.11223593019301514,0.07346646013747125,0.03876947005554389,1.9999999999999991,-3.3306690738754696e-16,5.551115123125783e-17,1.1102230246251565e-16,0.05,0.2357057085701814,103,104,207,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.10890259685968182,,0.0,0.0,0.11119334699908744,0.00048673384082455174,0.0005558493531031545,
2021-04-30,0.03854458478679502,0.045765767789607094,-0.007221183002812073,1.9999999999999996,-3.885780586188048e-16,2.220446049250313e-16,-5.551115123125783e-17,0.050000000000000024,0.253392989234441,105,105,210,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.035211251453461684,,0.0,0.0,0.03746475312666481,0.00046560478014839933,0.0006142268799818123,
2021-05-31,0.07822671102001066,0.022763176617086142,0.05546353440292452,2.0,2.7755575615628914e-16,-1.6653345369377348e-16,-1.6653345369377348e-16,0.05000000000000001,0.25144813830461715,108,105,213,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.07489337768667734,,0.0,0.0,0.07699574157982303,0.0006428167468020391,0.0005881526933855879,
2021-06-30,-0.052781901974261324,-0.0007744712571194748,-0.05200743071714185,2.0,0.0,5.551115123125783e-17,-1.1102230246251565e-16,0.05000000000000002,0.2470726789605357,107,112,219,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.05611523530759466,,-0.05278190197426136,0.0,-0.05393269179925832,0.0005422787094446528,0.0006085111155523402,
2021-07-31,0.07110959619802634,0.02181037766965823,0.0492992185283681,1.9999999999999991,4.440892098500626e-16,0.0,1.6653345369377348e-16,0.05000000000000002,0.258835979200194,109,105,214,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.06777626286469302,,0.0,0.0,0.07003489975035572,0.0004863288000350374,0.0005883676476355879,
2021-08-31,0.024365338887213123,0.023466823158962938,0.0008985157282501809,2.000000000000001,3.885780586188048e-16,-2.220446049250313e-16,-1.1102230246251565e-16,0.05,0.2439231504174858,109,110,219,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.02103200555387979,,0.0,0.0,0.0231598903205088,0.0005623732098075696,0.0006430753568967546,
2021-09-30,0.004801449717149461,-0.038874498312110435,0.04367594802925989,2.0000000000000004,5.551115123125783e-17,0.0,5.551115123125783e-17,0.05000000000000002,0.2632114786503366,106,108,214,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,0.001468116383816127,,0.0,-0.047569140421166445,0.0035752259759887044,0.0005540381336175486,0.0006721856075432072,
2021-10-31,0.02296238558163199,0.04483111881828197,-0.021868733236649993,2.000000000000001,5.551115123125783e-16,-3.885780586188048e-16,0.0,0.050000000000000044,0.27194043898735704,108,113,221,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.019629052248298657,,0.0,0.0,0.021624673333131592,0.0006402783936925807,0.0006974338548078193,
