target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,-0.006269758474086572,0.051787559999999636,-0.058057318474086204,1.9999999999999982,0.0,-2.7755575615628914e-16,-4.440892098500626e-16,0.05,0.22500000000000003,False,1.0,100,101,201,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.009603091807419906,,-0.0062697584740866175,-0.011136640158463607,0.0020184106110858,0.00063903981859297,1.9999999999999987,-0.008927208903765343,
2021-02-28,-0.016793982975782062,0.048444637571327324,-0.06523862054710938,1.9999999999999984,0.0,-8.881784197001252e-16,-6.661338147750939e-16,0.05000000000000001,0.2642486600000001,False,1.0,102,102,204,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.020127316309115396,,-0.02295844723279261,0.0,0.0008568910000023423,0.0006705965735310727,0.8,-0.018321470549315478,
2021-03-31,0.09327830609612112,0.06795552200505245,0.025322784091068667,1.9999999999999987,0.0,6.106226635438361e-16,-2.220446049250313e-16,0.05,0.2682020669477059,False,1.0,104,105,209,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.08994497276278779,,0.0,0.0,0.0008876476164243786,0.0006712010472257157,0.7999999999999992,0.09171945743247102,
2021-04-30,0.044898232853058995,0.04312558932757045,0.0017726435254885459,1.9999999999999982,-5.551115123125783e-17,5.551115123125783e-16,-1.6653345369377348e-16,0.05,0.2719679364288,False,1.0,104,105,209,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.04156489951972566,,0.0,0.0,0.0008486494136656413,0.0006563110532952406,0.8000000000000003,0.04339327238609811,
2021-05-31,0.06160810004246067,0.025945774183665036,0.03566232585879563,1.9999999999999984,5.551115123125783e-17,2.7755575615628914e-17,1.6653345369377348e-16,0.05,0.26622624030372544,False,1.0,105,104,209,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.05827476670912734,,0.0,0.0,0.0008392137289471976,0.0006362668670999721,0.8,0.0601326194464135,
2021-06-30,-0.0965395303800407,-0.0035638418281947787,-0.0929756885518459,1.9999999999999984,5.551115123125783e-17,-6.106226635438361e-16,5.551115123125783e-17,0.05000000000000002,0.27353828087119475,False,1.0,106,105,211,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.09987286371337403,,-0.0965395303800407,0.0,0.0008577186584819222,0.0006473848334572487,0.7999999999999999,-0.09804463387197988,
2021-07-31,0.08174626784584242,0.022042244777499182,0.05970402306834325,1.9999999999999982,-5.551115123125783e-17,2.220446049250313e-16,5.551115123125783e-17,0.05000000000000001,0.2363683490463811,False,1.0,105,103,208,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.0784129345125091,,-0.022685008842356802,0.0,0.0008060161102365212,0.0005789575143261971,0.7999999999999998,0.0803612942212797,
2021-08-31,0.016548591414692546,0.03334141892442169,-0.01679282750972915,1.9999999999999982,5.551115123125783e-17,4.440892098500626e-16,-2.220446049250313e-16,0.05,0.25230190081315584,False,1.0,103,105,208,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.013215258081359212,,-0.006511822370235065,0.0,0.0008372399417220725,0.0006247117909643402,0.7999999999999997,0.015086639682006133,
2021-09-30,0.018278777884803567,-0.030188940308677914,0.048467718193481474,1.9999999999999982,0.0,-6.661338147750939e-16,-5.551115123125783e-17,0.05,0.26239676903690395,False,1.0,104,108,212,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,0.014945444551470233,,0.0,-0.047569140421166445,0.000894280360916849,0.0006688184080489592,0.7999999999999996,0.016715679115837757,
2021-10-31,0.019916421378886884,0.05538759622283975,-0.03547117484395287,1.9999999999999984,-1.1102230246251565e-16,-7.771561172376096e-16,2.7755575615628914e-16,0.05000000000000001,0.2667346978415617,False,1.0,105,105,210,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.01658308804555355,,0.0,0.0,0.0008439761540554942,0.0006824742721523733,0.7999999999999998,0.018389970952679018,
