target_month,permno,ticker,company_name,sector,weight,ret_exc_lead1m,pred,raw_me,raw_beta_60m,raw_betabab_1260d
2021-01-31,10138,TROW,T ROWE PRICE GROUP INC,40,0.01,0.033576,0.0059288268985923055,34511.621349999994,1.0879939131782328,1.0447748048344314
2021-01-31,10874,BC,BRUNSWICK CORP,25,0.01,0.134004,0.005544217324384498,5972.87032,1.8805612925918593,1.3258398749533549
2021-01-31,11786,SIVB,S V B FINANCIAL GROUP,40,0.01,0.128748,0.005252878978175678,20123.723039999997,2.069724952533042,1.2371281473294609
2021-01-31,11896,MXIM,MAXIM INTEGRATED PRODUCTS INC,45,0.01,-0.01065,0.005656138626316933,23761.83465,1.1934328825236864,0.8734768498346459
2021-01-31,12017,XSPA,XPRESSPA GROUP INC,25,-0.01,0.8655,-0.00731711993209763,111.93020999999999,2.3831630687745204,2.0653502705682754
2021-01-31,12307,AMRS,AMYRIS INC,15,-0.01,0.522221,-0.007015000533671701,1512.5724249999998,1.1292772156506998,0.8689294334272726
2021-01-31,12350,NETE,NET ELEMENT INC,45,-0.01,-0.097537,-0.0049671137873790235,69.70814999999999,2.2055306378282546,0.5280012688830645
2021-01-31,12360,PACB,PACIFIC BIOSCIENCES CALIF INC,35,-0.01,0.247063,-0.004102432194568752,4988.106360000001,1.307651614501057,0.7438313715610123
2021-01-31,12413,ZGNX,ZOGENIX INC,35,-0.01,-0.051572,-0.0038021289647496626,1114.1626399999998,1.525230345254834,0.48529573104477386
2021-01-31,12527,IBIO,IBIO INC,35,-0.01,0.523764,-0.003555086187690891,222.35745000000003,-0.9324639215769315,-0.18008191465070597
2021-01-31,12579,GEVO,GEVO INC,10,-0.01,1.390542,-0.010260788994132323,544.5865,3.4601425102807455,1.0832286600583436
2021-01-31,12981,FBHS,FORTUNE BRANDS HOME & SECUR INC,20,0.01,0.006137,0.0057441893350209825,11908.99388,1.5569886933549437,1.2167626051063638
2021-01-31,13046,UI,UBIQUITI INC,45,0.01,0.105803,0.005683244132670225,17487.08588,1.4041781886050269,0.6701796588411056
2021-01-31,13107,CLVS,CLOVIS ONCOLOGY INC,35,-0.01,0.645787,-0.006614036074630539,497.75519999999995,1.8806563544133896,0.9859972734869422
2021-01-31,13326,MTSI,MACOM TECHNOLOGY SOLS HLDS INC,45,0.01,0.033021,0.004229631856555414,3761.6537599999997,2.216339123309515,0.9907505850551114
2021-01-31,13411,CRDF,CARDIFF ONCOLOGY INC,35,-0.01,-0.344126,-0.0055984130058878085,661.6901899999999,1.9093516365722083,0.734058901721645
2021-01-31,13412,IDEX,IDEANOMICS INC,45,-0.01,0.944678,-0.008367614668872553,686.36294,0.15110495119568565,1.2071610315650356
2021-01-31,13453,CEMI,CHEMBIO DIAGNOSTICS INC,35,-0.01,0.387322,-0.0053888266341772795,96.16375000000001,1.934461510700757,0.5872132492502169
