target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,-0.23912014398479814,0.044712616015201725,-0.28383275999999996,1.9999999999999982,-5.551115123125783e-17,-2.7755575615628914e-16,-5.551115123125783e-17,0.05,0.34999999999999987,False,1.0,103,101,204,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.24245347731813147,,-0.23912014398479808,-0.011136640158463607,0.0023278456618587512,0.0010487499999999987,1.9999999999999987,-0.24249673964665688,
2021-02-28,-0.030246485162060566,0.05363966483793943,-0.08388614999999999,1.9999999999999998,-5.551115123125783e-17,-1.1379786002407855e-15,-1.6653345369377348e-16,0.05,0.34500000000000003,False,1.0,102,100,202,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.0335798184953939,,-0.2621340852598726,0.0,0.002409000508475258,0.00109125,2.1016589626614746,-0.03374673567053583,
2021-03-31,0.05414143676285537,0.055951776010350326,-0.0018103392474949666,1.9999999999999982,0.0,3.0531133177191805e-16,-1.6653345369377348e-16,0.05,0.3499999999999998,False,1.0,103,102,205,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.050808103429522036,,-0.22218496449750347,0.0,0.0022746521716299904,0.0010397822052297168,1.9070392799642426,0.05082700238599566,
2021-04-30,0.08800267579770309,0.06523647459147389,0.0227662012062292,1.9999999999999982,-2.7755575615628914e-17,8.049116928532385e-16,-8.326672684688674e-17,0.05,0.34999999999999987,False,1.0,102,101,203,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.08466934246436976,,-0.15373516009759836,0.0,0.0020038059340153607,0.0010904166666666655,1.6781045615664056,0.08490845319702106,
2021-05-31,0.05886360291304094,0.018103482913040952,0.04076011999999999,1.9999999999999984,-2.7755575615628914e-17,-6.106226635438361e-16,-4.440892098500626e-16,0.05,0.3499999999999998,False,1.0,102,101,203,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.05553026957970761,,-0.1039209626023152,0.0,0.002278400925123247,0.001027083333333332,1.9010179191622407,0.05555811865458436,
2021-06-30,-0.0589897605121829,0.024364700484902923,-0.08335446099708582,1.9999999999999982,-2.7755575615628914e-17,-2.498001805406602e-16,3.608224830031759e-16,0.05,0.3499999999999998,False,1.0,102,101,203,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.062323093845516236,,-0.15678045041839195,0.0,0.0022230176586788067,0.0011314583333333326,1.8343903869221054,-0.062344236504195044,
2021-07-31,0.10946583798624045,0.007679790801562452,0.101786047184678,1.9999999999999982,-2.7755575615628914e-17,-1.0824674490095276e-15,-9.43689570931383e-16,0.05,0.34999999999999987,False,1.0,102,101,203,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.10613250465290712,,-0.06447671581706094,0.0,0.002372852971525342,0.001089960486075197,1.9961682814175072,0.10600302452863991,
2021-08-31,0.015216497359523538,0.03129336235952352,-0.016076864999999985,1.9999999999999982,5.551115123125783e-17,5.551115123125783e-17,1.6653345369377348e-16,0.05,0.34999999999999987,False,1.0,102,101,203,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.011883164026190204,,-0.05024132823351857,0.0,0.0020606441433263924,0.0011168749999999998,1.861199042773901,0.012038978216197146,
2021-09-30,-0.004453646389895732,-0.021892104770400475,0.01743845838050474,1.9999999999999984,0.0,7.216449660063518e-16,6.661338147750939e-16,0.05,0.3499999999999998,False,1.0,102,101,203,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.007786979723229066,,-0.05447121751330353,-0.047569140421166445,0.0024328764079485053,0.0011381249999999994,2.1263906468026086,-0.008024647797844238,
2021-10-31,0.04456579363714262,0.07157758148052204,-0.02701178784337942,1.9999999999999982,0.0,-5.551115123125783e-17,-7.771561172376096e-16,0.05,0.3499999999999998,False,1.0,102,102,204,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.04123246030380929,,-0.012332976915022664,0.0,0.0021833334732206,0.001124934055424816,1.8398908983324054,0.04125752610849721,
