target_month,permno,ticker,company_name,sector,weight,ret_exc_lead1m,pred,raw_me,raw_beta_60m,raw_betabab_1260d
2021-01-31,10516,ADM,ARCHER DANIELS MIDLAND CO,30,-0.01,-0.007980999999999999,0.0069818446491743315,28047.569489999998,0.8030839518074745,0.7205563783363119
2021-01-31,10874,BC,BRUNSWICK CORP,25,0.01,0.134004,0.015688226320270563,5972.87032,1.8805612925918593,1.3258398749533549
2021-01-31,11533,FICO,FAIR ISAAC CORP,45,0.01,-0.119273,0.016501082429237472,14870.24192,1.1141037057356862,1.1817300873528935
2021-01-31,11786,SIVB,S V B FINANCIAL GROUP,40,0.01,0.128748,0.015559087465667544,20123.723039999997,2.069724952533042,1.2371281473294609
2021-01-31,11850,XOM,EXXON MOBIL CORP,10,-0.01,0.08777499999999999,0.007114813019608344,174287.80548,1.2943147338581358,1.0287427082222942
2021-01-31,11891,MGM,M G M RESORTS INTERNATIONAL,25,-0.01,-0.093667,0.004773095437555436,15564.017890000001,2.300537353160813,1.7465392932427335
2021-01-31,12060,GE,GENERAL ELECTRIC CO,20,-0.01,-0.011156999999999999,0.008732974814086731,94606.6284,1.070598031014061,1.0022922001789938
2021-01-31,12373,HHC,HOWARD HUGHES CORP,60,-0.01,0.091681,0.007688955185400041,4335.07239,1.5155344419759238,1.23877374676364
2021-01-31,12448,FRC,FIRST REPUBLIC BANK S F NEW,40,-0.01,-0.011907,0.009303743665491577,25167.34584,1.0294668176987087,0.8633316755002021
2021-01-31,12476,TRGP,TARGA RESOURCES CORP,10,0.01,0.041273000000000004,0.012386772293418117,6041.36294,2.920360757999242,1.7679686843332878
2021-01-31,12477,WD,WALKER & DUNLOP INC,40,-0.01,-0.10545800000000001,0.00890447646755261,2873.50854,1.3225012401089153,1.231944776936626
2021-01-31,12591,APO,APOLLO GLOBAL MANAGEMENT INC,40,0.01,-0.062112,0.016386652602167522,11207.40768,1.5128226992657994,1.2964158066167397
2021-01-31,12622,HCA,H C A HEALTHCARE INC,35,0.01,-0.012084999999999999,0.015588383428012076,55649.152500000004,1.4667846068932289,1.0894153746776258
2021-01-31,12639,CSOD,CORNERSTONE ONDEMAND INC,45,0.01,-0.071345,0.01826138237492738,2859.3410400000002,1.2901046658581021,1.0117863603099149
2021-01-31,12872,MPC,MARATHON PETROLEUM CORP,10,-0.01,0.043474000000000006,0.0055484825276423295,26910.925359999997,2.127262034536111,1.6226276458155102
2021-01-31,13168,TRIP,TRIPADVISOR INC,50,-0.01,0.07604899999999999,0.005230724765888695,3509.17418,1.403201742892156,1.0926197559484307
2021-01-31,13326,MTSI,MACOM TECHNOLOGY SOLS HLDS INC,45,0.01,0.033021,0.016788896071263035,3761.6537599999997,2.216339123309515,0.9907505850551114
2021-01-31,13356,PSX,PHILLIPS 66,10,-0.01,-0.030644,0.006748894331746596,30549.792,1.5890016332804087,1.290663387444473
2021-01-31,13379,SPLK,SPLUNK INC,45,-0.01,-0.028653,0.007016904902417238,27474.78069,1.3762157236519486,1.0050083508663148
2021-01-31,13511,PANW,PALO ALTO NETWORKS INC,45,0.01,-0.013101999999999999,0.017924897757057495,34837.10475,1.4455245872851226,0.6390585377895878
2021-01-31,13641,FANG,DIAMONDBACK ENERGY INC,10,-0.01,0.171235,0.0019082561400422225,7651.459199999999,2.478484558638127,1.5309768424567702
2021-01-31,13687,RH,R H,25,0.01,0.062164000000000004,0.016188129769111156,9129.85552,2.512910124033887,1.0890779154390557
2021-01-31,13721,ABBV,ABBVIE INC,35,0.01,-0.032492,0.01609086744478802,189170.5391,0.8181620710651855,0.5197186924503189
2021-01-31,13748,TPH,TRI POINTE GROUP INC,25,0.01,0.170968,0.0161730045130431,2187.7312500000003,1.5307958011595089,1.4610936599381625
2021-01-31,13802,APAM,ARTISAN PARTNERS ASSET MGMT INC,40,0.01,-0.038584,0.01800558765146606,3092.1848400000003,1.8262464109018182,1.1445580154093862
2021-01-31,13860,SEAS,SEAWORLD ENTERTAINMENT INC,25,-0.01,-0.09564600000000001,0.0020525343725396085,2476.08738,2.257025758252436,1.353135420120093
2021-01-31,13862,TMHC,TAYLOR MORRISON HOME CORP,25,0.01,0.012820000000000002,0.01566270962396443,3333.03795,1.7302353825399412,1.71541457280118
2021-01-31,13947,BLUE,BLUEBIRD BIO INC,35,-0.01,0.029536,0.004287950708986469,2874.5126400000004,1.8283633207178933,0.7865551399245306
2021-01-31,13962,NSTG,NANOSTRING TECHNOLOGIES INC,35,-0.01,0.047053000000000005,0.005181312237807301,2972.2140799999997,1.7754903660984647,0.9591282338829676
2021-01-31,13983,COTY,COTY INC,30,-0.01,-0.092639,0.0032793183437032406,5376.6390599999995,2.204559040210624,1.3285571276227874
2021-01-31,14044,AGIO,AGIOS PHARMACEUTICALS INC,35,-0.01,0.083961,0.0020152992071521907,3002.50902,1.7693863182657281,0.7070999765233422
2021-01-31,14097,FOXF,FOX FACTORY HOLDING CORP,25,0.01,0.13173,0.016039533786640785,4418.8894199999995,1.7390404185740984,1.1077402444133984
2021-01-31,14159,FEYE,FIREEYE INC,45,-0.01,-0.089378,0.005351772665771551,5435.011399999999,1.2308787925067757,0.9905661120637461
2021-01-31,14231,VEEV,VEEVA SYSTEMS INC,35,0.01,0.015344,0.018260599345160496,37127.277,0.817982546324916,0.6585415741251102
2021-01-31,14263,VCYT,VERACYTE INC,35,-0.01,0.15851600000000002,0.007282540470255164,2848.3569399999997,0.7680461779538272,1.0309282544418075
2021-01-31,14329,ARMK,ARAMARK,25,-0.01,-0.108934,0.005360521685987788,9771.14944,1.7431793927644843,1.3405206909942995
2021-01-31,14359,XNCR,XENCOR INC,35,-0.01,0.048544000000000004,0.008110704750857083,2524.99899,0.9361891335281135,0.7676117040508225
2021-01-31,14432,ITCI,INTRA CELLULAR THERAPIES INC,35,-0.01,0.010960000000000001,0.004130901525053136,2558.7234,1.4376033889258455,0.6259678979471113
2021-01-31,14608,SABR,SABRE CORP,45,-0.01,-0.10320700000000001,0.0017410052748817455,3813.90994,2.084864317147646,2.1322325231105066
2021-01-31,14634,PE,PARSLEY ENERGY INC,10,-0.01,0.15435100000000002,0.0049699997389000055,5492.6168,2.152147461942106,1.2727524077879382
2021-01-31,14702,AMAT,APPLIED MATERIALS INC,45,0.01,0.12023199999999999,0.016446859137750913,78939.5593,1.4248117263497069,1.1951525679584223
2021-01-31,14759,WMS,ADVANCED DRAINAGE SYSTEMS INC,20,0.01,-0.013207,0.015796139939806893,5890.46766,1.359555326985614,1.1006728494872844
2021-01-31,14797,CDNA,CAREDX INC,35,0.01,0.054888,0.01585983850804501,3582.0004500000005,0.8721430419632636,0.6009600247934247
2021-01-31,14811,FWONK,LIBERTY MEDIA CORP 3RD NEW,50,-0.01,-0.05568,0.008601392498368238,8670.7188,1.2331988702305523,0.9467043507272865
2021-01-31,14828,SAGE,SAGE THERAPEUTICS INC,35,-0.01,-0.06778400000000001,0.003531330518721998,5042.32186,2.146557244727091,0.7171235410174388
2021-01-31,14970,HUBS,HUBSPOT INC,45,0.01,-0.061189999999999994,0.016820052251390275,18191.83872,1.72417526170794,1.0544631099590367
2021-01-31,14983,W,WAYFAIR INC,25,0.01,0.205924,0.01592671385109665,16441.67772,3.021047916487382,1.5780382714558951
2021-01-31,15046,NVRO,NEVRO CORP,35,0.01,-0.065384,0.016875811824860355,5959.659900000001,0.9621638981323056,0.6997367815859955
2021-01-31,15119,WK,WORKIVA INC,45,0.01,0.063805,0.01727860008665542,3655.36314,1.4644298015445771,0.7223045919815073
2021-01-31,15167,SHAK,SHAKE SHACK INC,25,-0.01,0.33777,0.00506589142177918,3249.6174,1.6721558883095007,1.136764518259553
2021-01-31,15198,NVTA,INVITAE CORP,35,-0.01,0.18436,0.004303056935502133,7387.827,2.0290044614496923,1.393172892043155
2021-01-31,15221,RCKT,ROCKET PHARMACEUTICALS INC,35,-0.01,0.00433,0.006048080349253275,3345.02064,2.047855806975289,0.9373479586559956
2021-01-31,15222,IOVA,IOVANCE BIOTHERAPEUTICS INC,35,-0.01,-0.055217999999999996,0.006066466877147262,6815.0,0.9303151944676363,0.800619147718011
2021-01-31,15272,SEDG,SOLAREDGE TECHNOLOGIES INC,45,-0.01,-0.09653,0.007809545575310762,16454.14632,0.9442545290326543,1.121743030880039
2021-01-31,15291,ETSY,ETSY INC,25,0.01,0.119003,0.017502541122577632,22387.48276,1.6565086458747695,0.9290314279420616
2021-01-31,15395,CABO,CABLE ONE INC,50,0.01,-0.10226700000000001,0.017521196019016486,13422.012999999999,0.4948631151739581,0.7422551271902333
2021-01-31,15398,CC,CHEMOURS CO,15,0.01,0.062479,0.01698150022836069,4077.85584,2.2882063758763382,1.4512525894809076
2021-01-31,15431,MCRB,SERES THERAPEUTICS INC,35,-0.01,-0.030658,0.001393322799364735,2240.7455,1.6052244208030444,1.5810039530167217
2021-01-31,15627,PLNT,PLANET FITNESS INC,25,-0.01,-0.07257000000000001,0.007737043552416299,6351.298449999999,1.2405321005448624,1.3483387400780948
2021-01-31,15638,GBT,GLOBAL BLOOD THERAPEUTICS INC,35,-0.01,0.157193,0.004037598186237613,2680.80238,1.3004282889734458,0.7880678745798931
2021-01-31,15643,RUN,SUNRUN INC,20,-0.01,-0.001631,0.004560993488752011,13973.548279999999,2.242780983053148,1.2762444409644227
2021-01-31,15694,PEN,PENUMBRA INC,35,-0.01,0.49189700000000003,0.008403322229864967,6354.425,0.4138224638654095,0.6275138537117705
2021-01-31,15729,PSTG,PURE STORAGE INC,45,-0.01,0.022952999999999998,0.008702322172747043,6168.25671,1.4194763253821319,0.9898930600636126
2021-01-31,15847,KURA,KURA ONCOLOGY INC,35,-0.01,-0.083022,0.004981661048023505,2161.89604,2.1023211531634756,0.7712716655759319
2021-01-31,15859,AGR,AVANGRID INC,55,-0.01,0.017995999999999998,0.008464730610935707,14066.36595,0.1712271189125025,0.46850270845164715
2021-01-31,15914,WKHS,WORKHORSE GROUP INC,25,-0.01,0.73504,0.0046904823139183,2411.6369400000003,3.21090110719188,0.4063106627770236
2021-01-31,16068,RETA,REATA PHARMACEUTICALS INC,35,-0.01,-0.162075,0.003542417600648095,3845.6945800000003,1.4341021027163177,0.6803479952223092
2021-01-31,16082,SITE,SITEONE LANDSCAPE SUPPLY INC,20,0.01,-0.006035,0.01713039025390675,7016.36353,1.1871043279227744,1.0667312648690508
2021-01-31,16304,NTNX,NUTANIX INC,45,-0.01,-0.042406,0.007465512138555924,6058.00895,1.9397436514930249,1.0918918654692307
2021-01-31,16309,TTD,TRADE DESK INC,45,0.01,-0.043753999999999994,0.016097909327011387,33912.738,2.5012565276920773,1.0951399663801633
2021-01-31,16338,VVV,VALVOLINE INC,15,0.01,0.025883,0.01582719524515489,4280.113240000001,1.3409291449514038,1.0212543553117523
2021-01-31,16499,PK,PARK HOTELS & RESORTS INC,60,-0.01,-0.027451,0.0036438886127798348,4040.76295,2.1910209757581396,1.8183484314664817
2021-01-31,16505,BPOP,POPULAR INC,40,0.002530542816171085,0.007589,0.016375876744784103,4744.62208,1.1918935393883616,1.1527230093884888
2021-01-31,16554,JELD,JELD WEN HOLDING INC,20,0.01,0.024796,0.01395221972090128,2550.4044799999997,2.461395609615864,1.6138154970634349
2021-01-31,16632,HLNE,HAMILTON LANE INC,40,0.007469457183828917,-0.034383,0.01715456644107115,2725.42795,0.8011720190174744,0.8751010441404382
2021-01-31,16657,CLDR,CLOUDERA INC,45,-0.01,0.09772499999999999,0.00846799466291087,4350.42205,1.2033089798107468,0.6997391766365645
2021-01-31,16924,DCPH,DECIPHERA PHARMACEUTICALS INC,35,-0.01,-0.22555899999999998,0.006976660629271675,3287.0037199999997,1.370060307966303,0.5814804093754009
