target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,-0.002156664550688595,0.010589045449311323,-0.012745709999999915,1.9999999999999984,2.7755575615628914e-17,-7.494005416219807e-16,-2.914335439641036e-16,0.05,0.21999999999999964,False,1.0,102,100,202,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.0054899978840219285,,-0.002156664550688636,-0.011136640158463607,0.0015391297346476452,0.0005237499999999998,1.9999999999999987,-0.00421954428533624,
2021-02-28,-0.04522612508642011,0.045166901488249755,-0.09039302657466988,1.999999999999999,0.0,-6.522560269672795e-16,-2.0816681711721685e-16,0.05000000000000001,0.2142767365304167,False,1.0,108,105,213,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.04855945841975345,,-0.0472852520563698,0.0,0.0003235172605158365,0.0005234681181360167,0.4,-0.04607311046507196,
2021-03-31,-0.01337074076796869,0.015379080494573198,-0.028749821262541893,1.9999999999999987,2.7755575615628914e-17,-5.551115123125783e-17,2.0816681711721685e-17,0.05000000000000001,0.21033666938490583,False,1.0,110,106,216,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,-0.01670407410130202,,-0.060023753976944705,0.0,0.0003277844853222283,0.000523998342544043,0.3999999999999999,-0.01422252359583496,
2021-04-30,0.06872148903831117,0.06282723877881739,0.0058942502594937825,1.9999999999999987,-8.326672684688674e-17,2.3592239273284576e-16,-8.326672684688674e-17,0.05,0.2245715687855314,False,1.0,112,108,220,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.06538815570497784,,0.0,0.0,0.0003460824311715549,0.0005199901100690665,0.4,0.06785541649707055,
2021-05-31,0.0018698388982213974,0.0014320635762868975,0.0004377753219345021,1.9999999999999987,-8.326672684688674e-17,-1.1102230246251565e-16,-2.498001805406602e-16,0.05,0.2452591262615606,False,1.0,110,112,222,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,-0.0014634944351119361,,0.0,0.0,0.00032210077481696034,0.0005153240025402853,0.4000000000000001,0.0010324141208641517,
2021-06-30,-0.022785452950898916,0.030310470528335215,-0.053095923479234114,1.9999999999999987,-5.551115123125783e-17,-2.42861286636753e-16,5.551115123125783e-17,0.05000000000000002,0.2640437251148422,False,1.0,113,112,225,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.02611878628423225,,-0.022785452950898955,0.0,0.00035180805026581804,0.0005155417422341972,0.4,-0.02365280274339893,
2021-07-31,0.07679710931084541,0.013299051468098679,0.06349805784274672,1.9999999999999984,8.326672684688674e-17,1.6653345369377348e-16,-2.220446049250313e-16,0.05000000000000001,0.27876626345994276,False,1.0,110,113,223,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.07346377597751208,,0.0,0.0,0.00029816797684396846,0.0005155362349358344,0.4,0.0759834050990656,
2021-08-31,0.021851886173042612,0.033944540957810784,-0.012092654784768172,1.999999999999999,0.0,2.220446049250313e-16,1.1102230246251565e-16,0.05,0.28109081904629585,False,1.0,113,115,228,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.01851855283970928,,0.0,0.0,0.0003421770330260654,0.0005271218483887372,0.4,0.02098258729162781,
2021-09-30,-0.011495991336716953,-0.03396463789865683,0.022468646561939882,1.9999999999999987,-8.326672684688674e-17,-3.608224830031759e-16,-2.220446049250313e-16,0.05,0.2842684919392981,False,1.0,113,113,226,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.014829324670050287,,-0.01149599133671697,-0.047569140421166445,0.00033533405695024786,0.0005357963879411638,0.39999999999999997,-0.012367121781608365,
2021-10-31,0.052686231823101566,0.08108143541761469,-0.02839520359451311,1.9999999999999987,2.7755575615628914e-17,8.326672684688674e-17,4.996003610813204e-16,0.05000000000000001,0.27183363079622525,False,1.0,116,116,232,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.04935289848976823,,0.0,0.0,0.00034770701771914364,0.000535774967921039,0.3999999999999999,0.05180274983746139,
2021-11-30,0.028481476711811206,-0.025345310454895617,0.05382678716670682,1.9999999999999991,0.0,-1.942890293094024e-16,1.1102230246251565e-16,0.05000000000000002,0.28724556950157754,False,1.0,112,116,228,2021-11-30,0.05,4.1666666666666665e-05,2021-11-30,-0.00833373141847149,0.0033750000000000004,0.025148143378477872,,0.0,-0.00833373141847149,0.00032886287998425,0.0005224542078831725,0.3999999999999999,0.027630159623943783,
2021-12-31,0.01817391864276139,0.029620184108038478,-0.011446265465277092,1.999999999999999,1.6653345369377348e-16,3.3306690738754696e-16,-1.6653345369377348e-16,0.05000000000000002,0.2667440918859892,False,1.0,114,122,236,2021-12-31,0.06,4.9999999999999996e-05,2021-12-31,0.04361287497262989,0.0033833333333333337,0.014840585309428056,0.44172175905245015,0.0,0.0,0.0003502155294806622,0.0005287606642780654,0.3999999999999999,0.017294942449002662,0.4450025509442311
2022-01-31,-0.0016981356128183273,-0.10072638834809872,0.09902825273528039,1.999999999999999,1.1102230246251565e-16,-4.718447854656915e-16,-3.0531133177191805e-16,0.05000000000000001,0.2903006213331282,False,1.0,111,117,228,2022-01-31,0.15,0.000125,2022-01-31,-0.05258508910699977,0.0034583333333333337,-0.005031468946151661,0.3637871632934458,-0.0016981356128182856,-0.05258508910699977,0.00034046243538123885,0.000544143046312553,0.3999999999999998,-0.0025827410945121194,0.36381654418025305
2022-02-28,-0.034546319759506984,-0.009502229190378953,-0.02504409056912803,1.9999999999999991,-5.551115123125783e-17,1.6653345369377348e-16,-1.1102230246251565e-16,0.05000000000000003,0.28318521438632493,False,1.0,121,120,241,2022-02-28,0.33,0.000275,2022-02-28,-0.03136052086678265,0.0036083333333333336,-0.03787965309284032,0.49278366435725013,-0.03618579103644992,-0.08229651418956074,0.0003226358038754538,0.000552143405737076,0.4,-0.03542109896911951,0.4928359155687674
2022-03-31,-0.03757113006001425,0.0065076233658380115,-0.04407875342585226,1.9999999999999991,3.608224830031759e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.05,0.2910032155535079,False,1.0,123,117,240,2022-03-31,0.44,0.00036666666666666667,2022-03-31,0.03577323877328009,0.0037,-0.040904463393347586,0.48177433929170727,-0.0723973800351091,-0.04946728826859237,0.0003615754598601449,0.0005453629810750708,0.39999999999999997,-0.03847806850094947,0.481746373823048
2022-04-30,0.024927686393891327,-0.1084972201158297,0.13342490650972103,1.9999999999999991,8.326672684688674e-17,8.326672684688674e-17,-1.1102230246251565e-16,0.05000000000000002,0.28841975324678804,False,1.0,124,114,238,2022-04-30,0.76,0.0006333333333333333,2022-04-30,-0.08795671914903935,0.003966666666666667,0.021594353060557993,0.1801397089992182,-0.04927439282647228,-0.13307302703632662,0.00035474651454167773,0.000554784865866719,0.39999999999999997,0.024018155013482933,0.1802753854779556
2022-05-31,0.033077337029123306,-0.0012633426605406363,0.03434067968966395,1.892127032837378,2.7755575615628914e-16,-2.220446049250313e-16,-2.220446049250313e-16,0.05000000000000002,0.23914722353260268,False,1.0,128,113,241,2022-05-31,0.98,0.0008166666666666666,2022-05-31,5.324388360872234e-05,0.00415,0.029744003695789972,0.18230965583593478,-0.017826921495775583,-0.1330268684774809,0.0003576107260799017,0.0005247712726729502,0.4,0.03219495503037046,0.18243700419788633
2022-06-30,-0.0038071088394077326,-0.09421190237008259,0.09040479353067483,1.999999999999999,1.942890293094024e-16,1.6653345369377348e-16,2.7755575615628914e-17,0.05,0.23084407400779072,False,1.0,134,119,253,2022-06-30,1.49,0.0012416666666666667,2022-06-30,-0.08391999322386645,0.004575,-0.0071404421727410666,0.2266249685915689,-0.021566161304777287,-0.20578324780012514,0.000351166523851621,0.0005491249890772291,0.3999999999999998,-0.004707400352336582,0.22678652332751417
2022-07-31,0.007309020799314912,0.12445804955086076,-0.11714902875154586,1.9999999999999996,-8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,0.05000000000000002,0.24928942315181477,False,1.0,142,124,266,2022-07-31,2.23,0.0018583333333333334,2022-07-31,0.09111634763220589,0.005191666666666667,0.003975687465981578,0.11557053367253615,-0.014414768027000258,-0.1334171181113598,0.00033370936837045373,0.0005604870915823869,0.4,0.006414824339362072,0.11560931697020072
2022-08-31,-0.08084417738928047,-0.05478962843506208,-0.02605454895421839,1.9999999999999991,1.942890293094024e-16,-1.6653345369377348e-16,1.6653345369377348e-16,0.05000000000000002,0.24781505587826444,False,1.0,132,116,248,2022-08-31,2.63,0.002191666666666667,2022-08-31,-0.04244011921681046,0.005525,-0.0841775107226138,0.182004596505297,-0.09409359535288053,-0.17019499892996082,0.0003501031524625371,0.000537152506996236,0.39999999999999997,-0.08173143304873924,0.18203121257813504
2022-09-30,0.019718695279143213,-0.09463757540413262,0.11435627068327585,2.0,-1.1102230246251565e-16,5.551115123125783e-17,0.0,0.05,0.2477282104213596,False,1.0,134,118,252,2022-09-30,3.13,0.0026083333333333336,2022-09-30,-0.09339570164348932,0.005941666666666667,0.01638536194580988,0.11167740477768683,-0.07623030300821976,-0.24769521923217352,0.00032450298245718397,0.0005436805912326614,0.4,0.01885051170545337,0.11167913774507
2022-10-31,0.013016109963750298,0.08405121852962237,-0.07103510856587207,1.9999999999999993,0.0,5.551115123125783e-17,0.0,0.050000000000000024,0.26624100704928716,False,1.0,138,121,259,2022-10-31,3.72,0.0031000000000000003,2022-10-31,0.07986345457689326,0.006433333333333334,0.009682776630416964,0.03727382436926443,-0.06420641505099445,-0.18761356054534262,0.00036179912238724996,0.0005583982806966091,0.3999999999999999,0.012095912560666437,0.03720202015398619
2022-11-30,-0.006329251779157738,0.0681224535029111,-0.07445170528206885,1.9999999999999991,5.551115123125783e-17,-1.1102230246251565e-16,2.220446049250313e-16,0.05,0.24671703154249225,False,1.0,131,116,247,2022-11-30,4.15,0.0034583333333333337,2022-11-30,0.053752860293699856,0.006791666666666667,-0.009662585112491072,0.027932655212150145,-0.07012928826345743,-0.14394546576084022,0.000340892179998747,0.0005679129926635058,0.4,-0.0072380569518199905,0.02784124995972956
2022-12-31,0.027461315677397076,-0.06361417218167448,0.09107548785907156,1.9999999999999996,-1.942890293094024e-16,1.3877787807814457e-16,1.1102230246251565e-16,0.049999999999999996,0.2489538477481863,False,1.0,128,115,243,2022-12-31,4.25,0.003541666666666667,2022-12-31,-0.058971449299161094,0.006875000000000001,0.024127982344063742,-0.02948628343551442,-0.04459381510929439,-0.19442824232404177,0.00033186991092059166,0.0005593111695853495,0.4,0.026570134596891136,-0.029598752944849063
2023-01-31,-0.02578898622484701,0.08803850513143185,-0.11382749135627887,2.0,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,0.05,0.2614130073536147,False,1.0,132,122,254,2023-01-31,4.54,0.0037833333333333334,2023-01-31,0.06175283240005203,0.007116666666666667,-0.029122319558180343,-0.05518251779761356,-0.06923277205057432,-0.144681904586063,0.00032173762840664237,0.0005705502114730246,0.3999999999999999,-0.026681274064726677,-0.05527707103954328
2023-02-28,0.033933915209108545,-0.00858892689141459,0.04252284210052312,1.9999999999999996,8.326672684688674e-17,-2.7755575615628914e-17,-1.942890293094024e-16,0.05000000000000002,0.26635326981018614,False,1.0,123,117,240,2023-02-28,4.65,0.0038750000000000004,2023-02-28,-0.026112446646715304,0.007208333333333334,0.03060058187577521,-0.08532355365776648,-0.03764819585792156,-0.16701635271852955,0.0003233262315351051,0.0005502626507777827,0.3999999999999999,0.03306032632679566,-0.08541811147821558
2023-03-31,0.06440278532604024,0.020174015256599603,0.044228770069440634,1.9999999999999998,1.1102230246251565e-16,4.163336342344337e-16,-2.7755575615628914e-16,0.05,0.2558429804264622,False,1.0,120,121,241,2023-03-31,4.69,0.003908333333333334,2023-03-31,0.03505157235872702,0.007241666666666667,0.06106945199270691,-0.003382846692519507,0.0,-0.1378189661322068,0.0003344691561084354,0.00053895413350454,0.3999999999999999,0.06352936203642727,-0.0034509466599795605
