target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,-0.0440781267681555,0.003949939384037466,-0.048028066152192954,1.9999999999999982,5.551115123125783e-17,-5.551115123125783e-17,-5.273559366969494e-16,0.05,0.2445111718490884,False,1.0,101,101,202,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.047411460101488834,,-0.04407812676815548,-0.011136640158463607,0.0016556865131988705,0.0005348166894434079,1.9999999999999987,-0.046268629970797774,
2021-02-28,0.03004366954188611,0.08467133916700106,-0.05462766962511496,1.999999999999999,0.0,-1.6653345369377348e-16,2.7755575615628914e-17,0.05,0.25181889086510834,False,1.0,105,105,210,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,0.026710336208552777,,-0.015358725900917136,0.0,0.00034778395830796125,0.0005345212221539664,0.4000000000000002,0.029161364361424184,
2021-03-31,0.0430714537348833,0.04324987859263496,-0.00017842485775166456,1.9999999999999987,2.220446049250313e-16,0.0,1.3877787807814457e-16,0.05,0.25508148103010203,False,1.0,107,106,213,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.03973812040154997,,0.0,0.0,0.00033505017476471196,0.0005255308737281008,0.4,0.04221087268639049,
2021-04-30,0.061838668120986866,0.052750779601626815,0.00908788851936006,1.9999999999999991,5.551115123125783e-17,-5.551115123125783e-17,2.220446049250313e-16,0.050000000000000044,0.27447976681682174,False,1.0,109,112,221,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.05850533478765353,,0.0,0.0,0.0003415711770353234,0.0005280390989320758,0.3999999999999999,0.060969057845019464,
2021-05-31,0.0246336899733147,0.01642358657531584,0.008210103397998863,1.999999999999999,5.551115123125783e-17,-6.106226635438361e-16,1.1102230246251565e-16,0.05000000000000002,0.28218355205268375,False,1.0,109,112,221,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.021300356639981366,,0.0,0.0,0.0003403435475800872,0.0005308891099162308,0.4,0.02376245731581838,
2021-06-30,-0.05627825460235824,0.011505418757636169,-0.06778367335999441,1.9999999999999987,2.220446049250313e-16,-1.3877787807814457e-16,-2.7755575615628914e-17,0.05000000000000001,0.2971962610692538,False,1.0,111,114,225,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.05961158793569157,,-0.056278254602358246,0.0,0.0003325532532532981,0.0005356999767027572,0.3999999999999999,-0.05714650783231429,
2021-07-31,0.08205652803386923,0.008040857670569775,0.07401567036329947,1.9999999999999991,-1.1102230246251565e-16,-3.0531133177191805e-16,-4.440892098500626e-16,0.05,0.29298002761316466,False,1.0,113,114,227,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.0787231947005359,,0.0,0.0,0.00032651047278715997,0.0005481645153118249,0.4000000000000001,0.08118185304577025,
2021-08-31,0.034115864793581765,0.03635089858072367,-0.0022350337871419024,1.9999999999999987,4.163336342344337e-16,-5.551115123125783e-17,2.220446049250313e-16,0.05000000000000003,0.30503305843194517,False,1.0,115,115,230,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.03078253146024843,,0.0,0.0,0.00035268923142315527,0.0005511932369110987,0.3999999999999997,0.03321198232524751,
2021-09-30,-0.025261408881071475,-0.048767693827885816,0.023506284946814355,1.9999999999999991,-8.326672684688674e-17,-2.220446049250313e-16,-1.6653345369377348e-16,0.05,0.30752626866783594,False,1.0,115,113,228,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.02859474221440481,,-0.025261408881071423,-0.047569140421166445,0.0003443627974220382,0.0005564413816228677,0.40000000000000047,-0.02616221306011638,
2021-10-31,0.028919978104940118,0.05404665883941771,-0.025126680734477602,1.9999999999999991,1.942890293094024e-16,-1.6653345369377348e-16,1.1102230246251565e-16,0.05000000000000003,0.31069058082267825,False,1.0,121,116,237,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.025586644771606784,,0.0,0.0,0.00036252305409811386,0.0005538040184344899,0.3999999999999999,0.02800365103240751,
2021-11-30,0.02064305734511361,-0.03247610806538068,0.05311916541049429,1.9999999999999993,1.1102230246251565e-16,-2.498001805406602e-16,0.0,0.05,0.3145384947801182,False,1.0,116,116,232,2021-11-30,0.05,4.1666666666666665e-05,2021-11-30,-0.00833373141847149,0.0033750000000000004,0.017309724011780277,,0.0,-0.00833373141847149,0.00035435268816555996,0.0005351341362253202,0.4000000000000001,0.01975357052072273,
2021-12-31,0.04422019321666405,0.04104149636029561,0.0031786968563684397,1.999999999999999,1.3877787807814457e-16,3.0531133177191805e-16,3.3306690738754696e-16,0.05000000000000001,0.30925208073214105,False,1.0,121,119,240,2021-12-31,0.06,4.9999999999999996e-05,2021-12-31,0.04361287497262989,0.0033833333333333337,0.04088685988333072,0.7177351697807499,0.0,0.0,0.0003492360415947611,0.0005444697618997856,0.39999999999999997,0.04332648741316951,0.7214442817002041
2022-01-31,0.01900527781822539,-0.08785027854731471,0.1068555563655401,1.999999999999999,-1.1102230246251565e-16,-4.996003610813204e-16,1.1102230246251565e-16,0.05000000000000002,0.31950766682133297,False,1.0,120,119,239,2022-01-31,0.15,0.000125,2022-01-31,-0.05258508910699977,0.0034583333333333337,0.015671944484892057,0.40983570452937595,0.0,-0.05258508910699977,0.0003486237929248691,0.0005570302320556833,0.3999999999999999,0.01809962379324484,0.40994357036911727
2022-02-28,-0.024603820004770266,-0.006703326468465067,-0.017900493536305205,2.0,1.942890293094024e-16,2.7755575615628914e-16,-1.6653345369377348e-16,0.050000000000000024,0.29065008215727073,False,1.0,130,119,249,2022-02-28,0.33,0.000275,2022-02-28,-0.03136052086678265,0.0036083333333333336,-0.0279371533381036,0.4853609376722376,-0.024603820004770238,-0.08229651418956074,0.0003172772305974668,0.0005448139332380861,0.3999999999999998,-0.025465911168605818,0.4853920221320775
