target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,-0.0028058112355395376,0.028784500000000005,-0.03159031123553954,1.9999999999999987,7.771561172376096e-16,6.38378239159465e-16,6.938893903907228e-17,0.050000000000000724,0.19500000000000003,False,1.0,100,102,202,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.006139144568872872,,-0.0028058112355395792,-0.011136640158463607,0.0015399999999999993,0.0005162499999999995,1.9999999999999993,-0.004862061235539537,
2021-02-28,-0.025599269523763495,0.036101596540911954,-0.06170086606467545,1.9999999999999987,0.0,-3.191891195797325e-16,-9.71445146547012e-17,0.05000000000000001,0.21683577015488867,False,1.0,105,108,213,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.02893260285709683,,-0.028333254041251643,0.0,0.00034849371956364924,0.0005201712549999996,0.40000000000000024,-0.026467934498327145,
2021-03-31,0.04696968651834928,0.05370709190638319,-0.006737405388033917,1.999999999999999,2.7755575615628914e-17,-1.5265566588595902e-16,-8.326672684688674e-17,0.05000000000000001,0.2342148827266478,False,1.0,106,111,217,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.04363635318501594,,0.0,0.0,0.0003362742299319331,0.0005151550734345135,0.39999999999999986,0.04611825721498283,
2021-04-30,0.06029610280712235,0.06219439823226246,-0.001898295425140101,1.999999999999999,0.0,-4.996003610813204e-16,-8.326672684688674e-17,0.05000000000000002,0.2370575199453178,False,1.0,107,117,224,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.05696276947378902,,0.0,0.0,0.00033992867991711147,0.0005105593595763491,0.39999999999999997,0.05944561476762889,
2021-05-31,0.007838936309876362,0.0035723034894861996,0.004266632820390163,1.9999999999999991,0.0,1.3877787807814457e-16,-1.942890293094024e-16,0.05000000000000001,0.2571772031687688,False,1.0,108,116,224,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.004505602976543028,,0.0,0.0,0.00029814117564664895,0.0005260707053065331,0.40000000000000024,0.00701472442892318,
2021-06-30,-0.027330141996408572,0.02902551481381202,-0.05635565681022058,1.9999999999999991,1.942890293094024e-16,-6.106226635438361e-16,-3.3306690738754696e-16,0.05000000000000003,0.27155738916234984,False,1.0,110,114,224,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.030663475329741906,,-0.027330141996408486,0.0,0.0003152189061179343,0.0005274342348515828,0.39999999999999997,-0.02817279513737809,
2021-07-31,0.09337793023145473,0.018025185336308768,0.07535274489514596,1.999999999999999,5.551115123125783e-17,-1.3877787807814457e-16,-3.608224830031759e-16,0.05000000000000002,0.26400438435266105,False,1.0,110,114,224,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.0900445968981214,,0.0,0.0,0.0003175940510539547,0.0005313644432641411,0.4,0.09252897173713663,
2021-08-31,0.019076575728250358,0.028553544413122595,-0.009476968684872236,1.999999999999999,5.551115123125783e-17,-5.551115123125783e-17,-1.1102230246251565e-16,0.05000000000000001,0.27124968180133335,False,1.0,113,115,228,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.015743242394917024,,0.0,0.0,0.00033327025124075074,0.0005281193163538669,0.4000000000000001,0.01821518616065574,
2021-09-30,-0.027161209388858198,-0.04963193607257913,0.02247072668372093,1.9999999999999991,-1.6653345369377348e-16,-2.7755575615628914e-17,5.551115123125783e-17,0.05000000000000001,0.2643751480018532,False,1.0,113,113,226,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.030494542722191532,,-0.027161209388858243,-0.047569140421166445,0.00031681404489222644,0.0005390965008156019,0.40000000000000013,-0.02801711993456603,
2021-10-31,0.052789485093365764,0.08291589322658449,-0.03012640813321872,1.999999999999999,0.0,1.3877787807814457e-16,-1.1102230246251565e-16,0.05000000000000001,0.27110019763629006,False,1.0,113,112,225,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.04945615176003243,,0.0,0.0,0.0003407612216702265,0.0005352078631401019,0.4,0.051913516008555434,
