target_month,permno,ticker,company_name,sector,weight,ret_exc_lead1m,pred,raw_me,raw_beta_60m,raw_betabab_1260d
2021-01-31,10138,TROW,T ROWE PRICE GROUP INC,40,0.01,0.033576,0.07203616636477715,34511.621349999994,1.0879939131782328,1.0447748048344314
2021-01-31,10421,SKYW,SKYWEST INC,20,0.01,-0.032791999999999995,-0.00012457187468050435,2022.79611,2.0228977755474795,1.9015477851651355
2021-01-31,10516,ADM,ARCHER DANIELS MIDLAND CO,30,-0.01,-0.007980999999999999,-0.05277707842242291,28047.569489999998,0.8030839518074745,0.7205563783363119
2021-01-31,10874,BC,BRUNSWICK CORP,25,0.01,0.134004,0.025594745774417615,5972.87032,1.8805612925918593,1.3258398749533549
2021-01-31,11343,SAFM,SANDERSON FARMS INC,30,-0.01,0.030136,-0.005706721253737116,2951.4972,0.4992062716453463,0.3498804421724856
2021-01-31,11404,ED,CONSOLIDATED EDISON INC,55,-0.01,-0.020663,-0.024963750089424558,24724.723319999997,0.06843778502188218,0.335082808941939
2021-01-31,12373,HHC,HOWARD HUGHES CORP,60,-0.01,0.091681,-0.08872234378280024,4335.07239,1.5155344419759238,1.23877374676364
2021-01-31,12448,FRC,FIRST REPUBLIC BANK S F NEW,40,-0.01,-0.011907,-0.05631349288211332,25167.34584,1.0294668176987087,0.8633316755002021
2021-01-31,12477,WD,WALKER & DUNLOP INC,40,-0.01,-0.10545800000000001,-0.06582336965349474,2873.50854,1.3225012401089153,1.231944776936626
2021-01-31,13035,XYL,XYLEM INC,20,0.01,-0.051132,0.0719867917879839,18345.815280000003,0.9497728866535587,0.9410994274347048
2021-01-31,13168,TRIP,TRIPADVISOR INC,50,-0.01,0.07604899999999999,-0.09092166513126491,3509.17418,1.403201742892156,1.0926197559484307
2021-01-31,13323,ENPH,ENPHASE ENERGY INC,45,-0.01,0.039163,-0.06555119503300065,22628.96214,1.5819578937095875,1.0404748342566696
2021-01-31,13326,MTSI,MACOM TECHNOLOGY SOLS HLDS INC,45,0.01,0.033021,0.06385941977906613,3761.6537599999997,2.216339123309515,0.9907505850551114
