target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,0.06039956194922244,0.051983958714845735,0.00841560323437671,1.9999999999999982,-1.3877787807814457e-17,4.440892098500626e-16,-4.163336342344337e-16,0.05,0.23328008967401526,False,1.0,104,103,207,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,0.05706622861588911,,0.0,-0.011136640158463607,0.001585566925122062,0.0004413018099013096,1.9999999999999987,0.05837269321419907,
2021-02-28,-0.03857036896436846,0.05372781652315914,-0.09229818548752758,1.9999999999999993,-2.7755575615628914e-17,-5.551115123125783e-17,5.551115123125783e-17,0.05000000000000001,0.2208477004334395,False,1.0,110,108,218,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.041903702297701795,,-0.038570368964368495,0.0,0.0003198260162826438,0.000442308080297206,0.40000000000000013,-0.039332503060948314,
2021-03-31,0.11968639828654727,0.08303559057017754,0.03665080771636974,1.9999999999999987,1.1102230246251565e-16,-2.220446049250313e-16,-3.0531133177191805e-16,0.05,0.22978077852250442,True,1.5,114,109,223,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.11635306495321394,,0.0,0.0,0.0005238572884203018,0.00044440187471533925,0.6,0.11871813912341163,
2021-04-30,-0.004328185030398641,0.02276233379583673,-0.027090518826235366,1.9999999999999991,5.551115123125783e-17,3.608224830031759e-16,3.608224830031759e-16,0.05000000000000001,0.21876134791171808,False,1.0,114,112,226,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,-0.007661518363731974,,-0.004328185030398668,0.0,0.00032857007139236693,0.0004555532859861191,0.4,-0.0051123083877771276,
2021-05-31,0.06553899224778637,0.028523364987941998,0.03701562725984437,1.9999999999999987,-8.326672684688674e-17,-1.1102230246251565e-16,-1.1102230246251565e-16,0.05000000000000002,0.20517017927628345,False,1.0,116,113,229,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.06220565891445303,,0.0,0.0,0.0003386503307862799,0.0004496738615198527,0.3999999999999998,0.06475066805548023,
2021-06-30,-0.05187249926193776,0.0015297655058490707,-0.053402264767786825,1.9999999999999993,-2.498001805406602e-16,0.0,3.885780586188048e-16,0.05,0.19692397000745612,False,1.0,116,116,232,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.05520583259527109,,-0.05187249926193771,0.0,0.000336630061720658,0.00044793464518863866,0.3999999999999998,-0.052657063968847055,
2021-07-31,0.018651792784923703,-0.0115288880157271,0.03018068080065081,1.999999999999999,-8.326672684688674e-17,1.6653345369377348e-16,-4.996003610813204e-16,0.05000000000000001,0.19912741700101416,False,1.0,118,115,233,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.015318459451590369,,-0.03418822158448376,0.0,0.00034038175098994857,0.00042992758959716,0.4000000000000001,0.017881483444336595,
2021-08-31,0.016063905276426323,0.025647268739533324,-0.009583363463107009,1.9999999999999998,1.1102230246251565e-16,-1.1102230246251565e-16,-3.885780586188048e-16,0.05000000000000003,0.20891396104872942,False,1.0,116,123,239,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.012730571943092989,,-0.01867351266116002,0.0,0.00031230419280955696,0.0004339904807322473,0.3999999999999998,0.015317610602884519,
2021-09-30,-0.012955404305458825,-0.038390676067825764,0.025435271762366936,1.9999999999999998,-1.6653345369377348e-16,-1.942890293094024e-16,3.0531133177191805e-16,0.05000000000000002,0.21364363202810227,False,1.0,117,124,241,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.01628873763879216,,-0.03138699406029044,-0.047569140421166445,0.0003214630329733022,0.0004304752632306946,0.3999999999999998,-0.013707342601662821,
2021-10-31,-0.0373775530363657,0.031248122469867513,-0.0686256755062332,2.0,-1.942890293094024e-16,-1.3877787807814457e-16,-1.6653345369377348e-16,0.05000000000000002,0.21492734648909026,False,1.0,119,125,244,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,-0.04071088636969904,,-0.0675913780615156,0.0,0.000340802911617397,0.00043879626903972895,0.4,-0.03815715221702282,
2021-11-30,0.03535335156029402,-0.021791187581736655,0.057144539142030666,1.9999999999999993,8.326672684688674e-17,5.551115123125783e-17,0.0,0.05000000000000001,0.2210201126498359,False,1.0,119,119,238,2021-11-30,0.05,4.1666666666666665e-05,2021-11-30,-0.00833373141847149,0.0033750000000000004,0.032020018226960684,,-0.03462760825227518,-0.00833373141847149,0.00031391071996245254,0.0004333992993087654,0.4,0.0346060415410228,
2021-12-31,0.06377170446019378,0.05314620669018435,0.010625497770009425,1.9999999999999993,1.6653345369377348e-16,-4.996003610813204e-16,-4.440892098500626e-16,0.05000000000000002,0.2323535383374167,False,1.0,123,126,249,2021-12-31,0.06,4.9999999999999996e-05,2021-12-31,0.04361287497262989,0.0033833333333333337,0.06043837112686045,-0.09084487630644224,0.0,0.0,0.000340791458657691,0.0004417548982158442,0.39999999999999986,0.06298915810332026,-0.08791186118481185
2022-01-31,0.06200260974574725,-0.0540273067321622,0.11602991647790943,1.9999999999999991,3.7470027081099033e-16,5.551115123125783e-17,5.551115123125783e-16,0.050000000000000024,0.2365981063135477,False,1.0,120,127,247,2022-01-31,0.15,0.000125,2022-01-31,-0.05258508910699977,0.0034583333333333337,0.058669276412413915,-0.1833447219232184,0.0,-0.05258508910699977,0.0003371204653436567,0.00043781592587128316,0.3999999999999999,0.06122767335453231,-0.18381696963637625
2022-02-28,-0.014643294912043194,-0.00962613308273406,-0.005017161829309133,1.9999999999999991,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,0.05000000000000002,0.2349479682671986,False,1.0,125,135,260,2022-02-28,0.33,0.000275,2022-02-28,-0.03136052086678265,0.0036083333333333336,-0.017976628245376526,-0.02957925691563688,-0.014643294912043192,-0.08229651418956074,0.00033164142663327507,0.000444465646157195,0.39999999999999997,-0.015419401984833664,-0.030043259148156674
2022-03-31,-7.470742481277895e-05,0.016361050662604754,-0.016435758087417533,2.000000000000001,-8.326672684688674e-17,0.0,2.7755575615628914e-16,0.05000000000000001,0.2466714241188926,False,1.0,125,135,260,2022-03-31,0.44,0.00036666666666666667,2022-03-31,0.03577323877328009,0.0037,-0.0034080407581461125,-0.2376729294876124,-0.014716908374002191,-0.04946728826859237,0.00033873898766473027,0.0004547635989896856,0.3999999999999999,-0.0008682100114671948,-0.23782917947672672
2022-04-30,0.05700203273844898,-0.05979661811080291,0.1167986508492519,1.9999999999999987,4.163336342344337e-17,-1.3877787807814457e-16,2.7755575615628914e-16,0.05,0.2504743480985278,False,1.0,125,130,255,2022-04-30,0.76,0.0006333333333333333,2022-04-30,-0.08795671914903935,0.003966666666666667,0.05366869940511564,-0.30377499286277737,0.0,-0.13307302703632662,0.00034359740976257246,0.0004566085492103133,0.4,0.05620182677947609,-0.3037629456470829
2022-05-31,0.05886143548572985,0.030068976272010328,0.028792459213719524,1.999999999999998,9.71445146547012e-17,1.3877787807814457e-16,-1.6653345369377348e-16,0.05000000000000004,0.2541747934138189,False,1.0,126,134,260,2022-05-31,0.98,0.0008166666666666666,2022-05-31,5.324388360872234e-05,0.00415,0.055528102152396515,-0.31698468926634366,0.0,-0.1330268684774809,0.00033752850264984555,0.00046731879456722315,0.39999999999999997,0.058056588188512774,-0.3169689487465992
2022-06-30,-0.04188949615395799,-0.11385828238491048,0.07196878623095247,1.9999999999999991,-1.457167719820518e-16,-4.996003610813204e-16,2.498001805406602e-16,0.05000000000000001,0.2641674416238193,False,1.0,124,135,259,2022-06-30,1.49,0.0012416666666666667,2022-06-30,-0.08391999322386645,0.004575,-0.045222829487291324,-0.0328762923758543,-0.041889496153958095,-0.20578324780012514,0.0003248882861112258,0.00045746383254655293,0.40000000000000024,-0.04267184827261577,-0.03283804293606116
2022-07-31,-0.024816659173557853,0.08786505411449186,-0.11268171328804971,1.9722163896476632,6.938893903907228e-18,2.7755575615628914e-17,6.938893903907228e-18,0.05000000000000001,0.239893299215774,False,1.0,128,140,268,2022-07-31,2.23,0.0018583333333333334,2022-07-31,0.09111634763220589,0.005191666666666667,-0.028149992506891187,-0.1302315892118332,-0.06566659797851104,-0.1334171181113598,0.0003553725717309835,0.0004714227557722821,0.40000000000000013,-0.02564345450106112,-0.13033168612432586
2022-08-31,-0.03147293939377484,-0.04090320452193052,0.00943026512815568,1.9999999999999987,-1.3877787807814457e-17,-6.938893903907228e-17,-5.551115123125783e-17,0.05000000000000001,0.23245175033633633,False,1.0,124,130,254,2022-08-31,2.63,0.002191666666666667,2022-08-31,-0.04244011921681046,0.005525,-0.03480627272710817,-0.09169848278442222,-0.09507281651391286,-0.17019499892996082,0.0003379552120826547,0.0004608289998251074,0.39999999999999986,-0.0322717236056826,-0.09181707816333183
2022-09-30,-0.017001563228332274,-0.10681057015536388,0.0898090069270316,1.9999999999999996,-1.3877787807814457e-17,1.5959455978986625e-16,5.551115123125783e-17,0.050000000000000024,0.21512650079126436,False,1.0,128,130,258,2022-09-30,3.13,0.0026083333333333336,2022-09-30,-0.09339570164348932,0.005941666666666667,-0.020334896561665608,-0.04709567220069848,-0.11045799324098826,-0.24769521923217352,0.00034220158659023357,0.000461581791566034,0.3999999999999999,-0.017805346606488543,-0.04713796653307056
2022-10-31,0.07034095269575366,0.13983076869334127,-0.06948981599758762,1.957142335021588,4.163336342344337e-17,-3.885780586188048e-16,2.42861286636753e-16,0.05000000000000001,0.20335095862741753,False,1.0,132,135,267,2022-10-31,3.72,0.0031000000000000003,2022-10-31,0.07986345457689326,0.006433333333333334,0.06700761936242033,0.16280895390819347,-0.04788676102266676,-0.18761356054534262,0.0003522879134041806,0.00045534585918746484,0.3999999999999999,0.06953331892316202,0.16271322258887821
2022-11-30,0.006911408081873984,0.05334371008661307,-0.0464323020047391,1.9999999999999998,2.0816681711721685e-17,-2.983724378680108e-16,1.734723475976807e-16,0.049999999999999996,0.18583390745860748,False,1.0,127,130,257,2022-11-30,4.15,0.0034583333333333337,2022-11-30,0.053752860293699856,0.006791666666666667,0.0035780747485406506,0.1365517356998322,-0.04130631788793959,-0.14394546576084022,0.00034806372937631826,0.00044469666380787527,0.4,0.006118647688689791,0.13646167707316398
2022-12-31,-0.002237193634506444,-0.06268775218159894,0.06045055854709249,1.9999999999999993,1.942890293094024e-16,-5.551115123125783e-17,2.498001805406602e-16,0.05,0.18448351980293215,False,1.0,122,127,249,2022-12-31,4.25,0.003541666666666667,2022-12-31,-0.058971449299161094,0.006875000000000001,-0.005570526967839778,0.09444528622171901,-0.04345110129100216,-0.19442824232404177,0.0003368885811802511,0.0004425240758820206,0.4000000000000001,-0.0030166062915687156,0.09432251009767158
