target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,0.013550089695610387,0.034300269970783094,-0.0207501802751727,1.9999999999999982,0.0,1.1102230246251565e-16,-3.608224830031759e-16,0.05,0.23612269515266038,False,1.0,101,101,202,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,0.010216756362277053,,0.0,-0.011136640158463607,0.0015986129227435247,0.0004668807027398916,1.9999999999999987,0.01148459607012697,
2021-02-28,-0.029471946214033845,0.04808060905031159,-0.07755255526434543,1.9999999999999982,0.0,-3.3306690738754696e-16,-3.0531133177191805e-16,0.05,0.24500000000000002,False,1.0,101,101,202,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.03280527954736718,,-0.029471946214033817,0.0,0.0005589440990578362,0.0004602577908696288,0.677842036011032,-0.03049114810396131,
2021-03-31,0.1130798188643303,0.06417123886433031,0.04890857999999999,1.9999999999999991,-7.216449660063518e-16,-1.0547118733938987e-15,-1.1934897514720433e-15,0.05,0.23500000000000004,False,1.0,102,100,202,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.10974648553099697,,0.0,0.0,0.0006993894258261267,0.00045249999999999994,0.8383757887559982,0.11192792943850417,
2021-04-30,0.027787370923717022,0.04189600999999992,-0.01410863907628291,1.9999999999999982,0.0,0.0,-4.440892098500626e-16,0.05,0.265,False,1.0,100,101,201,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.024454037590383688,,0.0,0.0,0.0007578168468097864,0.00046749999999999944,0.9360174788862499,0.026562054076907236,
2021-05-31,0.08441415841270591,0.033474230000000015,0.05093992841270591,1.9999999999999982,0.0,2.7755575615628914e-16,-1.6653345369377348e-16,0.05,0.2749999999999993,False,1.0,100,102,202,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.08108082507937259,,0.0,0.0,0.0005986075762907308,0.000469885490205198,0.7440240948976624,0.08334566534620999,
2021-06-30,-0.08391066413992876,-0.012089693868870889,-0.07182097027105787,1.9999999999999982,0.0,-3.3306690738754696e-16,-1.1102230246251565e-16,0.05,0.28500000000000003,False,1.0,102,101,203,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.08724399747326209,,-0.08391066413992876,0.0,0.0005816932634767965,0.00046651808930234576,0.7085840635424168,-0.08495887549270789,
2021-07-31,0.0641358612553326,0.024920451625736476,0.03921540962959614,1.9999999999999982,0.0,7.216449660063518e-16,-5.551115123125783e-17,0.05,0.265,False,1.0,102,101,203,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.06080252792199927,,-0.025156485597717326,0.0,0.00045691785996271426,0.0004619542997837368,0.5558123066902638,0.06321698909558615,
2021-08-31,0.022664660860402683,0.033438757219619045,-0.010774096359216355,1.9999999999999991,-7.771561172376096e-16,1.1102230246251565e-15,-3.3306690738754696e-16,0.05,0.22500000000000003,False,1.0,101,101,202,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.01933132752706935,,-0.0030619879518266613,0.0,0.0008280699676811125,0.00046374999999999997,1.0141707882007887,0.02137284089272157,
2021-09-30,-0.009115103421356146,-0.044596069999999995,0.03548096657864386,1.9999999999999996,1.1102230246251565e-16,5.551115123125783e-17,-9.992007221626409e-16,0.05,0.22500000000000003,False,1.0,100,102,202,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.01244843675468948,,-0.012149181036327006,-0.047569140421166445,0.0005359951651006861,0.00047499999999999994,0.6540889722321384,-0.010126098586456831,
2021-10-31,0.024343032480647488,0.043425303768177444,-0.01908227128752995,1.9999999999999982,0.0,-3.3306690738754696e-16,-2.7755575615628914e-16,0.05,0.2409038962484525,False,1.0,102,102,204,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.021009699147314154,,0.0,0.0,0.0006656037869465623,0.0004712693924614273,0.7967803623792092,0.0232061593012395,
2021-11-30,0.06052795340825734,-0.014786437609600939,0.0753143910178583,1.9999999999999982,0.0,3.885780586188048e-16,-3.3306690738754696e-16,0.05,0.25500000000000006,False,1.0,101,102,203,2021-11-30,0.05,4.1666666666666665e-05,2021-11-30,-0.00833373141847149,0.0033750000000000004,0.057194620074924006,,0.0,-0.00833373141847149,0.0007370909796489458,0.0004674999999999995,0.8873597303344309,0.05932336242860839,
2021-12-31,0.07176459532114941,0.06583010999999989,0.005934485321149536,1.9999999999999982,0.0,7.771561172376096e-16,3.3306690738754696e-16,0.05,0.23500000000000004,False,1.0,100,102,202,2021-12-31,0.06,4.9999999999999996e-05,2021-12-31,0.04361287497262989,0.0033833333333333337,0.06843126198781609,0.30482292008137263,0.0,0.0,0.0006722705141816988,0.0004884060434449083,0.7704433450304262,0.0706039187635228,0.30643396677926826
2022-01-31,0.041540042434065075,-0.0784255599999999,0.11996560243406498,1.9999999999999982,1.1102230246251565e-16,-2.220446049250313e-16,7.771561172376096e-16,0.05,0.25499999999999934,False,1.0,100,102,202,2022-01-31,0.15,0.000125,2022-01-31,-0.05258508910699977,0.0034583333333333337,0.03820670910073174,0.13922539556467994,0.0,-0.05258508910699977,0.0004792346075232941,0.00048249999999999975,0.5918801430163131,0.04057830782654179,0.1377562791955525
2022-02-28,-0.005761951894631383,-0.0021948762952010872,-0.0035670755994302956,1.9999999999999982,-1.1102230246251565e-16,5.551115123125783e-16,2.220446049250313e-16,0.05,0.24500000000000002,False,1.0,101,101,202,2022-02-28,0.33,0.000275,2022-02-28,-0.03136052086678265,0.0036083333333333336,-0.009095285227964716,0.26812613249643347,-0.005761951894631356,-0.08229651418956074,0.000521830688776799,0.0004899999999999994,0.623757643421224,-0.006773782583408181,0.2665405502999813
2022-03-31,-0.03226790630679725,0.0010357505824932726,-0.033303656889290524,1.9999999999999982,1.1102230246251565e-16,-3.3306690738754696e-16,3.3306690738754696e-16,0.05,0.22356604978145947,False,1.0,101,101,202,2022-03-31,0.44,0.00036666666666666667,2022-03-31,0.03577323877328009,0.0037,-0.03560123964013059,0.03884285046248178,-0.037843932077548326,-0.04946728826859237,0.0009976327337238126,0.0004637499999999995,1.2226642388330826,-0.03372928904052107,0.036811786100924074
2022-04-30,0.07106533115459346,-0.05116021884540651,0.12222554999999997,1.9999999999999984,0.0,6.106226635438361e-16,-1.1102230246251565e-16,0.05,0.21500000000000002,False,1.0,102,100,202,2022-04-30,0.76,0.0006333333333333333,2022-04-30,-0.08795671914903935,0.003966666666666667,0.06773199782126013,-0.16652575745392362,0.0,-0.13307302703632662,0.0006077674489037797,0.0004824999999999995,0.7490817103120627,0.06997506370568968,-0.16789023798135763
2022-05-31,0.06737515555437439,0.026692277080004254,0.04068287847437013,1.9999999999999982,0.0,-1.6653345369377348e-16,1.6653345369377348e-16,0.05,0.23654442927783312,False,1.0,101,101,202,2022-05-31,0.98,0.0008166666666666666,2022-05-31,5.324388360872234e-05,0.00415,0.06404182222104106,-0.18208236452831214,0.0,-0.1330268684774809,0.0005078480671997328,0.0004838347095095467,0.6298958619834472,0.0663834727776651,-0.1834610887239665
2022-06-30,-0.026801660078609416,-0.10533350197279072,0.07853184189418132,1.9999999999999982,0.0,-3.885780586188048e-16,-3.885780586188048e-16,0.05,0.2272281320263168,False,1.0,102,101,203,2022-06-30,1.49,0.0012416666666666667,2022-06-30,-0.08391999322386645,0.004575,-0.03013499341194275,0.10158066542261746,-0.0268016600786094,-0.20578324780012514,0.0005503513703925902,0.0004674999999999995,0.6518825441584541,-0.027819511449002004,0.10017324205595664
2022-07-31,0.014715957381149447,0.10833206,-0.09361610261885055,1.9999999999999996,0.0,1.1102230246251565e-16,-3.885780586188048e-16,0.05,0.25529401347420877,False,1.0,100,102,202,2022-07-31,2.23,0.0018583333333333334,2022-07-31,0.09111634763220589,0.005191666666666667,0.011382624047816113,0.01866909626779814,-0.012480114784920726,-0.1334171181113598,0.000831163870140085,0.0004928055324137598,1.0391427773061204,0.013391987978595603,0.016900007589076425
