target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,0.01536440396581491,0.035609164161035906,-0.020244760195220993,1.9999999999999982,0.0,-3.885780586188048e-16,-3.3306690738754696e-16,0.05,0.2358560531317227,False,1.0,101,101,202,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,0.012031070632481575,,0.0,-0.011136640158463607,0.001576122926029722,0.00046116321444668806,1.9999999999999984,0.013327117825338498,
2021-02-28,-0.024176404728730103,0.0496196586671917,-0.0737960633959218,1.9999999999999982,0.0,0.0,-4.440892098500626e-16,0.05,0.24500000000000005,False,1.0,101,102,203,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.027509738062063437,,-0.02417640472873006,0.0,0.0003785757520987164,0.0004625493750462468,0.4537723407614046,-0.025017529855875065,
2021-03-31,0.11746712522569866,0.06812009677957702,0.04934702844612162,1.9999999999999982,-5.551115123125783e-17,2.7755575615628914e-16,1.942890293094024e-16,0.05,0.23500000000000004,False,1.0,101,101,202,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.11413379189236533,,0.0,0.0,0.0003752694144776473,0.00044874999999999977,0.4644687068997283,0.11664310581122102,
2021-04-30,0.01242978404116054,0.038111418165179836,-0.025681634124019297,1.9999999999999991,7.216449660063518e-16,-5.551115123125783e-17,-1.6653345369377348e-16,0.05,0.255,False,1.0,101,101,202,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.009096450707827206,,0.0,0.0,0.0006930728143506489,0.0004632742638392305,0.8252766214964379,0.01127343696297066,
2021-05-31,0.05702326259432719,0.01977372,0.037249542594327195,1.9999999999999998,1.1102230246251565e-16,7.771561172376096e-16,-5.551115123125783e-17,0.05,0.275,False,1.0,100,102,202,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.053689929260993856,,0.0,0.0,0.0004765008929432371,0.0004766564288803106,0.5873107892517034,0.05607010527250364,
2021-06-30,-0.07454180919021085,-0.00601856268654379,-0.06852324650366705,1.9999999999999982,0.0,3.885780586188048e-16,-4.440892098500626e-16,0.05,0.274813506972543,False,1.0,101,101,202,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.07787514252354417,,-0.0745418091902108,0.0,0.0004725548952216214,0.0004712499999999995,0.5543627774056727,-0.07548561408543247,
2021-07-31,0.06144115518130415,0.02388592070966102,0.037555234471643134,1.9999999999999982,0.0,3.3306690738754696e-16,-1.6653345369377348e-16,0.05,0.2596650602996983,False,1.0,101,101,202,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.058107821847970816,,-0.017680588874857572,0.0,0.00033936567709791604,0.00045799939761238665,0.4051102393448097,0.06064379010659385,
2021-08-31,0.028666613212592073,0.031943874671211056,-0.003277261458618976,1.999999999999998,1.1102230246251565e-16,7.216449660063518e-16,4.440892098500626e-16,0.05,0.24500000000000002,False,1.0,101,101,202,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.02533327987925874,,0.0,0.0,0.0003788681072239493,0.00045249999999999945,0.4466452306287294,0.027835245105368125,
2021-09-30,-0.014103886090352527,-0.0507645599999999,0.03666067390964737,1.9999999999999982,-5.551115123125783e-17,6.661338147750939e-16,-5.551115123125783e-17,0.05,0.25500000000000006,False,1.0,100,102,202,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.01743721942368586,,-0.014103886090352624,-0.047569140421166445,0.0003848676922325417,0.0004562499999999998,0.4500914473600805,-0.014945003782585068,
2021-10-31,0.009757248139993069,0.0427583324825272,-0.03300108434253414,1.9999999999999982,0.0,-6.106226635438361e-16,6.661338147750939e-16,0.05,0.24492691521673798,False,1.0,102,101,203,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.006423914806659735,,-0.004484253066681432,0.0,0.0007478462581697392,0.0004562499999999995,0.9222453373024094,0.00855315188182333,
2021-11-30,0.075259391491193,-0.004416666977263665,0.07967605846845668,1.9999999999999982,0.0,3.3306690738754696e-16,0.0,0.05,0.2484528041745105,False,1.0,101,102,203,2021-11-30,0.05,4.1666666666666665e-05,2021-11-30,-0.00833373141847149,0.0033750000000000004,0.07192605815785967,,0.0,-0.00833373141847149,0.000391614580147629,0.0004507046777732654,0.47546787217864983,0.07441707223327211,
2021-12-31,0.0727309381082706,0.06401616193452685,0.008714776173743761,1.9999999999999982,1.1102230246251565e-16,4.440892098500626e-16,7.771561172376096e-16,0.05,0.255,False,1.0,101,101,202,2021-12-31,0.06,4.9999999999999996e-05,2021-12-31,0.04361287497262989,0.0033833333333333337,0.06939760477493727,0.2403305132800539,0.0,0.0,0.0004699652270935533,0.0004656163012648189,0.573111507113524,0.07179535657991222,0.24123057097043768
2022-01-31,0.029275760071943213,-0.09053594,0.11981170007194321,1.9999999999999996,0.0,-7.771561172376096e-16,1.3322676295501878e-15,0.05,0.25500000000000006,False,1.0,100,102,202,2022-01-31,0.15,0.000125,2022-01-31,-0.05258508910699977,0.0034583333333333337,0.02594242673860988,0.14610228867730324,0.0,-0.05258508910699977,0.0004055006220218325,0.00046374999999999997,0.4874163125712696,0.02840650944992138,0.1442196972357295
2022-02-28,-0.008035703105371605,-0.004442132963504432,-0.003593570141867173,1.9999999999999982,0.0,7.771561172376096e-16,0.0,0.05,0.24159713143377115,False,1.0,102,101,203,2022-02-28,0.33,0.000275,2022-02-28,-0.03136052086678265,0.0036083333333333336,-0.01136903643870494,0.26564047709195093,-0.008035703105371605,-0.08229651418956074,0.0006383533494913815,0.0004862499999999995,0.7622700966241798,-0.009160306454862986,0.2644271195705862
2022-03-31,-0.033670658184788836,-0.00966059774759458,-0.02401006043719426,1.9999999999999996,-5.551115123125783e-17,5.551115123125783e-17,4.440892098500626e-16,0.05,0.22500000000000003,False,1.0,101,101,202,2022-03-31,0.44,0.00036666666666666667,2022-03-31,0.03577323877328009,0.0037,-0.03700399151812217,0.0249069343363109,-0.04143579387762508,-0.04946728826859237,0.0005152087072984063,0.0004791444381493458,0.6441480993380697,-0.034665011330236584,0.023379773139243398
2022-04-30,0.0736295986199584,-0.059085019999999995,0.1327146186199584,1.9999999999999996,5.551115123125783e-17,7.771561172376096e-16,0.0,0.05,0.23339767073665132,False,1.0,100,101,201,2022-04-30,0.76,0.0006333333333333333,2022-04-30,-0.08795671914903935,0.003966666666666667,0.07029626528662507,-0.1767809273090371,0.0,-0.13307302703632662,0.00044013168224491255,0.0004790173096242167,0.5156138895742148,0.07271044962808927,-0.17758095916979982
2022-05-31,0.0744657368290674,0.0289586724946439,0.045507064334423496,1.9999999999999982,-5.551115123125783e-17,0.0,1.6653345369377348e-16,0.05,0.24000000000000002,False,1.0,101,102,203,2022-05-31,0.98,0.0008166666666666666,2022-05-31,5.324388360872234e-05,0.00415,0.07113240349573408,-0.18602597727337367,0.0,-0.1330268684774809,0.0005887342137464679,0.0005049999999999995,0.6905633806027931,0.07337200261532092,-0.18682249656443461
2022-06-30,-0.037121877339523476,-0.11006550202142623,0.07294362468190277,1.9999999999999982,1.1102230246251565e-16,-4.996003610813204e-16,-4.996003610813204e-16,0.050000000000000086,0.24000000000000002,False,1.0,102,101,203,2022-06-30,1.49,0.0012416666666666667,2022-06-30,-0.08391999322386645,0.004575,-0.04045521067285681,0.11556744457836195,-0.037121877339523435,-0.20578324780012514,0.0005392627655999082,0.0004873058790949191,0.638954868160219,-0.03814844598421831,0.11511549929178612
2022-07-31,0.028102073317803743,0.1145082696803128,-0.08640619636250906,1.9999999999999982,5.551115123125783e-17,2.220446049250313e-16,1.6653345369377348e-16,0.05,0.24000000000000002,False,1.0,102,102,204,2022-07-31,2.23,0.0018583333333333334,2022-07-31,0.09111634763220589,0.005191666666666667,0.02476873998447041,0.06707611530693006,-0.010063005740409636,-0.1334171181113598,0.0007898484729301013,0.000500775668111616,0.9603012513527485,0.026811449176762026,0.0657858872606413
2022-08-31,-0.06616634255172796,-0.04806437147735891,-0.01810197107436907,1.9999999999999982,-2.7755575615628914e-17,-3.3306690738754696e-16,1.942890293094024e-16,0.05,0.23275840534777334,False,1.0,101,102,203,2022-08-31,2.63,0.002191666666666667,2022-08-31,-0.04244011921681046,0.005525,-0.06949967588506129,0.14589318717333594,-0.07556351600721767,-0.17019499892996082,0.0004296468608927223,0.00047499999999999946,0.5093144305647423,-0.06707098941262069,0.14434996949839526
2022-09-30,0.007058265810874714,-0.09757926992327097,0.10463753573414564,1.9999999999999982,2.7755575615628914e-17,-5.551115123125783e-17,-3.608224830031759e-16,0.05,0.22261675026784666,False,1.0,101,101,202,2022-09-30,3.13,0.0026083333333333336,2022-09-30,-0.09339570164348932,0.005941666666666667,0.0037249324775413804,0.12144232344086242,-0.0690385975779263,-0.24769521923217352,0.00040309327411749887,0.0004824999999999995,0.45970651602772766,0.006172672536757216,0.12000606739140529
2022-10-31,0.05288883763336813,0.13408915332568253,-0.08120031569231441,1.999999999999999,8.604228440844963e-16,1.0547118733938987e-15,6.661338147750939e-16,0.05000000000000081,0.20499999999999963,False,1.0,101,101,202,2022-10-31,3.72,0.0031000000000000003,2022-10-31,0.07986345457689326,0.006433333333333334,0.049555504300034796,0.20297642047337516,-0.019801131122292537,-0.18761356054534262,0.0007108374040247774,0.0004884870708935391,0.8411852575456107,0.051689513158449815,0.20155875889837585
