target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,0.0038448074247051482,0.04036142680185372,-0.036516619377148576,1.9999999999999982,0.0,5.551115123125783e-17,-1.1102230246251565e-16,0.05,0.20499999999999924,False,1.0,101,101,202,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,0.0005114740913718147,,0.0,-0.011136640158463607,0.0016458879828757178,0.0004787499999999998,1.9999999999999987,0.0017201694418294306,
2021-02-28,-0.025928785548521256,0.04756554580822461,-0.07349433135674587,1.9999999999999998,0.006157521023142598,0.027099187574801564,0.013014590303921936,0.055650499172681674,0.21642661421289477,False,1.0,127,117,244,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.02926211888185459,,-0.025928785548521294,0.0,0.00046056995240604376,0.0004660344124765955,0.5559815363467613,-0.026855389913403895,
2021-03-31,0.09938442646611174,0.06721751342140556,0.0321669130447062,2.0,-0.0027332566532509706,0.008357098258946483,-0.010301247853137518,0.054903169819796996,0.21532810203465277,False,1.0,166,132,298,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.09605109313277842,,0.0,0.0,0.0006909090904569026,0.0004650071829590885,0.8212962213603872,0.09822851019269575,
2021-04-30,0.03277367134864282,0.044005568832036025,-0.01123189748339321,2.0,0.053089448235527775,0.07129902028498367,-0.011045176766307424,0.05211441876801266,0.22399070004317406,False,1.0,182,148,330,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.029440338015309486,,0.0,0.0,0.0006039443832918909,0.00046264736545088695,0.7344788708667163,0.03170707959990004,
2021-05-31,0.05379705186444303,0.023414280782308443,0.03038277108213458,1.9999999999999996,0.03479833522051973,0.06368191084291655,-0.03334424461103591,0.061386703646698564,0.22878101606358137,False,1.0,204,161,365,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.050463718531109696,,0.0,0.0,0.0006388554784137914,0.00046401492431844915,0.760808123154085,0.052694181461710794,
2021-06-30,-0.09521625522308502,-0.009246739666886676,-0.08596951555619833,1.9999999999999998,0.051626162920666546,0.07287585813635217,-0.00035196453093727653,0.05668581073548294,0.24010476512542364,False,1.0,224,168,392,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.09854958855641835,,-0.09521625522308508,0.0,0.0006500023305531951,0.00044214486505305344,0.7763922430073844,-0.09630840241869126,
2021-07-31,0.07621473433844247,0.021883674960026404,0.05433105937841606,2.0,-0.028324186414899588,-0.060004945761836154,-0.09083347578081791,0.06232486299665854,0.23738240336219604,False,1.0,227,180,407,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.07288140100510915,,-0.026258402481171395,0.0,0.0005388248943958974,0.0004534480946366284,0.6427102398845823,0.07522246134940995,
2021-08-31,0.015069139037969831,0.030368803198508758,-0.015299664160538927,2.0,0.03007983276329107,0.03378143889699586,-2.9772667468175307e-05,0.057994018230494465,0.24371079767150966,False,1.0,249,188,437,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.011735805704636497,,-0.011584954961105232,0.0,0.0006326807741640562,0.0004376506738033764,0.7741691416952843,0.013998807590002398,
2021-09-30,-0.0010739483459478172,-0.0445025849370995,0.04342863659115169,2.0,0.014511352972446823,0.020109455732382875,0.0011453132215062944,0.056264000922957774,0.22786401840841342,False,1.0,256,202,458,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.004407281679281151,,-0.012646461663834763,-0.047569140421166445,0.0006442261887352149,0.00045880348954226846,0.783137957882645,-0.0021769780242253006,
2021-10-31,0.010407896780095847,0.05280849822244017,-0.042400601442344324,2.0,0.004434485470279914,0.02006988972599144,-0.004339838124191364,0.05675480938901614,0.22720376346396426,False,1.0,260,209,469,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.007074563446762513,,-0.0023701879513694513,0.0,0.0006145324744443015,0.000466281366849525,0.7349654225537179,0.009327082938802021,
2021-11-30,0.058876194790222144,-0.013618222294030289,0.07249441708425246,1.9999999999999996,0.016348533479138228,0.029270625901734793,-0.0040443191255289945,0.05400298252695176,0.22931206723626096,False,1.0,271,217,488,2021-11-30,0.05,4.1666666666666665e-05,2021-11-30,-0.00833373141847149,0.0033750000000000004,0.05554286145688881,,0.0,-0.00833373141847149,0.0006199545965530956,0.0004495677312242933,0.7743197596123397,0.05780667246244475,
2021-12-31,0.08708853511873008,0.06336597310674731,0.02372256201198275,1.9999999999999998,0.0394212322199613,0.03464800651639571,0.04198682760874062,0.054520896770670506,0.23417166290014818,False,1.0,285,223,508,2021-12-31,0.06,4.9999999999999996e-05,2021-12-31,0.04361287497262989,0.0033833333333333337,0.08375520178539675,0.283851777874897,0.0,0.0,0.0007808377501616942,0.00046822847663139836,0.9581032566677289,0.08583946889193698,0.28658547729154393
2022-01-31,0.05106410825041099,-0.07063849601219155,0.12170260426260256,2.0,0.0749854962628776,0.12598825172600103,0.10839992754281902,0.0639580784170397,0.24322513487463415,False,1.0,284,218,502,2022-01-31,0.15,0.000125,2022-01-31,-0.05258508910699977,0.0034583333333333337,0.047730774917077654,0.05313926183946436,0.0,-0.05258508910699977,0.0005625595748112952,0.00045548400288075226,0.6799349160049115,0.050046064672718944,0.05269297782499645
2022-02-28,-0.008334312927468716,0.002097515634490561,-0.010431828561959278,2.0,0.07980486722670677,0.12221707222239397,0.10117445149818577,0.06465534494983229,0.23557196268631264,False,1.0,290,217,507,2022-02-28,0.33,0.000275,2022-02-28,-0.03136052086678265,0.0036083333333333336,-0.01166764626080205,0.18863330805111211,-0.008334312927468668,-0.08229651418956074,0.0006362486609602627,0.0004527235667264525,0.7775631946785374,-0.009423285155155432,0.1881481093680226
2022-03-31,-0.010257014093439631,0.01416950576375563,-0.024426519857195267,2.0,0.049518892903815837,0.06969440495581714,0.04361011738675813,0.05508651490166834,0.2327514651481157,False,1.0,310,226,536,2022-03-31,0.44,0.00036666666666666667,2022-03-31,0.03577323877328009,0.0037,-0.013590347426772965,0.011969919396628182,-0.018505841855751992,-0.04946728826859237,0.0007454571311573393,0.0004481970779146373,0.9149824568760887,-0.011450668302511608,0.011448057026747427
2022-04-30,0.08159351342982098,-0.05137832422996526,0.13297183765978626,2.0,0.025140872900259736,0.029407190215455792,0.008958853651654608,0.053635985480513425,0.21879941872323086,False,1.0,313,228,541,2022-04-30,0.76,0.0006333333333333333,2022-04-30,-0.08795671914903935,0.003966666666666667,0.07826018009648765,-0.23388984844433008,0.0,-0.13307302703632662,0.0005719409979537449,0.00045843589607508293,0.7151867336440532,0.08056313653579215,-0.2345611764875451
2022-05-31,0.07637180831676127,0.031484706705072356,0.04488710161168892,2.0,0.08159046473942566,0.13147270611134684,0.09590942401571428,0.05965005742037546,0.21488177937778485,False,1.0,319,226,545,2022-05-31,0.98,0.0008166666666666666,2022-05-31,5.324388360872234e-05,0.00415,0.07303847498342794,-0.2414799146730262,0.0,-0.1330268684774809,0.0006921243248865228,0.0004495395119376925,0.8751980637811609,0.07523014447993705,-0.2421488822126865
2022-06-30,-0.037862082908289414,-0.1126842952869493,0.07482221237865988,2.0,0.0805497835888356,0.1317110375955212,0.07200418135690514,0.06151616457310606,0.2234679400591617,False,1.0,328,236,564,2022-06-30,1.49,0.0012416666666666667,2022-06-30,-0.08391999322386645,0.004575,-0.04119541624162275,0.10932933366738201,-0.03786208290828941,-0.20578324780012514,0.0006906913277526518,0.0004522870877539863,0.8735336321615375,-0.03900506132379605,0.10891256299428465
2022-07-31,0.009298136556262902,0.1089817160721018,-0.0996835795158389,1.9999999944688913,0.00960363758896926,0.022258720634663498,-0.017510104681721816,0.05188621254428339,0.23632401011276993,False,1.0,319,238,557,2022-07-31,2.23,0.0018583333333333334,2022-07-31,0.09111634763220589,0.005191666666666667,0.005964803222929568,-0.004547813004461326,-0.02891599316921223,-0.1334171181113598,0.0006681222995036026,0.0004959812309587997,0.8108849769299167,0.0081340330258005,-0.005109908792217006
2022-08-31,-0.0660337544678813,-0.052104090023727095,-0.013929664444154208,2.0,0.014338325062423996,0.02212936980335939,-0.012909519747102693,0.05229978947810669,0.22551128237023102,False,1.0,337,248,585,2022-08-31,2.63,0.002191666666666667,2022-08-31,-0.04244011921681046,0.005525,-0.06936708780121463,0.09379572234794296,-0.0930403160439629,-0.17019499892996082,0.0006429974017614177,0.0004746417447155165,0.7867027568769451,-0.06715139361435825,0.09319590115843723
2022-09-30,0.022357289266697486,-0.08817459236958221,0.11053188163627971,1.9999999862808784,-0.02686411410155229,-0.021155216682530342,-0.05112765195397745,0.06893714025463034,0.20376642729324868,False,1.0,340,264,604,2022-09-30,3.13,0.0026083333333333336,2022-09-30,-0.09339570164348932,0.005941666666666667,0.019023955933364152,0.061872628293707314,-0.07276315603652539,-0.24769521923217352,0.0007441082415607898,0.0004918521853448635,0.8917918991856851,0.021121328839791835,0.061586228932900784
