target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,0.003272903399867368,0.02093010930078988,-0.01765720590092252,1.9999999999999982,0.0,-6.661338147750939e-16,-5.551115123125783e-16,0.05,0.24500000000000005,False,1.0,101,102,203,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-6.0429933465965414e-05,,0.0,-0.011136640158463607,0.0015499999999999989,0.0005274999999999994,1.9999999999999987,0.00119540339986737,
2021-02-28,-0.003669518673707374,0.05023256555247462,-0.05390208422618199,1.9999999999999982,9.71445146547012e-17,-5.412337245047638e-16,-2.393918396847994e-16,0.05,0.26500000000000007,False,1.0,101,102,203,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.007002852007040707,,-0.0036695186737073504,0.0,0.0011768779630299455,0.0005436373138302542,1.480287082971529,-0.005390033950567573,
2021-03-31,0.01971327207426819,0.039437246300299156,-0.019723974226030973,1.9999999999999982,0.0,5.828670879282072e-16,-1.6653345369377348e-16,0.05,0.2385483777161802,False,1.0,102,101,203,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.016379938740934855,,0.0,0.0,0.001662230177131329,0.0005438306416435673,2.0926010786737055,0.017507211255493295,
2021-04-30,0.08309602246410111,0.06908664180900016,0.014009380655100975,1.9999999999999998,0.0,-4.440892098500626e-16,-3.3306690738754696e-16,0.05,0.28500000000000003,False,1.0,101,101,202,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.07976268913076778,,0.0,0.0,0.0012021771135989668,0.000551875869268317,1.5620101408315223,0.08134196948123383,
2021-05-31,0.022374091601528347,0.010342227996973295,0.012031863604555052,1.9999999999999982,5.551115123125783e-17,-8.326672684688674e-17,0.0,0.05,0.27201471894726065,False,1.0,101,101,202,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.019040758268195013,,0.0,0.0,0.0013381535815168548,0.0005162499999999995,1.776607892842865,0.020519688020011494,
2021-06-30,-0.017770864537788797,0.04226596640015651,-0.060036830937945304,1.9999999999999982,0.0,-9.71445146547012e-16,5.273559366969494e-16,0.05,0.3264505581371576,False,1.0,102,102,204,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.02110419787112213,,-0.017770864537788755,0.0,0.0013526963526368395,0.0005499999999999995,1.749899234711664,-0.019673560890425636,
2021-07-31,0.09338334236366005,0.010894039999999999,0.08248930236366005,1.9999999999999991,7.771561172376096e-16,9.159339953157541e-16,1.27675647831893e-15,0.050000000000000724,0.275,False,1.0,100,102,202,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.09005000903032673,,0.0,0.0,0.0011218188367988278,0.0005574999999999994,1.4227350276899609,0.09170402352686123,
2021-08-31,0.0522579862408773,0.0450665562408773,0.007191429999999995,1.9999999999999996,0.0,-5.273559366969494e-16,-1.1102230246251565e-16,0.05,0.2750000000000001,False,1.0,102,100,202,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.04892465290754396,,0.0,0.0,0.0012279917223904267,0.0005424999999999999,1.5577510930213152,0.050487494518486865,
2021-09-30,-0.03458410850729485,-0.054095679787014836,0.019511571279719996,1.9999999999999982,0.0,7.216449660063518e-16,8.881784197001252e-16,0.05,0.31500000000000006,False,1.0,102,101,203,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.03791744184062818,,-0.034584108507294986,-0.047569140421166445,0.0013284133310872345,0.0005499999999999995,1.7064720349429976,-0.036462521838382084,
2021-10-31,0.045360869461147944,0.07933807265589894,-0.033977203194751,1.9999999999999982,2.7755575615628914e-17,-1.4988010832439613e-15,5.551115123125783e-17,0.05,0.335,False,1.0,102,101,203,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.04202753612781461,,0.0,0.0,0.0008969111061850713,0.0005574999999999995,1.1799690732055392,0.043906458354962874,
2021-11-30,0.038965034888005325,-0.029665529999999954,0.06863056488800529,1.9999999999999982,2.7755575615628914e-17,-4.85722573273506e-16,4.996003610813204e-16,0.05,0.3249999999999993,False,1.0,100,102,202,2021-11-30,0.05,4.1666666666666665e-05,2021-11-30,-0.00833373141847149,0.0033750000000000004,0.03563170155467199,,0.0,-0.00833373141847149,0.0014787386535095209,0.0005544460145874593,1.880031027716214,0.03693185021990835,
2021-12-31,0.02158582738701704,0.03992157979213645,-0.018335752405119414,1.9999999999999982,0.0,8.604228440844963e-16,4.996003610813204e-16,0.05,0.30500000000000005,False,1.0,102,101,203,2021-12-31,0.06,4.9999999999999996e-05,2021-12-31,0.04361287497262989,0.0033833333333333337,0.018252494053683704,0.6409764936926073,0.0,0.0,0.0017428366769081678,0.0005649999999999995,2.1746699098643316,0.019277990710108873,0.6427700502125847
2022-01-31,0.019172525877078385,-0.10398190699487356,0.12315443287195191,1.999999999999998,0.0,5.551115123125783e-17,2.7755575615628914e-16,0.050000000000000766,0.31500000000000006,False,1.0,101,101,202,2022-01-31,0.15,0.000125,2022-01-31,-0.05258508910699977,0.0034583333333333337,0.01583919254374505,0.45792634354065503,0.0,-0.05258508910699977,0.0020167759901093306,0.0005724999999999994,2.56909999519391,0.016583249886969055,0.46205928018894954
2022-02-28,-0.020011344713263202,-0.004925626040436128,-0.015085718672827072,1.999999999999998,0.0,-1.096345236817342e-15,9.159339953157541e-16,0.05,0.29500000000000004,False,1.0,101,101,202,2022-02-28,0.33,0.000275,2022-02-28,-0.03136052086678265,0.0036083333333333336,-0.023344678046596536,0.5522320194784937,-0.020011344713263046,-0.08229651418956074,0.0015622017061469686,0.0005602892982371829,1.8927134391569704,-0.022133835717647356,0.556209114504862
2022-03-31,0.0006187106916130938,0.01963213104739755,-0.019013420355784454,1.999999999999998,2.7755575615628914e-17,1.97758476261356e-16,2.0816681711721685e-16,0.05000000000000003,0.23500000000000004,False,1.0,102,101,203,2022-03-31,0.44,0.00036666666666666667,2022-03-31,0.03577323877328009,0.0037,-0.0027146226417202397,0.5408232236619049,-0.019405015254577607,-0.04946728826859237,0.0019333111583390715,0.0005799999999999995,2.320851163155731,-0.001894600466725977,0.5445598638640707
2022-04-30,-0.008169143640273425,-0.11666993216129828,0.10850078852102485,1.9999999999999982,0.0,2.7755575615628914e-16,3.0531133177191805e-16,0.05,0.20500000000000002,False,1.0,101,101,202,2022-04-30,0.76,0.0006333333333333333,2022-04-30,-0.08795671914903935,0.003966666666666667,-0.011502476973606759,0.38508376626576213,-0.027415636537894694,-0.13307302703632662,0.0018024022839241217,0.0005649999999999994,2.161476211403179,-0.010536545924197546,0.38865663697974157
2022-05-31,-0.021472935518669432,-0.02798404880523937,0.00651111328656993,1.9999999999999984,-1.3877787807814457e-17,2.7755575615628914e-17,-1.5265566588595902e-16,0.05,0.24499999999999927,False,1.0,101,101,202,2022-05-31,0.98,0.0008166666666666666,2022-05-31,5.324388360872234e-05,0.00415,-0.024806268852002766,0.38464192769242883,-0.048299877860982665,-0.1330268684774809,0.0017229977194526702,0.0005545601582336418,2.087120138056802,-0.023750493396355744,0.3881734095473235
2022-06-30,0.006905627955800979,-0.09004492204419903,0.09695055000000001,1.9999999999999998,0.0,2.498001805406602e-16,-3.2959746043559335e-16,0.05000000000000003,0.23500000000000004,False,1.0,102,100,202,2022-06-30,1.49,0.0012416666666666667,2022-06-30,-0.08391999322386645,0.004575,0.0035722946224676457,0.3635461930612374,-0.041727790892000294,-0.20578324780012514,0.001756816738132144,0.0005687499999999999,2.162238935330633,0.004580061217668836,0.3668565236056398
2022-07-31,-0.004716922804592889,0.1280220291841549,-0.1327389519887478,1.9999999999999982,6.938893903907228e-18,5.169475958410885e-16,-2.5673907444456745e-16,0.05,0.23500000000000004,False,1.0,101,101,202,2022-07-31,2.23,0.0018583333333333334,2022-07-31,0.09111634763220589,0.005191666666666667,-0.008050256137926223,0.17671091580805884,-0.046247886928149295,-0.1334171181113598,0.0013292199228951114,0.0005799999999999998,1.6085479303814672,-0.006626142727488,0.17947917805711558
2022-08-31,-0.04186276810016852,-0.04426020810016851,0.0023974399999999955,1.9999999999999998,-2.0816681711721685e-17,4.2327252813834093e-16,-2.905661822261152e-16,0.05,0.22500000000000003,False,1.0,102,100,202,2022-08-31,2.63,0.002191666666666667,2022-08-31,-0.04244011921681046,0.005525,-0.045196101433501855,0.17583291908871468,-0.08617459046272191,-0.17019499892996082,0.0017467424046356478,0.00058375,2.108542583662966,-0.04419326050480417,0.17840599865470294
2022-09-30,0.011633105686914561,-0.10040057631889417,0.11203368200580872,1.9999999999999982,-1.3877787807814457e-17,-2.7755575615628914e-16,-3.885780586188048e-16,0.05,0.22500000000000003,False,1.0,101,102,203,2022-09-30,3.13,0.0026083333333333336,2022-09-30,-0.09339570164348932,0.005941666666666667,0.008299772353581227,0.10446640882172906,-0.07554396289418674,-0.24769521923217352,0.0017567276382548797,0.0005799999999999995,2.131735602576345,0.009296378048659683,0.10722851332127475
2022-10-31,-0.014918999670241984,0.08314980032975801,-0.0980688,1.9999999999999996,0.0,1.1518563880486e-15,-4.996003610813204e-16,0.05,0.22500000000000003,False,1.0,102,100,202,2022-10-31,3.72,0.0031000000000000003,2022-10-31,0.07986345457689326,0.006433333333333334,-0.018252333003575316,-0.012696967493372038,-0.08933592220692155,-0.18761356054534262,0.0015092184298008638,0.00059875,1.8080442496737454,-0.017026968100042845,-0.011200356114541513
2022-11-30,0.011406363582696458,0.07335439785107144,-0.06194803426837498,1.999999999999998,0.0,-1.3877787807814457e-16,-2.220446049250313e-16,0.05,0.22500000000000003,False,1.0,102,102,204,2022-11-30,4.15,0.0034583333333333337,2022-11-30,0.053752860293699856,0.006791666666666667,0.008073030249363124,0.003075354459936169,-0.07894855663391276,-0.14394546576084022,0.0017903778791567046,0.0006062499999999995,2.1544557448730606,0.009009735703539754,0.004299633099740408
2022-12-31,0.01107712826351864,-0.0640897208934729,0.07516684915699155,1.9999999999999982,-1.3877787807814457e-17,5.100087019371813e-16,-1.0234868508263162e-16,0.05,0.255,False,1.0,102,102,204,2022-12-31,4.25,0.003541666666666667,2022-12-31,-0.058971449299161094,0.006875000000000001,0.0077437949301853055,-0.04210623729805442,-0.06874595165844766,-0.19442824232404177,0.0019581586680192573,0.0005837499999999994,2.3102634988831032,0.008535219595499383,-0.040622511092202586
2023-01-31,-0.05430024964091963,0.05826440874728371,-0.11256465838820337,1.9999999999999982,6.938893903907228e-17,-8.326672684688674e-17,6.938893903907228e-17,0.05,0.18500000000000003,False,1.0,101,101,202,2023-01-31,4.54,0.0037833333333333334,2023-01-31,0.06175283240005203,0.007116666666666667,-0.057633582974252966,-0.08370338654746863,-0.11931327896251098,-0.144681904586063,0.002290544328644284,0.0005574999999999994,2.8351989350335045,-0.05714829396956392,-0.08323637706732676
2023-02-28,0.017592076990464715,-0.00783143551812172,0.02542351250858644,1.9999999999999982,0.0,4.440892098500626e-16,1.942890293094024e-16,0.05,0.20500000000000002,False,1.0,102,101,203,2023-02-28,4.65,0.0038750000000000004,2023-02-28,-0.026112446646715304,0.007208333333333334,0.014258743657131381,-0.10012692495542597,-0.10382017036153945,-0.16701635271852955,0.0012796661397623341,0.0005462499999999994,1.5973043397623337,0.015766160850702385,-0.09977837894525543
2023-03-31,0.06856230746224097,0.010302339300715049,0.05825996816152593,1.9999999999999982,0.0,5.828670879282072e-16,-4.996003610813204e-16,0.05,0.21886914337688837,False,1.0,102,102,204,2023-03-31,4.69,0.003908333333333334,2023-03-31,0.03505157235872702,0.007241666666666667,0.06522897412890764,-0.048602884258140286,-0.042376013340408636,-0.1378189661322068,0.0013742084078701487,0.0005574999999999995,1.7075935456292097,0.06663059905437083,-0.04778272325392254
2023-04-30,-0.007844022379872716,-0.0141072524256751,0.006263230045802385,1.9999999999999982,6.938893903907228e-18,8.465450562766819e-16,0.0,0.05,0.17643186703101388,False,1.0,102,102,204,2023-04-30,4.92,0.0041,2023-04-30,0.01464236088297044,0.0074333333333333335,-0.01117735571320605,-0.0710341098142806,-0.049887637323269396,-0.1251946002878619,0.001520826782630675,0.0005605014589223501,1.8208865934228768,-0.00992535062142574,-0.07024278400589815
2023-05-31,0.021178862501332205,0.006022119804689897,0.015156742696642314,1.9999999999999982,-6.938893903907228e-18,-6.938893903907228e-17,-4.85722573273506e-16,0.05,0.20500000000000002,False,1.0,101,102,203,2023-05-31,5.14,0.004283333333333333,2023-05-31,0.002482323934879238,0.007616666666666666,0.01784552916799887,-0.07196993290800965,-0.029765338233322947,-0.12302304990579493,0.0013006586507750195,0.0005499999999999995,1.581483135993298,0.019328203850557186,-0.07119192879745732
