target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,-0.001507526241240481,0.02547543759736779,-0.02698296383860827,1.9999999999999996,0.0,-5.828670879282072e-16,-8.049116928532385e-16,0.05,0.21500000000000002,False,1.0,101,101,202,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.004840859574573815,,-0.0015075262412405088,-0.011136640158463607,0.001551628582469822,0.0005324714368523662,2.0,-0.003591626260562669,
2021-02-28,-0.033938360198179106,0.030923179302254144,-0.06486153950043325,1.999999999999998,0.0,-7.771561172376096e-16,-1.8041124150158794e-16,0.05,0.26500000000000007,False,1.0,102,101,203,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.03727169353151244,,-0.035394723470836165,0.0,0.0012124798177845157,0.0005473785969416977,1.504323898998311,-0.03569821861290532,
2021-03-31,0.021750899487186125,0.03335100898763844,-0.011600109500452305,1.9999999999999982,6.938893903907228e-18,2.0122792321330962e-16,2.42861286636753e-17,0.05,0.22765606618868262,False,1.0,102,101,203,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.01841756615385279,,-0.014413691056240796,0.0,0.001484376699923529,0.0005349999999999995,1.8768571169948935,0.019731522787262597,
2021-04-30,0.07523634754666263,0.06391031493044323,0.011326032616219431,1.9999999999999982,1.3877787807814457e-17,-7.216449660063518e-16,-1.8041124150158794e-16,0.05,0.26500000000000007,False,1.0,102,101,203,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.0719030142133293,,0.0,0.0,0.0010956186198896778,0.0005440342718025068,1.4114053765404804,0.07359669465497044,
2021-05-31,0.010089072811567023,0.0016270191997503427,0.008462053611816693,1.9999999999999982,0.0,1.942890293094024e-16,-1.1102230246251565e-16,0.05,0.2803048282531927,False,1.0,101,101,202,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.006755739478233689,,0.0,0.0,0.001340899403846526,0.0005424999999999995,1.7668744423142206,0.008205673407720498,
2021-06-30,-0.008306229250033385,0.05566285195125567,-0.06396908120128905,1.999999999999998,0.0,-6.661338147750939e-16,-1.1102230246251565e-16,0.05,0.315,False,1.0,102,101,203,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.011639562583366719,,-0.008306229250033437,0.0,0.0012109765306035564,0.0005630623166613976,1.5177858727784295,-0.01008026809729834,
2021-07-31,0.07759403496267955,0.010635474962679595,0.06695855999999994,1.9999999999999982,0.0,3.3306690738754696e-16,2.220446049250313e-16,0.05,0.2649999999999993,False,1.0,102,100,202,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.07426070162934623,,0.0,0.0,0.0010139535970803625,0.0005649999999999995,1.2696472744824352,0.07601508136559919,
2021-08-31,0.04398352626709638,0.039421979501500545,0.00456154676559584,1.9999999999999982,-2.7755575615628914e-17,-8.049116928532385e-16,-8.881784197001252e-16,0.05,0.2868844931775907,False,1.0,102,101,203,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.04065019293376305,,0.0,0.0,0.0011709381371002234,0.0005507066849415963,1.5494061058534336,0.042261881445054564,
2021-09-30,-0.03317088418590984,-0.052658800554725015,0.019487916368815174,1.9999999999999982,5.551115123125783e-17,9.43689570931383e-16,3.885780586188048e-16,0.05,0.325,False,1.0,102,101,203,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.036504217519243175,,-0.033170884185909855,-0.047569140421166445,0.0013408589708463748,0.0005724999999999994,1.7404612986930736,-0.03508424315675621,
2021-10-31,0.044310288807796874,0.08345456979369009,-0.039144280985893225,1.9999999999999982,-5.551115123125783e-17,-1.0824674490095276e-15,-1.1657341758564144e-15,0.05,0.325,False,1.0,102,102,204,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.04097695547446354,,0.0,0.0,0.0009674846834628516,0.0005597906346878896,1.2325274072100787,0.04278301348964613,
2021-11-30,0.015279629972270493,-0.041289831427336166,0.05656946139960666,1.999999999999998,0.0,-6.938893903907228e-16,5.551115123125783e-16,0.05,0.30500000000000005,False,1.0,101,102,203,2021-11-30,0.05,4.1666666666666665e-05,2021-11-30,-0.00833373141847149,0.0033750000000000004,0.011946296638937159,,0.0,-0.00833373141847149,0.0015716099066308206,0.0005649999999999994,1.9857127789533924,0.013143020065639673,
2021-12-31,0.008841298938954523,0.02906760554498514,-0.02022630660603061,1.9999999999999982,-2.7755575615628914e-17,6.938893903907228e-16,-2.220446049250313e-16,0.05,0.275,False,1.0,101,101,202,2021-12-31,0.06,4.9999999999999996e-05,2021-12-31,0.04361287497262989,0.0033833333333333337,0.005507965605621189,0.6510453444663178,0.0,0.0,0.001685364291180534,0.0005912499999999994,2.081531607173054,0.006564684647773988,0.6538716403029579
2022-01-31,0.0013117747184382897,-0.11765854626678524,0.11897032098522352,1.9999999999999982,-4.163336342344337e-17,-2.3245294578089215e-16,2.3592239273284576e-16,0.05,0.31500000000000006,False,1.0,101,101,202,2022-01-31,0.15,0.000125,2022-01-31,-0.05258508910699977,0.0034583333333333337,-0.002021558614895044,0.5139886447177914,0.0,-0.05258508910699977,0.002009752509910717,0.0005762499999999995,2.5243784829890674,-0.0012742277914724268,0.5189181482656844
2022-02-28,-0.024714981740946468,-0.016614146464329474,-0.008100835276616983,1.9999999999999982,0.0,-2.8102520310824275e-16,7.077671781985373e-16,0.05,0.29321681264903754,False,1.0,101,101,202,2022-02-28,0.33,0.000275,2022-02-28,-0.03136052086678265,0.0036083333333333336,-0.028048315074279802,0.6054767056677416,-0.02471498174094644,-0.08229651418956074,0.0013858379488013283,0.0005762499999999995,1.7448187195617697,-0.026677069689747798,0.609878342113218
2022-03-31,0.007365564104076298,0.017957077290864806,-0.010591513186788505,1.9999999999999982,0.0,2.5326962749261384e-16,0.0,0.05,0.21500000000000002,False,1.0,101,102,203,2022-03-31,0.44,0.00036666666666666667,2022-03-31,0.03577323877328009,0.0037,0.004032230770742964,0.597854750850893,-0.017531457419214025,-0.04946728826859237,0.001837518745873918,0.0005678761607345964,2.27259076697736,0.004960169197467784,0.6018569611814766
2022-04-30,0.0027764930950393875,-0.10008721111271938,0.10286370420775877,1.9999999999999982,-2.7755575615628914e-17,5.48172618408671e-16,-3.7470027081099033e-16,0.05,0.21081060822080847,False,1.0,102,102,204,2022-04-30,0.76,0.0006333333333333333,2022-04-30,-0.08795671914903935,0.003966666666666667,-0.0005568402382939461,0.35978493212787016,-0.014803640294645204,-0.13307302703632662,0.001617453148232566,0.0005762499999999995,1.96031841698731,0.000582789946806822,0.3628736785378799
2022-05-31,-0.015049950897332607,-0.014213688808341661,-0.0008362620889909449,1.9999999999999982,1.3877787807814457e-17,-6.938893903907228e-16,-2.7755575615628914e-16,0.05,0.21500000000000002,False,1.0,102,101,203,2022-05-31,0.98,0.0008166666666666666,2022-05-31,5.324388360872234e-05,0.00415,-0.01838328423066594,0.3609575079267808,-0.029630797132441655,-0.1330268684774809,0.0015357526128738912,0.0005724999999999994,1.9247609246795188,-0.0171582035102065,0.36402206955617483
2022-06-30,0.005536295853921888,-0.07443459414164702,0.07997088999556891,1.999999999999998,5.204170427930421e-18,4.128641872824801e-16,-4.388850394221322e-16,0.05,0.21500000000000002,False,1.0,101,102,203,2022-06-30,1.49,0.0012416666666666667,2022-06-30,-0.08391999322386645,0.004575,0.0022029625205885546,0.322765386741287,-0.024258546137832626,-0.20578324780012514,0.0016318037711678156,0.0005831438594506526,2.016796369165837,0.00332134822330342,0.32549207242920347
2022-07-31,0.0005304960107540176,0.1296496399999999,-0.12911914398924584,1.9999999999999982,-2.0816681711721685e-17,9.71445146547012e-16,1.3877787807814457e-16,0.050000000000000766,0.22499999999999964,False,1.0,100,102,202,2022-07-31,2.23,0.0018583333333333334,2022-07-31,0.09111634763220589,0.005191666666666667,-0.002802837322579316,0.17792548408915648,-0.02374091918903154,-0.1334171181113598,0.0014104758227752074,0.0005870560173775844,1.7375599827760415,-0.0014670358293987743,0.17984792841568217
2022-08-31,-0.03366050032877218,-0.044112761813301246,0.010452261484529072,1.999999999999998,1.3877787807814457e-17,8.673617379884035e-16,2.0816681711721685e-16,0.05,0.2181120282262598,False,1.0,101,101,202,2022-08-31,2.63,0.002191666666666667,2022-08-31,-0.04244011921681046,0.005525,-0.03699383366210551,0.1718288548259852,-0.05660228829963598,-0.17019499892996082,0.0016478548603934093,0.0005724999999999994,1.998975892848403,-0.03588085518916558,0.17348971017954223
2022-09-30,0.024723927785374324,-0.08295386221462565,0.10767779,1.9999999999999996,6.938893903907228e-18,3.885780586188048e-16,4.3021142204224816e-16,0.05,0.23500000000000004,False,1.0,102,100,202,2022-09-30,3.13,0.0026083333333333336,2022-09-30,-0.09339570164348932,0.005941666666666667,0.02139059445204099,0.07545774692990379,-0.033277791402668844,-0.24769521923217352,0.0016176641166452807,0.0005949999999999999,1.9499699767021683,0.022511263668729044,0.07722136768377436
