permno,avg_weight,months_held,holding,side
16318,0.004411764705882355,36,"ELF, E L F BEAUTY INC",long
16021,0.0035925409770891405,25,"PR, PERMIAN RESOURCES CORP",long
86580,0.0033549384456670844,24,"NVDA, NVIDIA CORP",long
13046,0.0032352941176470597,22,"UI, UBIQUITI INC",long
13407,0.0032352941176470597,22,"META, META PLATFORMS INC",long
90436,0.0029411764705882357,20,"HALO, HALOZYME THERAPEUTICS INC",long
80054,0.002794117647058824,19,"MED, MEDIFAST INC",long
19497,0.002647058823529412,22,"LMND, LEMONADE INC",long
16309,0.002647058823529412,20,"TTD, TRADE DESK INC",long
88648,0.002647058823529412,18,"TTMI, TTM TECHNOLOGIES INC",long
15222,-0.007205882352941169,49,"IOVA, IOVANCE BIOTHERAPEUTICS INC",short
16064,-0.00558823529411765,38,"NTLA, INTELLIA THERAPEUTICS INC",short
14328,-0.00485294117647059,43,"AMC, A M C ENTERTAINMENT HOLDINGS INC",short
12350,-0.004705882352941178,40,"MULN, MULLEN AUTOMOTIVE INC",short
17907,-0.004117647058823531,38,"NKLA, NIKOLA CORP",short
90126,-0.004117647058823531,40,"CYTK, CYTOKINETICS INC",short
91832,-0.003970588235294119,31,"MDGL, MADRIGAL PHARMACEUTICALS INC",short
78875,-0.003970588235294119,31,"WOLF, WOLFSPEED INC",short
83756,-0.003970588235294119,33,"GERN, GERON CORP",short
18453,-0.003823529411764707,36,"LAZR, LUMINAR TECHNOLOGIES INC",short
