target_month,permno,ticker,company_name,sector,weight,ret_exc_lead1m,pred,raw_me,raw_beta_60m,raw_betabab_1260d
2021-01-31,11547,CNMD,CONMED CORP,35,0.01,-0.0009390000000000001,9.00455156379663,3203.424,1.4760800725587604,1.2720830074334444
2021-01-31,11664,GDOT,GREEN DOT CORP,40,0.01,-0.099867,9.004505018314498,2984.1839999999997,0.9490680547577355,1.1796925703984589
2021-01-31,11891,MGM,M G M RESORTS INTERNATIONAL,25,-0.01,-0.093667,0.0041408777373077394,15564.017890000001,2.300537353160813,1.7465392932427335
2021-01-31,12476,TRGP,TARGA RESOURCES CORP,10,0.01,0.041273000000000004,9.004464058681657,6041.36294,2.920360757999242,1.7679686843332878
2021-01-31,12639,CSOD,CORNERSTONE ONDEMAND INC,45,0.01,-0.071345,9.004814550071647,2859.3410400000002,1.2901046658581021,1.0117863603099149
2021-01-31,12872,MPC,MARATHON PETROLEUM CORP,10,-0.01,0.043474000000000006,0.0040536186349068165,26910.925359999997,2.127262034536111,1.6226276458155102
2021-01-31,13168,TRIP,TRIPADVISOR INC,50,-0.01,0.07604899999999999,0.004083510232695557,3509.17418,1.403201742892156,1.0926197559484307
2021-01-31,13262,CCXI,CHEMOCENTRYX INC,35,-0.01,-0.07934200000000001,0.0044822480869177355,4300.46784,1.6713529898853432,0.30377347091897455
2021-01-31,13318,YELP,YELP INC,50,0.01,-0.002495,9.004523312159991,2417.44932,1.8867000329905863,1.1119845476316914
2021-01-31,13323,ENPH,ENPHASE ENERGY INC,45,-0.01,0.039163,0.0043469282404255075,22628.96214,1.5819578937095875,1.0404748342566696
2021-01-31,13326,MTSI,MACOM TECHNOLOGY SOLS HLDS INC,45,0.01,0.033021,9.004699661684873,3761.6537599999997,2.216339123309515,0.9907505850551114
2021-01-31,13356,PSX,PHILLIPS 66,10,-0.01,-0.030644,0.004155549521950934,30549.792,1.5890016332804087,1.290663387444473
2021-01-31,13379,SPLK,SPLUNK INC,45,-0.01,-0.028653,0.004352958598040504,27474.78069,1.3762157236519486,1.0050083508663148
2021-01-31,13511,PANW,PALO ALTO NETWORKS INC,45,0.01,-0.013101999999999999,9.004712190051203,34837.10475,1.4455245872851226,0.6390585377895878
2021-01-31,13527,FIVE,FIVE BELOW INC,25,-0.01,0.00424,0.004452708401088134,9776.482559999999,1.1457823076917684,1.0330988655242699
2021-01-31,13600,QLYS,QUALYS INC,45,-0.01,0.136165,0.004510557399048697,4783.76311,0.7641704192101966,0.6391386177466166
2021-01-31,13625,SSTK,SHUTTERSTOCK INC,25,0.01,-0.09363,9.004786806754163,2597.1891,1.017014227831915,0.5065651675575722
2021-01-31,13628,WDAY,WORKDAY INC,45,0.01,-0.050461,9.004668739140536,43129.8,1.4062712489570242,0.8344528934744994
2021-01-31,13641,FANG,DIAMONDBACK ENERGY INC,10,-0.01,0.171235,0.003942742087162823,7651.459199999999,2.478484558638127,1.5309768424567702
2021-01-31,13687,RH,R H,25,0.01,0.062164000000000004,9.004589412494159,9129.85552,2.512910124033887,1.0890779154390557
2021-01-31,13704,NEO,NEOGENOMICS INC,35,0.01,-0.015276,9.004613779984393,6034.118,0.7892339352927114,0.7708426083361324
2021-01-31,13860,SEAS,SEAWORLD ENTERTAINMENT INC,25,-0.01,-0.09564600000000001,0.0040890848783576555,2476.08738,2.257025758252436,1.353135420120093
2021-01-31,13862,TMHC,TAYLOR MORRISON HOME CORP,25,0.01,0.012820000000000002,9.004582985382738,3333.03795,1.7302353825399412,1.71541457280118
2021-01-31,13936,PVH,P V H CORP,25,0.01,-0.091962,9.004485248124606,6675.579,2.217741543799219,1.6542285989691752
2021-01-31,13947,BLUE,BLUEBIRD BIO INC,35,-0.01,0.029536,0.004178090621019749,2874.5126400000004,1.8283633207178933,0.7865551399245306
2021-01-31,13962,NSTG,NANOSTRING TECHNOLOGIES INC,35,-0.01,0.047053000000000005,0.004323694562184641,2972.2140799999997,1.7754903660984647,0.9591282338829676
2021-01-31,13983,COTY,COTY INC,30,-0.01,-0.092639,0.0040316972744027756,5376.6390599999995,2.204559040210624,1.3285571276227874
2021-01-31,14044,AGIO,AGIOS PHARMACEUTICALS INC,35,-0.01,0.083961,0.00426308750915729,3002.50902,1.7693863182657281,0.7070999765233422
2021-01-31,14097,FOXF,FOX FACTORY HOLDING CORP,25,0.01,0.13173,9.004714075222516,4418.8894199999995,1.7390404185740984,1.1077402444133984
2021-01-31,14102,SFM,SPROUTS FARMERS MARKET INC,30,-0.01,0.12682000000000002,0.004407003405066972,2370.8553,0.27225829219618597,0.31801048107542795
2021-01-31,14159,FEYE,FIREEYE INC,45,-0.01,-0.089378,0.004172786634380758,5435.011399999999,1.2308787925067757,0.9905661120637461
2021-01-31,14239,COMM,COMMSCOPE HOLDING CO INC,45,0.01,0.09622299999999999,9.004569664326583,2681.273,1.810006220634521,1.1970415390320521
2021-01-31,14263,VCYT,VERACYTE INC,35,-0.01,0.15851600000000002,0.0043427042095223875,2848.3569399999997,0.7680461779538272,1.0309282544418075
2021-01-31,14329,ARMK,ARAMARK,25,-0.01,-0.108934,0.00423126255337615,9771.14944,1.7431793927644843,1.3405206909942995
2021-01-31,14359,XNCR,XENCOR INC,35,-0.01,0.048544000000000004,0.004410237333944841,2524.99899,0.9361891335281135,0.7676117040508225
2021-01-31,14432,ITCI,INTRA CELLULAR THERAPIES INC,35,-0.01,0.010960000000000001,0.004199941785441801,2558.7234,1.4376033889258455,0.6259678979471113
2021-01-31,14472,VRNS,VARONIS SYSTEMS INC,45,0.01,0.080389,9.004662460214663,5205.9065900000005,1.1572374047167338,0.8136401890380032
2021-01-31,14503,OUT,OUTFRONT MEDIA INC,60,0.01,-0.068042,9.00447027782613,2825.03124,1.7003020065677545,1.7758038396884597
2021-01-31,14516,QTWO,Q 2 HOLDINGS INC,45,0.01,0.011493000000000001,9.00459271094456,6817.81599,1.6240808899192105,0.9015389257900563
2021-01-31,14554,TWOU,2 U INC,45,-0.01,0.022198,0.004319807303452965,2898.8045199999997,1.119893052308641,1.125490284117636
2021-01-31,14580,MGNI,MAGNITE INC,25,-0.01,0.127925,0.004291730981617501,3549.1547,2.405964499549058,1.2478616285894646
2021-01-31,14608,SABR,SABRE CORP,45,-0.01,-0.10320700000000001,0.003994391284007443,3813.90994,2.084864317147646,2.1322325231105066
2021-01-31,14634,PE,PARSLEY ENERGY INC,10,-0.01,0.15435100000000002,0.004084827970909126,5492.6168,2.152147461942106,1.2727524077879382
2021-01-31,14641,ZEN,ZENDESK INC,45,0.01,0.00778,9.004672843084213,16698.812240000003,1.318486272369096,0.8495732906965444
2021-01-31,14782,TRUP,TRUPANION INC,40,0.01,-0.062781,9.004521729175245,4722.67921,1.9653225991143524,0.8850907781141591
2021-01-31,14797,CDNA,CAREDX INC,35,0.01,0.054888,9.004656379840865,3582.0004500000005,0.8721430419632636,0.6009600247934247
2021-01-31,14803,HQY,HEALTHEQUITY INC,35,0.01,0.198491,9.004463114074406,5367.0426099999995,1.5689939872016962,1.1499030157324588
2021-01-31,14828,SAGE,SAGE THERAPEUTICS INC,35,-0.01,-0.06778400000000001,0.004244642264068291,5042.32186,2.146557244727091,0.7171235410174388
2021-01-31,14970,HUBS,HUBSPOT INC,45,0.01,-0.061189999999999994,9.004602048111567,18191.83872,1.72417526170794,1.0544631099590367
2021-01-31,14983,W,WAYFAIR INC,25,0.01,0.205924,9.004691489835578,16441.67772,3.021047916487382,1.5780382714558951
2021-01-31,15046,NVRO,NEVRO CORP,35,0.01,-0.065384,9.004800818437994,5959.659900000001,0.9621638981323056,0.6997367815859955
2021-01-31,15067,FRPT,FRESHPET INC,30,0.01,-0.018921,9.004712271737374,6142.345410000001,0.8291741867212535,0.8255784772925098
2021-01-31,15119,WK,WORKIVA INC,45,0.01,0.063805,9.004712884973658,3655.36314,1.4644298015445771,0.7223045919815073
2021-01-31,15145,BOX,BOX INC,45,0.01,-0.039381,9.004749603707932,2863.50615,1.3150649849105371,0.7204691238992551
2021-01-31,15167,SHAK,SHAKE SHACK INC,25,-0.01,0.33777,0.004162827864997592,3249.6174,1.6721558883095007,1.136764518259553
2021-01-31,15198,NVTA,INVITAE CORP,35,-0.01,0.18436,0.004060716948123539,7387.827,2.0290044614496923,1.393172892043155
2021-01-31,15221,RCKT,ROCKET PHARMACEUTICALS INC,35,-0.01,0.00433,0.004311482661116603,3345.02064,2.047855806975289,0.9373479586559956
2021-01-31,15222,IOVA,IOVANCE BIOTHERAPEUTICS INC,35,-0.01,-0.055217999999999996,0.004375818700896562,6815.0,0.9303151944676363,0.800619147718011
