target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,-0.003962261669523678,0.046590653683157825,-0.0505529153526815,1.9999999999999982,-2.0816681711721685e-17,2.5673907444456745e-16,-2.220446049250313e-16,0.05,0.19970756426954828,False,1.0,102,101,203,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.007295595002857012,,-0.003962261669523626,-0.011136640158463607,0.00172975610892032,0.0004824999999999995,1.9999999999999987,-0.006174517778443997,
2021-02-28,0.013248415014869216,0.09180233205996793,-0.0785539170450987,1.9999999999999982,1.3877787807814457e-17,-1.1102230246251565e-15,-2.498001805406602e-16,0.05,0.19500000000000006,False,1.0,101,101,202,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,0.009915081681535882,,0.0,0.0,0.0015267602066741915,0.0004937499999999995,1.7460329434490631,0.011227904808195025,
2021-03-31,-0.02238303557486988,0.013660765975510714,-0.0360438015503806,1.9999999999999982,1.3877787807814457e-17,-8.743006318923108e-16,4.996003610813204e-16,0.05,0.17403403151435756,False,1.0,102,101,203,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,-0.025716368908203214,,-0.02238303557486987,0.0,0.001767751526353624,0.0005019744763642313,1.9956847033249085,-0.024652761577587737,
2021-04-30,0.08045695574673492,0.05897148000000001,0.021485475746734928,1.9999999999999998,2.2551405187698492e-17,-2.914335439641036e-16,-9.020562075079397e-17,0.05,0.18500000000000003,False,1.0,100,102,202,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.0771236224134016,,0.0,0.0,0.0013499521364743199,0.0004975611942938191,1.5208483838301785,0.07860944241596678,
2021-05-31,0.008497115421503488,0.01240462337045915,-0.003907507948955658,1.9999999999999984,6.938893903907228e-18,1.6653345369377348e-16,5.204170427930421e-16,0.05,0.19500000000000006,False,1.0,101,101,202,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.005163782088170154,,0.0,0.0,0.0013745124850910039,0.0005012499999999995,1.5822172210804935,0.0066213529364124845,
2021-06-30,-0.023725106543020708,0.03404071018555786,-0.05776581672857856,1.9999999999999982,0.0,-4.926614671774132e-16,1.6653345369377348e-16,0.05,0.195,False,1.0,102,101,203,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.02705843987635404,,-0.023725106543020846,0.0,0.0016109559707008256,0.0005037401088964628,1.8058017793110026,-0.025839802622617997,
2021-07-31,0.06693366234030906,-0.0076894799999999725,0.07462314234030902,1.9999999999999982,0.0,-1.6306400674181987e-16,1.672273430841642e-15,0.05,0.19500000000000003,False,1.0,100,102,202,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.06360032900697574,,0.0,0.0,0.0014782556645621678,0.0005361094407689802,1.6594505802947426,0.06491929723497791,
2021-08-31,0.02964161998014129,0.04078771298527527,-0.01114609300513397,1.9999999999999982,-6.938893903907228e-18,5.828670879282072e-16,3.469446951953614e-16,0.05,0.20500000000000002,False,1.0,102,102,204,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.026308286646807955,,0.0,0.0,0.0014941979576406847,0.0005094518617901034,1.6649882990780362,0.027637970160710502,
2021-09-30,0.0009495958550057079,-0.02375543067013925,0.024705026525144957,1.9999999999999982,1.3877787807814457e-17,0.0,1.7694179454963432e-16,0.05,0.21283126371875472,False,1.0,101,101,202,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.0023837374783276257,,0.0,-0.047569140421166445,0.0016237987663741224,0.0005274999999999994,1.856259668978868,-0.0012017029113684141,
2021-10-31,0.029146194873360672,0.07026370994879888,-0.04111751507543821,1.9999999999999982,1.3877787807814457e-17,-8.257283745649602e-16,-2.393918396847994e-16,0.05,0.22500000000000003,False,1.0,101,101,202,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.025812861540027338,,0.0,0.0,0.0013797730008550046,0.0005312499999999997,1.5705388358550043,0.027235171872505667,
2021-11-30,-0.0017079288196671328,-0.06612371688319121,0.06441578806352409,1.9999999999999996,-3.469446951953614e-18,4.579669976578771e-16,6.418476861114186e-16,0.05,0.21500000000000002,False,1.0,101,101,202,2021-11-30,0.05,4.1666666666666665e-05,2021-11-30,-0.00833373141847149,0.0033750000000000004,-0.005041262153000466,,-0.0017079288196670817,-0.00833373141847149,0.0016067737698905915,0.0005237499999999999,1.838224593518253,-0.0038384525895577243,
2021-12-31,0.029281479662251125,0.022583327027389355,0.006698152634861768,1.9999999999999982,2.7755575615628914e-17,4.718447854656915e-16,-3.3306690738754696e-16,0.05,0.20500000000000002,False,1.0,101,101,202,2021-12-31,0.06,4.9999999999999996e-05,2021-12-31,0.04361287497262989,0.0033833333333333337,0.02594814632891779,0.4095239145179246,0.0,0.0,0.0018342474654452039,0.0005462499999999995,2.0587604867243243,0.026900982196805923,0.4106880063792727
2022-01-31,-0.004536421621087063,-0.10891741436450987,0.10438099274342277,1.9999999999999982,1.734723475976807e-17,9.194034422677078e-16,-3.400058012914542e-16,0.05,0.2306867315537432,False,1.0,101,101,202,2022-01-31,0.15,0.000125,2022-01-31,-0.05258508910699977,0.0034583333333333337,-0.007869754954420397,0.35728140272314385,-0.004536421621086917,-0.05258508910699977,0.0017411339725564917,0.0005377464134333338,1.9703787449251589,-0.006815302007076889,0.35879147374168385
2022-02-28,-0.017101565603681524,0.012380883186470553,-0.029482448790152087,1.9999999999999982,0.0,-1.2212453270876722e-15,1.124100812432971e-15,0.05,0.19601741403111422,False,1.0,102,101,203,2022-02-28,0.33,0.000275,2022-02-28,-0.03136052086678265,0.0036083333333333336,-0.020434898937014858,0.40540772742419395,-0.021560407312809393,-0.08229651418956074,0.0015190481588293991,0.0005276705746820081,1.7658602669021917,-0.01914828433719293,0.4066021211691028
2022-03-31,-0.04524351278628733,-0.0028951627862871783,-0.042348350000000146,1.9999999999999982,2.0816681711721685e-17,-2.5500435096859064e-16,4.718447854656915e-16,0.05,0.19500000000000003,False,1.0,102,100,202,2022-03-31,0.44,0.00036666666666666667,2022-03-31,0.03577323877328009,0.0037,-0.04857684611962066,0.3977176909723819,-0.06582845153516215,-0.04946728826859237,0.0018454970762082322,0.0005612499999999995,2.1391690401148784,-0.04765025986249556,0.39882316537991913
2022-04-30,0.020201821306604525,-0.11055736966570713,0.13075919097231167,1.9999999999999982,-1.3877787807814457e-17,9.43689570931383e-16,1.9255430583342559e-16,0.05,0.18500000000000003,False,1.0,101,101,202,2022-04-30,0.76,0.0006333333333333333,2022-04-30,-0.08795671914903935,0.003966666666666667,0.01686848797327119,0.10760485219761745,-0.04695648484336157,-0.13307302703632662,0.0014609857575300464,0.0005499848773247159,1.650458561097091,0.01819085067174976,0.10752702923929605
