target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,-0.003962261669523678,0.046590653683157825,-0.0505529153526815,1.9999999999999982,-2.0816681711721685e-17,2.5673907444456745e-16,-2.220446049250313e-16,0.05,0.19970756426954828,False,1.0,102,101,203,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.007295595002857012,,-0.003962261669523626,-0.011136640158463607,0.00172975610892032,0.0004824999999999995,1.9999999999999987,-0.006174517778443997,
2021-02-28,0.015343118380401675,0.08995203621452469,-0.07460891783412303,1.9999999999999987,-6.938893903907228e-18,-2.2898349882893854e-16,-6.245004513516506e-17,0.05000000000000001,0.19418478383869484,False,1.0,105,106,211,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,0.01200978504706834,,0.0,0.0,0.00037047734774104036,0.00048246673169421945,0.40000000000000013,0.014490174300966415,
2021-03-31,-0.010283732839527982,0.008227400287839678,-0.01851113312736766,1.9999999999999987,1.249000902703301e-16,6.938893903907228e-17,3.434752482434078e-16,0.05,0.19763356873053092,False,1.0,106,109,215,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,-0.013617066172861316,,-0.010283732839527882,0.0,0.0003520633746462566,0.000480277470317678,0.3999999999999998,-0.011116073684491917,
2021-04-30,0.07033794931619963,0.05569070786271617,0.014647241453483477,1.999999999999999,-2.7755575615628914e-17,1.0061396160665481e-16,5.065392549852277e-16,0.05000000000000002,0.20346621782080687,False,1.0,111,111,222,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.0670046159828663,,0.0,0.0,0.0003647416683752534,0.00048306765005711664,0.3999999999999999,0.06949013999776725,
2021-05-31,0.012152570646091577,0.015943414593534176,-0.003790843947442606,1.9999999999999987,-1.3877787807814457e-17,-2.7755575615628914e-16,-3.469446951953614e-17,0.05000000000000001,0.1930581053954159,False,1.0,110,113,223,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.008819237312758244,,0.0,0.0,0.00036565438062680436,0.0004952855252777845,0.4,0.011291630740186989,
2021-06-30,-0.02711692080196236,0.022099452146345025,-0.04921637294830738,1.9999999999999991,2.3592239273284576e-16,-4.3021142204224816e-16,-2.636779683484747e-16,0.05,0.18448706911083126,False,1.0,114,112,226,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.030450254135295694,,-0.027116920801962485,0.0,0.0003637000811410444,0.0004919993801589214,0.3999999999999999,-0.027972620263262325,
2021-07-31,0.05998030362648404,-0.01968175434187341,0.07966205796835746,1.999999999999999,-9.020562075079397e-17,-3.7470027081099033e-16,-5.412337245047638e-16,0.05000000000000001,0.17545730339064547,False,1.0,115,113,228,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.0566469702931507,,0.0,0.0,0.00035934409539097544,0.0005023487314167156,0.40000000000000013,0.05911861079967634,
2021-08-31,0.011522838815584855,0.025359055412164,-0.013836216596579144,1.9999999999999993,-4.85722573273506e-17,-2.3592239273284576e-16,-2.636779683484747e-16,0.05,0.1868023149761973,False,1.0,118,115,233,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.008189505482251521,,0.0,0.0,0.0003665571271184909,0.0004968740069719669,0.39999999999999997,0.010659407681494398,
2021-09-30,-0.01213759667916935,-0.03315003126797465,0.0210124345888053,1.9999999999999993,-4.163336342344337e-17,-5.551115123125783e-17,5.551115123125783e-17,0.05000000000000001,0.2035113179783771,False,1.0,117,113,230,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.015470930012502684,,-0.012137596679169249,-0.047569140421166445,0.000346092960785818,0.0005114817249002723,0.40000000000000036,-0.01299517136485544,
2021-10-31,0.010039182870350603,0.05401124605758667,-0.043972063187236086,1.9999999999999991,1.3877787807814457e-16,9.71445146547012e-17,-2.3592239273284576e-16,0.05000000000000001,0.20991613397456213,False,1.0,119,114,233,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.006705849537017269,,-0.00222026536148745,0.0,0.0003656799978417195,0.0005102829152369639,0.4,0.00916321995727192,
