target_month,permno,ticker,company_name,sector,weight,ret_exc_lead1m,pred,raw_me,raw_beta_60m,raw_betabab_1260d
2021-01-31,10421,SKYW,SKYWEST INC,20,0.01,-0.032791999999999995,5.0680282722121074e-05,2022.79611,2.0228977755474795,1.9015477851651355
2021-01-31,11343,SAFM,SANDERSON FARMS INC,30,-0.01,0.030136,-0.0011867150034599616,2951.4972,0.4992062716453463,0.3498804421724856
2021-01-31,11404,ED,CONSOLIDATED EDISON INC,55,-0.01,-0.020663,-0.0020630453608613,24724.723319999997,0.06843778502188218,0.335082808941939
2021-01-31,11533,FICO,FAIR ISAAC CORP,45,0.01,-0.119273,0.0032219439560387613,14870.24192,1.1141037057356862,1.1817300873528935
2021-01-31,11786,SIVB,S V B FINANCIAL GROUP,40,0.009810683779393991,0.128748,0.0008913968720080886,20123.723039999997,2.069724952533042,1.2371281473294609
2021-01-31,11809,CLH,CLEAN HARBORS INC,20,0.01,0.017825,0.001903079112867856,4204.2206,1.619508683777794,1.4013313758663108
2021-01-31,12062,LH,LABORATORY CORP AMERICA HLDGS,35,0.01,0.124543,0.002772039634199937,19825.770000000004,1.0293470305104602,0.9882130621894952
2021-01-31,12089,RP,REALPAGE INC,45,-0.01,-0.007726,-0.003066543339513244,8910.2574,1.1731092920295045,0.7598525918203841
2021-01-31,12360,PACB,PACIFIC BIOSCIENCES CALIF INC,35,-0.01,0.247063,-0.005225631398623047,4988.106360000001,1.307651614501057,0.7438313715610123
2021-01-31,12476,TRGP,TARGA RESOURCES CORP,10,0.01,0.041273000000000004,-0.0006439877267215064,6041.36294,2.920360757999242,1.7679686843332878
2021-01-31,12477,WD,WALKER & DUNLOP INC,40,-0.01,-0.10545800000000001,-0.006071060585207337,2873.50854,1.3225012401089153,1.231944776936626
2021-01-31,12622,HCA,H C A HEALTHCARE INC,35,0.01,-0.012084999999999999,0.0017411883379333704,55649.152500000004,1.4667846068932289,1.0894153746776258
2021-01-31,13168,TRIP,TRIPADVISOR INC,50,-0.01,0.07604899999999999,-0.004756979295473681,3509.17418,1.403201742892156,1.0926197559484307
