key,ic,t,d10_d1,ir_gross_t10,ir_net_t10,ir_gross_free,ic_vs_resid_factor,ic_vs_demean_sector
et__control,0.016385163511344364,1.1020615569297978,-0.16972952626052962,-0.2157522943954046,-0.30211206664561646,-0.1824276671485148,0.011905861922576259,0.023335540192346307
et__demean_size,0.011912500652571718,0.8950014902088433,-0.3560793855059855,-0.5142034937552985,-0.5946114919956105,-0.3030056976174457,0.006954558362721599,0.014985694363494803
et__demean_sector,0.02058724709717517,1.3129321719922065,-0.06535963234246189,-0.27353271438923454,-0.3592607139389332,-0.08870471755654384,0.012582249263431117,0.027820041879704816
et__demean_size_sector,0.015904127140512026,1.1452502191938725,0.0120521002565529,-0.2813254583205233,-0.3653014675177652,-0.07079347488933174,0.009073118809149077,0.022357143059010053
et__resid_factor,0.02112739775604751,1.596791295669898,0.2840120874593298,-0.11325958705109884,-0.20081902868085416,-0.07990738872408938,0.013492266234415667,0.025262191050227215
lgbm__control,0.016040181688447588,1.043617805868287,-0.17539327243380254,-0.16677951673372302,-0.2512182581641528,-0.2644450418533923,0.012048296157699102,0.02410296799887754
lgbm__demean_size,0.012076405524673626,0.876087915743865,-0.2514272426054851,-0.4472311787929626,-0.5275489849941762,-0.26988243398409506,0.008729958247748023,0.016125650680204405
lgbm__demean_sector,0.0210348888292839,1.3263255168131751,0.13933734179260227,-0.12291525741962193,-0.20836995505465014,-0.07345812808505188,0.013697730330837224,0.02849857769116695
lgbm__demean_size_sector,0.012019828655539827,0.9032384597314413,-0.10776613206018537,-0.1607314747052683,-0.253115267289735,-0.1452853011063728,0.008648149195597667,0.018891442655857252
lgbm__resid_factor,0.018333063882120606,1.3523007027850709,0.15706700752705316,-0.04305760144708875,-0.13762864589509133,0.043778072455478864,0.012442776652318811,0.023405000244080158
