target_month,permno,ticker,company_name,sector,weight,ret_exc_lead1m,pred,raw_me,raw_beta_60m,raw_betabab_1260d
2021-01-31,10104,ORCL,ORACLE CORP,45,0.005886364805836303,-0.062314999999999995,0.05824790149927139,190449.55946,0.7005355026044503,0.7311521256985656
2021-01-31,10421,SKYW,SKYWEST INC,20,0.01,-0.032791999999999995,0.029538199305534363,2022.79611,2.0228977755474795,1.9015477851651355
2021-01-31,10516,ADM,ARCHER DANIELS MIDLAND CO,30,-0.01,-0.007980999999999999,-0.08585140109062195,28047.569489999998,0.8030839518074745,0.7205563783363119
2021-01-31,10629,FNB,F N B CORP PA,40,0.01,0.037849,0.059015609323978424,3065.0325,1.3087458500340525,1.4012973745647772
2021-01-31,10933,MKL,MARKEL CORP,40,-0.01,-0.061808999999999996,-0.008899194188416004,14236.8074,0.6207944309429481,1.059537247127621
2021-01-31,11308,KO,COCA COLA CO,30,-0.01,-0.122037,-0.021051397547125816,235671.33540000004,0.5174361029869141,0.6324038919159508
2021-01-31,12060,GE,GENERAL ELECTRIC CO,20,-0.01,-0.011156999999999999,-0.05186484754085541,94606.6284,1.070598031014061,1.0022922001789938
2021-01-31,12062,LH,LABORATORY CORP AMERICA HLDGS,35,0.01,0.124543,0.045710522681474686,19825.770000000004,1.0293470305104602,0.9882130621894952
2021-01-31,12373,HHC,HOWARD HUGHES CORP,60,-0.01,0.091681,-0.07727505266666412,4335.07239,1.5155344419759238,1.23877374676364
2021-01-31,12448,FRC,FIRST REPUBLIC BANK S F NEW,40,-0.01,-0.011907,-0.039972126483917236,25167.34584,1.0294668176987087,0.8633316755002021
2021-01-31,12477,WD,WALKER & DUNLOP INC,40,-0.01,-0.10545800000000001,-0.024348445236682892,2873.50854,1.3225012401089153,1.231944776936626
2021-01-31,12558,KMI,KINDER MORGAN INC,10,0.01,0.049149000000000005,0.04936838150024414,30946.06398,0.9298152442409405,1.0307971015022805
2021-01-31,12591,APO,APOLLO GLOBAL MANAGEMENT INC,40,0.01,-0.062112,0.0752902552485466,11207.40768,1.5128226992657994,1.2964158066167397
2021-01-31,12639,CSOD,CORNERSTONE ONDEMAND INC,45,0.01,-0.071345,0.09077585488557816,2859.3410400000002,1.2901046658581021,1.0117863603099149
2021-01-31,12872,MPC,MARATHON PETROLEUM CORP,10,-0.01,0.043474000000000006,-0.10209804028272629,26910.925359999997,2.127262034536111,1.6226276458155102
2021-01-31,13326,MTSI,MACOM TECHNOLOGY SOLS HLDS INC,45,0.01,0.033021,0.05839022248983383,3761.6537599999997,2.216339123309515,0.9907505850551114
2021-01-31,13511,PANW,PALO ALTO NETWORKS INC,45,0.01,-0.013101999999999999,0.09541712701320648,34837.10475,1.4455245872851226,0.6390585377895878
2021-01-31,13610,OLN,OLIN CORP,15,-0.0057954611255044836,-0.026512,-0.044388409703969955,3877.0907199999997,1.234074032335689,1.292253832403872
2021-01-31,13641,FANG,DIAMONDBACK ENERGY INC,10,-0.01,0.171235,-0.14300322532653809,7651.459199999999,2.478484558638127,1.5309768424567702
2021-01-31,13687,RH,R H,25,0.01,0.062164000000000004,0.028888853266835213,9129.85552,2.512910124033887,1.0890779154390557
2021-01-31,13688,PCG,P G & E CORP,55,-0.01,-0.082711,-0.04409259185194969,24727.69236,1.2635775104268134,0.48721329015771164
2021-01-31,13748,TPH,TRI POINTE GROUP INC,25,0.01,0.170968,0.03862959146499634,2187.7312500000003,1.5307958011595089,1.4610936599381625
2021-01-31,13860,SEAS,SEAWORLD ENTERTAINMENT INC,25,-0.01,-0.09564600000000001,-0.1080247089266777,2476.08738,2.257025758252436,1.353135420120093
2021-01-31,13908,PFSI,PENNYMAC FINANCIAL SVCS INC NEW,40,-0.01,-0.11616900000000001,-0.03411158546805382,4753.775280000001,1.1984326163685937,1.0772986148218366
2021-01-31,13936,PVH,P V H CORP,25,0.01,-0.091962,0.011257009580731392,6675.579,2.217741543799219,1.6542285989691752
2021-01-31,13947,BLUE,BLUEBIRD BIO INC,35,-0.01,0.029536,-0.10945485532283783,2874.5126400000004,1.8283633207178933,0.7865551399245306
2021-01-31,13983,COTY,COTY INC,30,-0.01,-0.092639,-0.11075959354639053,5376.6390599999995,2.204559040210624,1.3285571276227874
2021-01-31,14044,AGIO,AGIOS PHARMACEUTICALS INC,35,-0.01,0.083961,-0.07340360432863235,3002.50902,1.7693863182657281,0.7070999765233422
2021-01-31,14102,SFM,SPROUTS FARMERS MARKET INC,30,-0.01,0.12682000000000002,-0.03580324724316597,2370.8553,0.27225829219618597,0.31801048107542795
2021-01-31,14176,XLRN,ACCELERON PHARMA INC,35,-0.01,-0.097045,-0.023694932460784912,7725.52896,0.6182252141640905,0.7352028078292407
2021-01-31,14325,TNDM,TANDEM DIABETES CARE INC,35,0.01,-0.031714,0.0878809317946434,5964.2128,0.31200963753477,0.46170019699268094
2021-01-31,14329,ARMK,ARAMARK,25,-0.01,-0.108934,-0.06972406804561615,9771.14944,1.7431793927644843,1.3405206909942995
2021-01-31,14359,XNCR,XENCOR INC,35,-0.01,0.048544000000000004,-0.05154221132397652,2524.99899,0.9361891335281135,0.7676117040508225
2021-01-31,14414,SC,SANTANDER CONSUMER USA HLDGS INC,40,-0.01,0.003587,-0.05532680079340935,6739.68342,1.1410729334244054,1.2467483405790454
2021-01-31,14472,VRNS,VARONIS SYSTEMS INC,45,0.01,0.080389,0.05178241804242134,5205.9065900000005,1.1572374047167338,0.8136401890380032
2021-01-31,14596,FIVN,FIVE 9 INC,45,0.01,-0.046778,0.07554758340120316,11594.112000000001,0.5435795227964453,0.5206934846742635
2021-01-31,14608,SABR,SABRE CORP,45,-0.01,-0.10320700000000001,-0.1492232233285904,3813.90994,2.084864317147646,2.1322325231105066
2021-01-31,14634,PE,PARSLEY ENERGY INC,10,-0.01,0.15435100000000002,-0.09263712167739868,5492.6168,2.152147461942106,1.2727524077879382
2021-01-31,14641,ZEN,ZENDESK INC,45,0.01,0.00778,0.05610039085149765,16698.812240000003,1.318486272369096,0.8495732906965444
2021-01-31,14759,WMS,ADVANCED DRAINAGE SYSTEMS INC,20,0.01,-0.013207,0.0340309776365757,5890.46766,1.359555326985614,1.1006728494872844
2021-01-31,14797,CDNA,CAREDX INC,35,0.01,0.054888,0.0686270147562027,3582.0004500000005,0.8721430419632636,0.6009600247934247
2021-01-31,14828,SAGE,SAGE THERAPEUTICS INC,35,-0.01,-0.06778400000000001,-0.05425075441598892,5042.32186,2.146557244727091,0.7171235410174388
2021-01-31,14889,CFG,CITIZENS FINANCIAL GROUP INC,40,0.01,0.01897,0.05242270976305008,15272.130479999998,1.8168891100143065,1.4811709957895223
2021-01-31,14970,HUBS,HUBSPOT INC,45,0.01,-0.061189999999999994,0.04186714440584183,18191.83872,1.72417526170794,1.0544631099590367
2021-01-31,15046,NVRO,NEVRO CORP,35,0.01,-0.065384,0.045772112905979156,5959.659900000001,0.9621638981323056,0.6997367815859955
2021-01-31,15119,WK,WORKIVA INC,45,0.01,0.063805,0.07047969847917557,3655.36314,1.4644298015445771,0.7223045919815073
2021-01-31,15167,SHAK,SHAKE SHACK INC,25,-0.01,0.33777,-0.051791053265333176,3249.6174,1.6721558883095007,1.136764518259553
2021-01-31,15198,NVTA,INVITAE CORP,35,-0.01,0.18436,-0.08934775739908218,7387.827,2.0290044614496923,1.393172892043155
2021-01-31,15221,RCKT,ROCKET PHARMACEUTICALS INC,35,-0.01,0.00433,-0.06717600673437119,3345.02064,2.047855806975289,0.9373479586559956
2021-01-31,15222,IOVA,IOVANCE BIOTHERAPEUTICS INC,35,-0.01,-0.055217999999999996,-0.034052520990371704,6815.0,0.9303151944676363,0.800619147718011
2021-01-31,15272,SEDG,SOLAREDGE TECHNOLOGIES INC,45,-0.01,-0.09653,-0.030012967064976692,16454.14632,0.9442545290326543,1.121743030880039
2021-01-31,15291,ETSY,ETSY INC,25,0.01,0.119003,0.047954659909009933,22387.48276,1.6565086458747695,0.9290314279420616
2021-01-31,15302,VIRT,VIRTU FINANCIAL INC,40,-0.01,0.103252,0.0065148151479661465,3071.0420400000003,-0.17974815416204187,0.13582186520834647
2021-01-31,15318,ASB,ASSOCIATED BANC CORP,40,0.01,0.052153000000000005,0.060453929007053375,2618.7095000000004,1.2045327841114433,1.1611935225941963
2021-01-31,15398,CC,CHEMOURS CO,15,0.01,0.062479,0.04205372557044029,4077.85584,2.2882063758763382,1.4512525894809076
2021-01-31,15410,APPF,APPFOLIO INC,45,0.01,-0.15128999999999998,0.057776011526584625,3371.9691599999996,1.128503291591952,1.0648772621685836
2021-01-31,15431,MCRB,SERES THERAPEUTICS INC,35,-0.01,-0.030658,-0.08919740468263626,2240.7455,1.6052244208030444,1.5810039530167217
2021-01-31,15541,RPD,RAPID7 INC,45,0.01,-0.037091,0.05319160595536232,4708.606,1.2578951234602909,0.7408642367587311
2021-01-31,15627,PLNT,PLANET FITNESS INC,25,-0.01,-0.07257000000000001,-0.05170804262161255,6351.298449999999,1.2405321005448624,1.3483387400780948
2021-01-31,15639,PRPL,PURPLE INNOVATION INC,25,0.01,0.033348,0.08570470660924911,2105.32716,1.282437765989795,0.3468001588929711
2021-01-31,15643,RUN,SUNRUN INC,20,-0.01,-0.001631,-0.07677356153726578,13973.548279999999,2.242780983053148,1.2762444409644227
2021-01-31,15694,PEN,PENUMBRA INC,35,-0.01,0.49189700000000003,-0.022954557090997696,6354.425,0.4138224638654095,0.6275138537117705
