target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,0.04407554049315511,0.06128372145930173,-0.017208180966146614,1.9999999999999982,0.0,-6.245004513516506e-16,-2.220446049250313e-16,0.05,0.20928314180136387,False,1.0,101,101,202,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,0.040742207159821776,,0.0,-0.011136640158463607,0.0016278584290993167,0.0005312499999999995,1.9999999999999987,0.0419164320640558,
2021-02-28,-0.021139468984427583,0.06745716779592664,-0.08859663678035422,1.9999999999999987,5.551115123125783e-17,-7.667477763817487e-16,-2.7929047963226594e-16,0.05,0.20020102033099593,False,1.0,105,105,210,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.024472802317760917,,-0.021139468984427534,0.0,0.00035863283000000005,0.0005219992112499996,0.4,-0.022020101025677582,
2021-03-31,-0.0139926262093401,0.023190756618359613,-0.03718338282769971,1.9999999999999987,5.551115123125783e-17,-3.4867941867133823e-16,8.673617379884035e-17,0.05000000000000001,0.18613852044042917,False,1.0,106,108,214,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,-0.017325959542673432,,-0.03483629850600467,0.0,0.00035605254821756,0.0005320073602514271,0.39999999999999997,-0.014880686117809088,
2021-04-30,0.04647569873964883,0.04755231372464698,-0.0010766149849981551,1.9999999999999991,0.0,3.677613769070831e-16,-2.42861286636753e-16,0.05000000000000002,0.1826410215408271,False,1.0,107,109,216,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.0431423654063155,,0.0,0.0,0.0003550883225020079,0.0005237040515106895,0.4,0.04559690636563613,
2021-05-31,-0.008113811976061838,0.0061382809461556515,-0.014252092922217493,1.999999999999999,1.8041124150158794e-16,0.0,0.0,0.05,0.20292693734031744,False,1.0,107,108,215,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,-0.011447145309395172,,-0.008113811976061869,0.0,0.00033910919591296937,0.0005408487777053324,0.3999999999999999,-0.008993769949680139,
2021-06-30,-0.032142173920742034,0.017413618715306084,-0.04955579263604812,1.9999999999999991,-2.7755575615628914e-17,1.3877787807814457e-16,-4.996003610813204e-16,0.05000000000000002,0.2050105990205418,False,1.0,110,108,218,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.03547550725407537,,-0.03999519034110899,0.0,0.0003595219783773308,0.0005403482696197299,0.4000000000000001,-0.0330420441687391,
2021-07-31,0.048870747577172975,-0.030156420235408984,0.07902716781258196,1.9999999999999991,5.551115123125783e-17,8.326672684688674e-17,2.7755575615628914e-17,0.05000000000000002,0.21895113666735197,False,1.0,110,110,220,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.04553741424383964,,0.0,0.0,0.0003543134816008464,0.0005290016596405763,0.39999999999999997,0.04798743243593155,
2021-08-31,0.03902377909679293,0.04321688983353181,-0.004193110736738895,1.9999999999999996,-3.608224830031759e-16,-2.7755575615628914e-16,1.6653345369377348e-16,0.05,0.2114246075155264,False,1.0,114,113,227,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.035690445763459595,,0.0,0.0,0.000366239623654986,0.0005277687347420967,0.3999999999999999,0.038129770738395845,
2021-09-30,-0.0078124562538550435,-0.022141478454154526,0.014329022200299484,1.9999999999999998,0.0,-4.440892098500626e-16,0.0,0.04999999999999998,0.21414291652166592,False,1.0,112,110,222,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.011145789587188377,,-0.007812456253855071,-0.047569140421166445,0.0003466457613714543,0.0005340198746659005,0.40000000000000013,-0.0086931218898924,
2021-10-31,0.03008911034447009,0.05950144390860452,-0.029412333564134426,1.9999999999999993,0.0,5.551115123125783e-17,-1.6653345369377348e-16,0.05000000000000003,0.22133763912707116,False,1.0,116,113,229,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.026755777011136756,,0.0,0.0,0.0003502556577790671,0.0005384666643532474,0.3999999999999999,0.029200388022337775,
