target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,0.0010826980428055195,0.027007753606340053,-0.02592505556353453,1.9999999999999982,-5.551115123125783e-17,-2.220446049250313e-16,-4.718447854656915e-16,0.05,0.18708424494621845,False,1.0,101,101,202,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.002250635290527814,,0.0,-0.011136640158463607,0.0015879157550537802,0.00040593681629033564,1.9999999999999982,-0.0009111545285385963,
2021-02-28,-0.02649837936290577,0.06542470260069294,-0.09192308196359869,1.999999999999998,0.0,-7.216449660063518e-16,-6.106226635438361e-16,0.05,0.17500000000000002,False,1.0,101,102,203,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.029831712696239104,,-0.026498379362905777,0.0,0.00071434735341008,0.00042129853364631644,0.8802156963046568,-0.027634025249962165,
2021-03-31,0.033666367891385544,0.037492737827622746,-0.003826369936237208,1.9999999999999996,8.326672684688674e-17,-5.551115123125783e-17,6.938893903907228e-16,0.05,0.19500000000000003,False,1.0,101,101,202,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.03033303455805221,,0.0,0.0,0.0013238256318985247,0.0004353700021916703,1.6000426784793529,0.03190717225729535,
2021-04-30,0.022875163159587077,0.03740489999999995,-0.014529736840412876,1.9999999999999982,1.1102230246251565e-16,3.885780586188048e-16,-8.326672684688674e-17,0.05,0.19500000000000003,False,1.0,100,101,201,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.019541829826253743,,0.0,0.0,0.0006194166969943389,0.0004262499999999995,0.7506451768924859,0.02182949646259274,
2021-05-31,0.010370109298546908,0.006103697035291752,0.004266412263255145,1.9999999999999982,0.0,-6.38378239159465e-16,1.1102230246251565e-16,0.05,0.20500000000000002,False,1.0,101,101,202,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.007036775965213574,,0.0,0.0,0.0009600586820268615,0.000429046951956873,1.2076837159481781,0.008981003664563173,
2021-06-30,-0.03460237861808199,0.009796049999999888,-0.044398428618081874,1.9999999999999991,-7.494005416219807e-16,-5.689893001203927e-16,6.661338147750939e-16,0.05,0.18999999999999964,False,1.0,100,102,202,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.037935711951415325,,-0.03460237861808202,0.0,0.0012201622007986092,0.00044124999999999996,1.493336332613731,-0.0362637908188806,
2021-07-31,0.06827397194539203,0.02066299644566074,0.0476109754997313,1.9999999999999982,-2.7755575615628914e-17,4.996003610813204e-16,-5.551115123125783e-16,0.05,0.18777594420115634,False,1.0,101,102,203,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.0649406386120587,,0.0,0.0,0.0005818324406002314,0.00043749999999999947,0.7029036928753065,0.06725463950479181,
2021-08-31,-0.000613703185406083,0.028977900000000004,-0.029591603185406087,1.9999999999999996,1.1102230246251565e-16,2.7755575615628914e-16,-1.0547118733938987e-15,0.05,0.1882190934662421,False,1.0,100,101,201,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,-0.003947036518739417,,-0.0006137031854061004,0.0,0.0010020618523980144,0.00043307137657963373,1.2200089031589574,-0.0020488364143837314,
2021-09-30,-0.0018924394995932514,-0.03622320999999991,0.03433077050040666,1.9999999999999991,-7.771561172376096e-16,-2.220446049250313e-16,-1.1102230246251565e-16,0.05,0.21500000000000002,False,1.0,100,102,202,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.005225772832926585,,-0.0025049812888502387,-0.047569140421166445,0.0010726879967382324,0.00044201786193464487,1.334435397069389,-0.003407145358266129,
2021-10-31,0.018836462504127835,0.06303632471211494,-0.0441998622079871,1.9999999999999982,5.551115123125783e-17,-4.996003610813204e-16,6.661338147750939e-16,0.05,0.21231241557679786,False,1.0,102,101,203,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.015503129170794501,,0.0,0.0,0.000498312802916435,0.0004422578441587003,0.6105216474396438,0.0178958918570527,
