model,arm,ic,ic_control,mean_diff,t,share_a_better,ir_gross,ir_gross_control,ir_net,ir_net_control
et,w_sqrt_mcap,0.012717416949480238,0.016385163511344364,-0.0036677465618641207,-1.58246740111675,0.45588235294117646,-0.2842393350357479,-0.2157522943954046,-0.37236494721724006,-0.30211206664561646
et,w_mcap,0.010600180544364493,0.016385163511344364,-0.005784982966979863,-1.4300556124036539,0.4117647058823529,-0.30618981806789464,-0.2157522943954046,-0.3997129261507106,-0.30211206664561646
et,w_sqrt_dolvol,0.00927012912890612,0.016385163511344364,-0.00711503438243824,-2.7459551407363407,0.36764705882352944,-0.4815869584908998,-0.2157522943954046,-0.5694060264995333,-0.30211206664561646
et,all_unweighted,0.020356253914077336,0.016385163511344364,0.003971090402732975,1.106434562219963,0.6029411764705882,-0.026333117728279322,-0.2157522943954046,-0.10887119901059146,-0.30211206664561646
et,all_w_sqrt_mcap,0.014415614057608463,0.016385163511344364,-0.001969549453735898,-0.5939845295710007,0.47058823529411764,-0.28921175028246693,-0.2157522943954046,-0.3812102050954029,-0.30211206664561646
et,all_w_mcap,0.009782359928791612,0.016385163511344364,-0.0066028035825527465,-1.4377412590455902,0.4264705882352941,-0.035155818731902204,-0.2157522943954046,-0.12987523040899937,-0.30211206664561646
lgbm,w_sqrt_mcap,0.011051320499077578,0.016040181688447588,-0.004988861189370005,-1.9684358741637946,0.38235294117647056,-0.42763292670598696,-0.16677951673372302,-0.5152413797533942,-0.2512182581641528
lgbm,w_mcap,0.007350142697833838,0.016040181688447588,-0.008690038990613744,-1.9985826876798691,0.45588235294117646,-0.3714681572311865,-0.16677951673372302,-0.4724391889545825,-0.2512182581641528
lgbm,w_sqrt_dolvol,0.006455341396657421,0.016040181688447588,-0.009584840291790164,-2.934350858917782,0.4264705882352941,-0.4552837397330192,-0.16677951673372302,-0.5380141878410293,-0.2512182581641528
lgbm,all_unweighted,0.023025962056636515,0.016040181688447588,0.006985780368188935,0.9421144860186563,0.5588235294117647,0.07941942731901128,-0.16677951673372302,-0.0003654010348687957,-0.2512182581641528
lgbm,all_w_sqrt_mcap,0.011577657700016297,0.016040181688447588,-0.004462523988431292,-1.314195545825474,0.4411764705882353,-0.3033137880886178,-0.16677951673372302,-0.38403056870651464,-0.2512182581641528
lgbm,all_w_mcap,0.007799632830806075,0.016040181688447588,-0.00824054885764151,-1.8571889945193711,0.4852941176470588,-0.2729497775858106,-0.16677951673372302,-0.36017276318759356,-0.2512182581641528
