target_month,permno,ticker,company_name,sector,weight,ret_exc_lead1m,pred,raw_me,raw_beta_60m,raw_betabab_1260d
2021-01-31,10516,ADM,ARCHER DANIELS MIDLAND CO,30,-0.01,-0.007980999999999999,0.002192378970079877,28047.569489999998,0.8030839518074745,0.7205563783363119
2021-01-31,11343,SAFM,SANDERSON FARMS INC,30,-0.01,0.030136,0.005015050772095703,2951.4972,0.4992062716453463,0.3498804421724856
2021-01-31,11370,ENV,ENVESTNET INC,45,0.01,-0.067612,0.008616299071476855,4439.5455,1.444063699253181,0.9891770116499327
2021-01-31,11533,FICO,FAIR ISAAC CORP,45,0.01,-0.119273,0.00850341799221251,14870.24192,1.1141037057356862,1.1817300873528935
2021-01-31,11850,XOM,EXXON MOBIL CORP,10,-0.01,0.08777499999999999,-0.003906876952995737,174287.80548,1.2943147338581358,1.0287427082222942
2021-01-31,12060,GE,GENERAL ELECTRIC CO,20,-0.01,-0.011156999999999999,-0.0013089255579183552,94606.6284,1.070598031014061,1.0022922001789938
2021-01-31,12366,BAH,BOOZ ALLEN HAMILTON HOLDING CORP,45,0.01,-0.023102,0.01221271948832489,12022.122000000001,0.7592991243147766,0.5415301531030673
2021-01-31,12374,IPHI,INPHI CORP,45,0.01,0.05068,0.012974566313349532,8612.90631,1.0406785166107444,0.7692851349391691
2021-01-31,12448,FRC,FIRST REPUBLIC BANK S F NEW,40,-0.01,-0.011907,0.0005029387642298132,25167.34584,1.0294668176987087,0.8633316755002021
2021-01-31,12476,TRGP,TARGA RESOURCES CORP,10,0.01,0.041273000000000004,-0.00014500958815971107,6041.36294,2.920360757999242,1.7679686843332878
2021-01-31,12639,CSOD,CORNERSTONE ONDEMAND INC,45,0.01,-0.071345,0.0111168690512494,2859.3410400000002,1.2901046658581021,1.0117863603099149
2021-01-31,13168,TRIP,TRIPADVISOR INC,50,-0.01,0.07604899999999999,-0.004720695894290098,3509.17418,1.403201742892156,1.0926197559484307
2021-01-31,13262,CCXI,CHEMOCENTRYX INC,35,-0.01,-0.07934200000000001,0.001541440903310464,4300.46784,1.6713529898853432,0.30377347091897455
2021-01-31,13356,PSX,PHILLIPS 66,10,-0.01,-0.030644,-0.0034853648862685246,30549.792,1.5890016332804087,1.290663387444473
2021-01-31,13379,SPLK,SPLUNK INC,45,-0.01,-0.028653,-0.0005370939462271296,27474.78069,1.3762157236519486,1.0050083508663148
2021-01-31,13407,FB,FACEBOOK INC,50,0.01,-0.054336999999999996,0.010013144763969552,657222.9600000001,1.0928055514495965,0.7698208597551152
2021-01-31,13447,NOW,SERVICENOW INC,45,0.01,-0.013253999999999998,0.011928067585926242,107388.89299999998,1.0981779849383966,0.7665271882379673
2021-01-31,13600,QLYS,QUALYS INC,45,-0.01,0.136165,0.003115101414159181,4783.76311,0.7641704192101966,0.6391386177466166
2021-01-31,13641,FANG,DIAMONDBACK ENERGY INC,10,-0.01,0.171235,-0.0077395983540182465,7651.459199999999,2.478484558638127,1.5309768424567702
2021-01-31,13687,RH,R H,25,0.01,0.062164000000000004,0.007541113650423145,9129.85552,2.512910124033887,1.0890779154390557
2021-01-31,13721,ABBV,ABBVIE INC,35,0.01,-0.032492,0.013883814307362756,189170.5391,0.8181620710651855,0.5197186924503189
2021-01-31,13788,ZTS,ZOETIS INC,35,0.01,-0.06658900000000001,0.013835697716074336,78656.85399999999,0.6336007964762271,0.753767711391835
2021-01-31,13856,PEP,PEPSICO INC,30,0.01,-0.079142,0.013400122230043466,204654.00000000003,0.5102211618193199,0.6397549685132041
2021-01-31,13860,SEAS,SEAWORLD ENTERTAINMENT INC,25,-0.01,-0.09564600000000001,-0.00813540852231538,2476.08738,2.257025758252436,1.353135420120093
2021-01-31,13862,TMHC,TAYLOR MORRISON HOME CORP,25,0.01,0.012820000000000002,0.004873929403995315,3333.03795,1.7302353825399412,1.71541457280118
2021-01-31,13936,PVH,P V H CORP,25,0.01,-0.091962,0.0046092545738634656,6675.579,2.217741543799219,1.6542285989691752
2021-01-31,13947,BLUE,BLUEBIRD BIO INC,35,-0.01,0.029536,-0.0029155744397138064,2874.5126400000004,1.8283633207178933,0.7865551399245306
2021-01-31,14044,AGIO,AGIOS PHARMACEUTICALS INC,35,-0.01,0.083961,-0.002092473652445063,3002.50902,1.7693863182657281,0.7070999765233422
2021-01-31,14159,FEYE,FIREEYE INC,45,-0.01,-0.089378,-0.002783337746240109,5435.011399999999,1.2308787925067757,0.9905661120637461
2021-01-31,14245,FATE,FATE THERAPEUTICS INC,35,-0.01,-0.003345,-0.0008828129560178788,7976.56146,1.8743570000425298,0.8538756718972064
2021-01-31,14263,VCYT,VERACYTE INC,35,-0.01,0.15851600000000002,-0.0007725112167395044,2848.3569399999997,0.7680461779538272,1.0309282544418075
2021-01-31,14329,ARMK,ARAMARK,25,-0.01,-0.108934,-0.003755421553811691,9771.14944,1.7431793927644843,1.3405206909942995
2021-01-31,14359,XNCR,XENCOR INC,35,-0.01,0.048544000000000004,-0.0004468512954607381,2524.99899,0.9361891335281135,0.7676117040508225
2021-01-31,14414,SC,SANTANDER CONSUMER USA HLDGS INC,40,-0.01,0.003587,-0.0030353399753650003,6739.68342,1.1410729334244054,1.2467483405790454
2021-01-31,14432,ITCI,INTRA CELLULAR THERAPIES INC,35,-0.01,0.010960000000000001,-0.003062864822359792,2558.7234,1.4376033889258455,0.6259678979471113
2021-01-31,14479,IBP,INSTALLED BUILDING PRODUCTS INC,25,-0.01,0.029386,-0.003518730936630279,3037.61593,1.7744512095144822,1.439383328861875
2021-01-31,14579,PAYC,PAYCOM SOFTWARE INC,45,-0.010000000000000002,-0.160378,-0.0008875937501144057,26462.504249999998,1.4179112959435618,1.1391062829528722
2021-01-31,14608,SABR,SABRE CORP,45,-0.01,-0.10320700000000001,-0.008170480914171595,3813.90994,2.084864317147646,2.1322325231105066
2021-01-31,14641,ZEN,ZENDESK INC,45,0.01,0.00778,0.009671523862387756,16698.812240000003,1.318486272369096,0.8495732906965444
2021-01-31,14811,FWONK,LIBERTY MEDIA CORP 3RD NEW,50,-0.01,-0.05568,-0.00030152091360061936,8670.7188,1.2331988702305523,0.9467043507272865
2021-01-31,14828,SAGE,SAGE THERAPEUTICS INC,35,-0.01,-0.06778400000000001,-0.0032818151571351057,5042.32186,2.146557244727091,0.7171235410174388
2021-01-31,14970,HUBS,HUBSPOT INC,45,0.01,-0.061189999999999994,0.007821969364191139,18191.83872,1.72417526170794,1.0544631099590367
2021-01-31,14983,W,WAYFAIR INC,25,0.01,0.205924,0.006602382331617005,16441.67772,3.021047916487382,1.5780382714558951
2021-01-31,15046,NVRO,NEVRO CORP,35,0.01,-0.065384,0.010932457747472186,5959.659900000001,0.9621638981323056,0.6997367815859955
2021-01-31,15167,SHAK,SHAKE SHACK INC,25,-0.01,0.33777,-0.003909280232498708,3249.6174,1.6721558883095007,1.136764518259553
2021-01-31,15222,IOVA,IOVANCE BIOTHERAPEUTICS INC,35,-0.01,-0.055217999999999996,0.00029149935595964205,6815.0,0.9303151944676363,0.800619147718011
2021-01-31,15272,SEDG,SOLAREDGE TECHNOLOGIES INC,45,-0.01,-0.09653,-0.0014163675983770848,16454.14632,0.9442545290326543,1.121743030880039
2021-01-31,15291,ETSY,ETSY INC,25,0.01,0.119003,0.010107175259847051,22387.48276,1.6565086458747695,0.9290314279420616
2021-01-31,15302,VIRT,VIRTU FINANCIAL INC,40,-0.01,0.103252,0.004723964533632328,3071.0420400000003,-0.17974815416204187,0.13582186520834647
2021-01-31,15395,CABO,CABLE ONE INC,50,0.01,-0.10226700000000001,0.013086204108892266,13422.012999999999,0.4948631151739581,0.7422551271902333
2021-01-31,15398,CC,CHEMOURS CO,15,0.01,0.062479,0.003775851983691936,4077.85584,2.2882063758763382,1.4512525894809076
2021-01-31,15431,MCRB,SERES THERAPEUTICS INC,35,-0.01,-0.030658,-0.006694596396988829,2240.7455,1.6052244208030444,1.5810039530167217
2021-01-31,15638,GBT,GLOBAL BLOOD THERAPEUTICS INC,35,-0.01,0.157193,-0.0023895947430761784,2680.80238,1.3004282889734458,0.7880678745798931
2021-01-31,15643,RUN,SUNRUN INC,20,-0.009179627515727483,-0.001631,-0.003407933556373928,13973.548279999999,2.242780983053148,1.2762444409644227
2021-01-31,15729,PSTG,PURE STORAGE INC,45,-0.01,0.022952999999999998,-0.000445697251760368,6168.25671,1.4194763253821319,0.9898930600636126
2021-01-31,15826,SQ,SQUARE INC,45,0.01,-0.007765,0.007332423754162782,83531.53783999999,2.61592165484719,1.2796539543367371
2021-01-31,15847,KURA,KURA ONCOLOGY INC,35,-0.01,-0.083022,-0.004179479043500645,2161.89604,2.1023211531634756,0.7712716655759319
2021-01-31,15914,WKHS,WORKHORSE GROUP INC,25,-0.01,0.73504,-0.0018281907626996675,2411.6369400000003,3.21090110719188,0.4063106627770236
2021-01-31,16309,TTD,TRADE DESK INC,45,0.01,-0.043753999999999994,0.010012843090182548,33912.738,2.5012565276920773,1.0951399663801633
2021-01-31,16338,VVV,VALVOLINE INC,15,0.01,0.025883,0.010030480352044537,4280.113240000001,1.3409291449514038,1.0212543553117523
2021-01-31,16554,JELD,JELD WEN HOLDING INC,20,0.01,0.024796,0.0036688023735208164,2550.4044799999997,2.461395609615864,1.6138154970634349
2021-01-31,16692,IR,INGERSOLL RAND INC,20,0.01,-0.081697,0.0113504585033635,19028.40736,1.4617493180755978,0.9103872819109216
2021-01-31,16917,BKI,BLACK KNIGHT INC,45,0.01,-0.07542800000000001,0.012444866388593044,13873.512149999999,0.7338765993663456,0.6011771578541637
2021-01-31,16924,DCPH,DECIPHERA PHARMACEUTICALS INC,35,-0.01,-0.22555899999999998,-0.001345319706213168,3287.0037199999997,1.370060307966303,0.5814804093754009
2021-01-31,16932,ROKU,ROKU INC,50,0.01,0.171661,0.01308755632782066,36736.3529,1.8773853800974385,0.6100844102161664
2021-01-31,17035,AQUA,EVOQUA WATER TECHNOLOGIES CORP,20,-0.01,0.009961000000000001,-0.004116791451461287,3191.08648,1.8474811513764222,1.4179634878626244
2021-01-31,17036,CNNE,CANNAE HOLDINGS INC,40,-0.01,-0.141903,-0.002198761361365734,4057.6111200000005,0.6340096958081805,0.8250929185974513
2021-01-31,17104,APLS,APELLIS PHARMACEUTICALS INC,35,-0.01,-0.226095,-0.001105832938885806,4354.6359999999995,1.4104195344087642,0.8347792388038309
2021-01-31,17726,CCK,CROWN HOLDINGS INC,15,-0.01,-0.100345,5.219373463391626e-05,13503.252600000002,1.0700327670918506,1.018939832183974
2021-01-31,17830,RTX,RAYTHEON TECHNOLOGIES CORP,20,0.01,-0.06689,0.007488030271020863,108603.38116,1.485918257690991,1.2206889705683048
2021-01-31,19393,BMY,BRISTOL MYERS SQUIBB CO,35,0.01,-0.009718999999999998,0.014007982707285302,140172.41656,0.6279844253059355,0.39892428043216316
2021-01-31,20117,RAMP,LIVERAMP HOLDINGS INC,45,-0.01,0.034385000000000006,8.557895436642307e-05,4853.44847,1.2302092870259522,0.9588114540080659
2021-01-31,21020,AAL,AMERICAN AIRLINES GROUP INC,20,-0.01,0.08872999999999999,-0.009257699750362006,9800.7396,1.729152974082844,1.6353641323487544
2021-01-31,21207,NEM,NEWMONT CORP,15,-0.01,-0.004888,0.0050063162564413085,48113.11062,0.11071724256580054,0.26125250296273816
2021-01-31,22592,MMM,3M CO,20,0.01,0.004931,0.011067824654053898,100822.71738,0.8635728130467811,0.7123309231004884
2021-01-31,23026,FE,FIRSTENERGY CORP,55,-0.01,0.004854,0.0019584391029388204,16608.6799,0.15572316973124506,0.6104785503609171
2021-01-31,23819,HAL,HALLIBURTON CO,10,0.01,-0.06724200000000001,0.0007421218554574705,16707.732299999996,2.706639215610232,1.6676659574482071
2021-01-31,24248,ALE,ALLETE INC,55,-0.01,0.014484,0.0016236652590109065,3219.3315,0.38948461749674945,0.7533314826149701
2021-01-31,24272,ASH,ASHLAND GLOBAL HOLDINGS INC,15,-0.01,0.009929,-0.00010671701045520916,4797.8568000000005,1.272355170189329,0.9893975978100628
2021-01-31,24328,EQT,E Q T CORP,10,-0.01,0.283196,0.0006874889784092468,3502.8632900000002,1.187713321484676,0.6758254449121396
2021-01-31,24441,CDE,COEUR MINING INC,15,-0.01,-0.12564999999999998,-0.0021635476559964486,2522.6469,1.8859790619497128,0.9466383620305916
