target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,0.001029753726660797,0.04243613136417502,-0.04140637763751421,1.9999999999999982,-5.551115123125783e-17,5.551115123125783e-17,-2.3592239273284576e-16,0.05,0.2639675710848124,False,1.0,101,101,202,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.0023035796066725365,,0.0,-0.011136640158463607,0.0015949999999999992,0.0005121128391568044,1.9999999999999987,-0.0010773591124960064,
2021-02-28,-0.009592537282652922,0.047827995497680124,-0.05742053278033304,1.9999999999999982,1.3877787807814457e-17,-9.298117831235686e-16,-2.1163626406917047e-16,0.05,0.265,False,1.0,102,101,203,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.012925870615986256,,-0.009592537282652969,0.0,0.0014366445389856057,0.0004951405574464843,1.7790553820015163,-0.011524322379085012,
2021-03-31,-0.007082574363884573,0.015591390000000073,-0.02267396436388464,1.999999999999998,-2.7755575615628914e-17,-1.8041124150158794e-16,-1.249000902703301e-16,0.05,0.23500000000000004,False,1.0,100,101,201,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,-0.010415907697217907,,-0.016607171787894837,0.0,0.001698405566668751,0.0005218443283939602,2.130536715042963,-0.009302824258947283,
2021-04-30,0.06324360257678027,0.053815721996028,0.009427880580752258,1.9999999999999982,0.0,-9.853229343548264e-16,2.220446049250313e-16,0.05,0.2792069263027149,False,1.0,102,101,203,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.05991026924344694,,0.0,0.0,0.0013090734390492037,0.0005215775973635179,1.6171909897424999,0.06141295154036756,
2021-05-31,0.006526664602237095,0.0061330045767623385,0.0003936600254747577,1.9999999999999982,0.0,-1.1102230246251565e-16,4.163336342344337e-17,0.05,0.275,False,1.0,102,101,203,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.0031933312689037614,,0.0,0.0,0.0014520417278532547,0.00051491696914038,1.8768176561514611,0.004559705905243461,
2021-06-30,-0.014693413253033413,0.04291106674696655,-0.057604479999999965,1.9999999999999982,2.7755575615628914e-17,-7.771561172376096e-16,-4.996003610813204e-16,0.05,0.3499999999999998,False,1.0,103,101,204,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.018026746586366747,,-0.014693413253033527,0.0,0.0014859767255015874,0.0005349999999999995,1.8440907212211612,-0.016714389978535,
2021-07-31,0.08080335629729629,0.004108546297296277,0.07669480999999999,1.9999999999999998,0.0,1.1102230246251565e-16,1.27675647831893e-15,0.05,0.31500000000000006,False,1.0,102,100,202,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.07747002296396296,,0.0,0.0,0.001216479260157568,0.000535,1.4771644396745682,0.07905187703713873,
2021-08-31,0.026197357945775865,0.04431669369560658,-0.018119335749830708,1.999999999999998,5.551115123125783e-17,-3.3306690738754696e-16,-1.6653345369377348e-16,0.05,0.29602956125300167,False,1.0,101,102,203,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.02286402461244253,,0.0,0.0,0.0013939871639924697,0.0005312499999999995,1.7279698720630465,0.024272120781783396,
2021-09-30,-0.02551003289254876,-0.05231389289254876,0.026803860000000002,2.0,2.7755575615628914e-17,9.159339953157541e-16,2.4424906541753444e-15,0.05,0.31500000000000006,False,1.0,102,100,202,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.028843366225882093,,-0.02551003289254883,-0.047569140421166445,0.0014412071145079208,0.0005275,1.8105246890983717,-0.02747874000705668,
2021-10-31,0.042171705938628845,0.06557512093862872,-0.02340341499999989,1.9999999999999982,0.0,-6.661338147750939e-16,-2.220446049250313e-16,0.05,0.3499999999999998,False,1.0,102,101,203,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.03883837260529551,,0.0,0.0,0.0011855946908326115,0.0005256249999999996,1.4637056739681356,0.04046048624779623,
2021-11-30,-0.007348738226966396,-0.06242726311400797,0.05507852488704158,1.9999999999999982,5.551115123125783e-17,-6.106226635438361e-16,7.216449660063518e-16,0.05,0.32500000000000007,False,1.0,101,101,202,2021-11-30,0.05,4.1666666666666665e-05,2021-11-30,-0.00833373141847149,0.0033750000000000004,-0.01068207156029973,,-0.007348738226966245,-0.00833373141847149,0.001569801057428842,0.000514454647861704,2.012685818491341,-0.009432993932256942,
2021-12-31,0.028187798702215026,0.03413775055841487,-0.0059499518561998395,1.9999999999999982,-2.7755575615628914e-17,1.0408340855860843e-15,-2.498001805406602e-16,0.05,0.32500000000000007,False,1.0,101,101,202,2021-12-31,0.06,4.9999999999999996e-05,2021-12-31,0.04361287497262989,0.0033833333333333337,0.024854465368881692,0.5986505906010474,0.0,0.0,0.0017915869779339816,0.0005440934976139874,2.1827058075617547,0.025852118226667057,0.5996858056229303
2022-01-31,0.0020135120203921553,-0.10564997324901045,0.10766348526940259,1.9999999999999982,0.0,-8.326672684688674e-17,0.0,0.05,0.325,False,1.0,102,101,203,2022-01-31,0.15,0.000125,2022-01-31,-0.05258508910699977,0.0034583333333333337,-0.0013198213129411783,0.4692409325613208,0.0,-0.05258508910699977,0.0015662596645731163,0.0005387499999999995,1.9660441866239737,-9.149764418096059e-05,0.4703050957582321
2022-02-28,-0.019178017684121935,-0.015057539999999954,-0.004120477684121981,1.999999999999998,-1.3877787807814457e-17,-9.610368056911511e-16,5.204170427930421e-16,0.05,0.275,False,1.0,100,102,202,2022-02-28,0.33,0.000275,2022-02-28,-0.03136052086678265,0.0036083333333333336,-0.02251135101745527,0.522088769312209,-0.019178017684121973,-0.08229651418956074,0.001359970440640458,0.0005203092921882363,1.732985746056142,-0.021058297416950627,0.522715572354964
