target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,0.004009955881163046,0.02499075588116283,-0.020980799999999786,1.9999999999999982,-2.7755575615628914e-17,-7.771561172376096e-16,-3.608224830031759e-16,0.05,0.255,False,1.0,101,100,201,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,0.0006766225478297126,,0.0,-0.011136640158463607,0.001572970046940732,0.0005274999999999994,1.9999999999999984,0.0019094858342223148,
2021-02-28,-0.012779561342461507,0.06246057741517244,-0.07524013875763394,1.9999999999999987,2.7755575615628914e-17,-3.0531133177191805e-16,0.0,0.05,0.26217489,False,1.0,105,104,209,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.01611289467579484,,-0.012779561342461498,0.0,0.0003340221712979597,0.0005214419837499995,0.4000000000000001,-0.013635025497509466,
2021-03-31,0.03492998586967833,0.027855494609986996,0.007074491259691345,1.9999999999999984,-2.7755575615628914e-17,3.0531133177191805e-16,2.7755575615628914e-17,0.05000000000000002,0.25801892304843,False,1.0,107,106,213,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.031596652536345,,0.0,0.0,0.0003415118012796527,0.0005208745016803852,0.3999999999999998,0.0340675995667183,
2021-04-30,0.0647450227126311,0.063563644678313,0.0011813780343181235,1.999999999999999,-1.1102230246251565e-16,0.0,0.0,0.05000000000000002,0.24341651931822422,False,1.0,109,109,218,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.06141168937929777,,0.0,0.0,0.0003319081858392662,0.0005211226219976274,0.4,0.06389199190479421,
2021-05-31,0.010723166139600962,0.00036214573494718614,0.010361020404653778,1.9999999999999987,1.1102230246251565e-16,-3.0531133177191805e-16,-3.608224830031759e-16,0.05,0.2707558080852143,False,1.0,110,112,222,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.007389832806267628,,0.0,0.0,0.0003406313013327813,0.0005178773067238972,0.4000000000000002,0.009864657531544283,
2021-06-30,-0.012099209503659124,0.04004951479719647,-0.0521487243008556,1.9999999999999993,1.1102230246251565e-16,-5.689893001203927e-16,-3.3306690738754696e-16,0.05000000000000005,0.2879546336252724,False,1.0,111,117,228,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.015432542836992458,,-0.01209920950365917,0.0,0.00032371418926407437,0.0005210119887457797,0.4,-0.012943935681668978,
2021-07-31,0.06223562506134327,-0.011644045356711019,0.07387967041805427,1.9999999999999993,-2.7755575615628914e-17,5.551115123125783e-16,-2.220446049250313e-16,0.05,0.3135247856361421,False,1.0,111,116,227,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.05890229172800993,,0.0,0.0,0.0003274020682335246,0.0005149117389177114,0.40000000000000013,0.06139331125419203,
2021-08-31,0.027832757807942594,0.04714527730055307,-0.01931251949261047,1.9999999999999993,5.551115123125783e-17,-2.7755575615628914e-17,1.6653345369377348e-16,0.05000000000000001,0.30584344840314975,False,1.0,115,121,236,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.02449942447460926,,0.0,0.0,0.00033134119107380237,0.0005213045589573104,0.4,0.02698011205791148,
2021-09-30,-3.1520645310586376e-05,-0.022811019430741177,0.02277949878543059,1.9999999999999991,8.326672684688674e-17,-3.608224830031759e-16,2.7755575615628914e-16,0.050000000000000024,0.3230580288728138,False,1.0,115,119,234,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.00336485397864392,,-3.1520645310534334e-05,-0.047569140421166445,0.00033068828686144594,0.000522442049364695,0.3999999999999999,-0.0008846509815367273,
2021-10-31,0.02350136608424289,0.0655611855756114,-0.04205981949136852,1.9999999999999993,-1.6653345369377348e-16,7.771561172376096e-16,3.3306690738754696e-16,0.05000000000000004,0.31734467336133115,False,1.0,117,121,238,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.020168032750909556,,0.0,0.0,0.00032326238411649224,0.0005200546081787313,0.4,0.022658049091947664,
2021-11-30,0.001588449641674542,-0.044138765838697955,0.04572721548037249,1.999999999999999,-1.1102230246251565e-16,-1.6653345369377348e-16,5.551115123125783e-17,0.05000000000000003,0.31236542997235023,False,1.0,116,121,237,2021-11-30,0.05,4.1666666666666665e-05,2021-11-30,-0.00833373141847149,0.0033750000000000004,-0.0017448836916587915,,0.0,-0.00833373141847149,0.00032212479608516667,0.0005153762975847085,0.3999999999999999,0.000750948548004667,
2021-12-31,0.040960964604550114,0.032123327353673264,0.008837637250876862,1.9999999999999996,5.551115123125783e-17,-1.3877787807814457e-16,8.049116928532385e-16,0.05000000000000003,0.29725059204025106,False,1.0,121,125,246,2021-12-31,0.06,4.9999999999999996e-05,2021-12-31,0.04361287497262989,0.0033833333333333337,0.03762763127121678,0.4349883878928028,0.0,0.0,0.0003399227479907109,0.0005270536658288521,0.3999999999999999,0.04009398819073055,0.43848031213708816
2022-01-31,0.04456149122219191,-0.07987261134914031,0.12443410257133222,1.9999999999999991,8.326672684688674e-17,5.551115123125783e-17,3.0531133177191805e-16,0.05000000000000001,0.29221585320245774,False,1.0,119,123,242,2022-01-31,0.15,0.000125,2022-01-31,-0.05258508910699977,0.0034583333333333337,0.04122815788885858,0.17710154859978658,0.0,-0.05258508910699977,0.0003222872175585576,0.0005385620940136527,0.3999999999999999,0.0437006419106197,0.1771148565781044
2022-02-28,0.014352129199594136,0.00864063075449163,0.0057114984451025076,1.9827754655444467,2.7755575615628914e-17,-1.6653345369377348e-16,-1.3877787807814457e-16,0.05000000000000002,0.26378872546968135,False,1.0,125,127,252,2022-02-28,0.33,0.000275,2022-02-28,-0.03136052086678265,0.0036083333333333336,0.011018795866260802,0.2097114975766586,0.0,-0.08229651418956074,0.00032993197014846113,0.0005209515378628246,0.3999999999999999,0.01350124569158285,0.2097213264811972
2022-03-31,0.013616385566165318,0.030800543106212157,-0.017184157540046846,1.9999999999999991,0.0,-2.7755575615628914e-17,1.3877787807814457e-16,0.050000000000000024,0.2658773087763553,False,1.0,126,126,252,2022-03-31,0.44,0.00036666666666666667,2022-03-31,0.03577323877328009,0.0037,0.010283052232831984,0.18099543646193375,0.0,-0.04946728826859237,0.0003492565343390219,0.0005231028529553022,0.3999999999999999,0.012744026178870993,0.180995757966065
2022-04-30,0.03175708058713409,-0.10135681631269881,0.13311389689983294,1.9999999999999991,2.7755575615628914e-17,3.608224830031759e-16,-2.220446049250313e-16,0.05000000000000002,0.2681998931619346,False,1.0,126,125,251,2022-04-30,0.76,0.0006333333333333333,2022-04-30,-0.08795671914903935,0.003966666666666667,0.028423747253800757,0.012823571705888255,0.0,-0.13307302703632662,0.0003317020040664592,0.0005182497052581993,0.40000000000000013,0.030907128877809432,0.012812403909547035
2022-05-31,-0.002835879156166234,-0.02015479122338674,0.0173189120672205,1.8967814589605645,1.1102230246251565e-16,-3.885780586188048e-16,0.0,0.05000000000000001,0.22104496002481605,False,1.0,130,124,254,2022-05-31,0.98,0.0008166666666666666,2022-05-31,5.324388360872234e-05,0.00415,-0.006169212489499568,0.01576081499995813,-0.002835879156166232,-0.1330268684774809,0.00035243237798051566,0.000481383148617062,0.4,-0.0036696946827638115,0.01575101946088434
2022-06-30,-0.0006107824249241105,-0.092192997205886,0.0915822147809619,1.9999999999999991,-1.3877787807814457e-17,1.1102230246251565e-16,-4.0245584642661925e-16,0.05000000000000001,0.21544459294496543,False,1.0,134,128,262,2022-06-30,1.49,0.0012416666666666667,2022-06-30,-0.08391999322386645,0.004575,-0.0039441157582574445,0.1020709697985951,-0.0034449294759425486,-0.20578324780012514,0.0003254651563555661,0.0004996642996541974,0.4,-0.001435911880933874,0.10199083918312717
2022-07-31,-0.01863917546012374,0.10004190992479092,-0.11868108538491468,2.0000000000000004,5.551115123125783e-17,-9.71445146547012e-17,-1.5265566588595902e-16,0.050000000000000024,0.23887665537916541,False,1.0,138,134,272,2022-07-31,2.23,0.0018583333333333334,2022-07-31,0.09111634763220589,0.005191666666666667,-0.021972508793457073,-0.04844621530150532,-0.022019894291116393,-0.1334171181113598,0.00035020575290296374,0.0005153695141321078,0.3999999999999999,-0.01950475072715881,-0.04855417950511528
2022-08-31,-0.039539249093808994,-0.03630102236134163,-0.0032382267324673666,1.9999999999999996,-2.7755575615628914e-17,-1.6653345369377348e-16,-5.551115123125783e-17,0.04999999999999999,0.23802848274300542,False,1.0,126,124,250,2022-08-31,2.63,0.002191666666666667,2022-08-31,-0.04244011921681046,0.005525,-0.04287258242714233,-0.01257741588251224,-0.06068849329952963,-0.17019499892996082,0.0003273511490561825,0.0004996880989816149,0.4,-0.04036628834184679,-0.012705200532960327
2022-09-30,0.016385933304598515,-0.0984058663992122,0.11479179970381073,2.0,-1.3877787807814457e-16,-1.6653345369377348e-16,1.6653345369377348e-16,0.05000000000000002,0.2364730686213421,False,1.0,131,123,254,2022-09-30,3.13,0.0026083333333333336,2022-09-30,-0.09339570164348932,0.005941666666666667,0.013052599971265181,-0.03160959553102583,-0.045296997598493705,-0.24769521923217352,0.0003505041423894309,0.0005051542902111627,0.3999999999999999,0.01553027487199792,-0.0317110221039447
2022-10-31,-0.004078602900365222,0.07283164342827067,-0.0769102463286359,2.0,5.551115123125783e-17,5.551115123125783e-17,6.938893903907228e-17,0.05000000000000002,0.24278514856787015,False,1.0,139,126,265,2022-10-31,3.72,0.0031000000000000003,2022-10-31,0.07986345457689326,0.006433333333333334,-0.007411936233698556,-0.08386226919741245,-0.04919085203307583,-0.18761356054534262,0.00034439799560951484,0.0005120326635255906,0.39999999999999986,-0.004935033559500327,-0.08398606031000176
2022-11-30,-0.03612336473028553,0.03208511379665394,-0.06820847852693948,1.9999999999999998,-1.7694179454963432e-16,6.938893903907228e-18,-2.0816681711721685e-17,0.05,0.21863563154731203,False,1.0,131,121,252,2022-11-30,4.15,0.0034583333333333337,2022-11-30,0.053752860293699856,0.006791666666666667,-0.039456698063618866,-0.13090255497305234,-0.083537277673977,-0.14394546576084022,0.00033169286496825877,0.0005175363574989998,0.4,-0.03697259395275279,-0.13101570851177524
2022-12-31,0.012471692714081025,-0.0683114411553748,0.08078313386945585,1.9999999999999991,1.1102230246251565e-16,7.632783294297951e-17,4.85722573273506e-17,0.04999999999999999,0.2333020946951072,False,1.0,127,119,246,2022-12-31,4.25,0.003541666666666667,2022-12-31,-0.058971449299161094,0.006875000000000001,0.00913835938074769,-0.18585787297668546,-0.0721074362172166,-0.19442824232404177,0.0003499683809829343,0.00052678370684743,0.40000000000000024,0.01159494062625066,-0.1859286821246476
2023-01-31,-0.011509764998388922,0.09614658431906617,-0.10765634931745507,1.9999999999999998,9.71445146547012e-17,-1.8041124150158794e-16,-1.8041124150158794e-16,0.05000000000000001,0.24957168409127772,False,1.0,130,128,258,2023-01-31,4.54,0.0037833333333333334,2023-01-31,0.06175283240005203,0.007116666666666667,-0.014843098331722256,-0.1553732323404993,-0.08278726157010918,-0.144681904586063,0.0003520780027488363,0.000529351532928936,0.3999999999999998,-0.012391194534066695,-0.1554849537090261
2023-02-28,0.024254394206549616,-0.012084069478388207,0.03633846368493782,1.9999999999999991,6.245004513516506e-17,-9.71445146547012e-17,2.220446049250313e-16,0.05,0.24834141642033566,False,1.0,120,118,238,2023-02-28,4.65,0.0038750000000000004,2023-02-28,-0.026112446646715304,0.007208333333333334,0.020921060873216282,-0.15928235716983702,-0.06054082224096169,-0.16701635271852955,0.0003293506451944718,0.0005118214413647822,0.40000000000000036,0.023413222119990362,-0.15939828028288375
2023-03-31,0.026312465876993138,-0.012985793317017071,0.03929825919401022,2.0000000000000013,-2.7755575615628914e-17,1.3877787807814457e-16,-3.0531133177191805e-16,0.05000000000000001,0.2545238682665716,False,1.0,119,123,242,2023-03-31,4.69,0.003908333333333334,2023-03-31,0.03505157235872702,0.007241666666666667,0.022979132543659804,-0.15175376923016037,-0.035821334683349026,-0.1378189661322068,0.00032909974427212507,0.0005091748977989387,0.39999999999999986,0.025474191234922075,-0.15184234503197544
2023-04-30,-0.01930098818407688,-0.02534615232616304,0.006045164142086167,1.9999999999999982,3.0531133177191805e-16,8.326672684688674e-17,2.220446049250313e-16,0.05000000000000002,0.2529855222030286,False,1.0,118,125,243,2023-04-30,4.92,0.0041,2023-04-30,0.01464236088297044,0.0074333333333333335,-0.022634321517410214,-0.11609669305749971,-0.05443093570996482,-0.1251946002878619,0.00034445276855797396,0.0005094161882297453,0.40000000000000013,-0.0201548571408646,-0.1161998268642593
2023-05-31,0.022885727965779975,0.015074112027622806,0.007811615938157168,1.9999999999999998,5.551115123125783e-17,1.3877787807814457e-16,-9.43689570931383e-16,0.050000000000000024,0.23801084533850753,False,1.0,116,123,239,2023-05-31,5.14,0.004283333333333333,2023-05-31,0.002482323934879238,0.007616666666666666,0.01955239463244664,-0.11697873639635205,-0.032790899331766044,-0.12302304990579493,0.00031063505725492316,0.0005141205330545665,0.3999999999999999,0.022060972375470486,-0.11708255412292878
2023-06-30,-0.014434923366533653,0.06756079834441192,-0.08199572171094557,1.9999999999999996,1.1102230246251565e-16,-3.885780586188048e-16,-5.551115123125783e-17,0.050000000000000024,0.2591226363540647,False,1.0,113,126,239,2023-06-30,5.16,0.0043,2023-06-30,0.0647275128414313,0.007633333333333334,-0.017768256699866987,-0.14386072772138753,-0.04675248857932579,-0.06625851310693298,0.00034361294686653226,0.0005236090036604365,0.40000000000000013,-0.01530214531706062,-0.1439395703900322
2023-07-31,0.01534627785662301,0.05321012848333709,-0.037863850626714074,1.9999999999999991,8.326672684688674e-17,4.440892098500626e-16,-5.551115123125783e-17,0.05000000000000001,0.26607166253846304,False,1.0,110,122,232,2023-07-31,5.25,0.0043749999999999995,2023-07-31,0.031138913980379268,0.007708333333333333,0.012012944523289677,-0.12071236719755966,-0.03212368740292981,-0.0371828172666584,0.0003210703216695727,0.0005220596663194192,0.40000000000000013,0.014503147868634018,-0.12076828314326235
2023-08-31,0.010361560085721026,-0.04605001740555826,0.05641157749127929,1.9999999999999987,4.718447854656915e-16,3.608224830031759e-16,8.326672684688674e-17,0.05,0.2513369156496818,False,1.0,110,119,229,2023-08-31,5.3,0.004416666666666667,2023-08-31,-0.01771643248143373,0.00775,0.007028226752387692,-0.20567016728407198,-0.02209497883440914,-0.05424050287651794,0.0003036967014513122,0.0005155055836028268,0.39999999999999963,0.009542357800666887,-0.20571954370453194
2023-09-30,-0.024962112301771075,-0.07608444575150966,0.051122333449738586,1.9999999999999996,1.3877787807814457e-17,-4.996003610813204e-16,-4.163336342344337e-16,0.050000000000000024,0.23116028501695232,False,1.0,114,124,238,2023-09-30,5.32,0.004433333333333333,2023-09-30,-0.04871929116215501,0.0077666666666666665,-0.02829544563510441,-0.13158017333553906,-0.04650555379321042,-0.10031723518625024,0.00032376950980514163,0.0004987287209512513,0.4000000000000001,-0.025784610532527466,-0.13174543278478995
2023-10-31,0.008729925461799778,-0.06250910532058147,0.07123903078238125,1.999999999999999,-5.689893001203927e-16,7.216449660063518e-16,4.163336342344337e-16,0.05000000000000004,0.25211452243814386,False,1.0,113,127,240,2023-10-31,5.34,0.00445,2023-10-31,-0.021979687736850106,0.007783333333333333,0.0053965921284664445,-0.15278875748173315,-0.03818161834958511,-0.1200919814190824,0.0003216248320675939,0.0005093463954219479,0.4,0.007898954234310238,-0.15297736572914133
2023-11-30,0.03478246688058166,0.14674169214653923,-0.11195922526595758,1.9999999999999987,0.0,2.220446049250313e-16,-1.942890293094024e-16,0.05000000000000004,0.25724232255055823,False,1.0,113,131,244,2023-11-30,5.27,0.004391666666666666,2023-11-30,0.08917926462873771,0.007724999999999999,0.03144913354724833,0.05009796872816329,-0.004727202344694925,-0.04162243138110644,0.00034207176026227967,0.0005118355687013225,0.4000000000000001,0.033928559551618054,0.049922788484691026
2023-12-31,-0.006756176215095271,0.10111280307424439,-0.10786897928933967,1.9999999999999993,0.0,3.0531133177191805e-16,3.608224830031759e-16,0.05000000000000006,0.2661874589205138,False,1.0,110,126,236,2023-12-31,5.24,0.004366666666666667,2023-12-31,0.04422916940321375,0.0077,-0.010089509548428605,0.06497324788873851,-0.011451440747745067,0.0,0.0003225230260912506,0.0004996177171331241,0.40000000000000013,-0.007578316958319646,0.06466936256801949
2024-01-31,0.035213007215368686,-0.007793499349615787,0.043006506564984476,1.9999999999999993,1.3877787807814457e-17,1.3877787807814457e-16,-1.1102230246251565e-16,0.04999999999999999,0.26520950118836173,False,1.0,109,121,230,2024-01-31,5.22,0.00435,2024-01-31,0.015895744712075555,0.007683333333333334,0.03187967388203535,0.11810737010158161,0.0,0.0,0.0003443891495486754,0.0004922905008194546,0.3999999999999998,0.03437632756500056,0.11787417895480466
2024-02-29,-0.023482514058255268,0.03430832640050749,-0.05779084045876274,1.9999999999999998,-1.3183898417423734e-16,1.3877787807814457e-16,-8.326672684688674e-17,0.05000000000000003,0.23827408922214302,False,1.0,112,125,237,2024-02-29,5.24,0.004366666666666667,2024-02-29,0.05172061539731532,0.0077,-0.026815847391588602,0.10764396302675479,-0.0234825140582553,0.0,0.0003278048496503336,0.0005040167044823253,0.3999999999999998,-0.024314335612387928,0.10740029759366926
2024-03-31,-0.038048775426308835,0.009883360015551538,-0.04793213544186038,1.9999999999999991,2.3418766925686896e-16,-3.191891195797325e-16,2.3592239273284576e-16,0.05000000000000002,0.23356776048850245,False,1.0,112,126,238,2024-03-31,5.24,0.004366666666666667,2024-03-31,0.031018764704381807,0.0077,-0.04138210875964217,0.06607124789123935,-0.060637808580716546,0.0,0.0003338241123799488,0.0004948380639640233,0.4,-0.03887743760265281,0.06583187447108638
2024-04-30,0.007154455435345128,-0.06987119732853034,0.07702565276387546,1.999999999999999,1.3877787807814457e-17,5.412337245047638e-16,1.2420620087993939e-15,0.05,0.2394873124647965,False,1.0,111,121,232,2024-04-30,5.24,0.004366666666666667,2024-04-30,-0.04161504277408257,0.0077,0.003821122102011794,0.032382332812066546,-0.05391718364455922,-0.04161504277408257,0.0003170308704074871,0.0004942074150002399,0.3999999999999998,0.006343217149937401,0.03211314815516132
2024-05-31,-0.05216383993828052,0.0018781061988640026,-0.054041946137144525,1.9999999999999996,-1.3877787807814457e-17,1.457167719820518e-16,-1.3877787807814457e-16,0.05000000000000001,0.2501553969375235,False,1.0,115,125,240,2024-05-31,5.25,0.0043749999999999995,2024-05-31,0.04802122449952262,0.007708333333333333,-0.05549717327161385,-0.021875876314922847,-0.10326849624528212,0.0,0.00034765012081946513,0.0005062885082043775,0.39999999999999986,-0.05301777856730436,-0.02215825714996566
2024-06-30,0.04564616560971075,0.022517036491760498,0.023129129117950245,1.9999999999999996,-6.938893903907228e-17,-2.1163626406917047e-16,4.3021142204224816e-16,0.05000000000000002,0.24843618591692834,False,1.0,114,121,235,2024-06-30,5.24,0.004366666666666667,2024-06-30,0.034669759034089864,0.0077,0.042312832276377416,0.0442470353524211,-0.06233614151744926,0.0,0.0003536222842943347,0.0005188954016134711,0.39999999999999997,0.044773647923802944,0.04398327706124823
