variable,ic_mean,ic_std,ic_tstat,ic_n_months,oos_r2_univariate
mispricing_mgmt,0.02767517503081984,0.04969591314098943,4.592235564151859,68,-0.00040732998884629446
eqnpo_12m,0.058736686610365026,0.10999373524540328,4.403479206393408,68,-1.3135376862427606e-05
cop_at,0.03402785230339593,0.06429922833042188,4.363984853405723,68,-0.00029843120783934474
ocf_me,0.06132073786443276,0.12049095768857485,4.196694658355139,68,-0.00012021612312707042
op_at,0.05249859119496403,0.10322612073715759,4.193846192169098,68,-5.6090420611942804e-05
ebitda_mev,0.06215747013150225,0.1227418992357223,4.1759467039234375,68,-8.119560589636698e-05
ocf_at,0.055306415019556736,0.11063601517687927,4.122241578121011,68,-0.0001291498531650337
cop_atl1,0.030960326064103143,0.06238979199446418,4.092101944407423,68,-0.00035421230975951623
op_atl1,0.047999233978210126,0.09793691330965312,4.041497836779179,68,-0.00012071361968502003
age,0.04090201522955249,0.0837217334656749,4.028663098840619,68,-0.0003849844421608406
fcf_me,0.056123998443357546,0.11527201781338645,4.014940973594919,68,9.515308985197368e-05
eqnpo_me,0.0547979338551058,0.11266515108141126,4.0107818110845965,68,-8.079924206350064e-05
ret_9_1,0.0447164319766017,0.09368906897030753,3.9357968707898614,68,-0.00011707351519896214
niq_at,0.05216502748006815,0.11300006330370632,3.806757482701592,68,-2.1515456013920797e-05
mispricing_perf,0.05201551548077432,0.11399936488789049,3.762572970631779,68,-1.9746790615338128e-05
niq_be,0.04638809982601928,0.10687343769846036,3.5792436263539242,68,-0.00010757742385969493
ope_be,0.04662909831726497,0.10813866549466152,3.555743853689138,68,-0.00024638833900958446
corr_1260d,0.03518248663256868,0.08162316364468075,3.5544103433539345,68,-0.00038709976841500016
ret_12_1,0.04037364070552654,0.09475243805108272,3.5136781394454157,68,-0.0002813524319920102
ebit_bev,0.047009472274934926,0.11066741144358715,3.502838226100629,68,-0.00020460503849251133
qmj_prof,0.04443641990830757,0.10531052701618315,3.4795391894315864,68,-0.00020520544617297354
f_score,0.03151566315430653,0.0747962484172647,3.4745702036199657,68,-0.0005947138816879693
prc_highprc_252d,0.055238348583190364,0.1326812303894012,3.4330936655434403,68,-4.713347055096406e-05
ret_6_1,0.03582592285858333,0.08618557530010942,3.4278140760054017,68,-0.00032678747676273545
ebit_sale,0.04741556982363846,0.11569276020327456,3.379630710482043,68,-0.00020654411638121317
resff3_12_1,0.016665784395414152,0.04101865126214058,3.3504168119484476,68,-0.0005856371243668779
ope_bel1,0.040954488562109224,0.1011437046190509,3.3390052860081054,68,-0.0003766454971210198
ni_be,0.04512307941999106,0.11304639977879667,3.291519640887373,68,-0.00022997021602533252
ni_me,0.04948093011699863,0.12509768270522814,3.261692733460443,68,-0.0001883641290438831
zero_trades_126d,0.04296483348969554,0.10984079983811883,3.225550923266541,68,-0.0003493846563544789
ni_inc8q,0.017232354879239246,0.04453931710771091,3.1904763682571384,68,-0.0006716775011916809
ret_12_7,0.029849677248723724,0.07721141526068082,3.1879579404564606,68,-0.000553631965476642
div12m_me,0.033433018052489626,0.0869179901233755,3.1719064055192487,68,-0.00038946744561396685
zero_trades_252d,0.04233317797739862,0.11052261748519178,3.158523897468714,68,-0.0002930559187110937
sale_me,0.03511489821596687,0.09185950675659911,3.1522580403327387,68,-0.0006333537934803957
zero_trades_21d,0.038398120810686436,0.10222539979041843,3.097459305657361,68,-0.0004796436975698093
market_equity,0.03592418052503411,0.09754672880916325,3.036886887478254,68,-0.0004642849820764017
eqpo_me,0.033937087640915284,0.09451898661563403,2.9608061190574113,68,-0.0004363376494627147
qmj_safety,0.032021606964699224,0.09001772357509374,2.933388283415754,68,-0.0004738056358588594
tax_gr1a,0.014949999444666991,0.04248155184964013,2.901985644566774,68,-0.0006180055086801861
seas_1_1na,0.02972018409233055,0.08456264777545609,2.898193503847383,68,-0.0004468459161324212
intrinsic_value,0.01857177278519706,0.05332482747084425,2.871959816099022,68,-0.0005668642319220929
prc,0.03819331436185366,0.10986947246540837,2.86658460758374,68,-0.0003857975075680642
aliq_mat,0.01487730754556971,0.04354611084816862,2.8172761810604863,68,-0.0006043328798808201
niq_su,0.010666457509979424,0.03156774620358247,2.7863206122594177,68,-0.0005380997017241373
sale_bev,0.012852246035358127,0.038159867332644676,2.7773245367063915,68,-0.0005084687422487466
oaccruals_at,0.019708553198396213,0.05949743341537363,2.731561410314394,68,-0.0005655707803318144
at_me,0.028642921411509287,0.08814139267983698,2.679735066925809,68,-0.0005407248042574864
taccruals_at,0.015573628588405589,0.04804617862166975,2.672916660022339,68,-0.000600830751355419
at_turnover,0.020289631612511325,0.06513457742420053,2.568721485622878,68,-0.0005276750533014241
bev_mev,0.023484336321125614,0.07597476943547841,2.548961975640129,68,-0.0006418001056824885
pi_nix,0.006222297775200089,0.02020623286290301,2.539334386103861,68,-0.0006011872093918402
gp_at,0.021148362287716566,0.06876650430076667,2.536029202232181,68,-0.000449476176315855
qmj,0.022899917123903456,0.07599175063313675,2.48497439085375,68,-0.0005251487513036057
be_me,0.018809449585008686,0.06782991019861058,2.2867005771241513,68,-0.0004855214150263354
ret_3_1,0.02199222067428447,0.08000038889063722,2.2668951998701976,68,-0.0004821770434240147
dsale_dsga,0.008782396107729958,0.03331936637081095,2.1735555469569827,68,-0.000627377393761952
debt_me,0.021071224081370212,0.08156351646267232,2.1303368544270183,68,-0.0007190709840614318
at_be,0.018298826710398664,0.07252906396587946,2.080489978123561,68,-0.000615168094444396
ret_60_12,0.01729339054094975,0.06925125985738873,2.05923981663954,68,-0.0006254574695128134
niq_be_chg1,0.008013145794236036,0.033217472715447484,1.9892570868430088,68,-0.0005735708520175908
z_score,0.018951987427400098,0.07861962184379663,1.987825536322244,68,-0.000626616099564048
noa_at,0.016198468266889823,0.0678214987102398,1.969522847701943,68,-0.0006262693710679113
niq_at_chg1,0.0074116655268721965,0.03207573020893063,1.9054331502348698,68,-0.0005761573556586352
