target_month,permno,ticker,company_name,sector,weight,ret_exc_lead1m,pred,raw_me,raw_beta_60m,raw_betabab_1260d
2021-01-31,10874,BC,BRUNSWICK CORP,25,0.01,0.134004,0.00821444857865572,5972.87032,1.8805612925918593,1.3258398749533549
2021-01-31,11369,UBSI,UNITED BANKSHARES INC,40,0.01,-0.022886,0.009555238299071789,4185.723599999999,1.306016014379081,1.08256320451195
2021-01-31,11636,HRTX,HERON THERAPEUTICS INC,35,-0.01,-0.17982399999999998,-0.006413208320736885,1932.5761499999999,1.4824614138182621,0.7487365575571492
2021-01-31,11786,SIVB,S V B FINANCIAL GROUP,40,0.01,0.128748,0.009466820396482944,20123.723039999997,2.069724952533042,1.2371281473294609
2021-01-31,12017,XSPA,XPRESSPA GROUP INC,25,-0.01,0.8655,-0.018835224211215973,111.93020999999999,2.3831630687745204,2.0653502705682754
2021-01-31,12307,AMRS,AMYRIS INC,15,-0.01,0.522221,-0.006268590223044157,1512.5724249999998,1.1292772156506998,0.8689294334272726
2021-01-31,12350,NETE,NET ELEMENT INC,45,-0.01,-0.097537,-0.02303498052060604,69.70814999999999,2.2055306378282546,0.5280012688830645
2021-01-31,12360,PACB,PACIFIC BIOSCIENCES CALIF INC,35,-0.01,0.247063,-0.0036684705410152674,4988.106360000001,1.307651614501057,0.7438313715610123
2021-01-31,12413,ZGNX,ZOGENIX INC,35,-0.01,-0.051572,-0.012692978605628014,1114.1626399999998,1.525230345254834,0.48529573104477386
2021-01-31,12527,IBIO,IBIO INC,35,-0.01,0.523764,-0.0011472089681774378,222.35745000000003,-0.9324639215769315,-0.18008191465070597
2021-01-31,12579,GEVO,GEVO INC,10,-0.01,1.390542,-0.03781193867325783,544.5865,3.4601425102807455,1.0832286600583436
2021-01-31,12622,HCA,H C A HEALTHCARE INC,35,0.01,-0.012084999999999999,0.009312611073255539,55649.152500000004,1.4667846068932289,1.0894153746776258
2021-01-31,12981,FBHS,FORTUNE BRANDS HOME & SECUR INC,20,0.01,0.006137,0.00867699645459652,11908.99388,1.5569886933549437,1.2167626051063638
2021-01-31,13107,CLVS,CLOVIS ONCOLOGY INC,35,-0.01,0.645787,-0.01030657347291708,497.75519999999995,1.8806563544133896,0.9859972734869422
2021-01-31,13326,MTSI,MACOM TECHNOLOGY SOLS HLDS INC,45,0.01,0.033021,0.006904360372573137,3761.6537599999997,2.216339123309515,0.9907505850551114
2021-01-31,13412,IDEX,IDEANOMICS INC,45,-0.01,0.944678,-0.004927493631839752,686.36294,0.15110495119568565,1.2071610315650356
2021-01-31,13453,CEMI,CHEMBIO DIAGNOSTICS INC,35,-0.01,0.387322,-0.006674770265817642,96.16375000000001,1.934461510700757,0.5872132492502169
2021-01-31,13641,FANG,DIAMONDBACK ENERGY INC,10,-0.01,0.171235,-0.010352144949138165,7651.459199999999,2.478484558638127,1.5309768424567702
2021-01-31,13643,ICPT,INTERCEPT PHARMACEUTICALS INC,35,-0.01,0.426675,-0.01130342110991478,815.4952,1.6589147024431492,0.9489753006969285
2021-01-31,13687,RH,R H,25,0.01,0.062164000000000004,0.00881397258490324,9129.85552,2.512910124033887,1.0890779154390557
2021-01-31,13730,PBF,P B F ENERGY INC,10,-0.01,0.192912,-0.020835230126976967,852.9087999999999,2.793906748380809,1.9245260474050874
2021-01-31,13766,BCC,BOISE CASCADE CO,15,0.01,-0.003602,0.009348580613732338,1873.8077999999998,2.0344232421414548,1.0597348667954838
2021-01-31,13802,APAM,ARTISAN PARTNERS ASSET MGMT INC,40,0.01,-0.038584,0.009256219491362572,3092.1848400000003,1.8262464109018182,1.1445580154093862
2021-01-31,13924,EPZM,EPIZYME INC,35,-0.01,0.008241,-0.01141277700662613,1103.66922,1.6889625094428138,0.8776293058249132
2021-01-31,13947,BLUE,BLUEBIRD BIO INC,35,-0.01,0.029536,-0.010898769833147526,2874.5126400000004,1.8283633207178933,0.7865551399245306
2021-01-31,13954,ESPR,ESPERION THERAPEUTICS INC NEW,35,-0.01,0.21110800000000002,-0.01736687496304512,673.816,1.3577527113323509,0.6457743848754955
2021-01-31,14044,AGIO,AGIOS PHARMACEUTICALS INC,35,-0.01,0.083961,-0.016802849248051643,3002.50902,1.7693863182657281,0.7070999765233422
2021-01-31,14051,HTBX,HEAT BIOLOGICS INC,35,-0.01,0.285402,-0.0033632481936365366,121.09848000000001,0.4988926229041809,0.6083089378044036
2021-01-31,14097,FOXF,FOX FACTORY HOLDING CORP,25,0.01,0.13173,0.008758509531617165,4418.8894199999995,1.7390404185740984,1.1077402444133984
2021-01-31,14107,TNXP,TONIX PHARMACEUTICALS HLDG CORP,35,-0.01,0.449732,-0.021833419799804688,139.056075,1.5040299921821303,0.22733339178384498
2021-01-31,14159,FEYE,FIREEYE INC,45,-0.01,-0.089378,-0.008204631507396698,5435.011399999999,1.2308787925067757,0.9905661120637461
2021-01-31,14172,PPSI,PIONEER POWER SOLUTIONS INC,20,-0.01,0.751892,-0.010174797847867012,33.76962,0.6020722687158911,0.8582541575530014
2021-01-31,14245,FATE,FATE THERAPEUTICS INC,35,-0.01,-0.003345,-0.007126529701054096,7976.56146,1.8743570000425298,0.8538756718972064
2021-01-31,14276,KODK,EASTMAN KODAK CO,45,-0.01,0.17808700000000002,-0.023459097370505333,628.10682,2.7874923440206287,1.5443841092292976
