target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,-0.19841797608967637,0.051787718685701936,-0.2502056947753782,1.9999999999999982,0.0,-8.326672684688674e-17,2.220446049250313e-16,0.05,0.24500000000000002,False,1.0,102,102,204,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.2017513094230097,,-0.19841797608967637,-0.011136640158463607,0.0022896881606989336,0.0009214280359378391,1.9999999999999987,-0.20162909228631315,
2021-02-28,0.04594701786937169,0.08173576533453486,-0.035788747465163175,1.9999999999999984,-2.7755575615628914e-17,4.163336342344337e-17,-1.1796119636642288e-16,0.05,0.28100680000000006,False,1.0,106,105,211,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,0.04261368453603836,,-0.16158767251330164,0.0,0.0009275230009039327,0.0009204655327469487,0.7999999999999996,0.04409902933572082,
2021-03-31,-0.014819174462504945,0.013593747016171429,-0.028412921478676377,1.9999999999999987,8.326672684688674e-17,5.551115123125783e-17,8.326672684688674e-17,0.05000000000000001,0.2721159992917125,False,1.0,107,107,214,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,-0.01815250779583828,,-0.17401225106584184,0.0,0.0009439587330909011,0.0009534687340436736,0.7999999999999995,-0.01671660192963952,
2021-04-30,0.04001951797979417,0.044250318374451376,-0.004230800394657208,1.9999999999999991,-5.551115123125783e-17,-2.0816681711721685e-16,1.6653345369377348e-16,0.05000000000000001,0.25859277028546146,False,1.0,109,108,217,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.03668618464646083,,-0.14095661949628158,0.0,0.0010020888766029148,0.0009335246527498624,0.8000000000000004,0.038083904450441394,
2021-05-31,0.013320908619142813,-0.0003402234558841318,0.013661132075026942,1.9999999999999987,1.3183898417423734e-16,-1.3183898417423734e-16,1.6653345369377348e-16,0.05000000000000001,0.27386065178142244,False,1.0,109,108,217,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.009987575285809479,,-0.129513381124712,0.0,0.0009559020411871613,0.0009309922476218857,0.7999999999999998,0.011434014330333767,
2021-06-30,0.010909792649732837,0.03878415020176945,-0.027874357552036613,1.9999999999999987,1.3877787807814457e-16,-2.498001805406602e-16,1.942890293094024e-16,0.05000000000000003,0.29781818353461026,False,1.0,111,113,224,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,0.007576459316399503,,-0.1200165526084156,0.0,0.0010371901731638833,0.0009849821059785013,0.7999999999999994,0.008887620370590453,
2021-07-31,0.009146226286161185,-0.0672441336155126,0.07639035990167374,1.9999999999999991,5.551115123125783e-17,1.6653345369377348e-16,-1.1102230246251565e-16,0.05000000000000002,0.32193543792989165,False,1.0,111,109,220,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.005812892952827851,,-0.11196802487049595,0.0,0.0010240034891810888,0.00101198612285634,0.7999999999999998,0.007110236674123757,
2021-08-31,-0.003695472280785767,0.026608199440654,-0.03030367172143976,1.9999999999999993,2.7755575615628914e-17,-2.220446049250313e-16,-1.1102230246251565e-16,0.05000000000000001,0.3499999999999999,False,1.0,113,113,226,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,-0.0070288056141191,,-0.11524972241903852,0.0,0.0010085245682404632,0.0010755662521638389,0.7999999999999998,-0.005779563101190068,
2021-09-30,-0.01813360962573506,-0.023055745628432787,0.004922136002697734,1.9999999999999987,0.0,8.326672684688674e-17,3.0531133177191805e-16,0.05000000000000004,0.34999999999999987,False,1.0,113,110,223,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.021466942959068393,,-0.13129343856895237,-0.047569140421166445,0.0010427699458661695,0.001011647477249238,0.8000000000000002,-0.020188027048850466,
2021-10-31,0.001641549440789188,0.03138300938532678,-0.02974145994453759,1.9999999999999991,1.6653345369377348e-16,1.6653345369377348e-16,2.220446049250313e-16,0.05,0.31420097783690343,False,1.0,115,107,222,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,-0.0016917838925441455,,-0.12986741379882538,0.0,0.0011292717002431858,0.001006464244364568,0.7999999999999999,-0.0004941865038185656,
