variable,importance
ivol_capm_21d,0.1337006543918867
rmax5_21d,0.12001206212091492
fcf_me,0.11680026502359371
ni_me,0.07599394700985823
chcsho_12m,0.06639045697231426
turnover_126d,0.061168678494705524
ni_be,0.052992427732227655
ami_126d,0.052785632760372535
gp_at,0.04835639643961736
ebit_sale,0.04496497662460567
be_me,0.03408679112119302
saleq_su,0.033026126307669074
at_gr1,0.030492120643522014
oaccruals_at,0.03013633889210472
qmj,0.03000231250912423
betabab_1260d,0.02858527276110123
niq_su,0.02571884248206703
f_score,0.014786697713122158
