target_month,permno,ticker,company_name,sector,weight,ret_exc_lead1m,pred,raw_me,raw_beta_60m,raw_betabab_1260d
2021-01-31,10421,SKYW,SKYWEST INC,20,-0.01,-0.032791999999999995,-0.011246551132671721,2022.79611,2.0228977755474795,1.9015477851651355
2021-01-31,10517,PRG,PROG HOLDINGS INC,40,-0.01,-0.12423400000000001,-0.008092919090189664,3639.2955899999997,1.8564270737574515,1.3378168198081253
2021-01-31,10530,VIVO,MERIDIAN BIOSCIENCE INC,35,-0.01,0.182405,-0.004346032005877173,805.9875600000001,0.6151579355993283,0.4537253364704839
2021-01-31,10860,OSUR,ORASURE TECHNOLOGIES INC,35,-0.01,0.43878300000000003,7.362206923663397e-05,759.3467300000001,0.017544387824483282,0.4516742142591693
2021-01-31,11992,TCF,T C F FINANCIAL CORP NEW,40,0.01,0.049657,0.010099183770982102,5651.140020000001,1.889917321066367,1.648476229090452
2021-01-31,12307,AMRS,AMYRIS INC,15,0.01,0.522221,0.011594899493825788,1512.5724249999998,1.1292772156506998,0.8689294334272726
2021-01-31,12413,ZGNX,ZOGENIX INC,35,-0.01,-0.051572,-0.06688489971236233,1114.1626399999998,1.525230345254834,0.48529573104477386
2021-01-31,12622,HCA,H C A HEALTHCARE INC,35,0.010000000000000002,-0.012084999999999999,0.007841422092250508,55649.152500000004,1.4667846068932289,1.0894153746776258
2021-01-31,12639,CSOD,CORNERSTONE ONDEMAND INC,45,0.01,-0.071345,0.009857579453820448,2859.3410400000002,1.2901046658581021,1.0117863603099149
2021-01-31,12641,AL,AIR LEASE CORP,20,-0.01,-0.10788,-0.013162076038177092,5054.06318,2.1153166420899856,1.9556525572712997
2021-01-31,12913,CHEF,CHEFS WAREHOUSE INC,30,-0.01,0.062235000000000006,-0.02513578278237526,957.59475,2.3545578813319503,2.014826638183065
2021-01-31,13085,VAC,MARRIOTT VACATIONS WORLDWIDE COR,25,0.01,-0.105424,0.004129344645205155,5634.66486,2.4095405738371416,1.6745347808758522
2021-01-31,13108,GRPN,GROUPON INC,25,-0.01,-0.100717,-0.01892131654758444,1096.117755,2.4591713504098487,1.8439521909595886
2021-01-31,13141,WPX,W P X ENERGY INC,10,-0.01,0.176814,-0.017806799340497816,4572.492300000001,3.5098544006100183,1.6961593130824717
2021-01-31,13323,ENPH,ENPHASE ENERGY INC,45,-0.01,0.039163,-0.009200161322665167,22628.96214,1.5819578937095875,1.0404748342566696
2021-01-31,13410,SUPN,SUPERNUS PHARMACEUTICALS INC,35,0.01,0.168078,0.012248171926086225,1330.15888,1.5855385041902925,0.6460405337092192
2021-01-31,13548,BLMN,BLOOMIN BRANDS INC,25,0.01,0.084918,0.010785797391870446,1706.16352,1.894596732098139,1.5954201736528606
2021-01-31,13643,ICPT,INTERCEPT PHARMACEUTICALS INC,35,-0.01,0.426675,-0.027083542995308414,815.4952,1.6589147024431492,0.9489753006969285
2021-01-31,13730,PBF,P B F ENERGY INC,10,0.01,0.192912,0.0020826491649109276,852.9087999999999,2.793906748380809,1.9245260474050874
2021-01-31,13766,BCC,BOISE CASCADE CO,15,0.01,-0.003602,0.008159771860133754,1873.8077999999998,2.0344232421414548,1.0597348667954838
2021-01-31,13862,TMHC,TAYLOR MORRISON HOME CORP,25,-0.01,0.012820000000000002,-0.011168746414304504,3333.03795,1.7302353825399412,1.71541457280118
2021-01-31,13924,EPZM,EPIZYME INC,35,-0.01,0.008241,-0.03740970663481407,1103.66922,1.6889625094428138,0.8776293058249132
2021-01-31,13947,BLUE,BLUEBIRD BIO INC,35,-0.01,0.029536,-0.0075800441528235535,2874.5126400000004,1.8283633207178933,0.7865551399245306
2021-01-31,13954,ESPR,ESPERION THERAPEUTICS INC NEW,35,-0.01,0.21110800000000002,-0.028336033829174816,673.816,1.3577527113323509,0.6457743848754955
2021-01-31,13983,COTY,COTY INC,30,-0.01,-0.092639,-0.009817516137843374,5376.6390599999995,2.204559040210624,1.3285571276227874
2021-01-31,14044,AGIO,AGIOS PHARMACEUTICALS INC,35,-0.01,0.083961,-0.012466428002266463,3002.50902,1.7693863182657281,0.7070999765233422
2021-01-31,14097,FOXF,FOX FACTORY HOLDING CORP,25,0.01,0.13173,0.008626334245410303,4418.8894199999995,1.7390404185740984,1.1077402444133984
2021-01-31,14161,FPRX,FIVE PRIME THERAPEUTICS INC,35,0.01,-0.017095000000000003,0.0007592975610309174,779.8744800000001,4.415568197296824,1.5662792482162857
2021-01-31,14245,FATE,FATE THERAPEUTICS INC,35,0.01,-0.003345,0.01722054640478504,7976.56146,1.8743570000425298,0.8538756718972064
2021-01-31,14257,MGNX,MACROGENICS INC,35,-0.01,-0.105908,-0.016101476131321065,1285.7606999999998,2.3980114750167933,1.4133911999213222
2021-01-31,14262,SRNE,SORRENTO THERAPEUTICS INC,35,0.01,0.854899,0.0072729189032682455,1878.8269500000001,2.5113076664397576,1.2925147359941707
2021-01-31,14276,KODK,EASTMAN KODAK CO,45,0.01,0.17808700000000002,0.018389224284528494,628.10682,2.7874923440206287,1.5443841092292976
2021-01-31,14316,KPTI,KARYOPHARM THERAPEUTICS INC,35,-0.01,-0.016196000000000002,-0.006317160729559396,1144.32804,0.9049053656001611,1.02389713707256
2021-01-31,14318,NMIH,N M I HOLDINGS INC,40,-0.01,-0.063622,-0.008838537458846812,1928.94195,1.6363524233505464,1.3231686355330134
2021-01-31,14432,ITCI,INTRA CELLULAR THERAPIES INC,35,-0.01,0.010960000000000001,-0.007642900102823331,2558.7234,1.4376033889258455,0.6259678979471113
2021-01-31,14467,RVNC,REVANCE THERAPEUTICS INC,35,-0.01,-0.10237500000000001,-0.013472378891296304,1960.53286,1.4131918235801548,0.9370153462690713
2021-01-31,14580,MGNI,MAGNITE INC,25,-0.01,0.127925,-0.010090754270382746,3549.1547,2.405964499549058,1.2478616285894646
2021-01-31,14608,SABR,SABRE CORP,45,-0.01,-0.10320700000000001,-0.0319331265653243,3813.90994,2.084864317147646,2.1322325231105066
2021-01-31,14790,ADVM,ADVERUM BIOTECHNOLOGIES INC,35,-0.01,0.137408,-0.008209555545744235,1057.43116,1.6890989936879874,0.9513678603232613
