target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,-0.16746474066049785,0.04664635028059036,-0.21411109094108818,1.999999999999998,-2.7755575615628914e-17,-5.551115123125783e-16,-4.718447854656915e-16,0.05,0.325,False,1.0,101,101,202,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.17079807399383118,,-0.16746474066049788,-0.011136640158463607,0.0020626574996780262,0.0009481323956052687,1.9999999999999984,-0.17047553055578113,
2021-02-28,-0.0498839689928976,0.04546985462183969,-0.09535382361473727,1.9999999999999982,-1.3877787807814457e-17,-7.494005416219807e-16,-1.27675647831893e-15,0.05,0.3423817356157264,False,1.0,102,101,203,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.05321730232623093,,-0.20899490372288354,0.0,0.0023833132351029226,0.0010281059745997146,2.015465927767796,-0.053295388202600234,
2021-03-31,0.022346653424638104,0.024574495934962613,-0.0022278425103245056,1.9999999999999982,-4.163336342344337e-17,5.828670879282072e-16,4.163336342344337e-17,0.05,0.3499999999999998,False,1.0,102,103,205,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.01901332009130477,,-0.1913185869792563,0.0,0.0020476626441285266,0.0009985128273638875,2.004874418236574,0.01930047795314569,
2021-04-30,0.07412818766478102,0.06539508033848768,0.008733107326293382,1.9999999999999982,0.0,-6.938893903907228e-16,-3.885780586188048e-16,0.05,0.3499999999999998,False,1.0,101,102,203,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.07079485433144769,,-0.13137249943383433,0.0,0.0019247907334066696,0.0010464583333333326,1.7591124437009977,0.07115693859804102,
2021-05-31,0.021994869139342253,0.007609173391314561,0.014385695748027684,1.9999999999999982,0.0,-4.440892098500626e-16,-5.273559366969494e-16,0.05,0.3389127568310628,False,1.0,101,101,202,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.01866153580600892,,-0.11226715122804753,0.0,0.0017294583111184053,0.0009336591216990232,1.7465353730121933,0.019331751706524826,
2021-06-30,-0.002457991872274856,0.04903516527419359,-0.051493157146468446,1.9999999999999982,-4.163336342344337e-17,-1.1796119636642288e-15,1.942890293094024e-16,0.05,0.34999999999999976,False,1.0,102,102,204,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.00579132520560819,,-0.11444919135508047,0.0,0.002072946463094673,0.001083617437676377,1.9870638493786164,-0.005614555773045906,
2021-07-31,0.06359121258369183,-0.0010281288450458748,0.06461934142873771,1.9999999999999982,-2.7755575615628914e-17,4.440892098500626e-16,1.1657341758564144e-15,0.05,0.34999999999999987,False,1.0,102,101,203,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.06025787925035849,,-0.05813594162888125,0.0,0.0017382619146736633,0.001005624999999999,1.6219570125279872,0.06084732566901817,
2021-08-31,0.031008031255471014,0.031271641255470946,-0.00026360999999992633,1.9999999999999982,0.0,-1.2490009027033011e-15,-1.3877787807814457e-16,0.05,0.34999999999999987,False,1.0,102,101,203,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.02767469792213768,,-0.02893059146850485,0.0,0.0018204593799970932,0.0009862499999999988,1.7093864193467687,0.028201321875473924,
2021-09-30,-0.0501129578336721,-0.03840637343811771,-0.011706584395554406,1.9999999999999982,8.326672684688674e-17,-1.1102230246251565e-16,7.216449660063518e-16,0.05,0.34999999999999987,False,1.0,101,101,202,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.05344629116700544,,-0.0775937517918126,-0.047569140421166445,0.0019158899641735822,0.001010325994819236,1.9053687766021827,-0.05303917379266492,
2021-10-31,0.0435253778544975,0.07684768954988648,-0.033322311695388976,1.9999999999999982,1.1102230246251565e-16,-9.43689570931383e-16,-8.881784197001252e-16,0.05,0.3499999999999998,False,1.0,102,101,203,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.040192044521164164,,-0.037445671303201866,0.0,0.0015675926727728921,0.0010241666666666663,1.5077128190647051,0.04093361851505794,
2021-11-30,0.0056924193187407575,-0.055044499999999955,0.060736919318740715,1.9999999999999982,-2.7755575615628914e-17,-1.1657341758564144e-15,5.273559366969494e-16,0.05,0.34999999999999976,False,1.0,101,103,204,2021-11-30,0.05,4.1666666666666665e-05,2021-11-30,-0.00833373141847149,0.0033750000000000004,0.002359085985407424,,-0.031966408447190786,-0.00833373141847149,0.00210886193824761,0.00103397809759019,1.9992355524262824,0.0025495792829029577,
2021-12-31,0.0027388882909577424,0.026108918835502988,-0.02337003054454525,1.9999999999999982,1.3877787807814457e-17,1.457167719820518e-16,-3.3306690738754696e-16,0.05,0.34500000000000003,False,1.0,101,101,202,2021-12-31,0.06,4.9999999999999996e-05,2021-12-31,0.04361287497262989,0.0033833333333333337,-0.0005944450423755912,1.1942224277297828,-0.029315072578033008,0.0,0.0021704392169072627,0.0010249999999999994,2.1143579024645938,-0.00045655092594951976,1.1950502063789519
2022-01-31,0.019013304785281255,-0.08516081205368536,0.10417411683896659,1.9999999999999982,-2.7755575615628914e-17,-2.7755575615628914e-17,5.273559366969494e-16,0.05,0.288069317835727,False,1.0,101,101,202,2022-01-31,0.15,0.000125,2022-01-31,-0.05258508910699977,0.0034583333333333337,0.01567997145194792,0.4744732524788466,-0.010859144202480575,-0.05258508910699977,0.0022661186677672422,0.0009405527939211166,2.251653446235915,0.015806633323592896,0.47606503031146563
2022-02-28,-0.011513266228780414,0.007524503771219603,-0.01903777000000001,1.9999999999999984,0.0,-7.216449660063518e-16,8.049116928532385e-16,0.05,0.275,False,1.0,102,100,202,2022-02-28,0.33,0.000275,2022-02-28,-0.03136052086678265,0.0036083333333333336,-0.014846599562113748,0.5385469825992948,-0.02224738621304112,-0.08229651418956074,0.0019686194017769438,0.0009929166666666654,1.8353699190826602,-0.014474802297224025,0.54022374109629
2022-03-31,-0.008714833824315461,0.01853627161697525,-0.027251105441290717,1.9999999999999982,0.0,-3.712308238590367e-16,-1.734723475976807e-16,0.05,0.275,False,1.0,102,101,203,2022-03-31,0.44,0.00036666666666666667,2022-03-31,0.03577323877328009,0.0037,-0.012048167157648795,0.5055020879738397,-0.030768337763484532,-0.04946728826859237,0.0025533732465909498,0.0009529166666666661,2.3738768124710283,-0.012221123737573078,0.5066130749665781
2022-04-30,0.011244231837456733,-0.11183154220522666,0.12307577404268338,1.9999999999999982,8.326672684688674e-17,1.6653345369377348e-16,-5.828670879282072e-16,0.05000000000000003,0.275,False,1.0,101,101,202,2022-04-30,0.76,0.0006333333333333333,2022-04-30,-0.08795671914903935,0.003966666666666667,0.007910898504123399,0.2501833298371459,-0.01987007224909354,-0.13307302703632662,0.0023798803291099086,0.0010099999999999996,2.2279604354561924,0.007854351508346825,0.2524309171403911
2022-05-31,0.00693913868054397,-0.024411867526497183,0.03135100620704117,1.9999999999999984,1.1102230246251565e-16,3.0531133177191805e-16,-3.608224830031759e-16,0.05,0.22500000000000003,False,1.0,101,102,203,2022-05-31,0.98,0.0008166666666666666,2022-05-31,5.324388360872234e-05,0.00415,0.0036058053472106367,0.24759807190303343,-0.013068814755478497,-0.1330268684774809,0.0021837096147866307,0.0009630375323303139,2.058414729248933,0.003792391533427025,0.24975640485663755
2022-06-30,-0.027189979648016616,-0.08741128250780837,0.06022130285979175,1.9999999999999982,0.0,9.159339953157541e-16,-6.106226635438361e-16,0.05,0.23125081280911422,False,1.0,102,102,204,2022-06-30,1.49,0.0012416666666666667,2022-06-30,-0.08391999322386645,0.004575,-0.03052331298134995,0.30623849572198303,-0.0399034535962699,-0.20578324780012514,0.002557130565914487,0.0009765613485204203,2.30201150278517,-0.030723671562451524,0.30928677464938414
2022-07-31,0.005348362739599936,0.12851047055069723,-0.12316210781109728,1.9999999999999982,1.3877787807814457e-17,6.522560269672795e-16,-4.579669976578771e-16,0.05,0.255,False,1.0,101,101,202,2022-07-31,2.23,0.0018583333333333334,2022-07-31,0.09111634763220589,0.005191666666666667,0.002015029406266602,0.19391716145259916,-0.03476850900106554,-0.1334171181113598,0.0021605044101210063,0.0011261013252463047,1.836215596433159,0.0020617570042326247,0.19556980696550155
2022-08-31,-0.02073758397286775,-0.036066821619285795,0.015329237646418045,1.9999999999999982,8.326672684688674e-17,-1.6653345369377348e-16,-1.3877787807814457e-16,0.05,0.23200001934665682,False,1.0,101,102,203,2022-08-31,2.63,0.002191666666666667,2022-08-31,-0.04244011921681046,0.005525,-0.024070917306201083,0.18472460465691984,-0.05478507809891231,-0.17019499892996082,0.002349495615221699,0.0010583333333333328,2.067832656873202,-0.02414541292142278,0.18626951898694688
2022-09-30,0.04017357857406273,-0.08664506000000001,0.12681863857406273,1.9999999999999982,-2.0816681711721685e-17,-3.885780586188048e-16,-7.28583859910259e-16,0.05,0.2549999999999993,False,1.0,100,102,202,2022-09-30,3.13,0.0026083333333333336,2022-09-30,-0.09339570164348932,0.005941666666666667,0.036840245240729395,0.044429310683111886,-0.016812412164542434,-0.24769521923217352,0.0023625230856470503,0.0011183983942390575,2.160449395749816,0.03669265709417662,0.04651574254416216
2022-10-31,-0.03417502695839169,0.05893680575591357,-0.09311183271430526,1.9999999999999982,-2.7755575615628914e-17,7.771561172376096e-16,-3.3306690738754696e-16,0.05,0.275,False,1.0,101,101,202,2022-10-31,3.72,0.0031000000000000003,2022-10-31,0.07986345457689326,0.006433333333333334,-0.037508360291725024,-0.106536160208305,-0.050412874483975245,-0.18761356054534262,0.0022400679720190513,0.0011067582784829604,1.9447144705822366,-0.0375218532088937,-0.10591858026212911
2022-11-30,-0.010310491141611224,0.023164291921314747,-0.03347478306292597,1.999999999999998,0.0,8.743006318923108e-16,1.249000902703301e-16,0.05,0.2501250045809107,False,1.0,101,102,203,2022-11-30,4.15,0.0034583333333333337,2022-11-30,0.053752860293699856,0.006791666666666667,-0.013643824474944558,-0.1096979783810271,-0.060203584129796206,-0.14394546576084022,0.002325027538133872,0.0010977534107704354,1.956920078389122,-0.01373327209051553,-0.10927720909554538
2022-12-31,-0.0161935943216214,-0.06032655999999998,0.044132965678378565,1.9999999999999982,5.551115123125783e-17,1.3877787807814457e-16,8.326672684688674e-17,0.05,0.275,False,1.0,100,101,201,2022-12-31,4.25,0.003541666666666667,2022-12-31,-0.058971449299161094,0.006875000000000001,-0.019526927654954732,-0.10476674809633665,-0.07542226603331204,-0.19442824232404177,0.0026617448948392775,0.0009945833333333328,2.5122516723717663,-0.019849922549794008,-0.10419070067827173
2023-01-31,-0.054373767866420605,0.07663796687987429,-0.13101173474629488,1.9999999999999982,3.8163916471489756e-17,1.2004286453759505e-15,-3.712308238590367e-16,0.05000000000000003,0.275,False,1.0,102,101,203,2023-01-31,4.54,0.0037833333333333334,2023-01-31,0.06175283240005203,0.007116666666666667,-0.05770710119975394,-0.14315958188958744,-0.12569504111447782,-0.144681904586063,0.0027570599505228714,0.0008329166666666662,2.7707397822054896,-0.05796374448361015,-0.14278145852962687
2023-02-28,0.009867327383734914,-0.017011240408192796,0.026878567791927706,1.9999999999999982,8.673617379884035e-17,-2.636779683484747e-16,1.457167719820518e-16,0.05,0.2549999999999992,False,1.0,101,101,202,2023-02-28,4.65,0.0038750000000000004,2023-02-28,-0.026112446646715304,0.007208333333333334,0.00653399405040158,-0.15250921480263002,-0.11706798785193151,-0.16701635271852955,0.0015007033458532078,0.0007718036856569179,1.5364510582893507,0.007594820352224788,-0.15240966110224247
2023-03-31,0.04732343151188193,-0.008806847553550393,0.05613027906543232,1.9999999999999982,1.3877787807814457e-17,1.6653345369377348e-16,3.0531133177191805e-16,0.05,0.22500000000000003,False,1.0,101,101,202,2023-03-31,4.69,0.003908333333333334,2023-03-31,0.03505157235872702,0.007241666666666667,0.0439900981785486,-0.10991693468266844,-0.0752846152453942,-0.1378189661322068,0.0018590829488858984,0.0007935799685549726,1.8269017462089383,0.04467076859444106,-0.10913820693000852
2023-04-30,-0.010021891258378723,-0.013952516410277664,0.00393062515189894,1.9999999999999984,1.3877787807814457e-17,9.783840404509192e-16,-7.216449660063518e-16,0.05,0.22500000000000003,False,1.0,101,101,202,2023-04-30,4.92,0.0041,2023-04-30,0.01464236088297044,0.0074333333333333335,-0.013355224591712057,-0.09908105054699416,-0.08455201227635467,-0.1251946002878619,0.0018621472798319026,0.0007799999999999996,1.8286813252533225,-0.012664038538210624,-0.09827739828877242
2023-05-31,0.014405101803755344,-0.008414695551131363,0.022819797354886713,2.0,0.0,8.604228440844963e-16,-2.0816681711721685e-17,0.05000000000000003,0.24500000000000005,False,1.0,101,101,202,2023-05-31,5.14,0.004283333333333333,2023-05-31,0.002482323934879238,0.007616666666666666,0.01107176847042201,-0.09961060431673945,-0.07136489081715247,-0.12302304990579493,0.0015688705185331836,0.0008075000000000001,1.4846655903280446,0.01202873128522216,-0.09883377042375369
2023-06-30,-0.022188323991231135,0.06751341909207038,-0.08970174308330152,1.999999999999998,-1.3877787807814457e-17,-1.942890293094024e-16,2.7755575615628914e-17,0.05000000000000003,0.22500000000000003,False,1.0,101,101,202,2023-06-30,5.16,0.0043,2023-06-30,0.0647275128414313,0.007633333333333334,-0.02552165732456447,-0.1913336669861399,-0.09196974748933384,-0.06625851310693298,0.0020587861949087744,0.0008146621559246512,2.006745977261475,-0.02506177234206456,-0.1911040285896584
2023-07-31,-0.01701258248294913,0.03673496261461407,-0.0537475450975632,1.9999999999999982,-1.3877787807814457e-17,6.38378239159465e-16,-4.77048955893622e-16,0.05,0.255,False,1.0,101,101,202,2023-07-31,5.25,0.0043749999999999995,2023-07-31,0.031138913980379268,0.007708333333333333,-0.020345915816282464,-0.2591045670088342,-0.10741768705718469,-0.0371828172666584,0.001597479956954226,0.0007969222497949633,1.4761974045816633,-0.01940698468969832,-0.2578951649887879
2023-08-31,0.00014948256267546638,-0.04932887732195208,0.04947835988462755,1.9999999999999982,6.938893903907228e-17,2.949029909160572e-16,-4.3021142204224816e-16,0.05,0.2210132166969523,False,1.0,101,102,203,2023-08-31,5.3,0.004416666666666667,2023-08-31,-0.01771643248143373,0.00775,-0.003183850770657867,-0.30588294071095856,-0.10728426156564708,-0.05424050287651794,0.0017607479019653679,0.0007227279415186185,1.7904946980434828,-0.00233399328080852,-0.3058067849915637
2023-09-30,0.011984852128591232,-0.06575309999999994,0.07773795212859118,1.9999999999999982,0.0,9.71445146547012e-16,-6.661338147750939e-16,0.05,0.195,False,1.0,100,102,202,2023-09-30,5.32,0.004433333333333333,2023-09-30,-0.04871929116215501,0.0077666666666666665,0.008651518795257898,-0.24143973136698646,-0.09658519544764521,-0.10031723518625024,0.0017298034729289885,0.0007988217648278343,1.7750443755514462,0.00945622689083441,-0.2449624554011912
