target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,-0.2576835316590069,0.031195788340992077,-0.288879319999999,1.9999999999999982,0.0,8.881784197001252e-16,-0.17131845313920183,0.28999999999999926,0.31499999999999967,False,1.0,101,100,201,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.2610168649923403,,-0.2576835316590069,-0.011136640158463607,0.002309999999999998,0.0011916666666666653,1.9999999999999987,-0.26118519832567355,
2021-02-28,-0.005866738781753391,0.02660482121824661,-0.03247156,1.9999999999999982,-1.5543122344752192e-15,-4.440892098500626e-16,-0.15488434464716858,0.28,0.33,False,1.0,101,100,201,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.009200072115086725,,-0.26203850847215726,0.0,0.002533258378340989,0.0012058333333333333,2.165406648340991,-0.009605830493427713,
2021-03-31,0.09199036107270658,0.06317343107270658,0.02881692999999999,1.9999999999999987,-7.771561172376096e-16,-1.6653345369377348e-15,-0.13663512983096018,0.3,0.30000000000000004,False,1.0,101,100,201,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.08865702773937326,,-0.19415316440875785,0.0,0.0023578429836956043,0.0012579166666666667,2.013340645333555,0.08837460142234431,
2021-04-30,0.1299129822701034,0.056528930000000005,0.0733840522701034,1.999999999999999,8.326672684688674e-16,-1.1102230246251565e-16,-0.43067517094616187,0.3261800400908319,0.333090020045416,False,1.0,100,101,201,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.12657964893677007,,-0.08946319874417374,0.0,0.002022493551761437,0.0013385624582387154,1.7723973228272616,0.12655192626010325,
2021-05-31,0.04550008702625355,0.010290187026253545,0.035209899999999995,1.9999999999999987,-8.326672684688674e-16,-1.1102230246251565e-15,-0.523937597390312,0.36,0.33,False,1.0,101,100,201,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.042166753692920216,,-0.04803369504642707,0.0,0.001895325497817642,0.0014254166666666666,1.6445426192134627,0.04217934486176924,
2021-06-30,-0.08207480578995102,0.020181759999999997,-0.10225656578995104,1.9999999999999982,5.551115123125783e-17,-7.216449660063518e-16,-0.5332593083640819,0.40063251470986794,0.370316257354934,False,1.0,100,101,201,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.08540813912328435,,-0.12616614464406883,0.0,0.0015515425607265459,0.0014574999999999987,1.412474708142279,-0.08508384835067757,
2021-07-31,0.18075796366234922,0.03490183366234932,0.1458561299999999,1.9999999999999982,0.0,-4.996003610813204e-16,-0.6469932028149991,0.46,0.35000000000000003,False,1.0,101,100,201,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.1774246303290159,,0.0,0.0,0.0014329754163897228,0.0013874999999999988,1.2011255591047658,0.1779374882459595,
2021-08-31,-0.06979214789617413,0.023628060000000003,-0.09342020789617415,1.9999999999999984,9.43689570931383e-16,1.7763568394002505e-15,-0.598924210658081,0.45,0.35500000000000004,False,1.0,100,101,201,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,-0.07312548122950746,,-0.06979214789617416,0.0,0.0017512288180259574,0.0013912499999999984,1.4414467973203715,-0.07293462671420009,
2021-09-30,0.03403514726710296,-0.058921329999999945,0.09295647726710292,1.9999999999999982,-5.551115123125783e-17,5.551115123125783e-16,-0.5393721916124355,0.4793463771197404,0.3596731885598694,False,1.0,100,101,201,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,0.030701813933769626,,-0.03813238666080487,-0.047569140421166445,0.002105500368087901,0.0013770833333333322,1.7853795690439498,0.030552563565681725,
2021-10-31,0.0798863911279554,0.06642570112795539,0.013460690000000006,1.9999999999999991,-7.216449660063518e-16,-9.992007221626409e-16,-0.6214272178161481,0.49,0.395,False,1.0,101,100,201,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.07655305779462207,,0.0,0.0,0.0019069516344463729,0.0013391666666666667,1.6232048606940568,0.07664027282684235,
