target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,-0.23606634004183077,0.017476129832183045,-0.25354246987401374,1.9999999999999982,0.0,2.7755575615628914e-16,-3.3306690738754696e-16,0.05,0.3446146734698452,False,1.0,102,101,203,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.2393996733751641,,-0.2360663400418308,-0.011136640158463607,0.0020465964688896774,0.0009395986181977549,1.9999999999999982,-0.23905253512891822,
2021-02-28,0.026653436466223143,0.05694049931173504,-0.030287062845511893,1.9999999999999982,0.0,-8.881784197001252e-16,-4.440892098500626e-16,0.05,0.3449999999999993,False,1.0,101,101,202,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,0.02332010313288981,,-0.2157048827717264,0.0,0.0019683135272055615,0.0009815683912039496,2.005940058893052,0.023703554547813633,
2021-03-31,0.06511398786898462,0.05442268414300444,0.01069130372598018,1.9999999999999982,-1.1102230246251565e-16,-1.6653345369377348e-16,2.220446049250313e-16,0.05,0.34999999999999987,False,1.0,102,102,204,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.061780654535651285,,-0.1646363000228207,0.0,0.00240278213565442,0.0010148467802576391,2.302872182286449,0.06169635895307256,
2021-04-30,0.07491812025746539,0.05597301458964558,0.018945105667819817,1.9999999999999982,-5.551115123125783e-17,1.6653345369377348e-16,6.106226635438361e-16,0.05,0.34999999999999987,False,1.0,102,102,204,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.07158478692413206,,-0.10205242188920916,0.0,0.0019445873588103983,0.0010054166666666662,1.9205616472293991,0.07196811623198833,
2021-05-31,0.07867822805807978,0.02221204751522161,0.056466180542858166,1.9999999999999982,5.551115123125783e-17,-4.440892098500626e-16,9.992007221626409e-16,0.05,0.34999999999999976,False,1.0,102,103,205,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.07534489472474645,,-0.031403497554407966,0.0,0.0020366708953221254,0.0010053343968343578,1.9316460308432084,0.0756362227659233,
2021-06-30,-0.05454051497376875,0.020417723659303548,-0.0749582386330723,1.999999999999998,-5.551115123125783e-17,-1.0547118733938987e-15,6.661338147750939e-16,0.05,0.3499999999999998,False,1.0,102,102,204,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.057873848307102085,,-0.08423124959958184,0.0,0.0025105067794170713,0.0010586295283371528,2.3159779258099267,-0.05810965128152297,
2021-07-31,0.08500766465521996,0.01274223150693885,0.07226543314828111,1.9999999999999982,0.0,3.3306690738754696e-16,7.771561172376096e-16,0.05,0.34999999999999987,False,1.0,101,101,202,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.08167433132188663,,-0.006383886763813185,0.0,0.002095745558374943,0.0010033333333333329,1.8999702154669365,0.08190858576351169,
2021-08-31,0.01477439766215115,0.029548860000000093,-0.014774462337848947,1.9999999999999982,0.0,-3.0531133177191805e-16,9.159339953157541e-16,0.05,0.34999999999999987,False,1.0,101,102,203,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.011441064328817816,,0.0,0.0,0.002108819069521348,0.0010400691999991293,1.9534588493223244,0.011625509392630672,
2021-09-30,-0.017626748501443874,-0.05161769065566287,0.033990942154218995,1.9999999999999982,-5.551115123125783e-17,-3.885780586188048e-16,6.106226635438361e-16,0.05,0.34500000000000003,False,1.0,102,101,203,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.020960081834777208,,-0.017626748501443856,-0.047569140421166445,0.002316643526320346,0.0010659555944843337,2.1662236481718016,-0.021009347622248552,
2021-10-31,0.004382755274675316,0.04214506173492796,-0.03776230646025265,1.9999999999999982,2.7755575615628914e-17,-4.718447854656915e-16,-7.216449660063518e-16,0.05,0.3499999999999998,False,1.0,103,102,205,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.0010494219413419823,,-0.013321246951738641,0.0,0.0019641640282480276,0.0009801600064549027,1.792534175473224,0.0014384312399723855,
