target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,-0.2327998535432415,0.05962275220970102,-0.2924226057529425,1.9999999999999982,0.0,-2.220446049250313e-16,8.326672684688674e-17,0.05,0.34999999999999976,False,1.0,103,102,205,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.23613318687657484,,-0.2327998535432415,-0.011136640158463607,0.0024607922923883378,0.0011144072990200585,1.9999999999999987,-0.2363750531346499,
2021-02-28,-0.024916706021780827,0.05058415039263112,-0.07550085641441195,1.9999999999999982,-2.7755575615628914e-17,-7.216449660063518e-16,-1.249000902703301e-16,0.05,0.3499999999999998,False,1.0,101,101,202,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.02825003935511416,,-0.25191595405237177,0.0,0.0025917329787991574,0.001149438162372864,2.154480837067607,-0.028657877162952847,
2021-03-31,0.013261944181988252,0.026058061981474444,-0.012796117799486192,1.9999999999999982,-1.3877787807814457e-17,5.48172618408671e-16,3.0531133177191805e-16,0.05,0.34999999999999987,False,1.0,101,102,203,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.009928610848654918,,-0.2419949051915783,0.0,0.0021783579520856665,0.001098958333333333,1.832743245256459,0.009984627896569252,
2021-04-30,0.10080598618167894,0.07070335971131174,0.030102626470367193,1.9999999999999982,0.0,9.992007221626409e-16,-8.049116928532385e-16,0.05,0.34999999999999987,False,1.0,102,101,203,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.09747265284834561,,-0.16558345407867825,0.0,0.0020436343467161644,0.0011041666666666663,1.800362213735442,0.09765818516829611,
2021-05-31,0.05880968901540844,0.01419751907128798,0.04461216994412046,1.9999999999999982,2.7755575615628914e-17,-5.551115123125783e-16,-2.7755575615628914e-16,0.05,0.3499999999999998,False,1.0,101,102,203,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.0554763556820751,,-0.11651167650373406,0.0,0.0022653238942042563,0.0010414449134510582,2.007677119199562,0.05550292020775312,
2021-06-30,-0.039635936676581655,0.022708811990699896,-0.06234474866728156,1.999999999999998,5.551115123125783e-17,-5.828670879282072e-16,6.661338147750939e-16,0.05,0.3499999999999998,False,1.0,101,101,202,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.04296927000991499,,-0.15152956374833126,0.0,0.002184282101170544,0.001101961930830057,1.9151443934432844,-0.04292218070858226,
2021-07-31,0.14814327655947263,0.022248171559472642,0.12589510499999995,1.9999999999999982,-5.551115123125783e-17,0.0,-6.106226635438361e-16,0.05,0.34999999999999987,False,1.0,103,101,204,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.1448099432261393,,-0.025834373258163956,0.0,0.001979927562887321,0.0010922916666666663,1.72732531000015,0.14507105732991865,
2021-08-31,0.011681761473939192,0.027904289985663223,-0.016222528511724038,1.999999999999998,-2.7755575615628914e-17,5.551115123125783e-17,-2.7755575615628914e-16,0.05,0.3499999999999998,False,1.0,102,101,203,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.008348428140605858,,-0.014454402770455288,0.0,0.002131158956219738,0.0011308107915258137,1.9102329184723854,0.008419791726193641,
2021-09-30,-0.014788626496523584,-0.030508456496523506,0.01571982999999993,1.9999999999999984,5.551115123125783e-17,-5.551115123125783e-17,8.326672684688674e-16,0.05,0.3499999999999998,False,1.0,102,101,203,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.018121959829856916,,-0.02902926850317633,-0.047569140421166445,0.0022588640440702533,0.0010985416666666656,1.9762593699389548,-0.0181460322072605,
2021-10-31,0.044949357635185185,0.07712318863488894,-0.03217383099970376,1.9999999999999982,2.7755575615628914e-17,-7.771561172376096e-16,-2.7755575615628914e-16,0.05,0.3499999999999998,False,1.0,102,102,204,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.04161602430185185,,0.0,0.0,0.0017985603137670259,0.0011022916666666657,1.6212974256962296,0.042048505654751496,
2021-11-30,0.0562592521022823,-0.03641746000000018,0.09267671210228247,1.9999999999999982,1.1102230246251565e-16,-1.1657341758564144e-15,5.551115123125783e-16,0.05,0.3499999999999998,False,1.0,101,102,203,2021-11-30,0.05,4.1666666666666665e-05,2021-11-30,-0.00833373141847149,0.0033750000000000004,0.05292591876894897,,0.0,-0.00833373141847149,0.0021290506352651213,0.001043953802153487,1.9386412977065333,0.053086247664863695,
2021-12-31,0.06231047473596529,0.03210133708020191,0.030209137655763392,1.999999999999998,0.0,5.551115123125783e-16,1.6653345369377348e-16,0.05,0.3499999999999998,False,1.0,102,102,204,2021-12-31,0.06,4.9999999999999996e-05,2021-12-31,0.04361287497262989,0.0033833333333333337,0.05897714140263196,1.1810350851000864,0.0,0.0,0.002320782551467301,0.0011075781960976623,2.150206512270379,0.05888211398840033,1.1836462479672645
2022-01-31,0.02409814494935768,-0.10895481505064226,0.13305295999999994,1.9999999999999982,0.0,1.887379141862766e-15,6.661338147750939e-16,0.05,0.3499999999999998,False,1.0,102,101,203,2022-01-31,0.15,0.000125,2022-01-31,-0.05258508910699977,0.0034583333333333337,0.020764811616024347,0.3646886017303579,0.0,-0.05258508910699977,0.002236475084263074,0.0010591666666666662,2.004806842111001,0.02080250319842794,0.3660793750024641
2022-02-28,-0.01930932250475674,0.0012564212768581473,-0.020565743781614895,1.999999999999998,-2.7755575615628914e-17,8.049116928532385e-16,3.885780586188048e-16,0.05,0.34999999999999976,False,1.0,102,101,203,2022-02-28,0.33,0.000275,2022-02-28,-0.03136052086678265,0.0036083333333333336,-0.022642655838090074,0.5127651313466792,-0.0193093225047567,-0.08229651418956074,0.002511741211773554,0.0010782883384399704,2.106997562012399,-0.022899352054970266,0.5151732249473161
2022-03-31,-0.030314325071672504,0.012841089928327578,-0.04315541500000007,1.9999999999999982,0.0,-1.6653345369377348e-16,-4.440892098500626e-16,0.05,0.3499999999999998,False,1.0,103,101,204,2022-03-31,0.44,0.00036666666666666667,2022-03-31,0.03577323877328009,0.0037,-0.03364765840500584,0.47318256497929695,-0.04903829849710628,-0.04946728826859237,0.0035543379906430644,0.0011352083333333323,2.926392705058472,-0.0350038713956489,0.4736811489027295
2022-04-30,0.07348998989994972,-0.10247993010005021,0.1759699199999999,1.9999999999999982,5.551115123125783e-17,-8.881784197001252e-16,1.1102230246251565e-16,0.05,0.3499999999999998,False,1.0,103,101,204,2022-04-30,0.76,0.0006333333333333333,2022-04-30,-0.08795671914903935,0.003966666666666667,0.07015665656661639,0.04219377739533577,0.0,-0.13307302703632662,0.002546839487873197,0.0011277083333333323,2.072368779576007,0.06981544207874318,0.043159223840521746
2022-05-31,0.060783776079435636,0.01555298166451575,0.045230794414919874,1.9999999999999982,0.0,-3.3306690738754696e-16,0.0,0.05,0.34999999999999987,False,1.0,102,101,203,2022-05-31,0.98,0.0008166666666666666,2022-05-31,5.324388360872234e-05,0.00415,0.0574504427461023,0.03502118815191911,0.0,-0.1330268684774809,0.0023063404463779962,0.0011067275675760123,1.939932586306918,0.057370708065481626,0.03595887725809651
2022-06-30,-0.0672161663737644,-0.11504498567746996,0.04782881930370557,1.9999999999999982,0.0,1.6653345369377348e-16,-8.881784197001252e-16,0.05,0.34999999999999976,False,1.0,102,101,203,2022-06-30,1.49,0.0012416666666666667,2022-06-30,-0.08391999322386645,0.004575,-0.07054949970709773,0.3588755468873596,-0.06721616637376426,-0.20578324780012514,0.002668235283896609,0.0011683941490382033,2.2796430798977907,-0.07105279580669921,0.36052789171868166
