target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,-0.21074746231789218,0.08377075874283656,-0.2945182210607287,1.999999999999998,1.3877787807814457e-17,-5.48172618408671e-16,-3.226585665316861e-16,0.05,0.3499999999999998,False,1.0,103,102,205,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.2140807956512255,,-0.2107474623178922,-0.011136640158463607,0.0024224999999999993,0.0010624665762750602,1.9999999999999987,-0.21423242889416724,
2021-02-28,-0.021398931116804513,0.04711316287618975,-0.0685120939929943,1.9999999999999982,8.326672684688674e-17,-3.3306690738754696e-16,5.551115123125783e-17,0.05,0.3499999999999998,False,1.0,102,102,204,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.024732264450137847,,-0.2276366230055148,0.0,0.002352558884508896,0.0011176421456284393,1.9493048300540248,-0.024869132146941846,
2021-03-31,0.0017357364538794768,0.006187562885099664,-0.004451826431220186,1.9999999999999984,-2.7755575615628914e-17,3.885780586188048e-16,0.0,0.05,0.34999999999999976,False,1.0,101,102,203,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,-0.0015975968794538567,,-0.226296003736424,0.0,0.0023252215677946803,0.001095624999999999,1.9047265973307306,-0.0016851101139152024,
2021-04-30,0.08078814199231796,0.046632527994098394,0.03415561399821958,1.9999999999999982,-1.3877787807814457e-17,5.342948306008566e-16,-6.661338147750939e-16,0.05,0.3499999999999998,False,1.0,102,103,205,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.07745480865898463,,-0.16378989542625833,0.0,0.002039031484516386,0.0011151922122196601,1.6427850901098537,0.07763391829558192,
2021-05-31,0.06065287219883279,0.022204189480444836,0.03844868271838795,1.9999999999999982,0.0,-7.771561172376096e-16,-2.7755575615628914e-17,0.05,0.34999999999999987,False,1.0,103,102,205,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.05731953886549945,,-0.11307135082217445,0.0,0.002154563565367749,0.0010591666666666655,1.7315539612718114,0.05743914196679837,
2021-06-30,-0.02243733248012948,0.045166049125237306,-0.06760338160536677,1.9999999999999982,0.0,-4.996003610813204e-16,7.355227538141662e-16,0.05,0.34999999999999987,False,1.0,101,101,202,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.025770665813462813,,-0.13297166380992942,0.0,0.002299496755713505,0.0010926357192576814,1.8943053491804611,-0.025829464955100665,
2021-07-31,0.15139610373738235,0.018482521199336594,0.13291358253804575,1.999999999999998,0.0,-3.0531133177191805e-16,-4.996003610813204e-16,0.05,0.3499999999999998,False,1.0,101,102,203,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.14806277040404903,,-0.0017069518808474626,0.0,0.0020141061885525103,0.0010550013355914367,1.707942907959058,0.1483269962132384,
2021-08-31,0.007401423129125529,0.031637536860927136,-0.024236113731801612,1.9999999999999982,0.0,-6.661338147750939e-16,3.3306690738754696e-16,0.05,0.3499999999999998,False,1.0,102,102,204,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.004068089795792195,,0.0,0.0,0.002101599577845924,0.001093057021981135,1.8247643153303068,0.00420676652929847,
2021-09-30,-0.01875994547986631,-0.037502956586122946,0.018743011106256643,1.9999999999999982,0.0,-1.6653345369377348e-16,9.43689570931383e-16,0.05,0.34999999999999987,False,1.0,102,101,203,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.022093278813199644,,-0.018759945479866258,-0.047569140421166445,0.0021660003720045135,0.0010791666666666653,1.8148983351547874,-0.02200511251853749,
2021-10-31,0.05311279500547612,0.07305767000547617,-0.019944875000000025,1.9999999999999982,0.0,-9.992007221626409e-16,-8.326672684688674e-16,0.05,0.34999999999999987,False,1.0,103,101,204,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.04977946167214278,,0.0,0.0,0.0016860516150051534,0.001106041666666666,1.415890406136378,0.0503207017238043,
