target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,-0.25998764315906053,0.06311522512273775,-0.3231028682817983,1.999999999999998,8.326672684688674e-17,-6.938893903907228e-16,-4.163336342344337e-17,0.05,0.3499999999999998,False,1.0,102,102,204,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.2633209764923939,,-0.25998764315906053,-0.011136640158463607,0.002382114545419386,0.001106094292896088,1.9999999999999984,-0.263475851997376,
2021-02-28,-0.03659953928070453,0.06847264240685924,-0.10507218168756377,1.9999999999999982,-2.7755575615628914e-17,-6.38378239159465e-16,-1.9081958235744878e-16,0.05,0.34999999999999987,False,1.0,105,106,211,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.03993287261403786,,-0.28707175448146727,0.0,0.0009791921110922836,0.0011394600331689048,0.7999999999999998,-0.03871819142496572,
2021-03-31,0.0275417654052928,0.03289537420608895,-0.00535360880079615,1.9999999999999987,-2.7755575615628914e-17,9.71445146547012e-16,4.163336342344337e-17,0.04999999999999998,0.34999999999999987,False,1.0,107,106,213,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.024208432071959465,,-0.2674364519925889,0.0,0.0011368359495446873,0.0011031919449224746,0.8000000000000004,0.025301737510825636,
2021-04-30,0.08549253612755492,0.05530349724702443,0.030189038880530497,1.9999999999999987,2.7755575615628914e-17,-4.0245584642661925e-16,3.0531133177191805e-16,0.05000000000000002,0.34999999999999987,False,1.0,111,107,218,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.08215920279422159,,-0.20480773639883554,0.0,0.0010525441590068007,0.001158327093842674,0.8000000000000003,0.08328166487470545,
2021-05-31,0.06370405446864033,0.025763280217710176,0.037940774250930155,1.999999999999999,2.7755575615628914e-17,-2.498001805406602e-16,3.608224830031759e-16,0.05000000000000001,0.34999999999999987,False,1.0,112,107,219,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.060370721135307,,-0.15415076512534565,0.0,0.0011066114094807926,0.0011151370649854428,0.7999999999999999,0.0614823059941741,
2021-06-30,-0.05364926801254481,0.010568416720517781,-0.06421768473306258,1.9999999999999987,2.7755575615628914e-17,-6.38378239159465e-16,-3.5388358909926865e-16,0.050000000000000024,0.34999999999999987,False,1.0,111,108,219,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.056982601345878146,,-0.19952995742534185,0.0,0.0011467303277752062,0.0011598733262039203,0.7999999999999994,-0.05595587166652394,
2021-07-31,0.1369721950338172,0.00020547309811485626,0.1367667219357023,1.9999999999999991,5.551115123125783e-17,1.1102230246251565e-16,-4.718447854656915e-16,0.05,0.34999999999999987,False,1.0,113,106,219,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.13363886170048386,,-0.08988781863507778,0.0,0.0010497153393140982,0.0011455650877819977,0.7999999999999997,0.1347769146067211,
2021-08-31,0.0006444658815273029,0.022249786348971602,-0.021605320467444306,1.9999999999999987,5.551115123125783e-17,2.7755575615628914e-16,-2.220446049250313e-16,0.05000000000000002,0.34999999999999987,False,1.0,114,109,223,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,-0.0026888674518060307,,-0.0893012823858258,0.0,0.0009916024608042594,0.001211220311678038,0.7999999999999996,-0.0015583568909549946,
2021-09-30,-0.038238154678143316,-0.025964819460518738,-0.012273335217624576,1.9999999999999987,2.7755575615628914e-17,-2.220446049250313e-16,1.1102230246251565e-16,0.050000000000000024,0.3499999999999998,False,1.0,115,106,221,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.04157148801147665,,-0.12412472081514336,-0.047569140421166445,0.00106910819719823,0.0011617924864251055,0.7999999999999996,-0.04046905536176665,
2021-10-31,0.041717765015886345,0.06121213823200289,-0.01949437321611654,1.9999999999999987,1.942890293094024e-16,1.1102230246251565e-16,-2.220446049250313e-16,0.050000000000000044,0.3499999999999998,False,1.0,116,104,220,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.03838443168255301,,-0.08758516173488562,0.0,0.001089343968264329,0.0011803551861879428,0.8000000000000003,0.039448065861434074,
