target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,-0.05698137618506255,0.02994855829535213,-0.0869299344804147,1.9999999999999982,0.0,-1.6653345369377348e-16,-4.996003610813204e-16,0.05,0.3450000000000001,False,1.0,101,102,203,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.06031470951839588,,-0.056981376185062604,-0.011136640158463607,0.002131074383445911,0.0009570833333333329,1.9999999999999984,-0.06006953390184179,
2021-02-28,0.043836151013894153,0.07098616802198725,-0.02715001700809308,1.9999999999999984,5.551115123125783e-17,-5.551115123125783e-17,2.7755575615628914e-17,0.05,0.3499999999999998,False,1.0,105,105,210,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,0.04050281768056082,,-0.01564306938259652,0.0,0.0008948269346311035,0.000956681586171011,0.7999999999999998,0.04198464249309204,
2021-03-31,0.06255128588210238,0.05327446858974222,0.009276817292360148,1.9999999999999987,-5.551115123125783e-17,-2.220446049250313e-16,1.1102230246251565e-16,0.05000000000000002,0.34503673261479867,False,1.0,105,109,214,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.05921795254876904,,0.0,0.0,0.0008967610416668532,0.0009106082548061578,0.7999999999999995,0.060743916585629366,
2021-04-30,0.06875099560192129,0.05819187349867298,0.010559122103248312,1.9999999999999987,1.6653345369377348e-16,1.6653345369377348e-16,0.0,0.05,0.3499999999999998,False,1.0,104,109,213,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.06541766226858796,,0.0,0.0,0.0008856157674348924,0.0009622882981378688,0.7999999999999998,0.06690309153634853,
2021-05-31,0.04687499994484042,0.007970454609212892,0.03890454533562753,1.9999999999999982,5.551115123125783e-17,-1.1102230246251565e-16,1.1102230246251565e-16,0.05,0.3499999999999998,False,1.0,104,109,213,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,0.04354166661150709,,0.0,0.0,0.0008818761268586284,0.0009826878507908623,0.8000000000000002,0.045010435967190926,
2021-06-30,-0.04947295696438954,0.02523899735487207,-0.0747119543192616,1.9999999999999991,0.0,-2.220446049250313e-16,-3.3306690738754696e-16,0.05,0.34999999999999987,False,1.0,106,112,218,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.05280629029772287,,-0.04947295696438958,0.0,0.0010371198923979181,0.0010742096319551202,0.7999999999999996,-0.051584286488742574,
2021-07-31,0.06963244500838457,0.0028483252333479994,0.06678411977503657,1.9999999999999987,0.0,-1.1102230246251565e-16,-4.440892098500626e-16,0.05000000000000001,0.34999999999999987,False,1.0,106,106,212,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.06629911167505124,,0.0,0.0,0.0008450001069424234,0.001050402066145403,0.8000000000000003,0.06773704283529675,
2021-08-31,2.2195103040629008e-05,0.02223259889504512,-0.0222104037920045,1.9999999999999991,0.0,1.1102230246251565e-16,-4.440892098500626e-16,0.05000000000000001,0.34999999999999987,False,1.0,107,111,218,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,-0.0033111382302927045,,0.0,0.0,0.0009405179048174254,0.0010888086104019193,0.7999999999999996,-0.0020071314121787157,
2021-09-30,0.007175718173853511,-0.04149460410298079,0.048670322276834294,1.9999999999999987,0.0,1.6653345369377348e-16,4.440892098500626e-16,0.050000000000000024,0.34999999999999987,False,1.0,108,109,217,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,0.0038423848405201772,,0.0,-0.047569140421166445,0.000983878357931338,0.0010804904957107165,0.7999999999999994,0.005111349320211457,
2021-10-31,0.007151921626588242,0.04977321879867394,-0.0426212971720857,1.9999999999999987,0.0,2.220446049250313e-16,-2.220446049250313e-16,0.05000000000000001,0.34999999999999987,False,1.0,111,111,222,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.003818588293254908,,0.0,0.0,0.0009715901192021935,0.0010644452693210143,0.7999999999999997,0.005115886238065034,
